Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Tata Power Renewable Energy Limited,"Tata Power Renewable Energy Limited (TPREL) is one of India’s leading renewable energy companies, driving the transition towards a cleaner, more resilient and sustainable energy future. 

As a subsidiary of Tata Power Company Limited, TPREL delivers integrated green energy solutions across solar, wind, hybrid, round-the-clock (RTC), peak power, floating solar and energy storage technologies. With capabilities spanning project development, engineering, procurement, construction, operations and maintenance, the company plays a pivotal role across the renewable energy value chain.
Today, TPREL has a renewable utility portfolio of 11.6 GW, including 6.7 GW of operational capacity comprising solar and wind assets, and 4.9 GW under implementation. The company has also established the country's largest single-location integrated solar cell and module manufacturing facility in Tirunelveli, Tamil Nadu, with a capacity of 4.3 GW.
Beyond utility-scale renewable projects, TPREL's integrated offerings span rooftop solar, distributed energy solutions, EV charging infrastructure and advisory services, enabling businesses, institutions and communities to accelerate their sustainability journeys.

With a solar EPC portfolio exceeding 16.8 GWp and around 5.1 GWp of rooftop and distributed installations, TPREL continues to support India's growing clean energy ambitions through innovation, scale and execution excellence.

As India advances towards a cleaner energy future, TPREL remains committed to enabling energy access at scale through integrated green energy solutions. Guided by innovation, responsibility and sustainable growth, we are helping build a future powered by clean energy and shared progress.",Renewable Energy Semiconductor Manufacturing,"501-1,000 employees",Public Company,"Mumbai, Maharashtra, India",India,tatapowersolar.com,https://www.linkedin.com/company/tata-power-renewable-energy
SUNTIME ENERGY LIMITED,"Suntime Energy Ltd, was founded by Mr. Sarabjit Singh Ahluwalia, a technocrat and having experience in Non-Conventional Energy Sources industry from last 20 years, and having vast experience of designing, Manufacturing, Installation and execution of projects of Solar Water Heating Systems, Solar Photovoltaic Systems, Solar Power Plants, Solar Distillation Plants, Solar Air Heaters and Solar Water Heating for Swimming Pool Projects.

Suntime Energy was one of the first companies to introduce Solar Pumping System in India under World Bank Programme. They were designed, manufactured and installed by us with the latest State of the Art Machineries in villages of different states. These Solar Pumping Systems are still working with great satisfaction to our customers.

We also have in house arrangement to design, manufacture, supply, testing and commissioning of Solar Water Heating Systems and Solar Photovoltaic System and have exported to Solemon Island, Afghanistan, Kenya and Congo. Our products are being used in India since 15 Years to provide hot water in domestic, commercial and industrial environment. More than 50 thousand square meter of Solar Water Heating Collectors that could heat 20 lacs liters.

We are a reputed manufacturer of SOLAR POWERED SYSTEMS in the country since 1994. We have supplied systems in almost all parts of the country, through various agencies. We have distinction of completing the project of Solar water pumping systems in the state of Haryana and Punjab (first of its kind) and completing the project of rural village electrification of around 3000 houses in naxalite hard hit areas of Jharkhand. Our efforts are acknowledged by GOVT. OF INDIA and our managing director Mr. S.S. Ahluwalia, was felicitated by the President of India, his excellency DR. A.P.J. Abdul Kalam for our efforts as an S.S.I. unit in the field of solar energy.

Registered offices in NEW DELHI, Corporate office in Chandigarh (Punjab), Overseas Office in ENGLAND (UK)",Renewable Energy Semiconductor Manufacturing,Self-employed,Public Company,"Sahibzada Ajit Singh Nagar, Punjab, India",India,suntimenergy.com,https://www.linkedin.com/company/suntime-energy-limited
EcoMatter,"EcoMatter is Tech-Smart Solar company at the forefront of India's transition to Clean Energy. With a focus on innovation, efficiency, and cost-effectiveness, we are committed to making Solar Energy Sustainable, Reliable and Affordable. 
Our expertise in Solar Engineering delivers Solar Solutions that empowers individuals and businesses to harness the power from the Sun thus reducing your Environmental Impact along with significant reduction in the electricity bills.",Renewable Energy Semiconductor Manufacturing,11-50 employees,Privately Held,"New Delhi, Delhi, India",India,ecomatter.co.in,https://www.linkedin.com/company/ecomattersolar
Iqra Energy,"An Engineering service company was established in 1980 with the name of Tariq Engineering Works in Karachi. This company was engaged in Services activities of Generators, Air Compressor, Engine Welder, Road Rollers, and Forklifts etc. In 2004 Dual Energy ltd was establish as a trading company for power generation products. In 2014 with the Mission to give our customers cost effective solutions to their power generation requirements and   Vision of Green Pakistan we have started our operations in the field of alternate energy solutions, with the name IQRA ENERGY. We are offering Solar Energy Systems from 100watt to Megawatts under the team of competent people, best consultants and world’s renowned products.IQRA Energy is expert in Solar Technology. We can design a system to meet your usage profile and budget. WHAT WE DO?We offer complete solar power systems and solar power products with comprehensive accessories:•For private residential buildings, for telecom towers, for schools, for banks, for public buildings, for agricultural applications, for business, for stand-alone installations, for investors.HOW WE DO?•Our competent installers will gladly advise you on all solar technology matters, help you to choose the system that’s just right for you and after installation will offer you comprehensive service. IQRA Energy relentlessly to provide innovative and built-to-last custom solar solutions for you. We, at IQRA Energy, do not just sell solar systems; we believe in educating our clients / creating awareness so they can have a better understanding of what their actual requirements are. It is with this belief, we hope to keep serving our clients better and maintain the name that is a symbol of trust.SYSTEM FINANCE• We can also assist you to finance your Solar Energy System.",Renewable Energy Semiconductor Manufacturing,2-10 employees,Privately Held,"Chandigarh, Chandigarh, India",India,iqraenergy.com.pk,https://www.linkedin.com/company/iqra-energy
Patsol - Patel Solar Tech Pvt Ltd,"Patel Solar Tech Pvt. Ltd. (Patsol) is a well-established Engineering, Procurement & Construction (EPC) Company operating in the field of Rooftop Solar Power Projects and also dealing in other Solar Energy based products. Since 2008, we have gained the trust of our 2500+ clientele with excellent quality and committed services.

Growth powered by renewable energy with enhanced technology is becoming the mandate of nations across the world and we bring it to you at warp speed.We keep up with the changing environment to provide you a smart way of living. We provide flexible services which involves free consultation and end-to-end installation. We install, trade and supply Solar panels, inverters,Solar wiring, Solar LEDS, Water heaters and dedicated manpower for solar installations.

Patsol have already generated energy over 1.5 Megawatts in Power Generation Capacity, in the Residential and Social Sector Solar Rooftop space.We provide quick solar service across Vapi,Valsad, Surat, Bardoli, Navsari, Vadodara and Ahmedabad. We have a skilled team of 40 well qualified engineers.

We believe in transforming the way people use energy.",Renewable Energy Semiconductor Manufacturing,11-50 employees,Privately Held,"Surat, Gujarat, India",India,patsol.in,https://www.linkedin.com/company/patsolindia
Wegasolar Renewables Pvt Ltd,"WEGA is an organization who were responsible for the usage of green energy & through that avoiding the pollution rates. Our company is started in 2016. And during these days we were done many works including the Govt. tender for providing solar plants in ITI’s Malappuram. And also we done rural electrification in Panavur,Nedumangadu as the part of charity.We are providing only branded equipment's. Thus our customers were 100% satisfies with our work. WEGA Solars is not only a business , it’s an organization of men who’re connected their hand in hand against energy crisises and for green revolution. And simply can say WEGA SOLAR is, “SIMPLE SOLAR SOLUTIONS FOR BETTER TOMORROW”.............",Renewable Energy Semiconductor Manufacturing,2-10 employees,Partnership,"Trivandrum, Kerala, India",India,,https://www.linkedin.com/company/wegasolar
Fine Vibes Services Pvt Ltd,"Fine Vibes is a leading investment consultant for investments in India. We harmonize and develop long term relations between our clients. Prospective investors are provided best investment opportunities available in India. Our team has a subject matter expertise in power sector, construction and development of townships, roads & highways, telecom and tourism & hospitality.

Fine Vibes was established in the year 2009 and has endeavored to deliver best results to its clients. Our clients vary from Public Sector Undertaking, Public Private Partnerships, Multi-Nationals and Major National Companies. We are a premier provider of services related to Consulting, Investment in India, Legal Support, and Liaising etc.

The company has a vision of becoming a one stop shop for services such as investment in India, promoting foreign companies for Foreign Direct Investment in India. The company has very good history and healthy relations withGovernmental Institutions, Public Private Partnerships, Multi-Nationals and big corporate in India to bring the most beautiful and functional bouquet of competencies andskills for its clients.

Fine Vibes has undertaken various government contracts in the field of Power Transmission, hospitality, IT industry, transport industry and Solar Energy.

Our clients are CSPHCL(Chattisgarh Government) ,JayPee Group, Metalite India, Government of Delhi, Central board of Customs and Excise India,

Fine Vibes was established to provide a one stop shop services to foreign investors as India is considered as the best investment Destination in the world. Individuals having expertise in their fields joined hands and Fine Vibes Investment was incorporated. The objective of the company is to provide best services for promoting investment into India. In a span of 3 years , has provided services to created a goodwill in the field of Investment.

Company was formed by professionals from Government organization and Multi-National Companies",Renewable Energy Semiconductor Manufacturing,201-500 employees,Privately Held,"Bhilai, Connecticut, India",India,finevibes.com,https://www.linkedin.com/company/finevibes
MNM Solar Power Systems,"We would like to introduce ourselves as MNM Solar Power Systems, Authorized Dealers of ‘Tata Power Solar Systems Ltd’ dealing in 'Ground & Rooftop Solar Power Systems' based in Mumbai with business transactions in & around the State of Maharashtra.

Founded in August 2016 by college friends Mr. Mahesh Kulkarni and Mr. Neelesh Vartak, both B. E. in Production Technology from Mumbai University, MNM Solar Power Systems, a Partnership Firm having Registered Office in Mumbai, boasts of a powerful team of 25 highly educated & skilled professionals who have successfully installed & commissioned over 70 projects amounting over 5MW of On-Grid Rooftop Solar Systems in & around Mumbai.

We customize and provide tailor-made end-to-end solutions in Industrial, Commercial, and Residential premises based on your requirement; to fit your need for ground and roof top Solar PV system. After successful commissioning, we also look after the appropriate O&M service necessary to get the highest yield performance of your solar power plant project for a lifespan that spreads over 25 years.

We, on behalf of Tata Power Solar, India’s largest integrated solar company, invite you to be a part of National Solar Mission that is driven by the singular vision – harness the power of sun to enable solar everywhere. It is a major initiative of the Government of India and State Governments to promote ecologically sustainable growth while addressing India's energy security challenge.

We are an integral part of Tata Power Solar, India’s leading solar manufacturer who has completed 27 years of operations & operating 400 MW and 300 MW of module & cell manufacturing facility in Bangalore, which is providing high-quality solar components to power plants. Tata Power Solar are a Tier-1 bankable module manufacturer, known for their high quality, efficient and reliable modules worldwide & SP-1A rated MNRE channel partner.",Renewable Energy Semiconductor Manufacturing,11-50 employees,Partnership,"Mumbai, Maharashtra, India",India,mnmsolar.com,https://www.linkedin.com/company/mnmsolar
Battery Booster,"Double the life of Lead Acid Batteries, used for Automotive, Genset & UPS

We aim to significantly reduce the number of lead-acid batteries by extending and creating a second life for them.

Battery Booster Lab was set-up with strong vision to develop innovative and cost-effective processes which can help extend life of lead acid batteries. We have a proven track record of extending the life of weak batteries and also reclaiming dead batteries. 

Battery Booster has specialized technology that is able to enhance the performance and increase the life span of lead-acid batteries. Using Advanced Intelligent Refurbishing System, we are able to turn used batteries into working batteries once again, directly reducing lead-acid waste.

Battery Booster considers itself as a pioneer in the field of battery life extension and battery refurbishment for various types of batteries. 

Battery Booster has developed an end-to-end, innovative and unique solution, utilizing state-of-the-art technology. Our solution is designed to significantly reduce the costs of battery maintenance. The entire process is supported by a green, environmental approach.",Renewable Energy Semiconductor Manufacturing,2-10 employees,Privately Held,"Coimbatore, Tamil Nadu, India",India,batteryboosterindia.com,https://www.linkedin.com/company/battery-booster
FREUDENBERG FILTRATION TECHNOLOGIES INDIA PRIVATE LIMITED,,Renewable Energy Semiconductor Manufacturing,2-10 employees,,"Pune, Maharashtra, India",India,,https://www.linkedin.com/company/freudenberg-filtration-technologies-india-private-limited
