Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Skyroot Aerospace,"A new space age is emerging and the extraordinary opportunities in space depend on the transportation systems from Earth to Space. At Skyroot, we are building technologies for responsive, reliable and economic access to space. We envision a future where spaceflight is as regular, reliable and affordable as airflight. 

National Award Winner!",Space Research and Technology,"501-1,000 employees",Privately Held,"Hyderabad, Telangana, India",India,skyroot.in,https://www.linkedin.com/company/skyroot-aerospace
AstrophileGyaan,"Astrophile Gyaan: Founded As a Side project from my deep passion for space, this digital initiative's mission is to make India's space community highly active, unified, and visible. I drive the strategy to formulate and scale this next-generation community.",Space Research and Technology,Self-employed,Self Employed,"Mumbai, Maharashtra, India",India,,https://www.linkedin.com/company/astrophilegyaan
Vyoma club,"We are RV University's space research and technology club — a community of curious minds, bold thinkers, and future pioneers united by one shared obsession: the universe.
From satellite systems and orbital mechanics to astrophysics and space policy, we push the boundaries of what students can explore, build, and discover. Whether it's designing experiments, competing in national challenges, or collaborating with researchers, our members don't just study space — they pursue it.
We believe the next generation of space innovators isn't waiting to graduate. They're building, questioning, and dreaming right now.
Join us. The cosmos is closer than you think.",Space Research and Technology,11-50 employees,Public Company,"Bengaluru, Karnataka, India",India,,https://www.linkedin.com/company/vyoma-club
ORIGIN,"ORIGIN (Observatory for Research in Intelligence, Galaxies, Innovation & Nature) is a private, independent science & technology organization dedicated to unlocking the deepest mysteries of the universe.

We explore the edges of known science from space exploration, time travel, wormholes, and black holes to the origin of life, alien intelligence, and quantum phenomena.

Driven by curiosity and precision, ORIGIN operates as a futuristic research and innovation hub, publishing whitepapers, scientific findings, and breakthrough theories from across disciplines. Our mission is to push human understanding beyond boundaries of space, time, and existence itself.

 What We Focus On:
Space-time research and multidimensional navigation
Wormholes, time machines & theoretical propulsion
Alien intelligence and astrobiology
Black hole studies and galactic phenomena
Advanced physics and quantum innovations
Scientific publications, whitepapers & open knowledge",Space Research and Technology,11-50 employees,Privately Held,"Mumbai, Maharashtra, India",India,theorigin.space,https://www.linkedin.com/company/originbyashas
OxweSpace,"OxweSpace is a modern digital workspace and business solutions platform designed to help companies, teams, and entrepreneurs work smarter, collaborate effortlessly, and grow faster. We provide a complete ecosystem of tools and services that streamline daily operations, enhance productivity, and support businesses in building a strong digital presence.

At OxweSpace, we focus on innovation, scalability, and user-centric design. Our solutions are created to simplify work processes and empower teams with intuitive digital tools that improve communication, task management, document handling, and overall workflow efficiency. Whether you are a small startup or a growing enterprise, OxweSpace offers flexible and reliable services that adapt to your business needs.

With a strong commitment to quality and customer satisfaction, OxweSpace combines technology, strategy, and creative thinking to deliver impactful results. From digital marketing and branding to cloud-based workspace solutions, we help businesses stay competitive in a fast-changing digital world. Our goal is to create a smart, secure, and seamless environment where businesses can focus on what matters most — growth, innovation, and success.",Space Research and Technology,2-10 employees,Self Employed,"Saijpur, Gujarat, India",India,oxwespace.in,https://www.linkedin.com/company/oxwespace
Antrix,Space | science,Space Research and Technology,Self-employed,Self Employed,"Gurugram, Haryana, India",India,antrixae.org,https://www.linkedin.com/company/antrixaero
Yuga Defence Pvt Ltd,,Space Research and Technology,11-50 employees,Partnership,"Kharagpur, West Begal, India",India,yugadefence.com,https://www.linkedin.com/company/yuga-defence-pvt-ltd
Arjuna Space AI India,Geospatial intelligence for the oceans and agriculture,Space Research and Technology,2-10 employees,Privately Held,"Pune, Maharashtra, India",India,arjunaspace.in,https://www.linkedin.com/company/arjuna-space-ai-india
Stellaris Club,"Also knows as Stellaris SRMUH

The Prôject Sömbernö 2147
A Science club aimed on making Space and Science cool and with a goal to reach The Sombrero Galaxy, with our in house built spaceship, before the year 2147 ie. in around 120 years.

What we do:
Articles
15 min topic video
Short explanation writeups
Theoretical papers
Telescope events 
Sci-fi stories 
Podcast Conversations
Working Models",Space Research and Technology,51-200 employees,Privately Held,"Sonipat, Haryana, India",India,,https://www.linkedin.com/company/project-somberno
Space Skylink,,Space Research and Technology,Self-employed,Public Company,"Thane, Maharashtra, India",India,10web.site,https://www.linkedin.com/company/space-skylink-mission
