Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Resideo,"At Resideo, we help you protect what matters most by creating technology and smart solutions that integrate seamlessly into your life. Our house of brands includes First Alert’s smoke detectors, Honeywell Home’s smart thermostats, our ADI Global Distribution Business, and more to connect your entire home. 

We pride ourselves on our commitment to quality, innovation, and customer satisfaction, backed by a legacy of over 100 years in the industry. 

Resideo was recognized by Forbes Magazine on two of its most prestigious corporate rankings: the 2026 Most Trusted Companies and Best Companies in America lists. Thank you to every member of our team for helping Resideo pioneer what’s possible. 

#WeAreResideo",Consumer Electronics,"10,001+ employees",Public Company,"Bengaluru, Karnataka, India",India,resideo.com,https://www.linkedin.com/company/resideo1
RR Banana Exports,,Consumer Electronics,11-50 employees,,"Tiruchirappalli, Tamil Nadu, India",India,,https://www.linkedin.com/company/rr-banana-exports
Aatash Food Private Limited,,Consumer Electronics,201-500 employees,,"Navi Mumbai, Maharashtra, India",India,aatashfoods.com,https://www.linkedin.com/company/aatash-food-private-limited
Badshah Furniture,,Consumer Electronics,51-200 employees,,"Indore, Madhya Pradesh, India",India,,https://www.linkedin.com/company/badshah-furniture
Bhagwani Paper Products Private Limited,,Consumer Electronics,51-200 employees,,"Jamshedpur, Jharkhand, India",India,,https://www.linkedin.com/company/bhagwani-paper-products-private-limited
Al Lahm Fro en Foods Private Limited,,Consumer Electronics,51-200 employees,,"Moradabad, Uttar Pradesh, India",India,allahmfoods.com,https://www.linkedin.com/company/al-lahm-fro-en-foods-private-limited
Eeon Foods & Grocery,,Consumer Electronics,51-200 employees,,"Hyderabad, Telangana, India",India,eeon.in,https://www.linkedin.com/company/eeon-foods-&-grocery
Kolkata Service Centre - India,,Consumer Electronics,,,"Kolkata, West Bengal, India",India,kolkataservicecentre.com,https://www.linkedin.com/company/kolkata-service-centre---india
Panorama Doors & Furniture,,Consumer Electronics,51-200 employees,,"Vadodara, Gujarat, India",India,,https://www.linkedin.com/company/panorama-doors-&-furniture
Parth Steel Furniture,"We are a prominent manufacturer, supplier and exporter of Furniture and Engineering Goods. Our product line is widely acknowledged for its longer life, comfort level, latest designs and operational capacity.",Consumer Electronics,51-200 employees,,"Ahmedabad, Gujarat, India",India,,https://www.linkedin.com/company/parth-steel-furniture
Aj Agrotech Impex (opc) Private Limited,,Consumer Electronics,201-500 employees,,"New Delhi, Delhi, India",India,krblrice.com,https://www.linkedin.com/company/aj-agrotech-impex-opc-private-limited
KJP Psyllium,,Consumer Electronics,11-50 employees,,"Siddhapur, Gujarat, India",India,kjpsyllium.com,https://www.linkedin.com/company/kjp-psyllium
Bee Ess Agro Inputs Private Limited.,,Consumer Electronics,51-200 employees,,"Amritsar, Punjab, India",India,bsaexports.com,https://www.linkedin.com/company/bee-ess-agro-inputs-private-limited.
Dilmeet Corporation,,Consumer Electronics,11-50 employees,,"Mumbai, Maharashtra, India",India,,https://www.linkedin.com/company/dilmeet-corporation
Techno-Nerdz,,Consumer Electronics,2-10 employees,,"Lucknow, Uttar Pradesh, India",India,technonerdz.org,https://www.linkedin.com/company/techno-nerdz
