Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
ICON plc,"Since our foundation in Dublin, Ireland in 1990, our mission has been to help our clients to accelerate the development of drugs and devices that save lives and improve quality of life. We do this by delivering best in class information, solutions and performance, with an unyielding focus on quality at all times.

We offer a full range of consulting, development and commercialisation services from a global network of offices in 53 countries. We focus our innovation on the factors that are critical to our clients – reducing time to market, reducing cost, and increasing quality – and our global team of experts has extensive experience in a broad range of therapeutic areas.",Biotechnology Research,"10,001+ employees",Public Company,"Dublin 18, County Dublin, Ireland",Ireland,iconplc.com,https://www.linkedin.com/company/icon-plc-2
The Future Ruminants,"Future Ruminants is a science-led platform focused on the future of ruminant livestock systems. We explore how research, precision technologies, and innovation are transforming ruminant nutrition, health, behaviour, welfare, and production.

Our content bridges the gap between academic research and real-world application. We break down the latest studies, highlight emerging tools in precision livestock farming, review key books and courses, and discuss practical implications for dairy, beef, and small ruminant systems.

Beyond science, Future Ruminants supports career growth in animal science. We share guidance on research funding, scholarships, scientific writing, publishing, and career pathways, helping students and professionals navigate opportunities in academia and industry.

Future Ruminants is built for researchers, veterinarians, nutritionists, students, and livestock professionals who want to stay informed, build skills, and shape the future of ruminant agriculture through evidence-based knowledge.",Biotechnology Research,Self-employed,Self Employed,"Dublin, County Dublin, Ireland",Ireland,,https://www.linkedin.com/company/the-future-ruminants
Zinto Labs,"At Zinto, we are at the forefront of biotechnology research, specialising in advanced genomic capabilities that drive impactful environmental and veterinary insights. With over 15 years of experience, we partner with our customers to tackle complex, real-world challenges through innovative genomics solutions.

Our multidisciplinary team, comprising PhD scientists, bioinformaticians, molecular biologists, software architects, and engineers, is dedicated to delivering bespoke DNA-analysis solutions. Our expertise spans from comprehensive biomonitoring tools for environmental impact assessments to tailored genomic analyses that provide actionable insights at scale. 

Zinto’s services help corporates, regional authorities, institutions and conservation bodies address major societal issues such as biodiversity loss and animal welfare challenges.",Biotechnology Research,11-50 employees,Privately Held,"Dun Laoghaire, County Dublin, Ireland",Ireland,zinto.com,https://www.linkedin.com/company/zinto-labs
SomaTech Ltd,"Bringing the ancient art of solid-state fermentation to the food industry, creating sustainable ingredients that improve taste, texture & functionality.

Our mission is to enable food companies to be more circular by creating high value ingredients from locally available food side streams.",Biotechnology Research,2-10 employees,Privately Held,"Monaghan, County Monaghan, Ireland",Ireland,somatech.ie,https://www.linkedin.com/company/somatech-ltd
Konree Innovation,"We are a technology company who specialize in the aquaculture space. Our mission is to use technological solutions to allow producers across the globe deliver in a sustainable manner to the marketplace.
We are a WomenTechEU awardee 2021/2022",Biotechnology Research,2-10 employees,Privately Held,"Galway, County Galway, Ireland",Ireland,konreeinnovation.com,https://www.linkedin.com/company/konree-innovation
BioConnect Innovation Centre,"At BioConnect we empower members and partners to use the power of biotechnology to innovate to make new sustainable products. 

Biotechnology is the technology that enables and drives innovation in the bioeconomy. Biotechnology will create innovative, affordable, sustainable biobased goods and processes that will have a major contribution in reducing Ireland’s carbon footprint.

The BioConnect Innovation Centre is a €6m+ at the heart of Ireland’s exciting bioeconomy strategy. Supported by Enterprise Ireland, Monaghan Co Co and a range of agri-food industrial companies  it will create a vibrant hub and centre of gravity for bioeconomy companies in the region.

Project is now in its final phase and our doors will open in Q2 2024.",Biotechnology Research,2-10 employees,Non Profit,"Monaghan, County Monaghan, Ireland",Ireland,bioconnectireland.com,https://www.linkedin.com/company/bioconnect-innovation-centre
eHealth-Hub for Cancer,"The eHealth Hub is a collaborative research project led by the Limerick Digital Cancer Research Centre, University of Limerick and the Patrick G Johnston Centre for Cancer Research, Queens University Belfast, collaborating with national partners in UCD, UCC, UoG, TCD, RCSI and international partners in OHDSI. Funded by Stand II HEA North South Shared Island award.

The mission of this project is to harmonise cancer data to enable data-empowered clinical cancer research on the island of Ireland.",Biotechnology Research,2-10 employees,Non Profit,"Limerick, County Limerick, Ireland",Ireland,ehealth4cancer.org,https://www.linkedin.com/company/ehealth-hub-for-cancer
SixDegrees Health Care Consulting,"Need help navigating a complex healthcare environment?

We can position you for success by:

Delivering critical insights as to stakeholder operations, their points of influence, and the issues that matter;

Helping facilitate access and relationships with key influencers and their networks;

Building alliances and mobilize allies to move in sync with you. 

Let us know your issues and needs and explore actions that lead to results you and your allies will value.

Select services: Reputation management | Life-cycle management planning | 
Clinical development planning | Interim management of Clinical and Med Affairs teams | Risk mitigation | Crisis management | Horizon scans, influencer mapping and advocacy building | Policy, legislative and regulatory analysis | Market conditioning | Disease awareness campaigns | KOL identification and engagement | Advisory Board management",Biotechnology Research,2-10 employees,Partnership,"Dublin, County Dublin, Ireland",Ireland,sixdegreeshc.com,https://www.linkedin.com/company/sixdegrees-health-care-consulting
Biomimetic Innovations Ltd,"Biomimetic Innovations is dedicated to accelerating medical innovation through the development of a new bone adhesive technology based on biology called OsSticTM. The company is the result of a decade long collaboration between GP Bio Ltd and PBC Biomed Ltd, both with extensive expertise in the area of biomaterials and bone repair. Our aim is to commercialise OsSticTM in a multitude of applications as a biomimetic adhesive for skeletal and soft tissue repair.",Biotechnology Research,2-10 employees,Privately Held,"Shannon, County Clare, Ireland",Ireland,pbcbiomed.ie,https://www.linkedin.com/company/biomimetic-innovations-ltd
EpiSeedLink,"The overreaching mission of EpiSeedLink is to foster a European network that empowers crop improvement through epigenetics by providing expertise, know-how, and creativity in high-end technologies to 11 early stage scientists and enabling them to translate scientific knowledge and skills into innovation. Through international, multidisciplinary, and inter-sectorial training in experimental and computational biology, EpiSeedLink will not only contribute to excellence in research but also timely address societal and agricultural needs. This original research program combines the unique know-how of academic experts with that of two seed companies to synergize research and knowledge transfer between a plant model (Arabidopsis) and a crop of enormous agroeconomic importance (oilseed rape). 
EpiSeedLink will exploit the epigenetic regulation of seed priming mechanisms to improve crop performance under threats caused by climate change (drought, heat, high light) through non-GMO practices. 
As a summary the Main Research Objectives are: 
•	to provide a “gene-to-field” applicability of new markers to produce or select varieties with an enhanced capacity for stress tolerance that, in the long term, will serve as a framework for knowledge transfer to other Brassica crops, to which various leafy vegetables, cauliflower/broccoli, mustard, and turnip belong.
 Oilseed rape is ideally suited to undertake the EpiSeedLink research program. On one hand, oilseed rape is Europe’s most important oils crop (for cereal and biofuel production) and is closely related to the model plant Arabidopsis. On the other hand, it is affected by environmental threats during the critical phases of germination and field emergence, such that the drought in 2018/19 caused up to 44% losses in the EU. The expertise of the BioAtlantis and DSV companies will beneficite as to achieve our objective.
•	 Provide excellent know-how, and improve research and complementary skills of 11 early-stage scientists",Biotechnology Research,"10,001+ employees",Government Agency,"Galway, County Galway, Ireland",Ireland,episeedlink.eu,https://www.linkedin.com/company/episeedlink
