Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
climote,"The team in climote have developed an award winning disruptive technology that will change the way energy in a property is Controlled, Managed & Monitored period. This patented product has a worldwide application and we are currently partnering with leading Energy Utilities, mobile telcos & trade networks worldwide to bring this product to market.


What is climote's Mission?

To become the essential and preferred supplier of energy management hardware, software & data services to both home owners, utilities and our trade partners. 

We aim to accomplish this by providing world-class intuitive products that look great and are easy to use and provide information that is relevant and useful. These products will be designed and manufactured to the highest standard by us so as to be easy to install by Electrical & Plumbing Contractors. 

We are committed to the highest levels of professionalism, integrity and customer care in all our dealings.

The climote team.",Consumer Electronics,11-50 employees,Privately Held,"Dundalk, County Louth, Ireland",Ireland,,https://www.linkedin.com/company/climote
iElectron,"iElectron is a consumer and commercial repair centre for the repair of phones, tablets, computers, consoles, and cameras. Since our beginnings in 2010, we have carved a niche for ourselves as a repair centre focused entirely on providing the best possible customer experience for anyone using our services. 

As part of this focus, we have taken the aspects of repair centres that clients are most concerned about, and worked heavily on addressing these issues with our repair centre.

Convenience 

We provide an online collection and delivery service. This means that if your business isn’t within arm’s reach of Cork City, we will send a DPD courier to your premises to collect devices, and then return them to you once we have completed the repairs, so minimal downtime for your staff.

Time

No business can afford downtime on devices that are used at work day to day, so when you have damaged devices, and need them repaired, our express repair service will have your devices back in your hands in no time at all. 

Protection

To give all of our client’s peace of mind with using our services, we guarantee a number of things to ensure that you are protected:

•	Warranty – We provide a warranty on all repairs that we perform, and will always inform you of the warranty that a particular job carries before completing any repairs. 

•	No Hidden Costs – Before completing any repair, we will communicate the exact price that you will pay for the repair for you to decide whether you want to proceed with the repair or not. 

•	No Diagnostic Fees – If you’re unsure of what is wrong with your device, and you don’t know whether it’s worth repairing or not, we won’t charge you a penny to perform diagnostics on the device and quote you for the required repair. 

Since opening, we have repaired tens of thousands of devices and we have highlighted some other reasons that commercial clients use our services.

•	Dedicated Account Manager
•	Express Repairs
•	Special rates
•	Monthly Invoicing",Consumer Electronics,2-10 employees,Privately Held,"Cork, County Cork, Ireland",Ireland,ielectron.ie,https://www.linkedin.com/company/ielectron
INOPTEC Ltd.,"INOPTEC develops novel systems for human vision enhancement and protection to improve the wearers SAFETY & PERFORMANCE.
Potentially life-saving — only urgent need markets (not a nice to have gadget).
All patented, not competition in this particular field. 
INOPTEC is registered in the UK & Germany.
—
Flagship Product ""Artificial Iris Smart Glasses"":
https://inoptec.com/products/smart-goggles/",Consumer Electronics,11-50 employees,Privately Held,"Dublin 2, County Dublin, Ireland",Ireland,inoptec.com,https://www.linkedin.com/company/inoptec
TradeTrust by gsmExchange,"TradeTrust.com - a marketplace for new, refurbished and used mobile phones and electronics. We select the most reliable sellers across Europe and worldwide. The best offers, transparent prices and trusted sellers. Be among the first to get access.",Consumer Electronics,11-50 employees,Privately Held,"Dublin 18, County Dublin, Ireland",Ireland,tradetrust.com,https://www.linkedin.com/company/tradetrust
Blink24,"Blink 24 is a truly unique distribution partner and as multiple single brand experts, we can support brands that push the boundaries of style, design and technology. With dedicated teams across marketing, customer service, and brand management Blink 24 have the expertise to take your brand to the next level. 

With decades of market knowledge, we ask what's next, what’s new and what's needed. We understand the challenges that vendors face in multi-brand large distribution and at Blink 24 we are determined to harness the power of collaborative partnerships selecting premium brands and retailers to think greater and do better.",Consumer Electronics,11-50 employees,Privately Held,"Dublin 12, County Dublin, Ireland",Ireland,blink24.co.uk,https://www.linkedin.com/company/blink24
HiFiHut,"At HifiHut we deliver the highest quality audio and video electronics at the highly competitive prices - catering for music and movie enthusiasts of all budgets, selling everything from headphones to state of the art home cinema systems.

We are a 100% Irish owned and operated business - and proud of it. Our showrooms stock many of our products for demonstration and are located in Dublin 12.",Consumer Electronics,11-50 employees,Privately Held,"Dublin 12, County Dublin, Ireland",Ireland,hifihut.ie,https://www.linkedin.com/company/hifihut
DFE (Dominic Fleming Electrical),"DFE is Ireland's leading provider of electrical accessories, consumables, and electronics to the retail sector. 

We cater to Electrical/Electronic, Hardware/DIY, Homeware Stores, and E-tailers, focusing on sourcing suitable products for distribution through our sales networks.",Consumer Electronics,11-50 employees,Public Company,"Dublin 15, County Dublin, Ireland",Ireland,dfe.ie,https://www.linkedin.com/company/dfe-dominic-fleming-electrical-
GadgetPlus,"Top Brand seller in Ireland of latest E-bikes E-scooters Mobiles robotic vacuums 
Brand Sellers of FIIDO, HIMO, ADO, DYU, ONEBOT, SAMEBIKE, LENKILEISI, OUXI & ALL New Folding EBikes",Consumer Electronics,11-50 employees,Privately Held,"Swords, County Dublin, Ireland",Ireland,gadgetplus.ie,https://www.linkedin.com/company/gadgetplusie
Mirr,"Touchscreen Smart Mirrors
              
Irish Start-Up",Consumer Electronics,2-10 employees,Partnership,"Mullingar, County Westmeath, Ireland",Ireland,mirr.tech,https://www.linkedin.com/company/mirr-ire
Narhari Electrical Co Ltd,"Narhari Electrical Company Limited, an importer, distributor, wholesaler, retailer and service provider of world renowned brand PANASONIC. 
We are a subsidiary of Harikisun Brothers Limited and have been in business for over 65 years. We specialize in digital audio & visual system, home appliances, health & beauty, communications, air conditioners and fans & ventilating fans.
Supported by the philosophy of providing the best to our customers through our highly qualified employees, we have finally established a win-win environment with our valued clients. We are your reliable partner to offer branded products with confidence.",Consumer Electronics,51-200 employees,Privately Held,"Naas, County Kildare, Ireland",Ireland,narhari.com.fj,https://www.linkedin.com/company/narhari-electrical-co-ltd
