Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Process Automation Solutions,"Process Automation Solutions (PA) and all associated member companies are now Orise.

Please find our LinkedIn at: https://www.linkedin.com/company/orise/",Industrial Automation,"1,001-5,000 employees",Public Company,"Little Island, County Cork, Ireland",Ireland,orise.com,https://www.linkedin.com/company/process-automation-solutions
PACIV,"PACIV partners with life sciences, utilities, and manufacturing organizations to design, build, and automate efficient operations. We're your one-stop shop for automation, controls, instrumentation, validation, and compliance.
 
From modernized infrastructure to custom new facilities, our platform-agnostic services cover you end-to-end. We can lead your entire project or subcontract, either way, your systems run like clockwork.
 
With nearly three decades of experience, we align with your culture, target your most pressing goals, and even fix errors left by other vendors.
 
Need a partner who does it all? You've found us. It's in our name: Process Automation, Controls, Instrumentation, and Validation.

With headquarters located in Indianapolis, Indiana, with a key engineering hub in Aliso Viejo, California, PACIV maintains a robust international footprint, with offices in Ireland and Puerto Rico. These strategic locations enable us to deliver consistent, high-quality automation solutions and support across global markets.",Industrial Automation,51-200 employees,Privately Held,"Little Island, County Cork, Ireland",Ireland,paciv.com,https://www.linkedin.com/company/paciv
BPX Electro Mechanical Co. Ltd,"We are BPX, 150+ dedicated, knowledgeable, and caring people, based in fifteen branches throughout the UK and Ireland, supplying customers worldwide with automation and control products.

For over 60 years, we have been proudly stocking, selling, supporting, and servicing automation and control components, devices, and solutions, operating as distributors for many of the world’s leading electrical, electronic, and pneumatic manufacturers, including Schneider Electric, Phoenix Contact, Weidmuller, Omron, and Mitsubishi Electric.

In line with our continued growth and commitment to serving customers across the UK, we are excited to announce the opening of our new Falkirk branch. This expansion strengthens our ability to provide local expertise, faster service, and dedicated support to businesses in Scotland, ensuring they have access to the best automation and control solutions available.

We are a technical distributor and pride ourselves on our ability to understand both our customers’ applications and the astonishing capabilities of the products we sell.

Our guiding principle is to Help to Choose and Help to Use, and we come to work every day to ensure that BPX customers have the most technically and commercially efficient solutions for their applications.",Industrial Automation,51-200 employees,Privately Held,"Dublin 24, County Dublin, Ireland",Ireland,bpx.co.uk,https://www.linkedin.com/company/bpx-electro-mechanical-co--ltd
Cathx,"Cathx Ocean is a subsea technology company specialising in the development of advanced lighting, imaging, and machine vision tools for subsea imaging, measurement, survey, construction, exploration and production operations. 
Our mission is to change how subsea imaging and measurement is performed today. This is achieved through unique and modern engineering and scientific expertise resulting in the world’s first true subsea camera and machine vision systems.
Our products designed specifically for subsea, allow AUV’s and ROV’s to capture high resolution image and telemetry data at greater ranges and speeds.  These include the first fully engineered subsea camera, a laser profiler with co registered still images and LED lighting systems with continuous and strobe capability.  

Cathx Ocean is ISO 9001:2008 certified.",Industrial Automation,51-200 employees,Privately Held,"Naas, County Kildare, Ireland",Ireland,cathxocean.com,https://www.linkedin.com/company/cathxocean
"Control Station, Inc.","With a customer base that spans nearly 70 countries and includes one-half of manufacturers listed in the Fortune 500, Control Station is the leading platform-independent provider of process analytics and optimization solutions. We make process optimization simple!",Industrial Automation,11-50 employees,Privately Held,"Roscrea, County Tipperary, Ireland",Ireland,controlstation.com,https://www.linkedin.com/company/control-station-inc-
CompuCal Calibration Solutions,"CompuCal Calibration Solutions is an engineering based calibration software development company. Building on our 30 years of calibration experience in the fields of Electrical, Mechanical and Instrumentation, we have set-up a software company to develop regulatory compliant software solutions for all types of manufacturing companies.

Our calibration software reduces complexity, time and cost associated with calibration activities across a range of industries including:

•  Life Science
•  Pharmaceutical
•  Food and Drink
•  Oil & Gas
•  Power Generation


The company has extensive knowledge in the areas of FDA/EPA requirements, CGMP operation environment and computer system validation.

Quality is a key goal of our company both on service provided and product development. We have received the ISO 9001:2008 accreditation for “the development, installation and support of our software applications for regulated industries”.

Our main area of expertise is in the provision of Calibration Management Software, configured to integrate into other systems and thereby offering a complete solution for our clients. CompuCal 6 is a web based application which allows us to supply solutions that can be provided as a local server solution (Intranet) or as a hosted solution (Internet).

CompuCal is a compliant calibration software solution which provides efficiencies for our customers by enabling them to
• Increase their calibration frequencies
• Integration to SAP or other ERP systems (which provide Management reporting for all assets)
• Integrates calibration and maintenance seamlessly
• Always audit ready
• Deliver operational excellence and calibration best practice

This solution is ideal for a variety of clients as it provides
• The ability to manage multiple sites in multiple locations
• Provides management team with real-time information on the performance of all assets in all locations",Industrial Automation,2-10 employees,Privately Held,"Little Island, County Cork, Ireland",Ireland,compucalcalibrations.com,https://www.linkedin.com/company/compucal-calibration-solution
ControlSoft Automation Systems Ltd,"Controlsoft is an automation software company. We offer control system results designed to meet your needs. We provide solutions for process control requirements and energy management across a broad range of industries such as: pharmaceutical, medical device, food and beverage, power and utilities, airfield lighting, building product and water treatment.",Industrial Automation,51-200 employees,Privately Held,"Dundalk, County Louth, Ireland",Ireland,controlsoft.ie,https://www.linkedin.com/company/controlsoft-automation-systems-ltd
YASKAWA UK & Ireland,"YASKAWA Electric Corporation is the leading global manufacturer of Industrial Robotics, Inverter drives, Servo drives, Servo motors, Machine controllers and Software. Founded in 1915, YASKAWA has been a pioneer in motion control and drive technology, launching product innovations, which optimise the productivity and efficiency of both machines and systems.

In over 100 years of history, YASKAWA products and solutions have helped to drive automation processes in many different industries such as mining, steel, machine tools, automotive, packaging, woodworking, textiles and semiconductors.

From its UK headquarters in Washington, YASKAWA UK provides professional mechatronic, robotics, drive, motion and controls solutions to companies throughout the UK and Ireland. With UK & Ireland sales, service & support offices and production facilities in UK & Europe ensuring that YASKAWA is always close to its valued customers, taking care of your automation needs.",Industrial Automation,51-200 employees,Public Company,"Athlone, County Westmeath, Ireland",Ireland,yaskawa.co.uk,https://www.linkedin.com/company/yaskawa-uk-limited
PSI - Pneumatics & Sensors Ireland,"Choosing Pneumatics & Sensors Ireland as your sourcing and supply partner for your industrial automation needs, and you’ll enjoy several benefits, including:

Multi-disciplined expertise – We have in-depth knowledge of all aspects of pneumatics, sensors, and more.

Access to all the world’s leading manufacturers 

Specialist product sourcing service – Our customer-driven approach means we pride ourselves on finding and supplying what you need, whatever it may be.

Rapid response time – We guarantee a same-day response to all queries.

Prompt delivery – We carry a wide range of stock and can deliver any such component from our warehouse to your site within hours. Most other components can be shipped from European storage facilities to your site within 24 hours.

Personal service – We pride ourselves on developing close relationships with regular clients and familiarising ourselves with their machinery and processes. This makes us uniquely placed to provide the best advice and service at times of upgrade, maintenance, or repair.",Industrial Automation,11-50 employees,Privately Held,"Carrick-on-Suir, County Kilkenny, Ireland",Ireland,psireland.ie,https://www.linkedin.com/company/pneumaticsandsensorsireland
Irish Door Systems Ltd,Our Passion is Manufacturing Innovative Door Solutions by using creative technologies which enable us to achieve groundbreaking advances in door production.,Industrial Automation,11-50 employees,Privately Held,"Little Island, County Cork, Ireland",Ireland,irishdoorsystems.ie,https://www.linkedin.com/company/irish-door-systems-ltd
