Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
GameChange Energy,"At GameChange Energy, we’re building the infrastructure that powers the clean energy future. Through our family of companies, we deliver smart, reliable solutions for utility-scale solar, energy storage, data centers, and other critical power applications around the world. From solar trackers and mounting systems to transformers, eBOS solutions, drone-based inspections, and customized infrastructure, our technologies are designed to help projects perform better, operate reliably, and scale with confidence. We combine engineering expertise with practical innovation to make clean energy more efficient, dependable, and accessible worldwide.",Renewable Energy Semiconductor Manufacturing,201-500 employees,Privately Held,"Dublin, County Dublin, Ireland",Ireland,,https://www.linkedin.com/company/gamechange-energy
SustainableFuture.io,"Sustainable Future is a boutique Business Advisory and Consulting Services company, with a specific focus on the Renewable Energy Industry in Ireland and UK.

We offer a wide range of services to both Domestic and International Clients and Investors 

OUR SERVICES 

Within the Sustainable Future Multi-Disciplinary Team, there is a broad cross-section of Industry Experience, including Property Developers, Investment Bankers, Civil & Mechanical Engineers, Sustainability Experts, Asset Managers, Data Scientists, AI Developers, Business Strategists   

Below is a brief overview of some of the Services and Solutions that we can provide. All business inquiries are welcome

1) Feasibility Studies
2) Land Acquisition
3) Project Funding
4) Project Management
5) Market Research
6) Business Development
7) B2B / B2C - Sales Strategies
8) Energy Efficiency Analysis
9) Systems Solutions Integrations
10) Business Plan Development
11) Asset Management
12) In-Country Product and Services Representation",Renewable Energy Semiconductor Manufacturing,2-10 employees,Privately Held,"Carrick-on-Shannon, County Leitrim, Ireland",Ireland,sustainablefuture.io,https://www.linkedin.com/company/sustainablefuture-io
EireGen Technologies,"EireGen Technologies will have the assets of technology licences in order to be able to manufacture components for the renewable energy market.
Specifically components for wind turbines and for high voltage conductors.
The markets are:
Europe, United States of America, Canada, Brazil",Renewable Energy Semiconductor Manufacturing,2-10 employees,Privately Held,Ireland,Ireland,eiregen.com,https://www.linkedin.com/company/eiregen-technologies
Premier Technology Engineering Ltd.,"Premier Technology supply high energy efficient Renewable Energy Heating Systems, using Heat Pumps, Underfloor heating, Aluminium Radiators and Smart Controls to Plumbers, Heating Installers and House Builders.

Our plastic manufacturing division produce injection moulded parts and products. We take projects from initial concept through design, prototyping, to setting up tooling and product manufacture.

Premier Technology also produces sub-contract injection moulded parts for outside companies.",Renewable Energy Semiconductor Manufacturing,2-10 employees,Privately Held,"Bandon, Cork, County Cork, Ireland",Ireland,premiertechnology.ie,https://www.linkedin.com/company/premier-technology-engineering
"WERC-2, Inc.","WERC-2, Inc. has developed a patent pending alternative fuel (EcoTac) that can be substituted for or co-fired with coal.  EcoTac has been tested by Standard Laboratories and consistently demonstrates that the BTU value is in excess of 13,000 while the sulfur, and chlorine levels are dramatically less than coal, and our fuel contains virtually no mercury.  The fuel can be inventoried just as is coal.  It’s odorless, leak-proof, and transportable.  Our manufacturing process has been designed to generate 30 to 50 tons per hour with quality systems that insure that EcoTac meets client specific requirements.  The process is designed so the fuel can be delivered at a price equal to or less than average coal prices.",Renewable Energy Semiconductor Manufacturing,2-10 employees,Privately Held,"Listowel, County Kerry, Ireland",Ireland,werc-2.com,https://www.linkedin.com/company/werc-2-inc.
SmartTrace Ltd.,"SmartTrace empowers innovative companies to reach their sustainability potential... and make money in the process. We are visionaires, innovators enabling circular economy to companies worldwide, with standard success rate of 60-70% waste turned into products.",Renewable Energy Semiconductor Manufacturing,2-10 employees,Privately Held,"Dublin 7, County Dublin, Ireland",Ireland,,https://www.linkedin.com/company/smarttrace-software
Zephair Ltd.,"Zephair air tightness testing systems is a company that develops, designs, manufactures and brings to the market the Zephair Pre-Pro.

This is a device, installed typically into the window opening of a building, which has been designed to be air tight and which prior to being fully tested with a calibrated professional series fan in accordance with building regulations/code can be used to determine the location and severity of leaks within the formed air tight layer by under pressurising the building.

During the under-pressurisation operation of the device leaks can be found and remediated.

This empowers the builder to minimise the potential of the building falling the full test and will save them valuable time and money to have the building presented in the best possible fashion to their clients and other building professionals for the purpose of the test.",Renewable Energy Semiconductor Manufacturing,2-10 employees,Privately Held,"Carlow, County Carlow, Ireland",Ireland,,https://www.linkedin.com/company/zephair
Cian Conroy Consulting Ltd,"CCC is a commercial and innovation consultancy serving the renewables sector across Ireland and the UK. Building on extensive experience in the areas of business development, public funded research and innovation support CCC provides support to SMEs, OEMs and Developers to access new markets, leverage external funding and deliver novel energy related projects. Experience to date include:
- Providing strategy and commercial support to a portfolio of supply chain companies from the engineering and energy sectors.
- Establishing the UK’s offshore wind Centre of Excellence for operations and maintenance. This £2 million collaboration between the Offshore Renewable Energy (ORE) Catapult and the University of Hull works in partnership with industrial partners to deliver new research, technologies and process to the growing operational fleet of turbines located around the UK.
- Advising the UK Government’s Offshore Wind Cost Reduction Task Force on requirements for supporting SMEs in the offshore wind sector.
- Convening and delivering Joint Industry Projects  - such as the Floating Wind Joint Industry Project: Policy & Regulatory Appraisal
- Securing and delivering multiple research and demonstration projects for the offshore wind sector, supporting development of innovative technologies for offshore wind developers, turbine OEMs and SMEs with funding from the EU, UK and Scottish Governments.
- Development of market entry and commercialisation strategies for SMEs and leading tier one suppliers in the offshore wind sector. 
- Delivering the world’s first technology demonstration platform ‘CLOWT’ for new technologies in a large MW offshore wind turbine. 
- Delivering multiple research and policy papers on floating wind and ancillary markets.",Renewable Energy Semiconductor Manufacturing,2-10 employees,Privately Held,"Galway, County Galway, Ireland",Ireland,,https://www.linkedin.com/company/cian-conroy-consulting-ltd
Energy Saver Solutions,"Established to provide Building Energy Ratings for domestic housing markets.
Domestic energy advisors, expert at reducing energy costs and improving comfort levels.
Advisory and project management for solar and bio-mass installations.",Renewable Energy Semiconductor Manufacturing,2-10 employees,Privately Held,"Limerick, County Limerick, Ireland",Ireland,switchsmart.ie,https://www.linkedin.com/company/energy-saver-solutions
Miller Engineering Consultants,Established in 2020. we are a small engineering consultancy with a mission to help businesses and homeowners decarbonise and save money on energy bills.,Renewable Energy Semiconductor Manufacturing,Self-employed,Self Employed,"Dublin, County Dublin, Ireland",Ireland,,https://www.linkedin.com/company/miller-engineering-consultants-ireland
