Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Vodafone Business,"Vodafone Business is part of the Vodafone Group. We help businesses of every size to embrace positive change through digital communications technologies - today, tomorrow and into the future.

We work with the world's largest multinational companies, fast growing enterprises, Government teams, ambitious start-ups and small businesses around the world.

We can provide services globally, regionally and locally – mobile, fixed, unified communications, Internet of Things (IoT) and cloud and security - connecting the people, places and things that matter to businesses – wherever they are.

#TogetherWeCan",Telecommunications,"10,001+ employees",Public Company,"Dublin 18, County Dublin, Ireland",Ireland,vodafone.com,https://www.linkedin.com/company/vodafone-business
OptiWi-fi,"OptiWi-fi delivers unique optimization solutions for Wi-Fi networks experiencing congestion at hotspots such as stadia, airport and conference venues. Also in dense urban areas where there are a huge number or users demanding wireless video and data.  Our technology comes from 14 years of research and innovation into Wi-Fi optimization.

Come visit us at MWC 2015 - Irish Pavilion – Enterprise Ireland - Hall 7F70",Telecommunications,2-10 employees,Privately Held,"Dublin 2, County Dublin, Ireland",Ireland,optiwifi.com,https://www.linkedin.com/company/optiwi-fi-ltd
FocusPlus,"FocusPlus is a privately owned independent company founded in Switzerland in 2000, with offices in Ireland, Australia and Switzerland.
We are a specialist company dedicated to the provision of planning and design services.
Our independence ensures we provide the tailored service’s that best suits our Client’s needs.
 In our 15 years of operation we have a gained a reputation for delivering a quality cost effective product, whilst providing outstanding customer service. This is down to the experience and quality of our people, coupled with our process driven approach to our work.
 Our international exposure allows us to draw on different market approaches and use this experience to tailor our services to best meet the demands of our Client’s.
Our people are our greatest asset and cornerstone of our business. We value the knowledge, experience, and expertise they bring. We strive to provide an environment that encourages teamwork, allows professional and personal growth and supports a good work/life balance.
We employ experienced and qualified personnel with a diverse range of skills, knowledge and cultural backgrounds, who share a commitment to delivering a quality cost effective product, whilst providing outstanding customer service.
We are proud of the fact that we have long-standing employees and are fortunate to have ex-employees who now provide freelance services from various parts of the world.
As an organisation we share a common set of principles that form the basis of the core values of the FocusPlus business:
•Delivering Customer requirements and satisfaction is of the highest priority
•We work together as a team and alongside our Customers to achieve continual improvement to provide the best service to our Customers
•Proactivity is important to providing informed solutions and maintaining delivery deadlines
Services:
Real Estate Management
Quality Audits Services
Telecommunications Services
Architecture and Design Services
Civil Engineering",Telecommunications,11-50 employees,Privately Held,"Dublin 14, County Dublin, Ireland",Ireland,focusplus.ch,https://www.linkedin.com/company/focusplus
Vmobile Ltd.,"A Vodafone Business Partner, that specialises in Total Telecoms.

We are active nationally; bringing cost saving and analysis for business customers, in both mobile and fixed line services. 

Talk to us today, we aim to cut your costs and provide more efficient solutions for your company!",Telecommunications,2-10 employees,Privately Held,"Little Island, County Cork, Ireland",Ireland,vmobile.ie,https://www.linkedin.com/company/vmobile-ltd.
Ciscom Technology Ltd,"Ciscom Technology Ltd was founded in 1996 with the single aim of providing customers with a professional IT Infrastructure Systems and associated services.  Ciscom’s core business is in the field of Cabling Infrastructure Systems; hence our focus on ICT provides us with a competitive edge over other traditional electrical and communication companies.  Ciscom are an authorised installer for ADC KRONE, one of the world’s leading manufacturers of telecommunications and structured cabling systems.  As a result, staff are certified IT professionals with authorised industry accreditations e.g. BICSI – RCDD (Registered Communication Distribution Designer).  

Our customers include companies in the financial, medical, manufacturing, retail, consumer and government sectors in Ireland and the UK.  We continue to work closely with consultants, IT professionals, electrical and civil engineers and project management teams.  Ciscom is affiliated to BICSI and RECI.

Ciscom holds ISO 9001:2015, ISO 22301:2012 and OHSAS 18001:2007 certifications.",Telecommunications,2-10 employees,Privately Held,"Dublin 12, County Dublin, Ireland",Ireland,ciscom.ie,https://www.linkedin.com/company/ciscom-technology-ltd
Apache Optics Europe Limited,"The Apache Optics Group is a key player in the global generic optics market as well as being a supplier of other fibre related products within the telecoms, data and cloud computing sectors.

Headquartered in Dublin, Ireland, the Group also has offices in Johannesburg, South Africa and Warsaw, Poland. The Group services both direct clients and distributors and has an envious client list across 20 countries. 

The Apache Optics Group is committed to providing clients with unrivalled levels of service and commercial offerings. Our robust supply chain brings our clients an efficient and effective service level coupled with excellent pricing. Our technical expertise ensures we provide the best performing hardware solutions for the telecoms and data marketplace. We have strong commercial relationships with the world's leading manufacturers and solutions providers and we ensure we bring this quality and commitment to our ever-expanding client base.",Telecommunications,2-10 employees,Privately Held,"Dun Laoghaire, County Dublin, Ireland",Ireland,apacheoptics.com,https://www.linkedin.com/company/apache-optics-europe-limited
Cinergy Ltd,"Cinergy provides renewable energy and fuel-efficient power solutions to the telecommunications industry.  These solutions support significant operational cost reductions to the provision of power to telecoms installations.

We offer a range of solutions which can incorporate wind turbines, solar panels, deep-cycle batteries, fuel-efficient generators, grid-tied technologies, remote management and specialised turbine structures.",Telecommunications,11-50 employees,Privately Held,"Carlow, County Carlow, Ireland",Ireland,cinergy.ie,https://www.linkedin.com/company/cinergy-ltd_2
Voice & Data Solutions,"Voice & Data Solutions is an Irish telecoms consultancy company with a unique approach to delivering telecoms projects. We offer clients a fully managed telecoms solution incorporating their voice service, internet service and phone system We then manage your entire telecoms infrastructure over an agreed contract period.

We guarantee the availability and scalability of services and manage all faults and fault escalations enabling our clients to concentrate on their own core business.",Telecommunications,2-10 employees,Privately Held,"Dunboyne, County Meath, Ireland",Ireland,voicedatasolutions.net,https://www.linkedin.com/company/voice-&-data-solutions
Cab Call Communications Limited,"Cab Call Communications Ltd. is a start up communications company who have developed a patented system called WINI (When I Need It, Where I Need It). Wini is a location based software system developed for the transport industry which can be accessed via phone, web or app. The pilot project for testing the system will begin with the Taxi industry in Dublin. Testing will begin June 2010. On successful completion WINI will be rolled out internationally.",Telecommunications,2-10 employees,Privately Held,"Blackrock, County Dublin, Ireland",Ireland,cabcall.ie,https://www.linkedin.com/company/cab-call-communications-limited
MTech Irish Radio Communications,"Irish Radio Communications Limited (IRCL) is a leader in supplying, installing and servicing  two way radio equipment particularly for commercial and semi state bodies.

Formed in 1998, IRCL set out to provide communication solutions by providing the best products and service in the 2-way radio industry.

We supply radio systems to: colleges, schools, construction sites, security, parks, pharmaceutical, as well as many other types of businesses.",Telecommunications,2-10 employees,Public Company,"Dublin 12, County Dublin, Ireland",Ireland,ircl.ie,https://www.linkedin.com/company/mtech-irish-radio
White Line Networks,White Line Networks are a networking company offering wired and wireless broadband solutions to residential and commercial customers. Now offering fully licensed CCTV services.,Telecommunications,2-10 employees,Public Company,"Dundalk, County Louth, Ireland",Ireland,,https://www.linkedin.com/company/whiteline-networks
Brigaid Networks,BrigaidNet is dedicated to redefining telecommunication with Free Space Optical (FSO) solutions.,Telecommunications,2-10 employees,Self Employed,"Dublin, County Dublin, Ireland",Ireland,brigaidnet.com,https://www.linkedin.com/company/brigaidnet
