Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Elsevier,"We deliver mission-critical insights and tools for impact makers worldwide. Advancing human progress by providing solutions for better outcomes, global outreach, and stakeholder engagement. 

Let's shape progress together.",Information Services,"5,001-10,000 employees",Public Company,"Amsterdam, North Holland, Netherlands",Netherlands,elsevier.com,https://www.linkedin.com/company/elsevier
Nolletch cyber security awareness,"New cyber security awareness training through an intuitive personalized app.  
* Gamified learning
* Personalized learning environment
* Covering all ISO 27001/NIST topics
* Content up to date, in line with security threats
* Ai use for customization",Information Services,2-10 employees,Partnership,"Utrecht, Utrecht, Netherlands",Netherlands,nolletch.eu,https://www.linkedin.com/company/nolletch-cyber-security-awareness
EUSE,NGO,Information Services,"10,001+ employees",Non Profit,"Rotterdam, South Holland, Netherlands",Netherlands,euse.org,https://www.linkedin.com/company/euse
incidentoefening,"Interactieve scenario's
Met ons intuïtieve en interactieve platform kunt u zelf heel eenvoudig scenario's ontwikkelen rond uiteenlopende incidenten, calamiteiten en crises. In uw eigen scenariowerkplaats vindt u alle tools om zelf scenario's te maken of om samen te werken met uw collega's uit andere organisaties.
U kunt uw scenario's delen met andere organisaties door een samenwerkingsverband te beginnen en een gezamenlijke bibliotheek te onderhouden.
Scenario's kunnen eenvoudig en kort zijn, maar ook complex met verschillende verhaallijnen en meerdere dagen omvatten. Als u het kunt bedenken kan de scenario designer het maken.
In iedere stap van het scenario en bij ieder inject kunt u volop beeld, video en geluid inzetten. In de mediatheek staat al het gezamenlijke multi-media materiaal.

Table top oefeningen
U kunt incidenten, calamiteiten en crisissituaties als table top oefening naspelen en de gevolgen van uw beslissingen ervaren zonder dat er echte noodsituaties zijn. Oefeningen kunnen kleine boardroom meetings zijn met enkele deelnemers, maar ook grote meerdaagse nationale veiligheidsoefeningen met meerdere veligheidsregio's of maatschappelijke sectoren.
Oefeningen zijn flexibel bij te sturen. De oefenleider is altijd 'in control' en houdt overzicht over het scenario en de oefening. Tegenspelers kunnen nieuwe injects maken en reageren op de ontwikkeling van het spel.
Incidentoefening biedt u alle benodigdheden om samen met uw netwerkpartners scenario's te ontwikkelen en oefeningen te organiseren om daarmee de onderlinge samenwerking op peil te houden.",Information Services,2-10 employees,Privately Held,"Rotterdam, South Holland, Netherlands",Netherlands,incidentoefening.nl,https://www.linkedin.com/company/incidentoefening
PLINQ BV,"PLINQ is een onafhankelijke serviceprovider actief in heel Nederland. Al ruim 15 jaar leveren wij diensten als internet, telefonie en televisie aan zowel particulieren, bedrijven en instellingen.
Glasvezel en meer..

PLINQ levert internetverbindingen op basis van glasvezel op verschillende glasvezelnetwerken zoals die van KPN/Reggefiber, SKV Veendam, CAI Harderwijk en KT Waalre. Heeft u glasvezel in huis? Dan is PLINQ de beste keuze voor u!

Met PLINQ kunt u altijd genieten van het snelst mogelijke internet, voordelige telefonie en televisie via de glasvezelverbinding. PLINQ biedt maximale keuzevrijheid. U kiest zelf uit verschillende combinaties van internet, televisie en telefonie. Precies zoals het bij uw situatie past. U wilt meer sport op uw televisie? Of bent u een filmliefhebber? Bij ons kunt u kiezen uit verschillende themapakketten. En meer! Als u nog meer zenders wilt dan kan dat, bij PLINQ. Want bij PLINQ staat niet het aanbod centraal, maar uw kijkerswens.",Information Services,11-50 employees,Privately Held,"Dalfsen, Overijssel, Netherlands",Netherlands,plinq.nl,https://www.linkedin.com/company/plinq-nl
Gezond Sportklimaat,"De sport professionaliseert en dat heeft als consequentie dat er steeds meer bij komt kijken als het gaat om belasting. Ben je in de leeftijdsfase tot 16 jaar, dan moet je voorzichtig zijn. Niet voor niets zien we een toename in het aantal blessures. Het project ‘Een fysiek en mentaal gezond sportklimaat voor 10-16 jarige talentvolle sporters’ is er daarom op gericht om het aantal blessures bij 10 tot 16-jarige sporters terug te dringen. Daarbij wordt ingezet op de sporten volleybal, basketbal, turnen en judo.

Zowel op het gebied van de inhoud van de trainingen als aan de mentale kant worden via het project verbeteringen toegepast. Via maandelijkse monitoring wordt gekeken wanneer de sporters beginnen te groeien en daar wordt hun programma vervolgens op aangepast. Op het moment dat je in de groeifase hard blijft trainen, is de kans op blessures namelijk groot. Dit wordt op basis van de data ook weer met de coaches afgestemd.

Ook wordt met de coaches gekeken naar het wedstrijdprogramma en trainingen. Aangezien je in sporten als turnen en judo weinig wedstrijden hebt, is een mentale aanpassing ook vereist. Dan moet er worden nagedacht over het pieken op latere leeftijd. Een doel is om de coaches dat te leren én om ze te leren om anders te gaan denken. Het uiteindelijke doel van het project is het verminderen van stress, want dat ontstaat door te grote fysieke en mentale belasting.",Information Services,2-10 employees,Government Agency,"Nijmegen, Gelderland, Netherlands",Netherlands,han.nl,https://www.linkedin.com/company/gezondsportklimaat
Nederland Rusland Consultants (NRCO),"Nederland Rusland Consultants (NRCO) offers a wide array of services to companies who are interested to explore the immense possibilities of the Russian market. 
In the same vein we are very pleased to assist Russian companies who are about to enter the Dutch (or West European) markets, investments and industries.

The services we offer include: Market research (consulting and advice), Partnerselection and Matchmaking, General representation, Business trips, All-inclusive legal advice, Governmental Subsidies consulting, General marketing campaigns (media, advertising, copywriting etc). We are set to help you with conference organization, interactive and traditional workshops and seminars at the best venues in The Netherlands and Western Europe or Russia (including Key-note speakers selection, operational routine management, etc). Apart of the traditional Business-to-business (B2B), business-to-consumer (B2C) and business-to-government (B2G) fields of conference producing utilized for enhancing communication and collaboration among the most influential industry peers with a stress on the new role of social media, we cover also the Not-for-profit (NPO) and Academic spheres of activity as well.

           We are very excited to provide various distance-learning as well as ""traditional classroom"" language-training courses (including personally-tailored ""Business-language"" courses). We are highly experienced in supplying the competitively priced translation/localization services (we work with all major World languages and cover nearly every field of industry, economy, legal issues and culture). We also work with subtitling projects as well as voice-over assignments. 

We work in cooperation with reliable partners in BeNeLux and Russia
(CIS) and can boast of nearly a decade of successful business operations at all levels of complexity.
To find out more concerning the complete list of our services please do not hesitate to contact us at your easiest convenience.",Information Services,2-10 employees,Privately Held,"Gasselternijveen, Drenthe, Netherlands",Netherlands,nrco.nl,https://www.linkedin.com/company/nederland-rusland-consultants-nrco-
Budget-Nu,"Grip op je financiën hebben is meer dan alleen goed budgetteren. 

Budget-Nu geeft twee middelen om de controle over financiën te krijgen: een budgetteringstool en een e-learning bestaande uit korte video's van budgetteren, toeslagen, tips bij belastingaangifte, schulden, schuldhulp en meer.

Kijk op www.budget-nu.nl!",Information Services,Self-employed,Self Owned,"Bergen, North Holland, Netherlands",Netherlands,budget-nu.nl,https://www.linkedin.com/company/budget-nu
Jongeren Informatie Punt Amsterdam-Noord,"JIP Noord

Bij het Jongeren Informatie Punt Amsterdam-Noord kan je gratis, anoniem en zonder afspraak informatie en advies krijgen. Voor jongeren tussen de 12 en 27 jaar die opgroeien, naar school gaan of werken in Amsterdam-Noord. 

Geopend maandag tot en met vrijdag (Termini 22).
Dinsdag en donderdag inloopspreekuur. De rest van de week op afspraak.

Je kunt binnenlopen tijdens openingstijden en direct je vraag stellen aan een van onze medewerkers.

Je kunt ook je vraag stellen via Whatsapp: 06-23260849.",Information Services,2-10 employees,Government Agency,"Amsterdam, North Holland, Netherlands",Netherlands,jipnoord.nl,https://www.linkedin.com/company/jip-noord
Quantabay Inc.,Quantabay Inc (Quantabay.com) is today's leading online global network for consumers and moving companies to come together. We are a B2B2C service providing company who provides efficient and mutually beneficial partnership between consumers and movers of the moving industry and non-shipping related companies - which would like to serve them.,Information Services,11-50 employees,Privately Held,"The Hague, South Holland, Netherlands",Netherlands,,https://www.linkedin.com/company/quantabay-inc.
