Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Fastned,"We are a group of ambitious, passionate people, driven to accelerate the energy transition and improve sustainable mobility. We currently have a network of 350+ reliable fast charging stations along highways, inside cities, and across prime European locations, completely powered by renewable energy and good vibes. 

Our passion for electric mobility is charged with our mission and responsibility to reduce our carbon emissions and combat climate change. We are proud to be B-Corp certified and actively combine sustainability with fast charging in every part of our business. 

As you scroll down our LinkedIn page, you'll get a taste of the company behind the canopy and learn more about who we are through business updates, company reports, and team testimonies. 

If you like what you see, or you want to be a part of Fastned, drop us a message or check out our Career page to learn more. 

See you there",Renewable Energy Semiconductor Manufacturing,201-500 employees,Public Company,"Amsterdam, North Holland, Netherlands",Netherlands,fastnedcharging.com,https://www.linkedin.com/company/fastned
CirQulus,"Samen verduurzamen. Voor onszelf, maar ook voor de komende generaties. CirQulus is een onze-stop-shop voor verduurzamen. Of het nu gaat om duurzame mobiliteit, je woning of bedrijfspand verduurzamen of een duurzamere levensstijl. Wij hebben een fysieke showroom in Alkmaar.",Renewable Energy Semiconductor Manufacturing,2-10 employees,Public Company,"Alkmaar, North Holland, Netherlands",Netherlands,cirqulus.nl,https://www.linkedin.com/company/cirqulus
Bor Borren Permacultuur,"Gespecialiseerd landschap architect voor tuinen, landgoederen en agrarische gronden met behulp van permacultuur.",Renewable Energy Semiconductor Manufacturing,Self-employed,Self Employed,"Rekken, Gelderland, Netherlands",Netherlands,borborren.nl,https://www.linkedin.com/company/bor-borren-permacultuur
Solaire PV,"Solaire PV is opgericht in 2011 en verkoopt eersteklas zonne-energiesystemen en materialen. Sinds 2011 heeft Solaire PV meer dan 80.000 zonnepanelen geleverd en/of geïnstalleerd in Nederland, Duitsland en Zuid-Europa. Solaire PV richt zich op de professionele en op de particuliere markt. Beide profiteren van het aantrekkelijk en met zorg samengestelde assortiment. De sterke positie richting groothandel maakt het mogelijk om zeer concurrerend in te kopen.",Renewable Energy Semiconductor Manufacturing,2-10 employees,Privately Held,"Woerden, Utrecht, Netherlands",Netherlands,solairepv.nl,https://www.linkedin.com/company/solaire-pv-b-v-
RiTS Solar B.V.,"RiTS Solar B.V. based in Netherlands provides solar modules with premium quality and also reliable service of solar system engineering, integration, operation and maintenance. RiTS is a joint venture of RITEK and TSEC that both are professional solar companies in Taiwan. All solar products supplying from RiTS are made-in Taiwan by two parent companies.

RITEK is the Top One optical storage media company in the world with more than 6000 employees worldwide, established in 1988 and has been listed in stock market more than 25 years. Not only RITEK offers the perfect storage solution for portable digital devices, but also takes a lead of industry trend. In the meanwhile, RiTEK has been devoting into Green industry especially in photovoltaic products, including c-Si, BIPV, solar system, LED lights and so on. RiTEK provides a wide variety of solar panels which have been supplied to Europe, Japan, Asia, US, and Middle East.

TSEC was established in 2010 and has been dedicating into high efficiency crystalline solar cell supply and system integration. By the end of 2017, TSEC's capacity is expected to reach up to 1.5 GW for solar cell production and becomes one of the most competitive solar manufacturer TSEC state-in-the-art solar cells have been supplied to well-know module brands in Europe, Japan, Asia and Middle East. With the most advantage technology, TSEC's mono c-Si solar cell achieves high efficiency 21% that contributes 360W panel.",Renewable Energy Semiconductor Manufacturing,2-10 employees,Privately Held,"Ridderkerk, South Holland, Netherlands",Netherlands,rits-solar.com,https://www.linkedin.com/company/rits-solar-b-v-
Nova Energy Recruitment,"Welkom bij Nova Energy Recruitment. Dé specialist op het gebied van werving & selectie, executive search en detachering van ervaren professionals in de duurzame energie sector. Door ons uitgebreide netwerk zijn wij in staat om in korte tijd opdrachtgevers aan kandidaten te matchen.

Ons netwerk van professionals zijn onder meer in de volgende vormen van duurzame energie actief:

    Windenergie
    Zonne-energie
    Energie uit water
    Geothermische energie

Tevens beschikken wij over een uitgebreid netwerk van professionals die actief zijn met duurzame vraagstukken en duurzaam beleid bij zowel bedrijven en overheden.

Nova Energy Recruitment richt zich hoofdzakelijk op ervaren professionals met een technische en/of leidinggevende achtergrond. Ons netwerk hierin is dan ook ongeëvenaard. Wij vertellen u graag meer over de mogelijkheden.",Renewable Energy Semiconductor Manufacturing,2-10 employees,Self Employed,"Amsterdam, North Holland, Netherlands",Netherlands,,https://www.linkedin.com/company/nova-energy-recruitment
Solarbird,"Solarbird is a full service solar energy company for residential customers. Founded in 2012, the team currently consists of 22 solar experts. Our mission is to make solar energy attractive for home owners.",Renewable Energy Semiconductor Manufacturing,11-50 employees,Privately Held,"Utrecht, Utrecht, Netherlands",Netherlands,solarbird.nl,https://www.linkedin.com/company/solarbird
BCycle Solutions BV,"Naast de succesvolle en internationaal bekroonde SecuBike fietstrommel leveren wij, als eerste in Nederland, ook volledige fietsenstalling automatisering voor Betalen, Verwijzen en Registreren gebaseerd op ""state of the art"" RFID technologie. Wij ontwikkelen de hard- en software in eigen beheer en volledig conform de ISO standaard. Deze slimme combinatie van bewezen technieken, op basis van de RFID fietstag, ontzorgt u compleet.

De RFID fietstag is dé oplossing in betaalde en gratis fietsenstallingen voor Betalen-, Registratie- en Verwijzen.

De RFID fietstag, ook wel fiets-chip of fietschip genoemd, van BCycle Solutions BV is dé moderne en efficiënte oplossing voor het beheer van uw fietsenstalling. Labels aanbrengen, barcodes scannen, persoonlijke controles: het wordt allemaal overbodig! De RFID fietstag van BCycle Solutions BV is dé moderne en efficiënte oplossing voor het beheer van uw fietsenstalling. Met de gebruiksvriendelijke RFID fietstag gaat alles geautomatiseerd. Het is zelfs mogelijk de fietsenstalling onbemand te laten werken, 24 uur per dag, zeven dagen in de week! Het resultaat: een zéér efficiënte fietsenstalling met tevreden klanten en tevreden beheerders.",Renewable Energy Semiconductor Manufacturing,11-50 employees,Privately Held,"Deventer, Overijssel, Netherlands",Netherlands,bcycle.nl,https://www.linkedin.com/company/bcycle-solutions-bv
The Shift,"A NEW ERA: FUELED BY HOPE AND POWERED BY TECHNOLOGY

We believe the world is on the verge of a (cosmic) shift.

The past decades were dominated by fear, driven by media and amplified by people focusing on the negative. Generalizing groups and to divide, seemed to give people a false feeling of comfort.

A turning point in perception is upon us. We are entering a new era where positive goals unite people. The focus shifts from emphasizing on problems to looking for actual solutions. Our quest for a better world is fueled by hope and powered by ground breaking technologies. The new generations are willing to contribute to a better world and alter existing habits. We are entering a decentralized world where new economies rise and art, creativity, spirituality and freedom are considered to be more important than the spiraling focus on what's negative. We feel the need to do something, truly put our minds together and discuss ideas, solutions.

Singularity is around the corner. Machine learning enables processes to be automated exponentially. For the past century, technology made our lives more comfortable. In the next decades technology can actually help making the planet a better, sustainable place to live.

The Shift is a movement and will be an event where likeminded people share visions. A gathering where specialists of subjects like decentralized economies, medical break-troughs, smart power solutions and climate change share knowledge on how technology will make our world a better place to live in.

#jointheshift",Renewable Energy Semiconductor Manufacturing,2-10 employees,Non Profit,"Landsmeer, North Holland, Netherlands",Netherlands,theshift.nl,https://www.linkedin.com/company/jointheshift
Energielabel voor uw bedrijf,Energielabelvooruwbedrijf.nl voorziet bedrijfspanden in héél Nederland van een EPA-U energielabel. Dit doen we met een team van ervaren energieadviseurs. Al onze adviseurs zijn gecertificeerde EPA-U adviseurs. Als bedrijf zijn we volledig BRL 9500 gecertificeerd. - Binnen 1 week uw energielabel. - Door héél Nederland. - Vaste lage prijzen. - Volledig BRL 9500 gecertificeerd.,Renewable Energy Semiconductor Manufacturing,11-50 employees,Privately Held,"Veenendaal, Utrecht, Netherlands",Netherlands,energielabelvooruwbedrijf.nl,https://www.linkedin.com/company/energielabelvooruwbedrijf
