Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
EUSPA - EU Agency for the Space Programme,"The EU Agency for the Space Programme (EUSPA) provides safe and performant space services, enabling synergies, EU innovation, sustainability, and security.

To achieve this, EUSPA manages the Galileo and EGNOS programmes, develops markets for Copernicus services and data, is involved in secure satcom (GOVSATCOM & IRIS2), and carries out work in various areas targeted at Security, Research and Development and increasing space’s contribution to the EU Market. The Agency is also responsible for the security accreditation of all the components of the EU Space Programme. EUSPA also operates the #EUSST Front Desk, protecting more than 400 satellites from the risk of collision with space debris or other operational satellites.

EUSPA, staffed with skilled professionals bringing relevant experience from the public and private sectors, is unique in contributing to one of the most important and ambitious projects ever undertaken by the EU. We are committed to implementing the EU Space Programme and turning the EU space ambitions into a reality.",Space Research and Technology,201-500 employees,Government Agency,"Noordwijk-Binnen, South Holland, Netherlands",Netherlands,,https://www.linkedin.com/company/euspa
ESA Technology,"When the majority of new missions at the European Space Agency (ESA) are envisioned, the technology that will make them possible does not even exist – yet. It is the job of ESA’s Directorate of Technology, Engineering and Quality (TEC) to identify the required enabling innovations, make them real and bring them up to the needed level of performance and reliability so that the right technology is ready at just the right time.",Space Research and Technology,"1,001-5,000 employees",Government Agency,"Noordwijk-Binnen, South Holland, Netherlands",Netherlands,esa.int,https://www.linkedin.com/company/esatechnology
S[&]T,"At S[&]T, we are committed to creating a safer life on earth by transforming space data into valuable and actionable insights. We manage data throughout the entire process, from instrument to application. We apply our expertise within our software frameworks, information products and consultancy. 

Our society relies on space and scientific instruments for crucial services we all use in our daily lives like climate change monitoring, navigation, defence and national security. These instruments generate a vast amount of complex data, and our mission is to unlock its value. 

With over two decades of expertise in instrument calibration, data quality monitoring tools, real-time data processing frameworks and the development of application-specific algorithms, we empower organisations, governments and industries to strengthen their information position and enhance decision-making. We specialize in the following domains: Space & Science, Defence & Security, Environment & Sustainability, and High-Tech Consulting.",Space Research and Technology,51-200 employees,Privately Held,"Delft, South Holland, Netherlands",Netherlands,stcorp.nl,https://www.linkedin.com/company/science-&-technology
ESA Navigation,"From power grids and financial transactions to aviation, road, rail & maritime transport; satellite navigation is the backbone of our interconnected world and the largest downstream space market. ESA Navigation has pioneered satnav since the 1980s, propelling Europe to the forefront of global navigation.

ESA’s Navigation Directorate leads the design, development and qualification of the EU programmes Galileo and EGNOS and is entrusted with R&D activities for their future through Horizon Europe.

With FutureNAV, ESA Navigation responds to the rapidly growing needs for more ubiquitous, resilient and reliable positioning, navigation and timing (PNT) through demonstrator missions such as Celeste and Genesis.

The Navigation Innovation and Support Program (NAVISP) is a public funding initiative and key enabler for European innovation and industrial competitiveness in PNT systems beyond satellite navigation.

Follow us for the latest news and collaboration opportunities from ESA's Directorate of Navigation.",Space Research and Technology,"501-1,000 employees",Government Agency,"Noordwijk-Binnen, South Holland, Netherlands",Netherlands,esa.int,https://www.linkedin.com/company/esa-navigation
Spherical,"Full-stack space electronics.
Spherical creates silicon and electronic systems for space power and control.",Space Research and Technology,11-50 employees,Privately Held,"Rotterdam, South Holland, Netherlands",Netherlands,,https://www.linkedin.com/company/spherical-si
SPHERICAL,"SPHERICAL is an industry leader in the design of dedicated semiconductors and uses them to build electronic subsystems for aerospace, starting with satellites. By designing semiconductors faster and more efficiently, we make satellite subsystems that solve the customer pain by being able to source subsystems that are deeply software configurable while at the same time being highly-reliable for space. We enable satellite integrators to move faster in their design and assembly while removing project risk.",Space Research and Technology,11-50 employees,Privately Held,"Rotterdam, South Holland, Netherlands",Netherlands,spherical-systems.com,https://www.linkedin.com/company/spherical-systems
ESA Advanced Concepts Team,Our mission is to prepare ESA for disruptive change brought about by emerging advanced concepts and technologies.,Space Research and Technology,11-50 employees,Government Agency,"Noordwijk-Binnen, South Holland, Netherlands",Netherlands,esa.int,https://www.linkedin.com/company/esa-advanced-concepts-team
Tumbleweed,"Space is the next frontier for groundbreaking innovation, but outdated certification processes are holding humanity back. We’re changing that.

At Tumbleweed, we believe human ingenuity should flourish in space for the benefit of life on Earth. However, for most industries, the path to orbit is blocked by staggering lead times, manual certification requirements, and unit economics that make scaling impossible. While weightlessness enables 10x faster drug discovery and more efficient semiconductors, 99% of the market is currently locked out by the sheer complexity of getting there.

We are building the logistics layer for the Low Earth Orbit (LEO) economy. By radically simplifying the path to space through a revolutionary combination of tech and services, we allow Earth-bound industries to leverage the benefits of microgravity without needing specialized space expertise. Our customers write 10,000x less documentation and need to do 40x fewer tests, allowing industries across biotech, advanced materials, and space systems to leverage microgravity 10x cheaper and 5x faster than ever before.

We’re not selling a vision. We’re shipping hardware. Oasis Alpha, our first mission, is sold out and launching soon.",Space Research and Technology,11-50 employees,Privately Held,"Delft, South Holland, Netherlands",Netherlands,,https://www.linkedin.com/company/tumbleweed-microgravity
Lunar Zebro,"World's smallest and lightest rover yet, built by TU Delft students to be sent to the Moon.",Space Research and Technology,11-50 employees,Non Profit,"Delft, South Holland, Netherlands",Netherlands,zebro.space,https://www.linkedin.com/company/lunarzebro
Da Vinci Satellite,"The Da Vinci Satellite is a student team from the faculty of Aerospace Engineering at the TU Delft working on an educational satellite project. The main goal of the project is to enthuse and inspire children (primary/high school) in the Netherlands about space and engineering by giving them a hands-on experience with real satellite data provided by a satellite that is built and tested by ourselves. If you would like to read more about our project, we encourage you to visit our website! For further questions, you can always contact us at davincisatellite@tudelft.nl",Space Research and Technology,51-200 employees,Non Profit,"Delft, South Holland, Netherlands",Netherlands,davincisatellite.nl,https://www.linkedin.com/company/da-vinci-satellite
Space Villages,"WE SUPPORT SPACE ASSET OWNERS TO RECOVER THEIR LOST REVENUES FROM FAILED SPACE MISSIONS.

We do it with our multiservice-robotic spacecraft equipped with robotic arm manipulated in real time, able to repair, service and refuel other spacecreaft.


Space Villages is a Dutch start-up, a part of Space Infrastructure Ventures (a fund intended to promote companies developing deep-tech products).

We have a bold and ambitious goal, developing and commercialising LEO as well as servicing customers in MEO and GEO orbits. 

Our innovative robotic spacecraft (RoWo – Robotic Worker) is designed to supplement the work of the astronauts in orbit. 

RoWo is designed to revolutionise the space ecosystem and in-orbit operations by enabling complex and precise manipulations, ranging from orbital cargo transportation to the installation and assembly of large-scale structures.",Space Research and Technology,2-10 employees,Privately Held,"Noordwijk-Binnen, South Holland, Netherlands",Netherlands,space-villages.com,https://www.linkedin.com/company/space-villages
TU Delft Astrodynamics Toolbox (Tudat),"Welcome to the LinkedIn landing page for the TU Delft Astrodynamics Toolkit - or Tudat - project. Tudat is a powerful toolbox for research and education in numerical orbit propagation, state and parameter estimation, and mission design. The project originated at, and is managed by, staff and students at TU Delft, with an ever growing network of users, developers and alumni. The bulk of the functionality is written in C++ (Tudat), but the typical user interface is in Python (Tudatpy), which links to the Tudat core code.",Space Research and Technology,11-50 employees,Non Profit,"Delft, South Holland, Netherlands",Netherlands,tudat.space,https://www.linkedin.com/company/tudat
Tiny Telescope,"With its revolutionizing technology the Tiny Telescope has an out of this world performance. It is robust and efficient for earth observation satellites, star trackers and laser satellite communication. Its small size provides exceptional range for drones, surveillance equipment or even mobile phones.",Space Research and Technology,11-50 employees,Privately Held,"Meppel, Drenthe, Netherlands",Netherlands,tinytelescope.com,https://www.linkedin.com/company/tiny-telescope
Inner Space Training,"Mission: 
Most commercial astronauts have only one chance to get it right and achieve that “once in a lifetime experience”. 

That’s why it is critical to train not only the body but also the mind. IST includes psychological acclimation to ensure that suborbital scientists and space tourists achieve a peak experience in space.   IST provides situational awareness training to address the mental and emotional challenges that may be experienced during flight.  

The training is a one day, face-to-face course for up to 6 participants,  held at either a public or private location. During the course, participants will be asked to undergo a number of personal and team exercises to build their understanding of what the suborbital space environment entails and how their personal mission can be achieved. 

Participants will learn the various flight phases,  identify the associated physical and psychological challenges, and also be taught how to resolve these challenges. After the course, participants will be asked to practice until their space flight using Brainwave Entrainment (BWE) technology. The techniques and the positive effects of the BWE program can be re-activated during space flight to give astronauts calm focus during their entire flight, enabling them to have a peak experience and accomplish their personal mission",Space Research and Technology,2-10 employees,Self Employed,"The Hague, South Holland, Netherlands",Netherlands,innerspacetraining.com,https://www.linkedin.com/company/inner-space-training
AstroWorks,"AstroWorks helps companies excel in Europe’s fast-growing space and defence industry. We support established players and newcomers entering the space sector with strategic consultancy, business development, proposal management, project leadership, and advanced engineering for complete space systems.",Space Research and Technology,Self-employed,Privately Held,"Amsterdam, North Holland, Netherlands",Netherlands,astroworks.nl,https://www.linkedin.com/company/astroworks-b-v
SQAT project,"SQAT is a 3.5-year project, funded under the Horizon Europe Programme, that focuses on Implementing Smart Farming Applications using EO Data, Soil Sensors & Robotics.

SQAT's smart soil mapping service is a multi-level, multi-technology and multi-purpose solution. With a keen eye on markets and users, SQAT’s approach is designed to overcome today’s practical, technical and financial challenges to generate high resolution soil properties maps and demand-driven products like application maps for soil improvement or crop management, or compliancy proof for eco schemes. Our vision is that the integration of different technologies provides a flexible and agile service beating the unbundled alternatives that are now in the market: our in-situ sampling and/or sensoring is wrapped in a Copernicus-based artificial intelligence soil mapping product.",Space Research and Technology,11-50 employees,Partnership,"Amersfoort, Utrecht, Netherlands",Netherlands,sqat.farm,https://www.linkedin.com/company/sqat-project
A-SpaX,"We are A-SpaX, a Dutch aerospace company located in Delft. A-SpaX stands for 'Affordable Space Access (B.V.)'. Our goal is to enable the opportunities space has to offer for as many people as possible. This involves providing infrastructure for manufacturing and research in space and safely bringing back our reentry capsule with your payload to Earth. Our unique reusable space facility allows us to take advantage of microgravity, ultra-high vacuum, temperature differences, minimal vibrational disturbances, and radiation in space for innovative breakthroughs. A-SpaX facilitates other companies in putting their production machines or experiments in orbit around the Earth, offering an end-to-end service from launch to delivering results and data back on Earth with our reusable capsule acting as a factory facility in orbit. Despite being made in space, our innovations, especially in pharmaceutical and medical research, have benefits for Earth as well.

Feel free to reach out to us, to find out how the space environment can help your company. You can send us an email (info@A-SpaX.com) or find more contact information on our website www.A-SpaX.com",Space Research and Technology,2-10 employees,Privately Held,"Delft, South Holland, Netherlands",Netherlands,a-spax.com,https://www.linkedin.com/company/a-spax
NEBULA - Xplorer,"This is the linkedin page for everybody who contributes / contributed to the NEBULA - Xplorer project! It will show our progress, meetings, events, and of course the scientifc harvest of this great mission!",Space Research and Technology,11-50 employees,Non Profit,"Leiden, South Holland, Netherlands",Netherlands,sron.nl,https://www.linkedin.com/company/nebula-xplorer
LDE Space for Science & Society programme,"The LDE Space for Science and Society programme aims to stimulate space-related knowledge exchange and develop new interdisciplinary research projects and educational programmes between the Leiden-Delft-Erasmus Universities as well as the NL Space Campus, ESA ESTEC, the Galileo Reference Centre (GRC), SRON, TNO, KNMI and other organisations in the Dutch space sector.

The LDE Space for Science and Society programme is a collaboration initiative between various space departments of three Dutch Universities: Leiden University, Delft University of Technology, and Erasmus University Rotterdam.",Space Research and Technology,"1,001-5,000 employees",Educational,Netherlands,Netherlands,lde-space.nl,https://www.linkedin.com/company/lde-space-for-science-society-programme
Brabant Space Network,"The network event for the space industry and business opportunities in the province of Noord-Brabant #NL

We believe that space is the next frontier for innovation, design and entrepreneurship. To support and encourage the growth of space-focused businesses in Noord-Brabant, the Brabant Space Network provides a platform for the space community to come together and share experiences. Building a thriving ecosystem of space-focused businesses in the region.

Through network events, we bring together a diverse group of individuals, businesses and organizations to share insights, establish collaboration, and be inspired by the possibilities of the space industry. 

The events are open to space professionals, entrepreneurs, students and anyone interested in space technology, art, entrepreneurship, and innovation. Get connected, meet new individuals, and be inspired.


“I don't know anything with certainty, but seeing the stars makes me dream.” 
- Famous local painter",Space Research and Technology,2-10 employees,Non Profit,"Eindhoven, North Brabant, Netherlands",Netherlands,,https://www.linkedin.com/company/brabant-space-network
PEOPLE-ECCO,"PEOPLE-ECCO is a project funded by the European Space Agency (ESA) under the Earth Observation Science for Society (EO4Society) programme. The two overarching goals of the PEOPLE-ECCO project are:


Goal 1: To engage CSOs/NGOs active in ecosystems conservation by involving them in the co-design of Earth Observation-supported methodologies applicable in their operational practices and though EO capacity building activities, and


Goal 2: To develop, test, demonstrate and validate EO-integrated methods, based on the identified user requirements and co-design. Building on existing EO initiatives and projects, the EO solutions developed in this project will answer two parallel conservation objectives: monitoring conditions and management effectiveness of existing protected areas (Objective A), and site suitability identification of high-priority areas to be protected (Objective B).",Space Research and Technology,2-10 employees,Partnership,"Enschede, Overijssel, Netherlands",Netherlands,people-ecco.eu,https://www.linkedin.com/company/people-ecco
Delfi Space,"The Delfi Space Laboratory at TU Delft is a leading hub for education and research in space mission engineering using very small satellites. It provides the essential infrastructure to design, build, test, and prepare satellites for launch, fostering innovation and collaboration in space exploration. As the only academic laboratory in the Netherlands with these capabilities, it plays a pivotal role in advancing satellite technology.",Space Research and Technology,2-10 employees,Non Profit,"Delft, South Holland, Netherlands",Netherlands,tudelft.nl,https://www.linkedin.com/company/delfi-space
