Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Hanab Telecom Infra,"Telecom infra verbindt mensen en bedrijven door de aanleg en beheer van ondergrondse netwerken, met focus op kwaliteit, veiligheid en langdurige samenwerking.",Telecommunications Carriers,"501-1,000 employees",Public Company,"Nieuwegein, Utrecht, Netherlands",Netherlands,hanab.nl,https://www.linkedin.com/company/hanab-telecom-infra
Dstny White Label Services,"Met Dstny Wholesale geef jij jouw klanten binnen no time toegang tot de beste communicatieoplossingen voor optimale bereikbaarheid. Provisioning, facturatie en levering regel je eenvoudig vanuit één krachtig platform.

Als partner profiteer je van schaalbaarheid, een betrouwbaar netwerk en persoonlijke ondersteuning. Zo bouw je samen met Dstny aan slimme communicatie die hybride werken écht mogelijk maakt en creëer je duurzame groei voor jouw business.

Ontdek meer op wls.dstny.nl",Telecommunications Carriers,"501-1,000 employees",Privately Held,"Heerlen, Limburg, Netherlands",Netherlands,dstny.nl,https://www.linkedin.com/company/dstny-white-label-services
NT Mobiel Accessoires,"NT Mobiel Accessoires is the official B2B supplier of phone and tablet accessories from world-renowned brands such as Guess, Karl Lagerfeld, Hello Kitty, Tumi, iDeal of Sweden, Audi, BMW, Mercedes-Benz, Ferrari, Pierre Cardin, Lamborghini and UNIQ Accessory.",Telecommunications Carriers,11-50 employees,Privately Held,"Rotterdam, South Holland, Netherlands",Netherlands,nt-mobiel.nl,https://www.linkedin.com/company/nt-mobiel-accessoires
Nederlandse Refurbished Centrale,"De naam zegt het al, de Refurbished Centrale is gespecialiseerd in de verkoop van refurbished devices.  

Refurbished is het betrouwbare, voordelige alternatief voor nieuw. Je bespaart tot tientallen euro’s op nieuw. Alle devices worden van A tot Z gecontroleerd, gereinigd en waar nodig gerepareerd op tientallen punten. 

Daarnaast is Refurbished het duurzame alternatief voor nieuw. U bespaart niet alleen in uw portomonee, maar ook het milieu. 

Refurbished Centrale is onderdeel van de Nederlandse Handel Centrale

U vind onze producten op de volgende websites:

Https://nederlandsehandelcentrale.nl
Https://nederlandserefurbishedcentrale.nl
Https://nederlandserefurbishedcentrale.shop
Https://refurbishedcentrale.nl
Https://refurbishedcentrale.shop",Telecommunications Carriers,2-10 employees,Self Owned,"Den Helder, North Holland, Netherlands",Netherlands,nederlandserefurbishedcentrale.nl,https://www.linkedin.com/company/nederlandserefurbishedcentrale
FooNZ Telecom & Reparatie,"FooNZ Telecom & Reparatie
 Sinds 2012
 Refurbished iPhone 
 Abonnementen 
 Reparatie zonder afspraak 
 Alleen de beste onderdelen 
 Gratis Parkeren 
 Locatie Vlijmen",Telecommunications Carriers,2-10 employees,Self Owned,"Vlijmen, North Brabant, Netherlands",Netherlands,foonz.nl,https://www.linkedin.com/company/foonz
Datasim Solutions BV,"We have  as goal to create simple connectivity solutions that drives short term growth and long-term sustainability. Our experience in international connectivity and our simple tariff structure helps us creating the solution which is right for you and your business. 
We help our partners find new revenue streams, faster GTM, and offer new value-added services with customized solutions.",Telecommunications Carriers,2-10 employees,Privately Held,"Amsterdam, North Holland, Netherlands",Netherlands,datasimsolutions.com,https://www.linkedin.com/company/datasim-solutions-bv
TELECOM systems b.v.,"TELECOM systems biedt specialistische communicatieoplossingen voor vrijwel alle vraagstukken op het gebied van geïntegreerde communicatie-, evacuatie- en alarmeringssystemen. Daarvoor bieden we een breed productenpakket met betrouwbare, veilige apparatuur. Onze jarenlange ervaring en onze klantgerichte, flexibele manier van werken maakt TELECOM systems tot een goede partner.

TELECOM systems is gespecialiseerd in het ontwerpen, samenstellen en installeren van professionele, geïntegreerde communicatie- en beveiligingssystemen. De nadruk ligt daarbij op communicatieoplossingen voor speciale en veeleisende applicaties, zoals die voor de industrie, offshore en utiliteit.",Telecommunications Carriers,2-10 employees,Privately Held,"Capelle aan den IJssel, South Holland, Netherlands",Netherlands,telecomsystems.nl,https://www.linkedin.com/company/telecom-systems-b-v-
Fiber Squad Group,"Crossing bounderies, Connecting People",Telecommunications Carriers,11-50 employees,Privately Held,"Roermond, Limburg, Netherlands",Netherlands,fibersquad.com,https://www.linkedin.com/company/fibersquad
United Headsets BV,"United Headsets Communication Systems: Multiple wireless connectivity, maximum scalability & user-friendly cloud based services.

United Headsets is a global tech company that innovates and delivers comprehensive, scalable, user-friendly communication systems with multi-wireless connectivity, maximum coverage, and a cloud-based service platform for installation and (remote) management. In close partnership we offer our clients customized, turn-key, end-to-end solutions with full product lifecycle management. 

United Headset is a dependable partner with over 30 years of knowledge, experience and specialization in communication solutions. With our hands-on, forward-thinking vision and approach, we continuously bring new innovations that meet and/or exceed the market’s needs and wishes.",Telecommunications Carriers,2-10 employees,Privately Held,"’s-Hertogenbosch, North Brabant, Netherlands",Netherlands,unitedheadsets.com,https://www.linkedin.com/company/united-headsets
Innovacom,"Wij zorgen ervoor dat jij optimaal bereikbaar bent, waar en wanneer jij wilt. Van vaste & mobiele telefonie, tot zakelijke online communicatie en maatwerkoplossingen die samenwerken met al jouw systemen.

-> De beste oplossing
Een communicatie oplossing op maat gemaakt voor jouw bedrijf is voor ons vanzelfsprekend. Zo krijg je altijd exact wat je nodig hebt en betaal je nooit te veel.

-> Geen gedoe
Totale ontzorging, Korte lijnen en vaste aanspreekpunten. Voor ons is een klant geen nummer.

-> Goed en helder advies
Kennis van zaken en meedenken waar je als bedrijf naartoe wil op het gebied van telecommunicatie en bereikbaarheid.

Wij helpen je graag met een telecommunicatie oplossing op maat, specifiek voor jouw bedrijf en situatie. Neem contact op om alle mogelijkheden samen door te nemen.",Telecommunications Carriers,2-10 employees,Self Owned,"Casteren, North Brabant, Netherlands",Netherlands,innovacom.nl,https://www.linkedin.com/company/innovacomnl
Wesotronic Telecom | Connectivity,"Telecom hoort gewoon te werken.
En als er iets misgaat? Dan wil je direct geholpen worden.

Toch zien we in de praktijk vaak iets anders:
lange wachttijden, verschillende contactpersonen en oplossingen die te lang op zich laten wachten.

Dat doen wij anders.

Bij Wesotronic krijg je geen ticketnummer, maar gewoon iemand aan de lijn die jouw situatie kent.
Snel schakelen, korte lijnen en vooral: direct oplossen.

Wij helpen bedrijven met:
- zakelijke telefonie (o.a. Xelion)
- internet en netwerken
- mobiele telefonie
- beheer en support

Maar waar klanten écht voor blijven, is onze service.
 Direct bereikbaar
 Eén vast aanspreekpunt
 Snel schakelen bij storingen
 Oplossingen zonder gedoe

Geen ingewikkelde verhalen.
Gewoon zorgen dat het werkt en blijft werken.

Wil je ervaren hoe telecom ook kan?
Neem gerust contact met ons op.",Telecommunications Carriers,11-50 employees,Privately Held,"Barendrecht, South Holland, Netherlands",Netherlands,wesotronic.nl,https://www.linkedin.com/company/wesotronic-telecom-connectivity
Alparts Tech Import,"Alparts Tech Import is een internationale B2B-partner, gespecialiseerd in de wereldwijde in- en verkoop van smartphones. Wij ondersteunen bedrijven, distributeurs en handelspartners bij het efficiënt verhandelen van nieuwe en gebruikte devices, met een sterke focus op transparantie, kwaliteit en betrouwbaarheid.

Wij opereren vanuit Nederland .
Dankzij onze samenwerkingen bevinden wij ons dicht bij een uitgebreid netwerk van reparateurs, refurbishers en internationale handelsroutes, wat zorgt voor snelheid, flexibiliteit en schaalvoordelen. Vanuit Nederland bedienen wij Europa en waarborgen wij structuur, compliance en duidelijke communicatie.
Van sourcing en grading tot logistiek, dataverwijdering en rapportage:
wij verzorgen het volledige proces end-to-end. Dataverwijdering wordt uitgevoerd via Blancco-software, waarbij alle toestellen veilig en aantoonbaar worden gewist volgens de geldende AVG-richtlijnen (GDPR). Klanten ontvangen inzicht en bevestiging van een correcte en compliant dataverwijdering.

Dankzij onze gestructureerde werkwijze en wereldwijde connecties bieden wij marktconforme prijzen, betrouwbare afhandeling en volledige transparantie in iedere stap van het proces.

Onze kernpunten:
Buying & selling smartphones worldwide
Transparant grading- en testproces
Veilige dataverwijdering via Blancco (AVG-compliant)
Betrouwbare B2B-samenwerkingen
Duurzame en efficiënte device-circulatie

Actief in Europa én daarbuiten

Your global partner in smartphones.",Telecommunications Carriers,2-10 employees,Privately Held,"Schiphol-Rijk, North Holland, Netherlands",Netherlands,alpartstechimport.com,https://www.linkedin.com/company/alparts-tech-import
DATRO.shop,"DATRO.shop brengt uw projecten naar een hoger niveau.

Onze glasvezel prefab is voorzien van een geïntegreerd metalen
wartelsysteem die eenvoudig gemonteerd kan worden op bijvoorbeeld een
dinrailbox of patchpaneel.",Telecommunications Carriers,11-50 employees,Privately Held,"Schiedam, South Holland, Netherlands",Netherlands,netshopper.nl,https://www.linkedin.com/company/datro-shop
TelevoipTotaal,"Televoip Totaal is een klantvriendelijke, bereikbare lokale leverancier van infrastructurele diensten die uw woning of bedrijf binnen komen. Wij houden ons bezig met het leveren van glasvezel en koperverbindingen en de daarop leverbare diensten als internet, telefoon en digtale TV interactief.",Telecommunications Carriers,2-10 employees,Privately Held,"Udenhout, North Brabant, Netherlands",Netherlands,televoiptotaal.nl,https://www.linkedin.com/company/televoiptotaal
PMSOLTEC Consulting,"Advising optical networking and telecom infrastructure vendors on commercial acceleration across data center interconnect (DCI), open optical networks, IPoDWDM and high-speed coherent solutions.

Focus Areas
• Go-to-market strategy for pluggables, coherent optics, and open line system architectures
• Commercial positioning within hyperscaler, Tier-1/Tier-2 carrier, and regional service provider environments
• Revenue acceleration through strategic introductions, ecosystem engagement, and partnership structuring
• Sales operating model design in long-cycle, design-win markets
• Forecasting discipline, pipeline governance, and demand translation
• Alignment of Sales, FAE, and customer success models to accelerate qualification and NPI adoption

Impact
• Supporting portfolio positioning and market penetration across Europe and selected African markets
• Enabling optical vendors to expand footprint in DCI, metro, and regional transport networks
• Strengthening commercial execution in highly technical, design-driven sales environments

Technology enables performance. Commercial execution drives growth.",Telecommunications Carriers,2-10 employees,Self Owned,"Eindhoven, North Brabant, Netherlands",Netherlands,,https://www.linkedin.com/company/pmsoltec-consulting
telecomdistrict bv,"Met de partnersupport van Telecomdistrict BV hebben IT-bedrijven de mogelijkheid om extra kennis, begeleiding of medewerkers in te huren voor projecten op het gebied van telecom (VoIP), mobiel, connectiviteit of infrastructuur.",Telecommunications Carriers,2-10 employees,Privately Held,"Venray, Limburg, Netherlands",Netherlands,telecomdistrict.nl,https://www.linkedin.com/company/telecomdistrict-bv
JamboSim,"Jambosim – Your Global eSIM Provider

Jambosim is a modern, customer-first eSIM brand making seamless mobile connectivity accessible worldwide. We offer high-quality eSIMs with competitive pricing, flexible data plans, and full support in 10 languages.

Whether you're a frequent traveler, digital nomad, remote worker, or business professional, Jambosim gives you instant mobile data in over 200 countries and regions. No physical SIM cards, no roaming surprises, just activate, connect, and stay online.

Why Jambosim?
Instant activation — Get connected within minutes
Affordable & transparent pricing tailored to real traveler needs
Multi-language support (English, Spanish, French, German, Dutch, Italian, Polish, Turkish, Brazilian Portuguese & Japanese)
Reliable coverage across the globe
Easy-to-use platform

We believe staying connected should be simple, stress-free, and affordable. Jambosim is here to remove the barriers of traditional mobile roaming and empower you to explore, work, and communicate without limits.

Stay connected. Go further.",Telecommunications Carriers,2-10 employees,Privately Held,"Almere, Flevoland, Netherlands",Netherlands,jambosim.com,https://www.linkedin.com/company/jambosim
