Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
KPN,"Welkom bij de LinkedIn pagina van KPN. Sinds jaar en dag maakt KPN technologie toegankelijk. Hier leest u alles over de ontwikkelingen rondom de thema’s die KPN belangrijk vindt, zoals Het Nieuwe Leven & Werken, Veiligheid & Privacy en ICT-infrastructuur. Ook een transparante en betrouwbare dienstverlener zijn, efficiency in de zorg en duurzaam ondernemen staan bij ons hoog in het vaandel. Op onze pagina blijft u op de hoogte van het laatste nieuws rondom onze activiteiten, de thema’s in uw leven waarin technologie een rol speelt en onze producten en services op het gebied van ICT. Ontdek samen met ons voor u en uw organisatie de beste oplossingen.",Telecommunications,"10,001+ employees",Public Company,"Rotterdam, South Holland, Netherlands",Netherlands,kpn.com,https://www.linkedin.com/company/kpn
TOF Group,"Glasvezel is de levensader tussen jou en mij. Want zonder verbinding valt alles stil. Bedrijven kunnen niet functioneren, mensen niet communiceren. Zó belangrijk is het dat wij de kabels aan elkaar knopen. Beter en sneller dan ieder ander, omdat wij de kennis en capaciteit in huis hebben. Van home tot datacenter is TOF Group dé verbinder van glasvezel. Wij zijn FIBER FANATICS.",Telecommunications,51-200 employees,Privately Held,"Rosmalen, North Brabant, Netherlands",Netherlands,tofgroup.nl,https://www.linkedin.com/company/tofgroup
Q data solutions,Wij zijn de zakelijke Service Provider die fixed wireless access levert aan het indirecte Telecom & ICT partner kanaal in Europa. We bieden 4G en 5G oplossingen op de beste Europese mobiele netwerken tegen een betaalbare prijs. Onze simkaarten zijn voorzien van een Vast IP adres waardoor je eenvoudig en beveiligd op afstand je devices kunt beheren.,Telecommunications,2-10 employees,Privately Held,"’s-Hertogenbosch, North Brabant, Netherlands",Netherlands,q-datasolutions.com,https://www.linkedin.com/company/q-data-solution
De La Combé Telematica bv.,"De La Combé Telematica monteert, installeert en certificeert elk gewenst datanetwerk in Europa / VK, voor zowel koper als glasvezel.",Telecommunications,11-50 employees,Privately Held,"The Hague, South Holland, Netherlands",Netherlands,dlc-telematica.nl,https://www.linkedin.com/company/de-la-combé-telematica-bv
Fixers,"Bij fixers zorgen we ervoor dat je snel en gemakkelijk weer online bent. Je kunt met of zonder afspraak langskomen bij één van onze 10 winkels in Nederland, België & Duitsland

Bij fixers geven we je:
- 30 minuten service
- Voordelige prijzen
- No cure, no pay 
- Bescherming van je data
- Levenslange garantie

Fixers diensten bestaan uit reparaties, accessoires en verkoop van smartphones, tablets, laptops en computers voor alle merken, zoals bijvoorbeeld: Apple, HP, Samsung, Oppo, OnePlus, Huawei, Lenovo, Nokia, Acer, LG en Dell. Hierbij bieden we de klaar-terwijl-je-wacht service. 

Wij vervangen jouw scherm, achterkant, batterij, camera of oplaadpoort vaak binnen 30 minuten zodat jij razendsnel weer kunt bellen en appen!

Fixers is door Apple geautoriseerd als Independent Repair Provider

Ook hebben wij de leukste hoesjes, screenprotectors en gadgets voor jouw device!

Kom vandaag langs in een van onze winkels of maak online een afspraak.",Telecommunications,51-200 employees,Privately Held,"Rotterdam, South Holland, Netherlands",Netherlands,fixers.nl,https://www.linkedin.com/company/fixersbv
ERA-IX,"A new era of internet exchanging!

ERA-IX provides Internet Exchange services in Amsterdam. Equipped with efficient network infrastructure and rich features we are looking to innovate in the Internet Exchange industry.

Connect with our us in Nikhef, Interxion AMS9/AMS17, Equinix AM1/2/3/4/5/6/7/11, Iron Mountain AMS-1 in Amsterdam.

Contact us if you are interested in supporting our innovative internet exchange while enjoying connectivity to our existing members!",Telecommunications,2-10 employees,Privately Held,"Amsterdam, North Holland, Netherlands",Netherlands,era-ix.com,https://www.linkedin.com/company/era-ix
Mobiel.nl,"Wij zijn Mobiel.nl. Met meer dan 100 collega’s helpen we onze klanten graag tijdens de zoektocht naar de smartphone van hun dromen. In de tijd dat jij je eerste Nokia 3310 in huis haalde bestonden we al. Sinds 2000 om precies te zijn. Door onze jarenlange ervaring weten we goed waar we mee bezig zijn.

We groeien ontzettend hard en bieden onze mensen graag de kans om met ons mee te groeien. Want zonder die gedreven medewerkers zijn we nergens. We zijn dan ook regelmatig op zoek naar nieuw talent om ons levendige team te versterken.",Telecommunications,51-200 employees,Privately Held,"Leidschendam, South Holland, Netherlands",Netherlands,mobiel.nl,https://www.linkedin.com/company/mobiel.nl
Castor Networks,"Castor Networks is one of the leading Satellite Service providers in Europe providing Starlink, OneWeb, VSAT, and Teleport services to Enterprise, NGO, and government customers.

Castor Networks operates teleports Burum in The Netherlands and an iDirect hub infrastructure creating a global VSAT network. Castor Networks is an Authorized Reseller of Starlink services, a service provided by SpaceX using a Low Earth Orbit (LEO) satellite network. 

Castor Networks specializes in providing reliable mission and business critical communication services via satellite. All our services are set-up fully redundant with ready to be deployed spares.

Our services: 
- iDirect services: high speed VSAT services for Enterprise, NGO, and government customers requiring reliable Internet, VPN and VOIP services via satellite 
- Starlink services
- Teleport up/downlink services and collocation in Teleport Burum, Netherlands
- Satellite capacity lease
- Support, Monitoring tools, VSAT hardware and Installation services

We operate more than 12 antennas ranging from 3.7m up to 18m in diameter and our iDirect Evolution services are available on over 26 satellite footprints covering the globe in Ku-band and Africa/Middle East with C-band. 

Our in-house developed online Portal provides service transparency by providing up-to-date data-usage and performance status reports.",Telecommunications,11-50 employees,Privately Held,"De Meern, Utrecht, Netherlands",Netherlands,castornetworks.com,https://www.linkedin.com/company/castor-networks
TTC Health Services,"Van 08:00 tot 20:00 uur zijn wij één van de customer contact centers voor bron- en contactonderzoek. Wij streven ernaar om snel, vaardig en vakkundig kwaliteit te leveren aan onze opdrachtgevers.

In deze zo veranderende maatschappij is zorgen voor elkaar iets dat we niet uit het oog mogen verliezen. Mede hierdoor is het zeer belangrijk goed contact te houden met de klant en haar gebruiker, een uitstekende dienstverlening op kwaliteit en kwantiteit is essentieel. Deze service levert TTC Health Services met aandacht voor de klant en een persoonlijke aanpak door gespecialiseerde medewerkers.",Telecommunications,51-200 employees,Public Company,"Amsterdam, North Holland, Netherlands",Netherlands,ttchs.com,https://www.linkedin.com/company/ttc-health-services
Netways Europe bv,"Netways Europe BV is a supplier of high end, cost saving network solutions for Ethernet and Fiber optic infrastructures. Netways Europe offers innovative and future proof solutions to users and providers of fiber optical network infrastructures in order to meet the growing demand for data transport. Based on lasting relationships between Netways and Netways customers as well as the suppliers we are able to provide solutions that fits, based on the latest insights and tailored for the best price/performance.",Telecommunications,2-10 employees,Privately Held,"’s-Hertogenbosch, North Brabant, Netherlands",Netherlands,netwayseurope.com,https://www.linkedin.com/company/netwayseurope
