Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Cradle,"Leverage AI to generate protein candidates and improve their properties. More breakthroughs in fewer experiments — guided by your own experimental data.

Jobs: https://jobs.cradle.bio",Biotechnology,51-200 employees,Privately Held,"Amsterdam, North Holland, Netherlands",Netherlands,cradle.bio,https://www.linkedin.com/company/cradlebio
My Health,,Biotechnology,2-10 employees,Self Owned,"Groningen, Groningen, Netherlands",Netherlands,meetcorona.nl,https://www.linkedin.com/company/my-health2
123-Consultancy,,Biotechnology,Self-employed,Self Employed,"Rotterdam, South Holland, Netherlands",Netherlands,123-consultancy.com,https://www.linkedin.com/company/123-consultancy
Infors Benelux,"INFORS HT have been specialists in shakers, incubation shakers and bioreactors for over 50 years. These high Swiss quality products offer you to culture from as small as a 96-wells plate up to a 1000L stainless steel bioreactor.

For all applications, we offer you complete solution:
-	Microorganisms (bacteria, fungi, yeast)
-	Cell culture (mammalian cells, insect cells, plant cells, algae)
-	Solid state fermentation (e.g. for bioethanol)
-	Parallel bioprocesses (e.g. for DoE studies)
-	Intuitive bioprocess control software (for incubation shakers and bioreactors)
-	Qualification of incubation shakers and bioreactors (GMP; IQ/OQ)
-	Customized solutions for your application
-	Excellent after-sales support (e.g. service, maintenance, training)
 
Contact us and together we find the best solution for your application!

Phone:	+31 (0)263 69 31 00
E-mail:	infors.bnl@infors-ht.com",Biotechnology,2-10 employees,Privately Held,"Velp, Netherlands",Netherlands,infors-ht.nl,https://www.linkedin.com/company/infors-benelux
EcoPest plaagbeheersing,"Lokale dienstverliening. Regio Breda, Roosendaal, Bergen op Zoom, Essen, Kalmthout, Brasschaat, Hoogstraten, Brecht

Voor bedrijf of particulier. Preventie en bestrijden van overlast van plaag in of om bedrijf of huis. 
Licenties voor zowel Nederland als België;
- Bestrijdingstechnicus
- Fytolicentie P2
- VCA-VOL",Biotechnology,Self-employed,Self Owned,"Bergen op Zoom, North Brabant, Netherlands",Netherlands,ecopest.nl,https://www.linkedin.com/company/ecopest-plaagbeheersing
Cosimi Bio,"Cosimi Bio partners with clients to drive innovation and accelerate growth at the intersection of science and business. Specializing in strategic business development, licensing, and dealmaking, the company delivers transformative solutions to the life sciences, food and agriculture, and chemical industries. By fostering impactful partnerships and leveraging cutting-edge biotech innovation, Cosimi Bio helps organizations unlock their full potential and achieve sustainable commercial success.",Biotechnology,2-10 employees,Privately Held,"Leiden, South Holland, Netherlands",Netherlands,cosimibio.com,https://www.linkedin.com/company/cosimibio
Askové AZ Techniek,"AZ Techniek is uw partner voor het engineeren, vervaardigen, leveren en monteren van geurbehandelings installaties, kunststof apparatenbouw en leidingsystemen.

Al onze producten worden op klantspecificatie vervaardigd. Wij adviseren in de juiste materiaalkeuze en vormgeving zodat het product optimaal geschikt is voor uw toepassing.
Bij het ontwerp is de DVS richtlijn de grondslag voor de constructie en wanddikte’s.

AZ Techniek is uw flexibele partner voor complete projecten of delen daarvan.
Onze no-nonsense mentaliteit en ruime ervaring staan borg voor een juiste prijs-kwaliteits verhouding.

AZ Techniek is een onderdeel van Askové Solutions

Kijk voor meer informatie op de betreffende pagina’s en neem gerust vrijblijvend contact met ons op voor meer informatie.",Biotechnology,2-10 employees,Privately Held,"Veghel, North Brabant, Netherlands",Netherlands,aztechniek.nl,https://www.linkedin.com/company/aztechniek
Panorama Laboratories,"Panorama Laboratories speed up biotech R&D by using sensors to take over the burden of documentation from lab personel. 

We are building hardware that supports quality assurance with the most objective operational laboratory data. By instantly digitizing actions instead of relying on human input for documentation system, we are replacing lab journals with automatically generated database structures.",Biotechnology,2-10 employees,Privately Held,"Leiden, South Holland, Netherlands",Netherlands,panorama.bio,https://www.linkedin.com/company/panorama-laboratories
PseuPomona,"We are the iGEM 2023 team from Wageningen University. 

Contact us through igem@wur.nl",Biotechnology,11-50 employees,Educational,"Wageningen, Gelderland, Netherlands",Netherlands,,https://www.linkedin.com/company/igem-wageningen
ALLERGIOS,"""We see Allergy"": Direct allergy diagnostics by lable-free visualisition of the patients allergic response. 

Allergios is developing an AI-powered microfluidic platform for functional allergy diagnostics, aiming to replace risky and resource-intensive oral provocation tests (e.g., DBPCFC) with a cell-based blood test that analyzes individual immune responses to allergens. The platform combines digital holography, cellular immunoassays, and machine learning, targeting a fast-growing global diagnostics market.",Biotechnology,2-10 employees,Privately Held,"Amsterdam, North Holland, Netherlands",Netherlands,allergios.health,https://www.linkedin.com/company/allergios
