Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Resideo,"At Resideo, we help you protect what matters most by creating technology and smart solutions that integrate seamlessly into your life. Our house of brands includes First Alert’s smoke detectors, Honeywell Home’s smart thermostats, our ADI Global Distribution Business, and more to connect your entire home. 

We pride ourselves on our commitment to quality, innovation, and customer satisfaction, backed by a legacy of over 100 years in the industry. 

Resideo was recognized by Forbes Magazine on two of its most prestigious corporate rankings: the 2026 Most Trusted Companies and Best Companies in America lists. Thank you to every member of our team for helping Resideo pioneer what’s possible. 

#WeAreResideo",Consumer Electronics,"10,001+ employees",Public Company,"Amsterdam, North Holland, Netherlands",Netherlands,resideo.com,https://www.linkedin.com/company/resideo1
TiraMiSu b.v. /  Espresso.nl  /  Jura Coffee Support,"Like us! @  http://www.facebook.com/CaffeTiramisu !

Caffè Tiramisu, ""La Casa del Caffè"" espressospecialitsten sinds 1988. 
Gevestigd te Hilversum '88 & Harderwijk '08, volledig gespecialiseerd op 
het gebied van espresso- koffie, apparatuur en accessoires, service en onderhoud. 

Wij nodigen u dan ook graag uit om onze kennis, beleving en passie voor 
koffie mee te ervaren en uw smaak te verrijken door een echt kwalitatief kopje 
espresso, koffie, cappuccino of latte macchiato te proeven. 

Onze Espressospeciaalzaken bevatten een groot assortiment van o.a.:
- Zo'n 45 tot 70 verschillende koffiemachines (verschilt per filiaal)
- Meer dan 45 soorten koffies
- Diverse leuke gadgets en accessoires
- Koffie lectuur
- Mooi en kwalitatief porselein 
- Vervangings- onderdelen van uw machine
- Onderhoud- en reiningingsmiddelen
- Overige toebehoren

Tiramisu Harderwijk is geopend op : 
- zondag en maandag gesloten 
- dinsdag t/m vrijdag van 10.00 tot 18.00
- vrijdag koopavond van 19.00 tot 21.00 
- zaterdag van 10.00 tot 17.00

Tiramisu Hilversum is geopend op :
- zondag en maandag gesloten 
- dinsdag t/m vrijdag van 10.00 tot 18.00
- geen koopavond (tenzij anders wordt aangegeven) 
- zaterdag van 10.00 tot 17.00",Consumer Electronics,2-10 employees,Privately Held,"Hilversum, North Holland, Netherlands",Netherlands,tiramisu.nl,https://www.linkedin.com/company/caffetiramisu
Team Embedded,"Team Embedded is dedicated to help customers get the best out of embedded Linux.

The company's assets include people with industry knowledge of deploying embedded Linux in consumer products.

An increasing number of consumer device manufacturers demand support of publicly available software components instead of licensed and proprietary software, simply because of cost savings and decreasing development time and thus time to market of their products.

The number of publicly available software components is vast, making it difficult to select and focus on the right components that will emerge.
We believe that SoC vendors can become more competitive by making a smart selection and deliver strategic support for these software components. 

The founders of Team Embedded use their combined 25 years of experience in the industry to:
 -  Help SoC and device  vendors to define their software support  proposition in terms of architecture, component selections, and roadmap;
 - Guard the quality in terms of maintainability, extensibility/flexibility; properties that enhance the time-to-market of the supporting software;
 - Provide (software) support to customers as part of their customer support team;
 - Do feasibility studies and/or proof-of-concept implementations.",Consumer Electronics,2-10 employees,Privately Held,"Almere, Flevoland, Netherlands",Netherlands,team-embedded.com,https://www.linkedin.com/company/team-embedded
Vanguard Electronics Design Services,"Our multidisciplinary team of engineers specialise in providing cutting edge hardware, firmware, and software designs. We have partnered with multiple clients worldwide across a multitude of industries. Our aim is to provide holistic and consistent solutions to clients. Never compromising on quality. With a combined total of almost 50 years in the industry, we are confident we can provide solutions for any client. Regardless of the scale, complexity, or budget.",Consumer Electronics,2-10 employees,Privately Held,"Eindhoven, North Brabant, Netherlands",Netherlands,,https://www.linkedin.com/company/vanguardeds
Think 3D,"Think-3D richt zich met een divers aanbod van hoogwaardige 3D filamenten vooral op kwaliteit en heeft een uitstekende klantvriendelijkheid. Wij werken uitsluitend samen met producenten van hoogwaardig filament, zoals Fiberlogy en ReFil. 

Door ook hoogwaardig gerecycled filament van de Nederlandse fabrikant ReFil aan te bieden, probeert Think 3D ook een steentje bij te dragen aan beter milieu.",Consumer Electronics,2-10 employees,Self Owned,"Posterholt, Limburg, Netherlands",Netherlands,think-3d.nl,https://www.linkedin.com/company/think-3d-filamenten
Elektravision Domotica,"Elektravision is een toonaangevend en dynamisch bedrijf, gespecialiseerd in de automatisering van woonhuizen
en andere gebouwen. Veiligheid en comfort in huis of kantoor met de hulp van domotica is wat wij bieden. Elektravision is een allround technisch dienstverlener en leverancier van elektrotechnische en audio-video installaties.",Consumer Electronics,2-10 employees,Privately Held,"Haarlem, North Holland, Netherlands",Netherlands,elektravision.nl,https://www.linkedin.com/company/elektravision-domotica
SmartFix010,SmartFix010 is gespecialiseerd in moederbord reparatie van elektronische devices.,Consumer Electronics,2-10 employees,Self Owned,"Rotterdam, South Holland, Netherlands",Netherlands,smartfix010.nl,https://www.linkedin.com/company/smartfix010
PICPAC B.V.,,Consumer Electronics,11-50 employees,,"Son en Breugel, North Brabant, Netherlands",Netherlands,picpac.nl,https://www.linkedin.com/company/picpac-b.v.
RRU 3D Services,3D Printing | 3D Design | 3D Scanning | Prototyping,Consumer Electronics,2-10 employees,Public Company,"Kerkrade, Limburg, Netherlands",Netherlands,reprapuniverse.com,https://www.linkedin.com/company/reprapuniverse
SamsungOnderdelen.com,"2Service B.V. is 'SAMSUNG Premium Support' partner voor de distributie van elektronika onderdelen binnen de Benelux. Voor de volgende productcategorieën is 2Service B.V. geautoriseerd: wit- en bruingoed, IT en smartphone/tablet.

2Service B.V. is beheerder van de webshop SamsungOnderdelen.com waarmee inmiddels vele tienduizenden eindgebruikers zijn geholpen bij het leveren van de juiste onderdelen. Tevens maken inmiddels meer dan duizend resellers en reparatiebedrijven actief gebruik van onze onderdelenservice. 

Het complete aanbod, de geavanceerde webshop èn de persoonlijke aandacht maken dat zowel dealers als consumenten zeer tevreden zijn over onze dienstverlening.

-----

2Service B.V. is 'Samsung Premium Support' partner for the distribution of electronic spare parts within the Benelux. 2Service is authorized for the following product categories: white and brown goods, IT and smartphone / tablet.
 
2Service manages the webshop SamsungOnderdelen.com that already helped tens of thousands of end users to find the right parts. Also more than a thousand resellers and repair companies actively use our spare parts services.
 
Because of our  complete product range, advanced shop and personal attention, dealers as well as consumers are very satisfied with our services.",Consumer Electronics,11-50 employees,Privately Held,"Arnhem, Gelderland, Netherlands",Netherlands,samsungonderdelen.com,https://www.linkedin.com/company/2service-b-v-
