Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Jolly Billboards,"Jolly Billboards is an independently owned, large format billboard media provider to the masses.
We have over 150 classic and digital billboards throughout New Zealand available for the publics viewing pleasure – We love what we do and you will too.",Media & Telecommunications,2-10 employees,Privately Held,"Lower Hutt, Wellington, New Zealand",New Zealand,jollybillboards.co.nz,https://www.linkedin.com/company/jolly-billboards
Lume Music,"Lume is where albums come to life. The music and the world that surrounds it: demos, live versions, handwritten lyrics, behind-the-scenes footage. Bought once, to support your favourite artists. Owned forever, by their biggest fans.",Media & Telecommunications,2-10 employees,Privately Held,"Auckland, Auckland, New Zealand",New Zealand,lumemusic.com,https://www.linkedin.com/company/lume-music
Blinder,"Blinder calms the chaos of high-stakes media management.

Our high-performance media management system makes it simple to protect Talent’s privacy, keep Media happy, and give Comms teams control and visibility over every interview. 

It’s media management made easy.

We started in pro sport (working with the likes of New Zealand Rugby and US Women's Soccer, along with clubs from the AFL to the NFL) and now support world-leading teams from sport, education, entertainment, big business and the public sector.",Media & Telecommunications,2-10 employees,Privately Held,"Auckland, Auckland, New Zealand",New Zealand,blinderhq.com,https://www.linkedin.com/company/blinder-limited
FashioNZ,"As the first fashion website in the country FashioNZ has been leading the way online since 1998. A well respected and influential online magazine as well as a resource for the local industry, FashioNZ connects fashion and beauty brands with an engaged audience. 

FashioNZ’s readers are spread throughout the country and enjoy the informative, entertaining and thought-provoking mix of content served up daily on FashioNZ.co.nz. Reading FashioNZ keeps them up to date with what’s going on in fashion and beauty in an inclusive and inspiring way. FashioNZ is accessible, savvy and a go-to for local fashion and beauty fans.

FashioNZ is an independent 100% New Zealand owned media company",Media & Telecommunications,11-50 employees,Privately Held,"Auckland, Auckland, New Zealand",New Zealand,fashionz.co.nz,https://www.linkedin.com/company/fashionz-new-zealand
Dish,"Dish is a multi-award-winning magazine and New Zealand’s most loved foodie title. We are our audience’s go-to source for recipes, reviews, drinks, travel, interviews and lifestyle inspiration.
Our continued growth and cross-platform success across print, digital and events is thanks to the powerful connections and credibility we have spent 20 years fostering with our audience - our community!
The Dish community gets enormous value from our high-quality, achievable, trusted recipes, our dedication to excellent editorial content, and our unparalleled insights on home cooking, wine and beverage, hospitality, travel and lifestyle.
Owned by SCG Media.",Media & Telecommunications,2-10 employees,Privately Held,"Auckland, Auckland, New Zealand",New Zealand,dish.co.nz,https://www.linkedin.com/company/dish-nz
UN Afghanistan Freelance Public Reporter,News About UN Agencies and International Organization in Afghanistan.,Media & Telecommunications,Self-employed,Self Owned,"Pleasant Point, Canterbury, New Zealand",New Zealand,,https://www.linkedin.com/company/unafpr-news-afghanistan
Homebuilder.co.nz,"Welcome to the official Homebuilder.co.nz New Zealand's Linkedin page. 

HomeBuilder is an online search engine for homeowners looking for Builders, Architects and Home Designers in New Zealand.",Media & Telecommunications,2-10 employees,Privately Held,"Queenstown, Otago, New Zealand",New Zealand,homebuilder.co.nz,https://www.linkedin.com/company/homebuilder-co-nz
Winepilot,"Winepilot is a trusted authority that delivers free reviews, stories, digital content and experiences internationally to help people around the world drink better and get more out of every sip. To do so our team of wine critics and sommeliers from some of the world's top restaurants taste day and night to uncover the very best wine, beer and spirits. 

But we're a little different too. We don't just provide reviews and scores, we give recommendations on our personal favourites to help our readers drink better everyday. From Pet Nat to Single Malt Scotch, Winepilot is your ultimate drinks guide.",Media & Telecommunications,2-10 employees,Privately Held,"Auckland, Auckland, New Zealand",New Zealand,winepilot.com,https://www.linkedin.com/company/wine-pilot
Empty Spaces,"Founded in 2024, Empty Spaces is an unapologetic pulse for everything music and pop culture. We cover both emerging local talent as well as global movers and shakers, cutting through the noise and diving deep into the sounds that are redefining New Zealand's modern scene.

We provide a range of media opportunities across multiple audience segments in New Zealand. Send an email to hello@emptyspaces.co.nz for more information.",Media & Telecommunications,2-10 employees,Self Owned,"Auckland, Auckland, New Zealand",New Zealand,emptyspaces.co.nz,https://www.linkedin.com/company/emptyspacesnz
NZ Rugby World Kids,"NZ Rugby World KIDS (NZRWK)magazine is a fun and educational publication
catering to 6–12-year-olds. Working alongside rugby role models engages
readers and assists in learning reading, mathematics, writing, Te Reo Māori and
rugby skills. NZRWK is the only rugby magazine in the world for KIDS.",Media & Telecommunications,2-10 employees,Self Employed,"Papamoa, Bay of Plenty, New Zealand",New Zealand,,https://www.linkedin.com/company/nz-rugby-world
