Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Enphase Energy,Enphase Energy is a global energy technology company and the world’s leading supplier of microinverter-based solar and battery systems. We are advancing a sustainable future for all!,Renewable Energy Semiconductor Manufacturing,"1,001-5,000 employees",Public Company,"Christchurch, Canterbury, New Zealand",New Zealand,enphase.com,https://www.linkedin.com/company/enphase-energy
JuicePoint,Electric Vehicle chargers for home or work. Independent Solar PV design and smart grid integrations.,Renewable Energy Semiconductor Manufacturing,Self-employed,Privately Held,"Auckland, Auckland, New Zealand",New Zealand,juicepoint.co.nz,https://www.linkedin.com/company/juicepoint
Sustainable Solutions RE Ltd,"WHO ARE WE?
We are a global independent renewable energy company that transforms customer / supplier relationships into long-term partnerships.

WHY WORK WITH US?
We are solutions orientated, and posses the expertise to develop, design, supply, and finance sustainable projects. We are cost effective providing attractive return on investment solutions. We are not some large corporate that is only interested in profit, but we live in the same communities, and have the same concerns as you. We pride ourselves in finding the right solution for the right application. There is not much we cannot do, we are flexible, try us.

WHAT DO WE BELIEVE?
Climate change poses one of the biggest threats to our planet, and in turn will have an even greater impact on society if we continue to ignore our responsibility as global stewards, and do not take action today. Our company is built on the three pillars of sustainability, and we support the United Nations Global Compact. We incorporate triple bottom principles to ensure long-term sustainability, and support the equal importance, and coexistence of improving peoples lives, reducing our impact on the planet, and building profitable growth.

WHO DO WE WORK WITH?
We believe in building strong long-term partnerships that enable best in class solutions, and resounding results. Our suppliers are hand picked to ensure quality, longevity, and long-term support. Our customers are ethical, responsible, and equally committed to long-term partnerships. Our financing partners are global and sound. Our end-customers are you, and those who want to live in a responsible world, with minimal impact on our surrounding environment.

WHAT SOLUTIONS DO WE OFFER?
Project development, project management, project advisory, solar LED street lighting, e-mobility charging, hybrid smart towers, renewable energy generation and storage to support energy security and independence, energy efficiency projects for energy loading reduction",Renewable Energy Semiconductor Manufacturing,2-10 employees,Privately Held,"Auckland, New Zealand",New Zealand,sussolre.com,https://www.linkedin.com/company/sustainable-solutions-re-ltd
The Isaac Conservation and Wildlife Trust,"The Isaac Conservation and Wildlife Trust is a renewables & environment company based out of 274 Mcleans Island Road, Harewood, Christchurch, New Zealand.",Renewable Energy Semiconductor Manufacturing,,,"Christchurch, Canterbury, New Zealand",New Zealand,isaacconservation.org.nz,https://www.linkedin.com/company/the-isaac-conservation-and-wildlife-trust
Cleanchill Limited,"Off-Grid Renewable Energy Refrigeration Solutions for Remote and Developing Countries

Our containerised solar powered solutions include;
- Milk Chilling
- Produce Chilling
- Freezing
- Abattoirs
- Morgues

We have one global cornerstone client - and looking for deployment partners throughout the world.",Renewable Energy Semiconductor Manufacturing,2-10 employees,Privately Held,"Wellington, Wellington, New Zealand",New Zealand,cleanchill.com,https://www.linkedin.com/company/cleanchill-limited
Scientific Solar,"Design, install, supply solar energy equipment for all applications. 

Use of latest solar power technologies to give customers the best possible energy yields for their application.",Renewable Energy Semiconductor Manufacturing,2-10 employees,Privately Held,"Westport, West Coast, New Zealand",New Zealand,scientificsolar.co.nz,https://www.linkedin.com/company/scientificsolar
Voltaic,"Voltaic is the leading New Zealand supplier of charging stations and software for integrated electric vehicle charging systems. EV charging products for private, business, charging infrastructure management and network solutions for station owners and end users.

We are committed to safe, sustainable and efficient energy consumption for a better tomorrow.",Renewable Energy Semiconductor Manufacturing,2-10 employees,Privately Held,"Christchurch, Canterbury, New Zealand",New Zealand,voltaic-ev.com,https://www.linkedin.com/company/voltaic
Easy bins Southland Ltd,"Easybins is a one-stop-shop with a full range of Skip bins, hook bins and permanent bin solutions. On top of that, we also have Invercargill's only true mini skip trucks within our fleet for better access to your property without the worry of damage to your expensive driveway. You can book online, check out our Facebook page for the latest news and promotions.",Renewable Energy Semiconductor Manufacturing,2-10 employees,Privately Held,"Kennington, Southland, New Zealand",New Zealand,easybins.co.nz,https://www.linkedin.com/company/easy-bins-southland-ltd
BEEZTHINGZ,"We supply the highest number of beehives across the New Zealand, renting and selling beehives with our focus firmly on the wellbeing of the bees.",Renewable Energy Semiconductor Manufacturing,2-10 employees,Privately Held,"Riverhead, Auckland, New Zealand",New Zealand,beezthingz.co.nz,https://www.linkedin.com/company/bee'z-thingz-limited
Divert NZ,"At DIVERT we specialise in pallet and polystyrene removal and recycling.
We are 'Landfill Avoidance Specialists!' who endeavour to find pathways to keep as many materials as possible in circulation and out of landfills.
We remove pallets from businesses, taking the good with the bad, ensuring that we leave your space immaculate. We keep pallets in circulation (and out of skip bins and the landfill) by sorting, grading and  repairing them, then finding new homes for them with other businesses. End-of-life pallets and waste wood are deconstructed, then sent for shredding into landscaping mulch.
We also remove and recycle Polystyrene from businesses. We have made a significant investment in a polystyrene compactor, that reduces EPS grade polystyrene to 1/40th of its original size. It is then collected by the tonne by recycling brokers and recycled into other plastics overseas. We are exploring uses within NZ as well; such as emerging technology that should soon allow polystyrene to be used as a substitute for thickening agents in the production of paint.
For now our focus is on preventing polystyrene from filling up our landfills, or worse, breaking down into smaller pieces, being windblown, then being washed down the stormwater drains and out into the Ocean.
Our DIVERT Team are all Site Safety trained and will ensure that we stay clear of your operations and work in with your Health + Safety procedures.  (we also carry public liability insurance)
We offer a professional and reliable service and will do our best to come within 2-3 (working) days of being contacted.
If you have a PALLET or POLYSTYRENE PROBLEM - Please give us a call! 0800 2 DIVERT",Renewable Energy Semiconductor Manufacturing,2-10 employees,Privately Held,"Auckland, Auckland, New Zealand",New Zealand,divert.nz,https://www.linkedin.com/company/divertnz
