Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
WEG,"Founded in 1961, WEG is a global electro-electronic equipment company, operating in the capital goods sector a with focus on electric motors, gearboxes and drives and controls, energy generation and transformers, electrification products and systems, automation and digitalization. WEG stands out in innovation by constantly developing solutions to meet the major trends in energy efficiency, renewable energy and electric mobility. With manufacturing units in 15 countries and present in more than 135 countries, the company has more than 47,000 employees worldwide. WEG’s net revenue reached R$ 38.0 billion in 2024, 57.0% from external markets.","Appliances, Electrical, and Electronics Manufacturing","10,001+ employees",Public Company,"Levels, Canterbury, New Zealand",New Zealand,weg.net,https://www.linkedin.com/company/weg
Digital Automotive Limited,,"Appliances, Electrical, and Electronics Manufacturing",,,"Wellington, New Zealand",New Zealand,,https://www.linkedin.com/company/digital-automotive-limited
Rhythm Rendezvous,,"Appliances, Electrical, and Electronics Manufacturing",,,"Auckland, Auckland, New Zealand",New Zealand,rhythmrendezvous.co.nz,https://www.linkedin.com/company/rhythm-rendezvous
Online Hi Fi,,"Appliances, Electrical, and Electronics Manufacturing",,,"Christchurch, Canterbury, New Zealand",New Zealand,onlinehifi.co.nz,https://www.linkedin.com/company/online-hi-fi
Next AV,"We are experts in the field of smart home design and installation, and we take time to inform and educate our customers about what’s possible and how this cutting edge technology can genuinely enrich their lives.","Appliances, Electrical, and Electronics Manufacturing",,,"Auckland, Auckland, New Zealand",New Zealand,nextav.co.nz,https://www.linkedin.com/company/next-av
M.K. TEST SYSTEMS LTD.,,"Appliances, Electrical, and Electronics Manufacturing",,,"Wellington, Wellington, New Zealand",New Zealand,,https://www.linkedin.com/company/m.k.-test-systems-ltd.
JAM BIDCO LIMITED,,"Appliances, Electrical, and Electronics Manufacturing",,,"Wellington, Wellington, New Zealand",New Zealand,,https://www.linkedin.com/company/jam-bidco-limited
JAM TOPCO LIMITED,,"Appliances, Electrical, and Electronics Manufacturing",,,"Wellington, Wellington, New Zealand",New Zealand,,https://www.linkedin.com/company/jam-topco-limited
Jansen Pro Audio,,"Appliances, Electrical, and Electronics Manufacturing",,,"Auckland, Auckland, New Zealand",New Zealand,jansen.nz,https://www.linkedin.com/company/jansen-pro-audio
DRILLING SYSTEMS GROUP LIMITED,,"Appliances, Electrical, and Electronics Manufacturing",,,"Christchurch, Canterbury, New Zealand",New Zealand,,https://www.linkedin.com/company/drilling-systems-group-limited
