Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Siemens,"Siemens AG (Berlin and Munich) is a leading technology company focused on industry, infrastructure, mobility, and healthcare. The company’s purpose is to create technology to transform the everyday, for everyone. By combining the real and the digital worlds, Siemens empowers customers to accelerate their digital and sustainability transformations, making factories more efficient, cities more livable, and transportation more sustainable. A leader in industrial AI, Siemens leverages its deep domain know-how to apply AI – including generative AI – to real-world applications, making AI accessible and impactful for customers across diverse industries. Siemens also owns a majority stake in the publicly listed company Siemens Healthineers, a leading global medical technology provider pioneering breakthroughs in healthcare. For everyone. Everywhere. Sustainably. In fiscal 2025, which ended on September 30, 2025, the Siemens Group generated revenue of €78.9 billion and net income of €10.4 billion. As of September 30, 2025, the company employed around 318,000 people worldwide on the basis of continuing operations.",Automation Machinery Manufacturing,"10,001+ employees",Public Company,"Auckland, Auckland, New Zealand",New Zealand,siemens.com,https://www.linkedin.com/company/siemens
Incon,"Incon is a Waikato industrial electrical & engineering team that have worked in the primary sector for the past 20 years, primarily in food processing/dairy, manufacturing plants, and waste/stormwater processing.
We specialise in controls and process wiring, design and engineering, right through from conception to project completion.
Incon prioritizes health and safety in all their projects and proudly holds Tōtika pre-qualification, ensuring the highest standards are consistently met.
• Process plant control and instrumentation.
• Robotic plant integration and design.
• Electrical cabinet design and build.
• Automation and SCADA/HMI.
• Pump and motor controls (VSD, DOL, etc.)
• Stormwater and wastewater processing and monitoring.
• Thermographic inspections and reporting.",Automation Machinery Manufacturing,2-10 employees,Privately Held,"Hamilton, Waikato, New Zealand",New Zealand,incon.co.nz,https://www.linkedin.com/company/inconautomation
LOADRITE NZ,"LOADRITE NZ is the Authorised Loadrite Dealer for New Zealand. 
We Supply, Service and Calibrate Loadrite Weighing Systems for the Quarry, Mining, Agriculture, Waste and Recycling business sectors.",Automation Machinery Manufacturing,11-50 employees,Public Company,"Tauranga, Bay of Plenty, New Zealand",New Zealand,loadritescales.co.nz,https://www.linkedin.com/company/loadrite-dealer-nz
Enterprise Electrical,"Enterprise Electrical are industrial electrical contractors serving Auckland’s manufacturing and processing industries. We provide a full range of electrical design, automation, installation and maintenance services.  Our experienced, licensed industrial electricians specialise in wiring, installing and servicing manufacturing and processing machinery for our market leading customers.

Our goal is to provide competent, professional electricians to our industrial customers who want the job done right first time, safely and on budget.",Automation Machinery Manufacturing,2-10 employees,Privately Held,"Auckland, Auckland, New Zealand",New Zealand,enterpriseelectrical.co.nz,https://www.linkedin.com/company/enterprise-electrical
Mantis Systems,"Mantis Systems Ltd provides solutions for Industrial Automation, Mobile Computing, Ethernet Networks, Wireless Communications and Remote Access to Controls. We are continually expanding our product line and entering new fields. Over the last 15 years Mantis Systems has operated as a market leader in industrial solutions for businesses locally and abroad. Whether your business requirement be small or large, Mantis provides advanced and efficient solutions.",Automation Machinery Manufacturing,2-10 employees,Privately Held,"Dunedin, Otago, New Zealand",New Zealand,mantis-sys.co.nz,https://www.linkedin.com/company/mantis-systems-ltd
Cole Power,"Cole Power is an Auckland based electrical engineering and contracting company. We provide a full range of electrical and engineering services to our industrial and marine clients including designing of systems, installation, maintenance and repair.

Russell Cole who founded Cole Power is an industrial electrician who started his electrical career with a company that would design, build, install and commision both diesel and electric sprinkler systems. He then went on to work for a company who served the fuel industry and was heavily involved with Hazardous Areas installations and maintenance.

With the experience gained in these industries Cole Power has specialised in the Industrial and Marine electrical fields. 

Most of our Marine work is commercially focused as these vessels are basically floating factories working at sea.

Cole Power is a team effort and the training of our employees to both better themselves on the tools and off the tools is our key focus as we firmly believe that if we treat our employees well and look after them then they will look after your factory or vessel as if it were their own.

You can trust Cole Power will provide you and your assets with a lifetime of good old honest service.",Automation Machinery Manufacturing,2-10 employees,Privately Held,"Auckland, Auckland, New Zealand",New Zealand,colepower.co.nz,https://www.linkedin.com/company/cole-power
Stirling Performance Solutions,"combining production strategy and automation solutions seamlessley. culture to performance, manager to machine",Automation Machinery Manufacturing,2-10 employees,Self Employed,"Nelson, Nelson, New Zealand",New Zealand,stirlingperformancesolutions.com,https://www.linkedin.com/company/stirling-performance-solutions
Cristian Ailincai,,Automation Machinery Manufacturing,11-50 employees,Public Company,"Auckland, Auckland, New Zealand",New Zealand,omron-ap.co.nz,https://www.linkedin.com/company/omron-electronics-ltd-new-zealand
Mode Robotics,"Mode Robotics is a new robotics company that aims to become the leader of Ai robotic solutions for New Zealand. Our robot services allow businesses to be safe against Covid-19, save money and empower their business through innovation.",Automation Machinery Manufacturing,Self-employed,Privately Held,"Wellington, Wellington, New Zealand",New Zealand,,https://www.linkedin.com/company/mode-robotics
Cybernetic Systems Ltd,"Engineering Services & Consulting - Electrical
Electrical Engineering - Automation & Control
App development for a variety of applications 

Project Management - Complex Technical Projects
Training for Professional Engineers - SCADA - Schneider & Citect",Automation Machinery Manufacturing,2-10 employees,Privately Held,"Auckland, Auckland, New Zealand",New Zealand,cybernetic.co.nz,https://www.linkedin.com/company/cybernetic-systems-ltd
