Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Garmin New Zealand,"Founded in Kansas, United States in 1989, Gary Burrell and Min Kao launched their first product – a GPS unit which signified the birth of Garmin. Since then, Garmin has become a truly global brand and offers innovative engineering products in 5 diverse segments covering Automotive, Aviation, Fitness, Marine and Outdoor Recreation.

2014 marked the birth of Garmin New Zealand. Since then, we’ve grown into a business with around 100 associates and in 2022 moved into our new facility here in Grey Lynn, Central Auckland. Headquartered in the ‘City of Sails’, our engineering focus is on Garmin marine products, marine communication, Fusion marine audio and Garmin Guardian asset protection.

Garmin makes products that are engineered on the inside for life on the outside. Our culture for honesty, integrity and respect allows for an attractive working environment where we are committed to creating products with compelling design, superior quality and best value. We do this so our customers can make the most of the time they spend pursuing their passions. We believe that every day is an opportunity to innovate and a chance to beat yesterday.",Consumer Electronics,51-200 employees,Public Company,"Auckland, Auckland, New Zealand",New Zealand,garmin.com,https://www.linkedin.com/company/garminnewzealand
Lune Digital,Lune Digital is a New Zealand company constantly seeking new challenges and pushing the boundaries of technology. We are a creative and enthusiastic team of hardware and software engineers with a passion for technology.,Consumer Electronics,2-10 employees,Privately Held,"Auckland, Auckland, New Zealand",New Zealand,lune-digital.com,https://www.linkedin.com/company/lune-digital-limited
Mearth Electric Scooters,"At Mearth we believe in innovation. Change is constant, and it's adaptation. That's why we strive to make your life easier. As Engineers, we combine technological advancements with our existing products to improve their efficiency and benefit. As craftsmen, uncompromising quality is our standard. We are perfectionists who accept nothing less than the best. We are here to set a new standard and lead the pack. We think outside of the box and continuously question the norm. We aim to make life more comfortable, and above all, more fun!",Consumer Electronics,11-50 employees,Privately Held,"Christchurch, Canterbury, New Zealand",New Zealand,mearth.com.au,https://www.linkedin.com/company/mearth-au
Avation,"Automation and audio-visual suppliers for the custom installation industry. 

Avation first opened their doors on the sunny Gold Coast in QLD, 2010 with a small team of 3 dedicated people who all shared a passion for smart home automation, audio visual and control solution products. As the technology grew and evolved so did Avation, now with a branch in New Zealand as well, we boast a team of 13 enthusiastic and dedicated staff, Avation is now the premier provider of control systems and audio visual distribution solutions.

Today, Avation is committed to providing you with not only the latest and best of the audio visual and control products highlighted on this website, but also with providing exceptional customer service, training and technical support to our extensive dealer network.

Our experienced technical support team are standing by to support you with all your technical requirements, in all aspects of home & commercial building automation and systems integration. Need help with innovative designs and solutions to challenges that you may be facing in your AV projects? Contact us, we will design the best solution for you

Proud members of CEDIA and HDBaseT alliance. Extensive deal network across Australia and New Zealand. Full turn key solutions for any project.",Consumer Electronics,11-50 employees,Privately Held,"Auckland, Auckland, New Zealand",New Zealand,avation.com.au,https://www.linkedin.com/company/avation
AV Expression,"AV Expression is an Auckland based company that specialize in Custom Electronics Design and Integration. Our expertise allows us to specify and install the right products, systems and layouts to meet the needs and budgets of our residential and commercial clients.",Consumer Electronics,2-10 employees,Public Company,"Auckland, Auckland, New Zealand",New Zealand,avexpression.co.nz,https://www.linkedin.com/company/av-expression
MoErgo,"We are nuts in ergonomics. We have seen too many friends suffer from RSI/OOS and we are here to change that. 

Glove80 is now on Kickstarter https://www.kickstarter.com/projects/moergo/glove80-the-incredibly-comfortable-ergonomic-keyboard",Consumer Electronics,2-10 employees,Privately Held,"Lower Hutt, Wellington, New Zealand",New Zealand,moergo.com,https://www.linkedin.com/company/moergo
LG Business Solutions New Zealand,"Information Display
Rethink Digital Signage with OLED
Unlike LED, OLED's manufacturing, low-weight and slim form factor permits a dual-view (front and back) composition, opening up a new world of retail and corporate signage possibilities.

OLED
LG now brings revolutionary OLED technology to commercial displays. These amazing displays are available in curved tiling, arched and flat configurations, with the ability to swap and mirror content on either side of the screen. The displays provide perfect blacks and vivid colours—the same unrivaled picture quality that consumers recognize from the state-of-the-art LG OLED televisions.

Digital Signage
Increase your company’s impact while leaving a lasting impression.

Commercial TV
Discover the LG Pro: Centric Hotel TV solution, designed for easy customisation and remote diagnostics.

Video Wall
LG video walls offer a stunning way to capture your customers attention.

Standard
With LG Standard Signage, maximise your business message.",Consumer Electronics,11-50 employees,Public Company,"Auckland, Auckland, New Zealand",New Zealand,lg.com,https://www.linkedin.com/company/lg-business-solutions-new-zealand
The Sound Store,"The Sound Store has been an iconic store in Newmarket for 20 + years. We are proud to be the largest single door store in Australasia for Sonos and also do KEF, Devialet, Bluesound and Audioquest products. We are specialists and as part of the offering provide turnkey installed systems. Cant is only CAN with a T
The Sound Store is open for business. Come in, meet the team and check out the new refurbishment. Our aim is to make the store an experience that integrates the comfort of your own home with the latest and greatest in sound and automation technology, as well as enjoying a fresh coffee of course...",Consumer Electronics,2-10 employees,Privately Held,"Auckland, Auckland, New Zealand",New Zealand,thesoundstore.nz,https://www.linkedin.com/company/thesoundstore
Spectrum Laboratories Ltd.,"Spectrum Laboratories Ltd is an internationally accredited laboratory specialising in the independent safety testing of electrical appliances and light industrial equipment

Spectrum Labs is celebrating it's 30th year in business, having originally gained IANZ accreditation  in 1988.  

Located in the centre of the World-Class Highbrook Industrial Park in East Tamaki, Auckland, Spectrum Laboratories Ltd. operate a number of independent IANZ accredited laboratories with a wide range of skills and expertise, in electrical and light industrial appliance testing, solid fuel appliance testing, calibration (ovens and multimeters) and environmental testing (temperature, humidity, IP ingress protection) and material testing.  Regulatory compliance advice for importers and distributors, is also available for certification and SDoC.

Spectrum is firmly focused on servicing manufacturers, importers, wholesalers and distributors throughout Australasia, Europe and North America through a commitment to excellence.

Spectrum employs a strong team of Compliance Engineers, with many year's experience in test services - providing fast turnaround of testing services and accredited test reports for its customers.",Consumer Electronics,11-50 employees,Privately Held,"Auckland, Auckland, New Zealand",New Zealand,spectrumlab.co.nz,https://www.linkedin.com/company/spectrum-laboratories-ltd
Pylot,"Know when you are ready for deep work, shallow tasks, or need a break.",Consumer Electronics,2-10 employees,Privately Held,New Zealand,New Zealand,trypylot.com,https://www.linkedin.com/company/trypylot
