Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Yokogawa Australia & New Zealand,"Established in 1915, Yokogawa is a leading provider of Industrial Automation, Process Safety, Process Instrumentation, Cloud, Data Analytics and Energy Management solutions. Combining ultra-reliable technology with engineering excellence, Yokogawa delivers field proven operational improvement, safety, quality, and reliability.
With a presence in the region for over thirty years, we have been improving the lives of everyday Australians and New Zealanders through the provision of engineering and solutions excellence to key industries and critical infrastructure. Our reputation for quality and reliability ensures the highest standards of water purity, food quality, reliable and sustainable energy provision plus minerals supply to help grow our economies. Our dedication to building a safe and sustainable future through emissions monitoring, raw materials reduction and process improvements have been rewarded with globally recognised awards.  
As an energetic, service-focused business with an enviable reputation for quality and reliability, our people are our strength. Acknowledged at the highest levels for meeting the most demanding of schedules, often on applications that test the limits of conventional platforms and expertise, we work collaboratively with our clients to ensure an optimal outcome designed and installed to the highest possible safety standards. Our resilient transformation approach to improving your operations not only utilises our fit for purpose technology but delves into the best-in-class expertise which is the foundation for some of the world’s most successful Power generators.
A proudly diverse and inclusive organisation, we provide solutions that enhance safety, ensure accurate and reliable operation, open windows to previously inaccessible process insights and increase overall plant efficiency. Our total solutions approach ranges from specific process measurement, through packaged applications to complete remote operations solutions.",Industrial Automation,201-500 employees,Public Company,"Christchurch, Canterbury, New Zealand",New Zealand,yokogawa.com,https://www.linkedin.com/company/yokogawa-australia-newzealand
Combined Technologies Limited (CTEK),"Combined Technologies (CTEK) is a leading company in the field of Industrial Automation, Control Systems Integration and Reporting Systems for many diverse industries including Dairy, Food and Beverage, Mining, Paper and Pulp etc. throughout New Zealand and Australia. 
Our Engineers are based within our Hamilton and Auckland office, our clients' offices throughout New Zealand and are responsible for designing, installing, and maintaining large scale automation systems.",Industrial Automation,51-200 employees,Privately Held,"Hamilton, Waikato, New Zealand",New Zealand,ctek.co.nz,https://www.linkedin.com/company/combined-technoligies
NZ Controls Ltd,"Since 2005 NZ Controls have been a major engineering service provider to NZ Industry. Embracing Industry 4 technologies, our customer focused team of 40+ engineers are learning these technologies before our customers demand them, so we are ready to apply them to our local industry. NZC accesses the worlds most advanced products, provides local engineering for process automation solutions, and brings them together to offer a world class service. We are a supplier of Ignition SCADA, and gold certified provider of Seeq advanced process analytics, working across F&B, Water, Utilities, OEMs and other sectors. Our process is simple:
Consult – Design – Deliver",Industrial Automation,11-50 employees,Privately Held,"Auckland, Auckland, New Zealand",New Zealand,nzcontrols.co.nz,https://www.linkedin.com/company/nzcontrols
Festo New Zealand,"Festo is a leading worldwide provider of automation technology for factory and process automation.  Celebrating 30 years of innovation in New Zealand and over 90 years globally, Festo has continuously elevated the state of manufacturing with innovations and optimized motion control solutions that deliver higher performing, more profitable automated manufacturing and processing equipment. 

The portfolio offers over 30,000 pneumatic and electric products for factory and process automation technology which can be tailored to specific customer needs in a variety of modular programs. The basic product range comprises pneumatic and electric drives, valves, servo controllers, motion control, valve terminals, installation-saving connection technology, handling and assembly technology, air preparation equipment, fittings, vacuum technology, position and quality inspection, sensors and control technology, as well as a comprehensive range of basic and further training products.

Festo products deliberately cover a broad spectrum, ranging from individual components and sub-assemblies right up to complete systems. It is this complete product offering for factory as well as process automation that allows Festo to develop cross-industry system solutions and support customers from a mix of industry segments. Customers thus receive everything from a single source.

We are located in Auckland and Christchurch. We also have numerous service distributors who ensure that advice, service, delivery quality and reliability precisely meet customer needs across all regions. 

Contact info:

Head Office Auckland
+64 (0)9 574 1094 

Branch Office Christchurch
+64 (0)3 348 8796 

General enquiries, Orders, Availability
orders_nz@festo.com

Technical Support
support_nz@festo.com",Industrial Automation,11-50 employees,Privately Held,"Auckland, Auckland, New Zealand",New Zealand,festo.com,https://www.linkedin.com/company/festo-new-zealand
Viking Conveyor,"New Zealands leading supplier and installer of conveyor belt and conveyor hardware with 22 workshops nation wide offering 24 hour repair and installation services.

Viking Conveyor is the New Zealand distributor of Yokohama, Ammega, Volta, Tru-Trac, Jimway and MLT conveyor belt and conveyor hardware.",Industrial Automation,51-200 employees,Privately Held,"Auckland, Auckland, New Zealand",New Zealand,vikingconveyor.co.nz,https://www.linkedin.com/company/viking-conveyor
Advanced Packaging Systems,"Originally established in 1999, today APS has over 30 years’ experience selling high-quality processing and packaging equipment to manufacturers located in New Zealand, Australia, and the Pacific. 

Our products are designed to meet exacting industry standards, providing reliability and durability for even the most heavy duty industry applications. 

We have a long list of companies that return to us time and time again for all their requirements and we deliver the same impeccable service each and every time.

Call us on +64 09 966 3360 to see how we can help with your requirements.",Industrial Automation,2-10 employees,Privately Held,"Auckland, Auckland, New Zealand",New Zealand,advancedpackaging.co.nz,https://www.linkedin.com/company/advanced-packaging-systems-nz
INRO Technologies Ltd,"INRO is a New Zealand-based high tech company at the forefront of advances in industrial vehicle robotics. We apply robotics to forklifts operating in warehouses, allowing them to function with or without a driver – enabling significant cost savings whilst retaining operational flexibility. Our customers include Fonterra, the world's largest exporter of dairy products, and we are working with leading forklift manufacturers to add global scale to our business. Founded back in 2005, INRO was spun out from Auckland University and was named  Start Up of the Year at the 2008 NZ Incubator Awards. For more information about us, please visit our website. 

.",Industrial Automation,11-50 employees,Privately Held,"Auckland, Auckland, New Zealand",New Zealand,inrotechnologies.com,https://www.linkedin.com/company/inro-technologies-ltd
Streat Automation,"Streat Automation is a Christchurch based supplier of industrial automation, process control and information systems.

We have been supplying engineering solutions to New Zealand and international companies for over 20 years.  Our clients include Meridian, Cadbury, Bathurst Mining & Fonterra.  

Streat Automation is 100% owned by a management team of three who all work in the business.

We are systems integrators for the leading process control and automation vendors; Rockwell Automation, Schneider Electric, Siemens & others.",Industrial Automation,2-10 employees,Privately Held,"Christchurch, Canterbury, New Zealand",New Zealand,streat.co.nz,https://www.linkedin.com/company/streat-automation
Livestock Visibility Solutions,"Livestock Visibility Solutions was born from a commitment to find solutions to the challenges of working with livestock. We use technology and logic to create products which help in the wellbeing of animals and staff and return greater profitability for the farm. 

Our flagship product ""Flow"" is a camera-based AI solution for the existing crowd/backing gate which responds to herd movement in real time for faster milkings and improved animal wellness outcomes.",Industrial Automation,2-10 employees,Privately Held,"Christchurch, Canterbury, New Zealand",New Zealand,lvs.nz,https://www.linkedin.com/company/lvs-nz
CSE W Arthur Fisher,"CSE W Arthur Fisher have been operating as a supplier and systems integrator of power, instrumentation, communications and control systems since 1927. Their extensive portfolio of world-class products and services include many well-known brands, all of which are supported by their local engineering, service and sales teams.

In 2009, W Arthur Fisher Limited merged with CSE Uniserve NZ Limited and a new company named CSE W Arthur Fisher Limited was formed. The combined expertise from both companies created a formidable force in the marketplace, they have firmly established themselves as one of New Zealand’s largest and most diversified suppliers of control, electrical, automation and communications products and systems.

Their qualified team of engineers offer design, engineering services, integration, installation, commissioning, product sales, service, maintenance and training for a wide range of plant automation, telemetry, radios and SCADA applications and can also manage all stages of a project. Their service engineers are fully qualified and trained to provide on or offsite instrument inspection and repair, plant audits, valve and pump repairs and reconditioning.

With over 90 years of experience, CSE W Arthur Fisher are specialists in delivering turnkey electrical and automation solutions to the transportation, water, power and energy, mineral processing, oil and gas, communications, agriculture and irrigation industries throughout New Zealand and the Pacific Islands.",Industrial Automation,11-50 employees,Public Company,"Auckland, Auckland, New Zealand",New Zealand,cse-waf.co.nz,https://www.linkedin.com/company/csewarthurfisher
