Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Siemens,"Siemens AG (Berlin and Munich) is a leading technology company focused on industry, infrastructure, mobility, and healthcare. The company’s purpose is to create technology to transform the everyday, for everyone. By combining the real and the digital worlds, Siemens empowers customers to accelerate their digital and sustainability transformations, making factories more efficient, cities more livable, and transportation more sustainable. A leader in industrial AI, Siemens leverages its deep domain know-how to apply AI – including generative AI – to real-world applications, making AI accessible and impactful for customers across diverse industries. Siemens also owns a majority stake in the publicly listed company Siemens Healthineers, a leading global medical technology provider pioneering breakthroughs in healthcare. For everyone. Everywhere. Sustainably. In fiscal 2025, which ended on September 30, 2025, the Siemens Group generated revenue of €78.9 billion and net income of €10.4 billion. As of September 30, 2025, the company employed around 318,000 people worldwide on the basis of continuing operations.",Automation Machinery Manufacturing,"10,001+ employees",Public Company,"Singapore, Singapore",Singapore,siemens.com,https://www.linkedin.com/company/siemens
Alpha X Technology,"Alpha X is an innovative high-tech manufacturing technology company pioneering the integration of advanced automation, transportation and AI-driven solutions to revolutionize traditional manufacturing processes. We harness the power of artificial intelligence, machine learning, and robotics to optimize production efficiency, enhance product quality, and foster sustainability across diverse high tech industries.",Automation Machinery Manufacturing,2-10 employees,Partnership,"Singapore, Singapore",Singapore,alphaxtec.com,https://www.linkedin.com/company/alpha-x-technology-pte-ltd
PROFILE SOLUTIONS + PROFILE SOLUTIONS USA Inc.,"Profile Solutions is a trading name of Gecam Industries which started in February 1993 and has since day one has been offering leading edge leak testing solutions for plastic containers. We have exported to 37 countries to date.

We have solutions up to 1000L and testing rates for small bottle to > 40,000 bottles per hour.

Based on the edge of the Sydney metro area in Australia.

In 2016 we have pushed single head test rates to new levels at rates of around 17,475 per hour on one head (World Record).

We can offer other automation with our leak testers.

We have made Nissei take-outs with integrated leak testers, bottle palletisers, collating tables, etc.

In Australia, we have experience with Cartesian robots and associated automation.

Also see our Youtube channel PROFILE1963, https://www.youtube.com/user/PROFILE1963/videos and http://www.slideshare.net/ProfileSolutionsOZ/profile-overview-2015-40204

We not only supply the 6LD, but a complete range, at a great value

-2LD+ up to 3600/hr small bottles  
-4LD up to 4500/hr small bottles 
-6LD single head.
-6LD multi-head for medium range bottles up to 18,000 per hour.
-Traveling head - multi sections for up to 36000 per hour.
-Traveling head single section multiple heads to beyond >45,000.per hor
-Rotaries coming, imagine the speed with the 6LD tech.
-30LD for up to in manual version and automatic version up to 100L.
-Drum weighing, CNC bung insertion, CNC dust cap placing.
-250LD WORP with weighing, orientation, punching of the rim.
-Take-outs for single stage PET machines, with integrated leak testers.
-Palletising
-Automation, we are doing more automation than ever.
- Bung Insertion Devices
- Automation, we have done over USD 700K in 2017 and the first half of 2018, mainly with Bung insertion, handling and 15-25L plastic drum palletizing.

+ Profileflex conveyors See www.profileflex.com. 25% less expensive than flexlink.",Automation Machinery Manufacturing,2-10 employees,Privately Held,"Singapore, Singapore",Singapore,profauto.com.au,https://www.linkedin.com/company/profile-solutions
LINX Singapore Pte Ltd,"LINX Singapore is the leading technology provider in SEA that provides cutting edge products for Industrial Automation in the Industry 4.0 age. The company focuses on Advanced Manufacturing, 3D Robotics and IIoT to spearhead the growth. 

We empower companies to create winning businesses by developing better and more precise machines, technologically advanced equipment with unsurpassed connectivities to capture their respective markets. Our best-in-class products are sourced from leading Manufacturers in America, Europe, Japan and China to enable firms to deliver effective and advanced solutions in DEEP LEARNING, High Performance Vision Inspection Systems, 3D Measurement, Automated Robotics, IIOT and Imaging applications. 

Global products for the local markets! 
As part of the LINX Organization, we setup a strong network of offices to serve our valued customers in SEA - Singapore(HQ), Malaysia, Thailand, Vietnam.  As a gateway to the geographically important  region of ASEAN, global suppliers will find in us the strongest partner to work with. 

Our dedicated sales and engineering team strive to match the best products to the right customers, at the most cost effective value.",Automation Machinery Manufacturing,11-50 employees,Privately Held,"Singapore, Singapore",Singapore,linx-sg.com,https://www.linkedin.com/company/linx-singapore
Supmea Automation,"Mission:Globalize the Chinese quality instruments
Value:Customer centric   striver oriented
Position: Committed to process automation solutions

Supmea is a professional manufacturer and supplier for industrial process automation sensors and instrument, paperless recorder,chart recorder, digital meter, signal isolators, pressure transmitter,temperature transmitter,flow meter etc. Supmea offers supporting products and for one-stop-service and in industries as widespread as oil & gas, water & wastewater, chemical & petrochemical in more than 30 countries
By offering a wide range of sensors and instruments for process automation industry, Supmea will take further efforts to become closer to its customers to respond quickly and effectively to their demands.
With diverse market needs and global customers ,Supmea also makes constant efforts to establish strong partnerships with distributors all over the world, integrating itself into the local innovation system and meanwhile contribute to global technological innovations.
By 2019, the company has a wide quantities of R&D researchers and engineers, and more than 270 employees in the head office. In China, Supmea’s branch offices are located in Beijing, Shanghai Gansu and Guangzhou, etc,in order to offer better service to customers. Meanwhile, Supmea has extent distributor relationship world widely in Singapore, Malaysia, Indonesia, India, Pakistan, Australia,South Africa,Argentina etc. 
Supmea has always risen to the challenge by fearlessly embracing the changes and offer our customers top-quality products and solutions, with its strong foundation that will enable us to pursue global growth as a solutions and service company by offering high value-added service.
Customer focused, Supmea is committed to process automation solutions and continuing to play an indispensable role in supporting industries more intelligent and efficient.",Automation Machinery Manufacturing,201-500 employees,Privately Held,"Singapore, Singapore",Singapore,supmeaauto.com,https://www.linkedin.com/company/supmea-automation
Getech Automation Pte Ltd,"Getech Automation was established in 1992 to focus on developing and manufacturing machines and systems to meet key needs of the PCBA and Semi-conductor industries. Today Getech has evolved to become a major producer of machinery and automation systems used by the Tech Manufacturing Industry. Today Getech’s expertise extends beyond the world of electronics to include Governmental agencies Pharmaceutical and Patient Care facilities.

Check out out social media platforms:
Facebook: https://www.facebook.com/getecha/",Automation Machinery Manufacturing,51-200 employees,Privately Held,"Singapore, Singapore",Singapore,getecha.com,https://www.linkedin.com/company/getech-automation-pt-ltd
exida Asia Pacific Pte Ltd,"exida Asia Pacific Pte Ltd is a wholly-owned subsidiary of exida.com LLC.

Companies around the world turn to exida for help and guidance related to functional safety, alarm management, and cybersecurity. Our team of industry leading consultants have over 400 years of combined knowledge, with extensive experience in Chemical, Oil & Gas, Subsea, Metals and Mining, Pharmaceutical, Pulp & Paper, Power Utilities, Automotive, and Machinery applications. This unique combination of technical depth and hands on experience enables exida to provide practical solutions to address your most difficult challenges.

exida is the choice of leading companies when it comes to implementing and achieving compliance to the global standards relating to the IEC 61508 and IEC 61511 standards for safety; IEC 62443 for industrial control system cybersecurity; ISA-18.2 for alarm management; ISO 26262 for the automotive industry, and IEC 62061 for safety of machinery.",Automation Machinery Manufacturing,51-200 employees,Privately Held,"Singapore, Singapore",Singapore,exida.com.sg,https://www.linkedin.com/company/exida-asia-pacific
Manufacturing Integration Technology Ltd,"Manufacturing Integration Technology Ltd. (“MITL”) was founded in 1992 by our Chairman, Mr Tony Kwong, to provide industrial automation services to the electronics industry in Singapore. In a span of more than 30 years, we have evolved to become a capital goods supplier serving the semiconductor, solar, manufacturing systems, customised automation and contract equipment manufacturing (“CEM”) industries. Our markets cover our home ground in Singapore, as well as Asia, Australia, Europe and USA. MITL became a public listed company in 1999 with its shares traded on the Mainboard of the Singapore Exchange Ltd (“SGX”).

We are focusing our core businesses on manufacturing systems solutions, customized automation and contract equipment manufacturing (build-to-print). We provide design services and have manufacturing capabilities in Singapore and Penang (Malaysia). We have global sourcing and shipping capabilities to augment our proven project management expertise and well supported ERP cum ISO- certified systems.

We operate from four facilities; two in Ang Mo Kio (Singapore), Bayan Lepas (Penang, Malaysia) and the other in Jiading District (Shanghai, China). Our corporate headquarter is in Singapore.",Automation Machinery Manufacturing,51-200 employees,Public Company,"Singapore, Singapore",Singapore,mitech-ltd.com.sg,https://www.linkedin.com/company/manufacturing-integration-technology-ltd
Pilz South East Asia,"Pilz South East Asia is a trusted partner for machinery safety, industrial security and safe automation across Southeast Asia.

Established in 2016, Pilz South East Asia supports manufacturers, machine builders, system integrators and industrial operators through offices in Singapore, Thailand and Malaysia, with a presence in Vietnam and a strong network of partners in Indonesia and The Philippines.

As part of the Global Pilz Group, we combine machinery safety expertise with safety-rated and certified automation solutions, including safety sensors, safety switches, safety relays, safety controllers, industrial communication and access permission systems.

Beyond supplying safety technology, we work alongside manufacturers, machine builders, and industrial operators as a trusted machinery safety partner, providing machine risk assessments, safety engineering and implementation, machinery safety validation, functional safety services, compliance support, and training to help reduce risk, protect people, and improve operational performance.

Supporting customers throughout the machine lifecycle, we help protect people, safeguard machinery, and improve productivity through safe and secure automation.",Automation Machinery Manufacturing,11-50 employees,Privately Held,"Singapore, Singapore",Singapore,pilz.com,https://www.linkedin.com/company/pilz-south-east-asia
BIB Robotics,"BIB Robotics provides autonomous cleaning robots for commercial facilities worldwide.

Our solutions replace manual floor cleaning with intelligent robotic systems, enabling continuous, high-efficiency and standardized cleaning operations at scale.

We serve retail environments, supermarkets, warehouses, office buildings, and high-traffic public spaces.

By combining robotics, AI navigation, and cloud fleet management, we help organizations reduce cleaning labor dependency, lower operational costs, and ensure consistent cleaning quality across sites.",Automation Machinery Manufacturing,"501-1,000 employees",Public Company,"Singapore, Singapore",Singapore,bibrobotics.com,https://www.linkedin.com/company/bibrobotics
