Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Bruker Nano GmbH,"The Bruker Nano GmbH in Berlin, Germany, develops, manufactures and markets X-ray systems and components for elemental and structural analysis on electron microscopes such as the energy-dispersive X-ray spectrometers QUANTAX EDS with the XFlash Silicon Drift Detectors, the fastest and most sensitive electron backscatter diffraction systems QUANTAX EBSD with the revolutionary eWARP detector for direct electron detection (DED) and micro-spot X-ray sources for micro-XRF on SEM (QUANTAX Micro-XRF).

The company was founded in 1991 as ROENTEC GmbH and started with the production of EDS. In 2005 it  was purchased by Bruker Inc. and is now part of its materials analysis business group.",Nanotechnology Research,201-500 employees,Privately Held,"Singapore, Singapore",Singapore,bruker.com,https://www.linkedin.com/company/bruker-nano-gmbh
Gauzy,"Gauzy (NASDAQ:GAUZ) is a global leader in Smart Glass and ADAS technologies, focused on the research, development, manufacturing, and marketing of vision and light control technologies and systems.  

We believe in innovation that matters. By making materials that do more, we reimagine how we interact with our surroundings and the spaces we spend our time most through light, and the control of it.  

Through direct fulfillment and a certified distribution channel spanning over 40 countries, Gauzy serves leading brands in automotive, transportation, aeronautics, architecture, consumer goods, medical devices, and beyond. 

Joining the Gauzy team means being part of an elite group of innovators with a passion for creating groundbreaking products that shape our everyday lives. At Gauzy, we value hard work, unique ideas, collaboration, and cultural diversity.  

Gauzy has 14 offices globally and over 600 employees. Comprised of four distinct business units– Gauzy Automotive, Gauzy Architecture, Gauzy Aeronautics, and Gauzy Safety Tech – we offer a wide range of career paths to achieve your professional goals.  

To apply for a position at Gauzy, visit gauzy.com/careers 

To speak with a sales representative at Gauzy, visit gauzy.com/contact",Nanotechnology Research,"501-1,000 employees",Privately Held,"Singapore, Singapore",Singapore,gauzy.com,https://www.linkedin.com/company/gauzycorp
Nanosurf,"Nanosurf -- Zoom into the Future

Nanosurf is a company that thrives on challenges at the frontier of what is physically achievable. By concentrating our collective efforts on the obstacles that stand in the way of advancements in nanotechnology, we enable researchers to push the boundaries in their respective fields of science. We integrate cutting-edge scanning probe technology into the value chain of industrial customers by crafting custom machines that seamlessly blend into their manufacturing processes. Our bespoke solutions not only meet the unique needs of each client but also enhance efficiency and precision in their production lines.

Established in 1997, Nanosurf defined ease of use in scanning probe microscopy by miniaturizing the size of a scanning probe microscope to fit a coffee table. Since then, the Swiss-based company has matured into one of the leading innovators in atomic force microscopy. Nanosurf provides continually evolving instrument platforms for academic researchers and industry applications in life science and materials science, as well as large-scale customized industrial solutions for use in production lines with very demanding accuracy specifications.

Nanosurf will continue to focus development efforts on new measurement modes and technologies that make atomic force microscopes an easier, faster, and more reliable tool. It is also our mission to bring the technique to an ever-increasing range of new application areas by making it as accessible and intuitive to new users as more common technologies such as optical microscopy. Together, we tackle the challenge.

Nanosurf is part of Lab14 Group, a group of successful high-tech companies providing advanced manufacturing solutions with complementary products and services for a wide range of applications that require demanding solutions for nano- and microfabrication and surface analysis.",Nanotechnology Research,51-200 employees,Privately Held,"Singapore, Singapore",Singapore,nanosurf.com,https://www.linkedin.com/company/nanosurf
Applied Materials – Picosun,"Picosun, part of Applied Materials Inc., is the leading provider of advanced ALD (Atomic Layer Deposition) thin film coating technology for global industries and R&D.

Picosun's production-proven ALD solutions enable high performance IC components, smart sensors and MEMS devices, brightest LEDs, and protective, anti-tarnish, barrier, and biocompatible coatings for minting, watchmaking, jewelry, and medical equipment industries.

Picosun's product portfolio ranges from fully automated, SEMI and production line compatible batch and cluster ALD systems optimized for high volume manufacturing to smaller scale lab or pilot production ALD tools.
Picosun's global headquarters is located in Finland and it has presence in Germany, USA, Singapore, Japan, South Korea, mainland China and Taiwan, offices in India and France, and a global sales and support network with distributors and representatives in over 30 countries.",Nanotechnology Research,201-500 employees,Public Company,"Singapore, Singapore",Singapore,appliedmaterials.com,https://www.linkedin.com/company/picosun
Inovenso Inc.,"As INOVENSO, manufacturing of nanofiber production equipments is the beginning of our business activities. In particular, lack of standard devices stands out via academic studies on electrospinning method in our country and all around the world. From this point, our company beginning with producing single needle and multi-needle electrospinning devices reached in many university laboratories in very short time. Laboratory Scale Electrospinning Devices is demanded worldwide and  limited enterprises in the world that meet these needs raises serious export potential. Our company has aimed to transform this potential opportunity with serving worldwide and increasing export volume since it is founded.

Under structure of our company, Systems, layouts, mechanisms etc. solutions required for laboratories of universities are presented by designing special products with the experience gained in the production of Industrial and Laboratory Scale Electrospinning Systems. Enhancing functionality and quality methods have been improved for manufacturing everyday with innovative solutions.",Nanotechnology Research,11-50 employees,Public Company,"Singapore, Singapore",Singapore,inovenso.com,https://www.linkedin.com/company/inovenso-consulting-r&d-machinery-ltd-co-
Oxford Instruments Raman,"Oxford Instruments Raman (formerly known as WITec) pioneered Raman imaging microscopy and the integration of Raman with AFM, SEM (RISE Microscopy), SNOM, fluorescence microscopy, automated particle analysis, and optical profilometry. All of our instruments are modular and upgradable. 

Areas of application include: Materials Science; Pharmaceutical Research and Cosmetics; Life Sciences; Battery Research and Energy Storage; Semiconductors and Photovoltaics; Polymers; Food Technology and Nutritional Science; Geoscience; Forensics; Arts, Archaeology and Cultural Heritage Research; and Coatings and Thin Films Research. 

Imprint:
WITec Wissenschaftliche Instrumente und Technologie GmbH
Lise-Meitner-Str. 6
89081 Ulm, Germany
Phone: +49 (0)731 140 70-0
Fax: +49 (0)731 140 70-200
email: info@WITec.de
web: https://raman.oxinst.de/
WITec Wissenschaftliche Instrumente und Technologie GmbH, a Member of the Oxford Instruments Group;
Geschäftsführer: Dr. Benjamin Tordoff, Gavin Hill, Dirk Keune; 
Amtsgericht Ulm HRB 3507
USt-ID: DE188355605",Nanotechnology Research,51-200 employees,Privately Held,"Jurong East, West Region, Singapore, Singapore",Singapore,oxinst.com,https://www.linkedin.com/company/oi-raman
Nanolumi,"Nanolumi is an advanced materials company that delivers breakthrough luminescent solutions for Product Authentication, Advanced Sensing, and Bio-imaging. We do this by harnessing cutting-edge nano / molecular chemistries to create, detect, and manipulate light.

The team’s expertise lies in identifying & optimizing technical synergies, building comprehensive solutions through integrations & partnerships, and fostering ecosystem (OR supply chain) collaborations to accelerate new technology adoption. Nanolumi delivers solutions, not just products, with approaches that bring partners out to play.

Nanolumi firmly believes that materials matter and play a pivotal role in empowering products that enable society to experience life to the fullest.",Nanotechnology Research,11-50 employees,Privately Held,"Singapore, Singapore",Singapore,nanolumi.com,https://www.linkedin.com/company/nanolumi
Atera Water Pte Ltd,"Steered by a team of experienced professionals in the water sector, Atera Water is a Singapore-based water start-up committed to reshaping the future of water treatment. We specialize in groundbreaking, eco-friendly, and economically viable water purification technologies, designed to empower communities tackling water challenges.

Our innovative technologies serve as a nexus, connecting the divide between the necessity for high-quality water and the often prohibitive costs of commercial filtration systems. With a commitment to both sustainability and economic viability, we do more than just purify water, we are clearing the way for a more equitable and water-secure future.",Nanotechnology Research,2-10 employees,Privately Held,"Singapore, Singapore",Singapore,aterawater.com,https://www.linkedin.com/company/atera-water
Accelerated Materials,"Accelerated Materials provides businesses with end-to-end solutions for nanomaterial production. We develop and supply next generation hardware, software and services for materials innovation and manufacturing. We are located in the United Kingdom and Singapore.

It often takes decades to industrialize new material technologies. AM uses a fundamentally different R&D methodology, incorporating intensified microreactor technology and machine learning to accelerate scale-up. We reduce the time and cost to scale high precision materials by up to 90%.

AM was founded to commercialize inventions and know-how developed in various projects at the University of Cambridge and Cambridge Centre for Advanced Research and Education in Singapore (CARES Ltd) since 2015.",Nanotechnology Research,2-10 employees,Privately Held,"Singapore, Singapore",Singapore,acceleratedmaterials.co,https://www.linkedin.com/company/accelerated-materials-ltd
Volt14 Solutions,"Volt14 is an advanced battery materials startup developing ultra-high
capacity electrode materials for lithium-ion batteries.

By developing turnkey technologies for battery cell producers globally, we enable breakthrough advancements by leveraging the scale and maturity of existing production processes.",Nanotechnology Research,2-10 employees,Privately Held,"Singapore, Singapore",Singapore,volt14.com,https://www.linkedin.com/company/volt14
