Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Gilat Satellite Networks,"Gilat Satellite Networks Ltd. (NASDAQ: GILT, TASE: GILT) is a leading global provider of satellite-based broadband communications. With over 35 years of experience, we develop and deliver deep technology solutions for satellite, ground, and new space connectivity, offering next-generation solutions and services for critical connectivity across commercial and defense applications.  We believe in the right of all people to be connected and are united in our resolution to provide communication solutions to all reaches of the world.

Together with our wholly-owned subsidiaries—Gilat Wavestream, Gilat DataPath, and Gilat Stellar Blu—we offer integrated, high-value solutions supporting multi-orbit constellations, Very High Throughput Satellites (VHTS), and Software-Defined Satellites (SDS) via our Commercial and Defense Divisions. Our comprehensive portfolio is comprised of a cloud-based platform and modems; high-performance satellite terminals; advanced Satellite On-the-Move (SOTM) antennas and ESAs; highly efficient, high-power Solid State Power Amplifiers (SSPA) and Block Upconverters (BUC) and includes integrated ground systems for commercial and defense markets, field services, network management software, and cybersecurity services.

Gilat’s products and tailored solutions support multiple applications including government and defense, IFC and mobility, broadband access, cellular backhaul, enterprise, aerospace, broadcast, and critical infrastructure clients all while meeting the most stringent service level requirements. For more information, please visit: http://www.gilat.com",Satellite Telecommunications,"1,001-5,000 employees",Public Company,"Singapore, Singapore",Singapore,gilat.com,https://www.linkedin.com/company/gilat-satellite-networks
Iridium,"In a world where global communications are increasingly essential, only one company connects everyone to the things that matter most, from pole to pole. Iridium Communications Inc. is the only mobile satellite service (MSS) company offering pole-to-pole coverage over the entire globe. The Iridium constellation of low-Earth orbiting (LEO), cross-linked satellites provides critical voice and data services for areas not served by terrestrial communication networks. Iridium's subscriber growth has been driven by increasing demand for reliable, secure, global communications. Iridium serves commercial markets through a worldwide network of hundreds of partners, and provides services to the U.S. Department of Defense, and other U.S. and international government agencies. 

The company's worldwide customer base represent a broad spectrum of industry, including maritime, aeronautical, government/defense, public safety, utilities, oil/gas, mining, forestry, heavy equipment and transportation.

Iridium has been a profitable company since 2004. Business is growing at an impressive rate with the constant acquisition of new customers and partners both domestically and abroad in some of the furthest reaches of the planet. These individuals recognize the value of a system that is global, secure and reliable.

The company is headquartered in McLean, Va. and is traded on the NASDAQ (IRDM).",Satellite Telecommunications,"501-1,000 employees",Public Company,"Singapore, Singapore",Singapore,,https://www.linkedin.com/company/iridium
Intellian Technologies,"True connectivity empowers everything!
Intellian is the world’s leading provider of satellite antennas and terminals, with a mission to empower connectivity so connectivity can empower the world. We are driven by a passion for innovation and agile responsiveness to customer needs. As the crucial link between satellite networks and millions of people on Earth, Intellian’s leading technology and antennas empower global connectivity across oceans and continents, organizations and communities. Strategic thinking, an obsession with quality and a proven ability to deliver enables Intellian to invent for the future, creating mutual success for partners and customers as the world’s connectivity needs evolve.",Satellite Telecommunications,"501-1,000 employees",Public Company,"Singapore, Singapore",Singapore,intelliantech.com,https://www.linkedin.com/company/intelliantech
Northtelecom,"Northtelecom headquartered in Dubai, UAE specializes in providing satellite communication / ICT services and solutions. Northtelecom’s service portfolio offer innovative and reliable communication solutions to the industries like Energy, Maritime, Media, Enterprise, Telco, & Humanitarian.

Established in the year 2007 and with 18 years of rich industry experience, Northtelecom has succeeded in delivering comprehensive package of system integration, system products, and network communication services enabling a complete end-to-end solution to its customers.
Northtelecom has its foot prints spread globally with offices in UAE, Germany, Malaysia, Italy and Singapore and teleports Frankfurt, Kuala Lumpur, Singapore & Athens.
www.northtelecom.com",Satellite Telecommunications,51-200 employees,Privately Held,"Singapore, Singapore",Singapore,northtelecom.com,https://www.linkedin.com/company/northtelecom
Station Satcom,"Founded in 1998, Station Satcom is a global leader in integrated remote communication solutions. With over 25 years of expertise, we deliver end-to-end services across Satellite Communications, Navigation Communication, Vessel IT, Cybersecurity, and IOT Solutions designed to perform in the world’s most demanding environments.

With offices in over 9+ countries and strategic partnerships in more than 21 regions, our solutions power operations across land, sea, and air. From commercial vessels to critical infrastructure, we support industries including maritime, defense, offshore energy, logistics, aviation, and enterprise.

We are trusted for our ability to deliver reliable, secure, and high-performance connectivity, backed by a global support network and a commitment to innovation. Whether enabling vessel tracking, crew welfare, onboard surveillance, or cyber protection, we ensure seamless communication and operational uptime—wherever you are.

At Station Satcom, connectivity isn't just what we do—it's how we empower the world to operate smarter, safer, and stronger.",Satellite Telecommunications,51-200 employees,Privately Held,"Bishan, Central Region, Singapore",Singapore,stationsatcom.com,https://www.linkedin.com/company/station-satcom
Global Invacom Group,"Global Invacom Group designs, develops and manufactures ground equipment for Satellite Communications (SatCom), Broadcast (SatTV)t, and Global Navigation (GNSS) networks. Serving GEO, MEO and LEO constellations, our technology, products and solution are deployed in over 120 countries serving the world's largest satellite operators.",Satellite Telecommunications,201-500 employees,Public Company,"Singapore, Singapore",Singapore,globalinvacom.com,https://www.linkedin.com/company/global-invacom-group
CanopusTM by Can Marine Systems,"CanopusTM by Can Marine Systems delivers integrated maritime connectivity, satellite communications and managed vessel technology solutions for commercial shipping, offshore energy, government and mission-critical maritime operations.

Built on Can Marine Systems’ maritime experience and regional support capability, CanopusTM brings together multi-orbit satellite networks, onboard systems integration, vessel IT support and practical technical service into one reliable connectivity platform for modern vessels.

Our portfolio covers LEO, GEO, VSAT, Starlink, Eutelsat OneWeb, Iridium Certus, GMDSS, hybrid network design, onboard Wi-Fi, cyber-resilient vessel connectivity, crew welfare internet, remote operations support, installation, commissioning and managed service support.

We work with shipowners, operators, managers, offshore users and maritime agencies to design, deploy and support solutions that are practical, scalable and built around real vessel requirements.

Whether the requirement is crew welfare, business continuity, fleet communications, safety services, remote monitoring or digital vessel operations, CanopusTM helps vessels stay connected, operational and supported at sea.

One ship. All networks. Infinite connectivity.",Satellite Telecommunications,11-50 employees,Privately Held,"Singapore, Singapore",Singapore,the-canopus.com,https://www.linkedin.com/company/the-canopus
ASTRUM MOBILE PTE. LTD.,Astrum Mobile is a new-generation mobile satellite broadcaster delivering multimedia content via 'S2D' (satellite-to-device) technology.  Services with ubiquitous coverage at low cost to unmodified smartphone and devices.,Satellite Telecommunications,2-10 employees,Privately Held,"Singapore, Singapore",Singapore,astrum-mobile.com,https://www.linkedin.com/company/astrum-mobile-pte-ltd
Kyma Technologies,"Kyma is an independent maritime technology provider delivering advanced satellite communications and software solutions to the global merchant shipping industry. With deep expertise in the maritime industry and a highly committed support team, Kyma ensures reliable, smooth, and hassle-free operations for vessels worldwide. 

The company offers flexible hybrid connectivity solutions tailored to each fleet’s operational needs and budget, giving customers the freedom to choose the most effective combination of today’s and the future’s technologies. 

Designed with simplicity, scalability, and performance in mind, Kyma’s innovative platform provides seamless satellite communications beyond geographic limitations—empowering every ship and crew with the next wave of connectivity at sea.",Satellite Telecommunications,11-50 employees,Privately Held,"Singapore, Singapore",Singapore,kyma.global,https://www.linkedin.com/company/kyma-technologies-1
Auby satellite communications (insights),.,Satellite Telecommunications,201-500 employees,Privately Held,"Singapore, Singapore",Singapore,aubysat.com,https://www.linkedin.com/company/humanresourcer
