Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Navigate Commodities,"Navigate Commodities monitors the movement & consumption of dry bulk commodities over land & sea using the most powerful technologies available.

We help commodity professionals identify real-world opportunities by revealing company-specific real-time trade and smelting activity.",Space Research and Technology,2-10 employees,Privately Held,"Singapore, Singapore",Singapore,navigatecommodities.com,https://www.linkedin.com/company/navigate-commodities-pte-ltd
SpaceComputer | Orbital Root of Trust,"SpaceComputer is building a satellite-based distributed network and open settlement layer for confidential smart contracts: A space-native compute layer where trust is rooted beyond Earth.

Our mission is to create physically-verifiable, tamper-proof computation in orbit. By leveraging the isolation and resilience of the space environment, SpaceComputer establishes a new cryptographic trust model that is independent from Earth-based infrastructure and censorship.",Space Research and Technology,11-50 employees,Privately Held,"Singapore, Singapore",Singapore,spacecomputer.io,https://www.linkedin.com/company/spacecomputer
GALAMAD AEROSPACE,"We design and manufacture satellites that enable new ways of connecting  and powering  humanity. Our near-term aim is to enable telcos to connect people more robustly at lower opex. 

Designed and Engineered in Singapore.",Space Research and Technology,11-50 employees,Privately Held,"Singapore, Singapore",Singapore,galamad.space,https://www.linkedin.com/company/galamadspace
VVTOUCH Technology Company,"Development of Algorithms, which learn and optimize their operations to improve performance, developing artificial  intelligence over time.",Space Research and Technology,11-50 employees,Privately Held,"Singapore, Singapore",Singapore,vvtouch.com,https://www.linkedin.com/company/vv-touch
OnyX Space,"OnyX Space offers all-in-one solutions with access from multiple Earth observation (EO) satellite constellations to turnkey geospatial solutions.

Exclusive access to satellite imagery from 90+ satellites with image resolutions ranging from 30cm to 1m. 15 minutes revisit with submeter resolution optical satellites. Tri-stereo imaging, True-color night imaging, Hyperspectral imagery, Video and C-Band and L-Band SAR data.",Space Research and Technology,2-10 employees,Privately Held,"Singapore, Singapore",Singapore,onyxspace.earth,https://www.linkedin.com/company/onyx-space
Singapore Space Network (SGSN),"Singapore Space Network (SGSN) is a community for professionals in the space industry who are based out of Singapore, or are associated with Singapore",Space Research and Technology,11-50 employees,Non Profit,"Singapore, Singapore",Singapore,,https://www.linkedin.com/company/singapore-space-network
Lambdai Space,"Lambdai Space aims to bridge the gap between Earth observation and cutting-edge technology. By harnessing advanced Artificial Intelligence and Machine Learning techniques, combined with a rich array of satellite radar imagery, we aspire to shift the paradigm from rudimentary X-rays to the precision and depth of MRI in healthcare.
This data-driven revolution empowers industries with physic-aware machine learning models, unlocking a trove of untapped information to fuel data-driven decision-making and transformative solutions. Through our innovative approach, we seek to propel Earth observation into a new era, ushering in unprecedented opportunities for businesses, researchers, and global stakeholders alike. Together, we will reshape industries by harnessing the true potential of Earth observation data.",Space Research and Technology,2-10 employees,Privately Held,"Singapore, Singapore",Singapore,lambdai.space,https://www.linkedin.com/company/lambdai-space
OculloSpace,"OculloSpace is a space education and innovation company dedicated to empowering the next generation of space technologists in ASEAN while delivering cost-effective satellite and orbital solutions for real-world applications. Through project-based learning, our flagship collaboration with NASA HUNCH, and partnerships with agencies such as MYSA and OSTIn, we integrate space education into national systems to cultivate future explorers. Our initiatives include CubeSat programs, sounding rockets, IoT connectivity, and the flagship “ElephantJuice” mission, which inspires public engagement by creating human legacies in orbit. With a dual focus on talent development and innovation, OculloSpace strengthens ASEAN’s role in the global space ecosystem.",Space Research and Technology,11-50 employees,Privately Held,"Singapore, Singapore",Singapore,ocullospace.com,https://www.linkedin.com/company/ocullospace
Vestion,"Vestion is poised to revolutionize space access with the development, deployment, and operation of the world's first operational orbital tether, enabled by breakthrough advancements in carbon nanotube (CNT) composite materials. Current space access is characterized by prohibitive costs, limited payload capacities, and environmental concerns associated with traditional rocket launches. Our orbital tether offers a transformative solution, promising orders of magnitude reduction in launch costs, increased payload throughput, and a gentle, sustainable pathway to orbit.

Leveraging proprietary CNT manufacturing and integration techniques, Vestion will construct a terrestrial (or high-altitude platform) to Geosynchronous Earth Orbit (GEO) tether, serving as the foundational infrastructure for a new era of space exploration, industrialization, and tourism. The initial target market includes satellite operators, space agencies, and emerging in-space manufacturing companies, with future expansion into space tourism and resource extraction.",Space Research and Technology,11-50 employees,Privately Held,"Singapore, Singapore",Singapore,vestion.io,https://www.linkedin.com/company/vestion
Fydemy,"Fydemy is a community-based platform where contributions, teaching and knowledge meet.",Space Research and Technology,11-50 employees,Educational,"Singapore, Singapore",Singapore,fydemy.com,https://www.linkedin.com/company/fydemy
SATORO Space,"SATORO PTE. LTD. is a Singapore-based CubeSat integrator that has guided multiple customers to successful in-orbit demonstrations (IOD).
We deliver fast and reliable access to space through our flight-proven CubeSat bus platform and standardized AIT process.
Our mission is to help customers achieve successful, on-orbit results through IOD/IOV services, satellite operations, and launch integration.",Space Research and Technology,11-50 employees,Partnership,"Singapore, Singapore",Singapore,satoro.space,https://www.linkedin.com/company/satoro-space
Liberatech Space,"At Liberatech Space, we specialize in leveraging satellite imagery data for real-world applications in the commodity, energy, and environmental industries.",Space Research and Technology,2-10 employees,Privately Held,"Singapore, Singapore",Singapore,liberatech.space,https://www.linkedin.com/company/liberatech-space
NUS Mars Rover Team,National University of Singapore’s Official Mars Rover Team,Space Research and Technology,11-50 employees,Educational,"Singapore, Singapore",Singapore,,https://www.linkedin.com/company/nus-mars-rover-team
Space Armour,"Space Armour is a SpaceTech venture pioneering sovereign agentic AI infrastructure for space — enabling secure, autonomous, and verifiable operations in orbit. Our core platform combines onboard intelligence, cryptographic integrity, and Zero Trust security into a single stack powering AI-enabled satellites, orbital systems, and next-generation space infrastructure.

The same space-grade architecture also extends to enterprise edge and mission-critical environments, where reliability, security, and sovereign control of AI are essential.

Space Armour is a UK Space Agency accelerator alumnus, NVIDIA Inception member, Google Cloud technology partner, and part of the SSTL ecosystem.

[Note: Not all team members are on LinkedIn]",Space Research and Technology,2-10 employees,Privately Held,"Singapore, Singapore",Singapore,spacearmour.io,https://www.linkedin.com/company/space-armour
ATLANTIS SPACE CITY,"Atlantis is humanity’s first city in space, designed to unite like-minded travelers and adventurers in an extraordinary journey beyond Earth. It offers a seamless fusion of community and cutting-edge technology, creating a space where individuals can feel whole as they shape their future in orbit.

It’s not just a destination—it’s a groundbreaking movement that redefines exploration, connection, and possibility.",Space Research and Technology,2-10 employees,Privately Held,"Singapore, Singapore",Singapore,atlantis-spacecity.com,https://www.linkedin.com/company/atlantis-spacecity
SEDS Singapore Rocketry Club,"The SEDS Singapore Rocketry Club (SSRC) is the flagship national engineering project run by students from NTU, NUS, SUTD and UiTM.

We aim to design, build, test and fly a high-power chemical rocket with the ultimate goal of delivering payloads to space.",Space Research and Technology,11-50 employees,Privately Held,"Singapore, Singapore",Singapore,,https://www.linkedin.com/company/seds-singapore-rocketry-club
MARS 2100,A decentralized wellbeing platform making people happy (ikigai) in the space.,Space Research and Technology,2-10 employees,Self Employed,"Singapore, Singapore",Singapore,,https://www.linkedin.com/company/moodee
