Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Tata Communications,"Tata Communications is a leading global communications technology player, enabling enterprises to operate, grow, and transform in an increasingly hyperconnected world.
 
At the core of our strategy is our Digital Fabric - a secure, unified digital foundation that integrates our capabilities across Network, Cloud and Security, Interaction, IoT and Media. Together, these fabrics create an intelligent, interoperable architecture that connects infrastructure, platforms, applications, and ecosystems at global scale.

Through the Digital Fabric, we help enterprises integrate complex digital environments, uncomplicate operations, and innovate with speed and confidence.
Our strategy is driven by guided by our brand promise, ‘Together, limitless,’ where we work in close partnership with customers across industries to co-create solutions that unlock limitless possibilities. 

‘Together, limitless’ expresses our belief that the greatest progress is achieved when expertise, platforms and partnerships come together to create outcomes that extend beyond traditional boundaries.

Our deep technical expertise, global reach, and customer-centric approach position us as a trusted partner for enterprises navigating large-scale transformation. Today, over 300 of the Fortune 500 rely on us to power their global connectivity and digital infrastructure needs. Our global network carries around 30% of the world’s internet routes, forming a critical backbone of the digital economy.

Tata Communications Limited is listed on the Bombay Stock Exchange and the National Stock Exchange of India and is present in over 200 countries and territories around the world.

We are committed to being an equal opportunity workplace and to providing an inclusive environment to all employees. All qualified applicants will receive consideration for employment without regard to race, colour, religion, gender, gender identity or expression, sexual orientation, national origin, or any other status protected by law.",Telecommunications,"5,001-10,000 employees",Public Company,"Singapore, Singapore",Singapore,tatacommunications.com,https://www.linkedin.com/company/tata-communication
Flavaroma Industrial Supplies Company,,Telecommunications,,,"Tampines, Singapore",Singapore,fpt.com.sg,https://www.linkedin.com/company/flavaroma-industrial-supplies-company
iTalkBB Singapore (Chinatown Branch),,Telecommunications,,,"Singapore, Singapore",Singapore,italkbb.com.sg,https://www.linkedin.com/company/italkbb-singapore-chinatown-branch-
SMARTRAC HR,"Authentication is one of the most important capabilities in a digital world. Find the solution you need for smarter brand protection, guest authentication, medical tattoos and patient identification.",Telecommunications,,,"Singapore, Singapore",Singapore,smartrac-group.com,https://www.linkedin.com/company/smartrac-hr
GTB Technology,,Telecommunications,,,"Singapore, Singapore",Singapore,gtbtech.com.sg,https://www.linkedin.com/company/gtb-technology
Singapore Business Network,,Telecommunications,,,"Singapore, Singapore",Singapore,sgbusinessnetwork.com,https://www.linkedin.com/company/singapore-business-network
NetArc,,Telecommunications,,,"Singapore, Singapore",Singapore,netarc.sg,https://www.linkedin.com/company/netarc
Citigate Su Yeang Design Pte Ltd.,,Telecommunications,2-10 employees,,"Singapore, Singapore",Singapore,,https://www.linkedin.com/company/citigate-su-yeang-design-pte-ltd-
Telimax Technology (S) Pte. Ltd.,"We offer tailored CM services for clients in our four core markets - energy, water, telecommunications and federal services. Our vast experience as engineer-constructors, in addition to our strong startup and commissioning abilities, makes us uniquely qualified to manage complex projects for clients globally.",Telecommunications,,,"Singapore, Singapore",Singapore,telimax.com.sg,https://www.linkedin.com/company/telimax-technology-s-pte.-ltd.
NECX Asia,"NECX Asia is a telecommunications company based out of Singapore, Singapore.",Telecommunications,2-10 employees,,"Singapore, Singapore",Singapore,,https://www.linkedin.com/company/necx-asia
