Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
ALGAENERGY,"ALGAENERGY, established in 2007, is a leading biotechnology-based company in the sector of the microalgae, that researches, develops and commercializes the next generation of biological inputs for a more competitive and sustainable agriculture. 

ALGAENERGY has established a global innovation network comprising over 200 research partners (public research organizations, universities and other companies), whom it has signed R&I collaboration agreements that amount a significant investment. Its scientists have been devoted to microalgae research since the 70s and have a unique scientific understanding and practical experience that put ALGAENERGYat the forefront of microalgae sector globally.",Biotechnology,51-200 employees,Privately Held,"Alcobendas, Community of Madrid, Spain",Spain,algaenergy.com,https://www.linkedin.com/company/algaenergy
AOS,"AOS is a provider of insect-based, sustainable animal feed products and pharmaceutical components. We upcycle organic waste emulating natural processes to manufacture our products at industrial scale. 

AOS emerges to tackle some of today’s broken production systems with an innovative circular economy industrial model. In a world with growing populations and finite resources, the pressure of feeding our population and handling waste responsibly drives us to close the loop by allocating resources more efficiently. Our vision is to drive the world’s transition towards a circular economy and we plan to do this by harnessing the power of insects to upcycle industrial volumes of waste into high quality, local primary materials.",Biotechnology,2-10 employees,Privately Held,"Coín, Andalusia, Spain",Spain,aos.group,https://www.linkedin.com/company/aos-bsf
iGEM Unizar 2021,"Biotechnology and Physics students from the University of Zaragoza taking part in the iGEM competition for the first time.

iGEM is an international scientific competition that takes place in summer in which students use genetic engineering tools in order to develop a research project.",Biotechnology,11-50 employees,Non Profit,"Zaragoza, Aragon, Spain",Spain,,https://www.linkedin.com/company/igem-unizar-2021
Aptadegrad,"Aptadegrad is a flexible, cost-effective platform developed for the discovery of novel compounds (protein degraders), based on the combination of an aptamer (as a warhead against the protein of interest) and a degrader, that harnesses protein degradation pathways within the cells.",Biotechnology,2-10 employees,Privately Held,"San Ciprián de Viñas, Galicia, Spain",Spain,aptadegrad.es,https://www.linkedin.com/company/aptadegrad
Hunazine Biotech S.L.,,Biotechnology,2-10 employees,Privately Held,"Cartagena, Region of Murcia, Spain",Spain,,https://www.linkedin.com/company/hunazine-biotech-s-l
Ferbio,"Ferbio es una startup biotecnológica focalizada en el mundo agrícola, ofreciendo agrisoluciones naturales e innovadoras con eficacia similar a las que se obtiene a través de la síntesis química, usando la biotecnología disruptiva 5POWER",Biotechnology,2-10 employees,Privately Held,"El Ejido, Andalusia, Spain",Spain,ferbio.es,https://www.linkedin.com/company/ferbioagrisolutions
BioRoboost: Fostering Synthetic Biology standardisation through international collaboration,The Standards in SynBio website is a joint effort in the frame of the BioRoboost horizon 2020 project and displays the most comprehensive collection of information available up to date on standards of biological realm.,Biotechnology,51-200 employees,Partnership,"Valencia, Valencian Community, Spain",Spain,standardsinsynbio.eu,https://www.linkedin.com/company/bioroboost
Genmedica Therapeutics,,Biotechnology,11-50 employees,,"Barcelona, Catalonia, Spain",Spain,genmedica.com,https://www.linkedin.com/company/genmedica-therapeutics
Viral Vector Production Unit - UPV,"The Viral Vector Production Unit (UPV) is a non-profit academic service (Universitat Autònoma de Barcelona - Vall d'Hebron Research Institut). 

UPV is a vector core specialized in the design, development, production and purification of adeno-associated virus (AAV) and adenovirus (human and canine) serotypes for basic research and gene therapy pre-clinical studies for both public and private research laboratories all over the world. 

It has Biological Safety Level 2 and 3 facilities and it is staffed by experienced and highly qualified personnel.",Biotechnology,2-10 employees,Public Company,"Catalonia, Spain",Spain,viralvector.eu,https://www.linkedin.com/company/vector-production-unit-upv
NIT — Neural Interface Technologies,NIT — Neural Interface Technologies is an open source EEG-based brain-computer interface software and hardware initiative which aims to bring neurotechnology and neuroscience outside of the academic and scientific world bringing access and knowledge to everyone who wants to learn how the human mind works and/or wants to know more about herself/himself.,Biotechnology,2-10 employees,Partnership,"San Sebastián, Basque Country, Spain",Spain,,https://www.linkedin.com/company/neural-interface-technologies
Green United World,"Green United is an international participatory economy company (Parecon) that focuses on all types of business activities related to technical horticulture, from product manufacturing to distribution and e-commerce.

Our philosophy is based on the incorporation of committed people who share our passion and posess the necessary skills to join us. People who want to become shareholders of the group in order to make the company a world leader in its sector.

For this, contributing capital is not essential.
Green United values above all the know-how when choosing a partner, which can be a company or a natural person.
The partner's choice it is generally based on its capacity to generate synergy within the group.

Given the emerging economic phenomenon that medicinal cannabis represents, we have dedicated the last two years to the creation of a new project called Green United Pharma.

It consists of the sum of companies with which we have created alliances and aligned objectives, with the ultimate aim of creating a framework capable of becoming one of the largest groups in the sector.

Green United is currently one of the largest CBD producers in Europe. We grow in the south of Spain, in Malaga and Granada where the climatic conditions are optimal. Our CBDs are European standard and certified. Our catalog is unique and our prices are the most accessible on the market.

Green United is a company that not only looks out for the interests of its producers, but also for the creation of a fair price market and quality for all. 

No silly marketing, no empty words, calling seeds by their name and at reasonable prices for everyone. 
Well that's Green United.",Biotechnology,51-200 employees,Privately Held,"Málaga, Andalusia, Spain",Spain,greenunited.es,https://www.linkedin.com/company/green-united-seeds
