Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
vivo Europe,"vivo is a global technology company that connects users to the digital world. vivo creates mobile products and services featuring life: inspired by how people live, inspiring them to feel more alive. Guided by our customers, vivo integrates technology and fashion in unique and creative ways. Adhering to its philosophy benfen – comprising integrity, team spirit, learning, customer orientation, innovation and superior quality, vivo has implemented a sustainable development strategy to achieve its vision of becoming a healthy leading and long-lasting enterprise.

vivo has rapidly grown to be one of the world’s leading mobile brands, exceeding 400 million active users globally in 2019. It is also a world-class enterprise - headquartered in Dongguan, China, but with a presence spanning across more than 30 countries and regions. 

As a tireless explorer of new possibilities, vivo operates several R&D centers in Shenzhen, Dongguan, Nanjing, Beijing, Hangzhou, Shanghai and Tokyo. These develop cutting-edge consumer technologies including 5G, artificial intelligence, photography, design and other emerging fields. Driven by vivo’s core values of customer centricity and commitment to quality, these innovations are brought to life by vivo’s five production hubs in China, South Asia and Southeast Asia, which manufacture over 200 million smartphones every year. Our customers add the rest of the magic.",Consumer Electronics,201-500 employees,Public Company,"Madrid, Community of Madrid, Spain",Spain,vivo.com,https://www.linkedin.com/company/vivo-europe
"Organisation A.K., S.L.","Fundada en 1996 y bajo la marca comercial Armarios Bodega OAK, nuestra firma se dedica principalmente al diseño, fabricación y comercialización de armarios bodega de lujo para la conservación, envejecimiento y servicio del vino. También armarios climatizados de tabaco, armarios para vino, bodegas climatizadas y vinotecas.",Consumer Electronics,2-10 employees,Privately Held,"Majadahonda, Community of Madrid, Spain",Spain,,https://www.linkedin.com/company/organisation-a-k-s-l-
Droneboard,"Technological products for creative STEAM learning through making, building and playing by connecting physical and digital experiences.",Consumer Electronics,2-10 employees,Privately Held,"Bergara, Basque Country, Spain",Spain,thecardboardrone.com,https://www.linkedin.com/company/droneboardcompany
InkCOMPUTER,"InkCOMPUTER  es una compañía de servicios informáticos, especializados en educación,  servicios para artes gráfias y gran formato.

Hoy en día tienen la oportunidad de beneficiarse de un entorno tecnológico muy avanzado, sin embargo son pocos los que realmente le sacan partido a estos avances.

Conocer las últimas tecnologías y obtener el máximo rendimiento de las mismas, se ha convertido en un problema para muchos de ustedes.

Desde InkCOMPUTER queremos dar una solución a esos problemas, con el personal mejor cualificado para que les asesore sobre las mejores soluciones, siempre bajo el paraguas normativo, con unos costes competitivos de una manera eficiente y con una gran calidad.",Consumer Electronics,2-10 employees,Self Owned,"Aspe, Valencian Community, Spain",Spain,inkcomputer.com,https://www.linkedin.com/company/inkcomputer
micompuTer,"Empresa dedicada a la comercialización de tablets, smartphones, phablets y videoconsolas. Distribuidor oficial de marcas como GPD, JxD, 8bitdo, Hyperkin, Tomee, Nintendo

El objetivo de la empresa es la satisfacción de sus clientes, mediante los más altos standares de calidad, gran surtido y conocimiento profundo de los productos que comercializa.",Consumer Electronics,2-10 employees,Privately Held,"Vigo, Galicia, Spain",Spain,micomputer.es,https://www.linkedin.com/company/micomputer
MilyUnaFundas,"La empresa MilyUnaFundas centra su principal actividad en la venta de fundas y carcasas para teléfonos móviles, tablets y e-books, consiguiendo ser la empresa española con los precios más bajos del mercado.
                                              
Los envíos son internacionales y gratuitos para el comprador.",Consumer Electronics,2-10 employees,Privately Held,"Palma del Río, Andalusia, Spain",Spain,milyunafundas.com,https://www.linkedin.com/company/milyunafundas
AVPREMIUM,"Home Cinema and Interior Design Projects and Products
Exclusive Produts - Beds, Furniture
Game Rooms
High End & Multiroom Audio - 
Home Control - Control4, Lutron, Creston, AMX,..
Lighting Projects - Lutron, Control4, Leds,...
Luxury Cinema Seats - Cineak
Private Cinemas",Consumer Electronics,11-50 employees,Public Company,"San Roque, Andalusia, Spain",Spain,avpremium.com,https://www.linkedin.com/company/avpremium
Cargador Solar,"Cargador Solar

Sales Manager

Santiago Donate

+ 34 693 493 930

info@sunbackpack.com

#GreenEnergyPlanet 

#Neuromarketing 

#YouThinkYouHaveTime

#CreatorDesignerDeveloper 

#SantiagoDonate

#ContactUsForMoreInformation

#AllRightsReserved",Consumer Electronics,,Partnership,"., ., Spain",Spain,sunbackpack.com,https://www.linkedin.com/company/cargador-solar
Soundeluxe,"Manufactura, almacenaje y distribución de cables, conectores y adaptadores para audio, vídeo, informática y telefonía. Fabricación y distribución de Adaptadores de Viaje, Cargadores universales, Cable de alta definición para broadcast y estudios de grabación. Cables, conectores y accesorios para equipos de Car audio.",Consumer Electronics,11-50 employees,Self Owned,"Ajalvir, Community of Madrid, Spain",Spain,soundeluxecable.com,https://www.linkedin.com/company/soundeluxe
CENTRE DIGITAL UNIO SL,,Consumer Electronics,2-10 employees,,"Terrassa, Catalonia, Spain",Spain,,https://www.linkedin.com/company/centre-digital-unio-sl
