Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Festo España,"Official channel of Festo Spain.

Festo is a global provider of automation solutions using pneumatic technology, electronics and networks for all types of industrial processes and activities. We provide independent components as well as complete systems, and also consulting and technological and business training.

Our goal is for our clients to achieve maximum productivity and competitiveness in the automation of manufacturing plants and processes.

Festo Spain has a team of more than 120 professionals located in Hospitalet de Llobregat (Barcelona) in order to give the best service to our clients.

Would you like to be part of this team? Visit our job portal to see current offers: https://goo.gl/vhLbxG",Industrial Automation,51-200 employees,Privately Held,"L'Hospitalet de Llobregat, Catalonia, Spain",Spain,festo.es,https://www.linkedin.com/company/festo-españa
Bravo Enterprises S.L.,"We are an industrial group working mainly for the automotive industry. Our activity consists in die-casting, machining and smalls assemblies of non-ferrous metal alloys: aluminum, magnesium and zinc. The central plant of the group is in Ampuero (Spain) but we are also located in Tepejí del Río (Mexico) and in Oradea (Romania). Our constant growth since 1980 is based on total quality, advanced technology, competitive costs, world- wide- presence and human capital. We are continuously working on improving our shareholders’, employee’s and customer’s satisfaction.",Industrial Automation,"501-1,000 employees",Privately Held,"Ampuero, Cantabria, Spain",Spain,bravo-e.com,https://www.linkedin.com/company/bravo-enterprises-s-l-
AMIDA 4,"We are at your disposal to help to carry out your interests in automation, special equipments or customized products.",Industrial Automation,11-50 employees,Privately Held,"Igualada, Catalonia, Spain",Spain,amida4.com,https://www.linkedin.com/company/amida4corp
TEMANSA | MANTENIMIENTO INTEGRAL INDUSTRIAL,"En Temansa ofrecemos servicios de mantenimiento integral para la industria. Estamos especializados en la integración, instalación, reparación, puesta en marcha y mantenimiento de equipos y sistemas mecatrónicos, es decir, aquéllos de base eléctrica, electrónica, mecánica e informática. Principalmente, del sector de transporte y el de tráfico, pero también de otros sectores industriales y tecnológicos.

Nuestra oferta de soluciones se amplía con servicios complementarios de mantenimiento industrial y soluciones de ahorro y eficiencia energéticos.

Los laboratorios de Temansa, ubicados en Barcelona, Bilbao, Madrid y Valencia dan servicio al territorio nacional a través de:
- Suministro de materiales para su integración en producto final.
- Configuración, ajuste, prueba y reparación electrónica para montaje en equipos nuevos.
- Abastecimiento y reparación según contrato de servicio de mantenimiento establecido.

Estos servicios de aplicación, fundamentalmente, en sistemas de ticketing para transporte urbano y ferroviario se completan con el desarrollo de:
- El desarrollo de ingeniería inversa y de programas Fw/Sw para reparación de equipos.
- Y la utilización de banco de pruebas bajo dominio LASBview.

En Temansa, gestionamos nuestros laboratorios basándonos en la metodología lean, una mejora continua para cuyo seguimiento empleamos indicadores clave como la disponibilidad, fiabilidad, tiempo de respuesta y de reparación.

Formamos parte de Grupo Espacio Industrial, constituido por diversas empresas que se organizan en dos unidades de negocio: Fabricación, representada por ICM; y Mantenimiento, por Temansa y E4e Soluciones. El Grupo proporciona servicios integrales industriales. www.grupoespacioindustrial.com",Industrial Automation,201-500 employees,Privately Held,"Aranjuez, Community of Madrid, Spain",Spain,temansa.es,https://www.linkedin.com/company/temansa-mantenimiento-integral-industrial
MAGNET,"MAG·NET 25 years of experience in the development and manufacturing of door operators for doors.

Our automation for indoor sliding doors are based on the linear technology Brushless by MAG·NET, which does not use brushes and achieves an almost total use of energy.  

 With MAG·NET autodoor products, effective and versatile solutions are achieved for hospitality, catering or residential establishments that allow convenient movement between rooms as they do not have to manipulate the access doors.  

 Sliding doors provide a suitable solution to create a visual and acoustic separation in small places or narrow corridors.   Being a sustainable technology, they guarantee efficiency and energy savings, achieving optimal performance with minimal consumption.  

 They act as a regulating agent of climate and temperature between contiguous spaces, preventing temperature variations and therefore the waste of energy, by carrying out the opening and closing process quickly and safely. 

 Ideal for: Offices, Libraries, Geriatric Residences, Shopping Centers, Hospitals, Gyms, Industries, supermarkets, Hotels, Swimming Pools, Airports, Pharmacies, Dental Clinics,  Sports Centers, Restaurants, Veterinary Clinics,... 

Ask us for any questions as we have an advisory service by specialists who will help you find the best solution for your needs.

 +34 93 588 50 37 
 info@magnetautodoor.com",Industrial Automation,11-50 employees,Privately Held,"Rubí, Catalonia, Spain",Spain,magnetautodoor.com,https://www.linkedin.com/company/mag·net
INDOPLAST,"Founded in Rubi (Barcelona) in 1994.
We are a company specialized in the manufacture of plastic extrusion
profiles, which has the most adequate technology and human resources
to develop all kinds of technical profiles for the automotive, building and
industry sectors. Supply of your products under the agreed conditions of
quality, delivery time, transport and handling safety.
Our facilities have a total area of 3,600m2.
5 production lines, with an annual capacity of 15,000,000m in 3 shifts.
A firm commitment to continuous R + D + I innovation and personalized
attention in the development of new components.
LAYOUT
· 5 profile extrusion lines
· 2 lines of 3D Rolling Pen
· 3 lines of Overmolding

Our philosophy is meeting the needs of our customers. We distinguish ourselves by
INNOVATION and CONTINUOUS IMPROVEMENT in everything we do.
We believe in continuous training and in the participation of the HUMAN
TEAM, in a framework of transparent and honest relationships that allows
the progress of people.",Industrial Automation,11-50 employees,Self Owned,"Rubí, Catalonia, Spain",Spain,indoplast.com,https://www.linkedin.com/company/indoplast
AZO en español,"Somos sus expertos en análisis físico de materias primas, ingeniería, tecnología de procesos, ingeniería de plantas, tecnología de control y automatización, así como en digitalización.
El Grupo AZO es una de las empresas más experimentadas del mundo en lo que respecta a la automatización del manejo de ingredientes, sólidos y líquidos. Nuestros más de 1.000 empleados trabajan con pasión, altos conocimientos técnicos y la experiencia de más de 70 años en ingeniería de plantas. La curiosidad y la apertura a nuevas tecnologías, así como una comprensión analítica e integral de la digitalización, garantizan soluciones de automatización con una perspectiva a largo plazo.

Desde la ingeniería y el suministro de componentes individuales hasta la construcción de plantas completas ""llave en mano"", pasando por la automatización, el montaje y el servicio posventa integral:
Todos los servicios de AZO proceden de una única fuente y están perfectamente coordinados: siempre cerca de usted en todo el mundo, junto con usted daremos forma a su fábrica del futuro!

Encontrará la información legal de AZO GmbH + Co KG en https://www.azo.com/en-de/legal-notes",Industrial Automation,"1,001-5,000 employees",Partnership,"Barcelona, Catalonia, Spain",Spain,azo.com,https://www.linkedin.com/company/azo-en-español
SPA - Eurotherm,"En Eurotherm apoyamos apasionadamente a nuestros clientes con un conocimiento especializado y experiencia, ayudándoles a alcanzar la excelencia del proceso a través de la automatización, la eficiencia y el cumplimiento de las regulaciones vigentes.

Nuestra visión es ser el proveedor preferido de productos de automatización de máquinas, aplicaciones, sistemas y servicios de control de energía y procesos para clientes en industrias especializadas, mientras que nuestra misión es solucionar los problemas de nuestros clientes con productos pioneros, sistemas a medida y experiencia en la industria.

Nuestro amplio rango de productos es rico en funciones y ha sido diseñado para una fácil operación y una reducción del tiempo de ingeniería. Tienen algoritmos de control líderes en el mercado, estrategias de registro y gestión de datos que agregan valor a los procesos industriales, mejorando la calidad, reduciendo los rechazos y ayudando a que los datos se mantengan el tiempo que se necesiten.

Décadas de experiencia en el suministro de sistemas de control, registro y automatización están soportados por un programa de continua investigación y desarrollo para asegurar que nuestras soluciones cumplen con los modernos desafíos de un amplio rango de industrias. Nuestros clientes están totalmente soportados por una red global de ventas y servicios compuesta por ingenieros altamente cualificados que conocen las aplicaciones e industrias a las que sirven.",Industrial Automation,11-50 employees,Privately Held,"San Sebastián de los Reyes, Community of Madrid, Spain",Spain,eurotherm.com,https://www.linkedin.com/company/eurotherm-spain
PLC I CONTROL,"PLCICONTROL se fundó en octubre del 2000 como una empresa joven y dinámica compuesta por técnicos cualificados en instalaciones eléctricas, programación de autómatas y gestión de procesos industriales. 
Durante estos años hemos crecido, junto a nuestros clientes, desarrollando y ofreciendo soluciones a proyectos del sector industrial, ofreciendo un servicio personalizado y profesional.

Ingeniería:
Ofrecemos a nuestros clientes una solución integral que nace de la planificación y el estudio de las necesidades propias de cada proyecto, pasando por su desarrollo y finalizando con la puesta en servicio del mismo.

Control:
Especialistas en programación de las marcas más importantes de automatización como SIEMENS , MODICON, OMRON, ALLEN BRADLEY, ABB, GE,...
Hemos incorporado numerosos sistemas de instrumentación encaminados a apoyar al usuario en la medición, regulación, observación, transformación y ofrecer seguridad de una variable dada en un proceso productivo. 

Visión:
Desarrollamos de todo tipo de aplicaciones desde HMI, SCADA, DCS con la marcas más utilizadas en el mercado (WinCC, Wonderware InTouch, Vijeo Citect, GE iFIX,...). Experiencia en adquisición de datos en tiempo real para su resguardo, supervisión y manejo mediante aplicaciones Servidor-Cliente OPC como KeepServerEx, MATRIKON, OsiSoft.

Mantenimiento y asistencia técnica:
Migración de Sistemas de Control obsoletos mejorando las deficiencias del sistema y mejorando el control de su instalación actual. 
Servicio de asistencia para modificación y/o mejora de procesos existentes.
Servicio de retén 365/24 para la revisión y reparación de averías.

Fabricación e instalación de armarios de control y redes:
Asesoría técnica y soporte a instaladores eléctricos e ingenierías en el desarrollo, montaje, pruebas SAT-FAT, puesta en marcha y mantenimiento  de armarios de control.

Delineación:
Servicio de Delineación, con confección de planos y esquemas Eléctricos en ELCAD, AUTOCAD, MicroStation,...",Industrial Automation,2-10 employees,Self Owned,"Reus, Catalonia, Spain",Spain,plcicontrol.es,https://www.linkedin.com/company/plc-i-control
NEXPERT SL,"Fundada el 1979, Nexpert S. L. és una empresa especialitzada en l'automatització i el control de processos industrials.

Situada a Sant Sadurní d'Anoia, som integradors oficials de la marca OMRON a les zones de l'Alt Penedès i Garraf.

La constant evolució dels mercats fa que les empreses hagin de ser cada cop més competitives. El nostre equip de professionals estudia les noves tendències i la tecnologia més avantguardista per oferir als clients un servei que els farà més competitius.
-
Fundada en 1979, Nexpert S. L. es una empresa especializada en la automatización y el control de procesos industriales.

Situada en Sant Sadurní d’Anoia, somos integradores oficiales de la marca OMRON en las zonas del Alt Penedès y Garraf.

La constante evolución de los mercados hace que las empresas tengan que ser cada vez más competitivas. Nuestro equipo de profesionales estudia las nuevas tendencias y la tecnología más vanguardista para ofrecer a los clientes un servicio que les hará más competitivos.",Industrial Automation,11-50 employees,Self Owned,"Sant Sadurní d'Anoia, Catalonia, Spain",Spain,nexpert.cat,https://www.linkedin.com/company/nexpert-sl
