Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Siemens Gamesa,"Siemens Gamesa is a global technology leader in the renewable energy industry - specifically in the development, manufacturing, installation and maintenance of wind turbines. Being a pioneer in renewables since the 1980s, we put our scale and entrepreneurial culture to work on driving the energy transition towards a sustainable world. We empower our customers, people, and partners to lead the future with green energy.

Siemens Gamesa is a trademark licensed by Siemens AG.",Renewable Energy Semiconductor Manufacturing,"10,001+ employees",Public Company,"Zamudio, Basque Country, Spain",Spain,siemensgamesa.com,https://www.linkedin.com/company/siemensgamesa
eGHOSTProject,"eGHOST will be the first milestone for the development of eco-design criteria in the European hydrogen sector. Two guidelines for specific FCH products (PEMFC stack and SOE) will be completed and the lessons learned will be integrated into the eGHOST White Book, a reference guidance book for any future eco-design project of FCH systems.",Renewable Energy Semiconductor Manufacturing,51-200 employees,Non Profit,"Móstoles, Community of Madrid, Spain",Spain,,https://www.linkedin.com/company/eghost-project
INAA Instalaciones Naturales Altea,Convertimos el sol en electricidad y agua caliente.,Renewable Energy Semiconductor Manufacturing,2-10 employees,Self Employed,"Alcoy, Valencian Community, Spain",Spain,inaa.es,https://www.linkedin.com/company/instalaciones-naturales-altea
Rosmar Energía,"Empresa de servicios integrales de instalaciones de energía fotovoltaica y movilidad eléctrica, así como de instalaciones integrales eléctricas en el ámbito de la comunidad autónoma de Andalucía.",Renewable Energy Semiconductor Manufacturing,11-50 employees,Privately Held,"Bollullos de la Mitación, Andalusia, Spain",Spain,rosmarsl.es,https://www.linkedin.com/company/rosmarsl
PEUSA,"PEUSA és una empresa elèctrica que produeix, distribueix i comercialitza energia.  El client és el centre del nostre negoci i el nostre propòsit és facilitar-li les eines perquè pugui ser actiu en la presa de decisions relacionades amb el consum, gestió i ús de l'energia.

Generem electricitat a centrals hidroelèctriques ubicades al riu Valira, gràcies a la nostra situació privilegiada al bell mig del Pirineu català.  

La nostra xarxa de distribució respecta el nostre entorn i suministra energia de qualitat.  

Comercialitzem energia a 12.000 clients, amb garantia d'origen 100% renovable i lliure d'emissions contaminants de cap tipus.  
El nostre present i futur se centra en la posada en marxa d'instal·lacions d'autoconsum, l'expansió de la xarxa de punts de recàrrega per a vehicles elèctrics al pirineu i, l'impuls a la transició energètica a través de la participació en diferents associacions, entre elles ENTRA.   

La nostra política ambiental, avalada per la certificació ISO 14001:2015 en comercialització, garanteix que el respecte a l'entorn estigui present en tots els nostres projectes.   

Treballem amb la voluntat de retornar al territori tot allò que ens dóna, i la nostra vessant social és el màxim exponent d'aquesta missió.",Renewable Energy Semiconductor Manufacturing,11-50 employees,Privately Held,"La Seu d'Urgell, Catalonia, Spain",Spain,peusa.org,https://www.linkedin.com/company/peusa-energia
MAXLED,"MAXLED es una empresa especialista en ofrecer  soluciones de ahorro energético basadas en la iluminación con tecnología LED.

Nuestros productos se caracterizan por su alta calidad y máxima eficiencia, permitiendo así lograr una rápida amortización ofreciendo a nuestros clientes todas las  garantías y el ahorro que tanto se busca en las empresas.

Ofrecemos dos líneas de productos de máxima calidad, LEDSOLEIL, de fabricación Española, y VIERA Lighting, fabricada en China; permitiendo así cubrir todos los requisitos de tecnología garantía e inversión al cliente que busca un producto de altas prestaciones.",Renewable Energy Semiconductor Manufacturing,2-10 employees,Privately Held,"Terrassa, Catalonia, Spain",Spain,maxled.es,https://www.linkedin.com/company/maxled-egara-s-l
aeioLuz | Evolución energética,"aeioLuz es una cooperativa que ayuda a personas y organizaciones a reducir sus costes energéticos enseñando las claves para un uso eficiente de la energía.

No te diremos qué debes hacer, sino cómo y por qué, para que puedas decidir por ti mismo. Además, trabajamos para recuperar y construir un modelo energético más justo, participativo y sostenible, contigo podemos conseguirlo!
 
Nuestras áreas de trabajo son: 

 - EDUCACIÓN. Es necesario acercar el sector energético a las personas para que no sea un tema antipático y desconocido. Ofrecemos talleres de distinta duración en eficiencia energética y renovables.

 - AHORRO ENERGÉTICO. Te ayudamos a detectar dónde puedes utilizar mejor tu energía. Primero trabajamos en un diagnóstico y dependiendo del resultado, te proponemos soluciones para que ahorres energía y dinero. 

 - AUTOABASTECIMIENTO. Sí, es posible utilizar tu propia energía renovable. Desarrollamos proyectos llave en mano para que seas autosuficiente energéticamente.",Renewable Energy Semiconductor Manufacturing,2-10 employees,Privately Held,"Valencia, Valencian Community, Spain",Spain,aeioluz.com,https://www.linkedin.com/company/aeioluzevolucionenergetica
Solarev Autoconsumo Solar,SolareV diseña y ejecuta sistemas de Autoconsumo solar en empresas e instalaciones industriales aportando soluciones profesionales innovadoras y realizando los proyectos llave en mano.,Renewable Energy Semiconductor Manufacturing,11-50 employees,Self Owned,"Oviedo, Principality of Asturias, Spain",Spain,solarev.es,https://www.linkedin.com/company/solarev-autoconsumo-solar
EFFECTIVE ENERGY SL,"Effective Energy es una compañía especializada en soluciones e instalaciones de energía solar fotovoltaica. Diseñamos e instalamos sistemas de energía solar en el sector industrial, servicios y residencial, bajo los máximos estándares de calidad.

Nuestro equipo profesional y cualificado ofrece servicios de instalación, mantenimiento y asesoramiento en proyectos energéticos que permiten tanto a particulares como a empresas o instituciones producir su propia electricidad y gestionar su consumo.",Renewable Energy Semiconductor Manufacturing,2-10 employees,Self Owned,"Pamplona, Chartered Community of Navarre, Spain",Spain,efenergy.net,https://www.linkedin.com/company/effective-energy-sl
Nayxa Energy Services,"Founded in 2008, Nayxa Energy Services is a wind resource consultancy with a team of experts that have accumulated experience since 2005. Over the years, we have assisted our clients in more than 45 countries and advised on projects whose cumulative power exceeds 60 GW.

At Nayxa, customer satisfaction is our priority. Our professionals examine each case in a personalized way, which allows us to offer the best technical solution for every project, always seeking excellence in the final result. We help you get the most out of your project in whatever phase it happens to be on.

Our more than 15 years of experience in wind resource assessment underpin our work and drive our desire to improve daily. We continuously incorporate into our work procedures, the results of an intensive Research and Development Program that is carried out at Nayxa. One of Nayxa’s strengths is its use of state-of-art tools in the study of wind resources.",Renewable Energy Semiconductor Manufacturing,2-10 employees,Privately Held,"San Sebastián de los Reyes, Community of Madrid, Spain",Spain,nayxa.com,https://www.linkedin.com/company/nayxa-energy-services
