Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
The Construct Robotics Institute,"Where Your Robotics Career Happens

The Construct is your platform for becoming a Robotics Developer from scratch. Explore ROS & Robotics learning resources on our website: https://www.theconstructsim.com/.",Robotics Engineering,11-50 employees,Educational,"Barcelona, Catalonia, Spain",Spain,theconstruct.ai,https://www.linkedin.com/company/the-construct
COBOVOLTAICA,"“No vendemos robots, vendemos capacidad productiva”
“La automatización es un proyecto, no un producto”
“Primero datos, luego decisión”
“El cobot multiplica al soldador”",Robotics Engineering,2-10 employees,Privately Held,"Sant Pere de Ribes, Catalonia, Spain",Spain,cobovoltaica.com,https://www.linkedin.com/company/cobovoltaica
JLP Tech,"En JLP TECH desarrollamos y construimos soluciones de robótica colaborativa, inteligencia artificial y automatización para la operación real del sector gastronómico.

Creamos tecnología aplicada para restaurantes, cadenas, franquicias, hoteles, food courts, dark kitchens y operadores horeca que necesitan operar con más consistencia, menos fricción y mayor eficiencia.

No desarrollamos robots para reemplazar personas, sino para colaborar con los equipos en tareas repetitivas, precisas y críticas, ayudándoles a enfocarse en lo que realmente importa: el servicio, la atención y la experiencia del cliente.

Combinamos la experiencia internacional de JLP GLOBAL acompañando a más de 100 marcas horeca con desarrollo tecnológico desde Europa y una alianza estratégica con la escuela de ingeniería de la Universidad Politécnica de Madrid, que nos permite construir soluciones con rigor técnico, ingeniería aplicada y enfoque de producto.

JLP TECH. Robótica colaborativa para transformar la operación gastronómica.",Robotics Engineering,2-10 employees,Privately Held,"Madrid, Community of Madrid, Spain",Spain,jlp-tech.com,https://www.linkedin.com/company/jlp-tech
Exorobotica,Exoesqueletos y Robótica Exótica.,Robotics Engineering,2-10 employees,Privately Held,"Seville, Andalusia, Spain",Spain,exorobotica.com,https://www.linkedin.com/company/exorobotica
Starbots,"En Starbots creemos que el futuro de los negocios está en la combinación de inteligencia artificial, automatización y tecnología personalizada.

Somos una empresa de innovación tecnológica especializada en crear soluciones digitales a medida, desde automatizaciones inteligentes y agentes de IA hasta aplicaciones, plataformas SaaS y sistemas empresariales diseñados para las necesidades específicas de cada cliente.

Nuestro objetivo es ayudar a empresas a optimizar procesos, reducir costos, mejorar la experiencia de sus usuarios y desbloquear nuevas oportunidades de crecimiento mediante tecnología avanzada y desarrollos innovadores.

Cada proyecto nace desde una visión estratégica: entender el problema, diseñar una solución escalable y construir herramientas que generen un impacto real en el negocio.

En Starbots desarrollamos:

 Automatizaciones inteligentes para eliminar tareas repetitivas y mejorar la eficiencia operativa.
 Soluciones potenciadas por Inteligencia Artificial, incluyendo asistentes virtuales, agentes inteligentes y sistemas capaces de adaptarse a las necesidades de cada empresa.
 Aplicaciones y plataformas personalizadas diseñadas desde cero para modelos de negocio únicos.
 Productos SaaS escalables preparados para crecer junto con nuestros clientes.
 Integraciones y ecosistemas digitales que conectan herramientas, datos y procesos para crear operaciones más inteligentes.

Más que desarrollar software, construimos soluciones tecnológicas del futuro. Trabajamos junto a empresas que buscan innovar, automatizar y convertirse en líderes dentro de su industria.

Construimos tecnología inteligente para los negocios del mañana.",Robotics Engineering,2-10 employees,Self Employed,"Madrid, Community of Madrid, Spain",Spain,starbots.es,https://www.linkedin.com/company/starbotss
INGENIO Soluciones Industriales,"En INGENIO Soluciones Industriales ayudamos a empresas del sector industrial a optimizar sus procesos mediante la automatización y la robótica. Nuestra misión es aportar ingenio técnico y soluciones prácticas que incrementen la productividad y reduzcan costes.

Nuestros principales servicios incluyen:

Programación de robots industriales para nuevas integraciones y mejora continua de líneas de producción.

Asistencia técnica especializada, ofreciendo soporte puntual o continuado en instalaciones con alta demanda de disponibilidad.

Formación personalizada en robótica industrial: mantenimiento preventivo mecánico y eléctrico, programación y operación segura de robots.

Lo que nos diferencia es la flexibilidad y la cercanía: nos adaptamos a cada proyecto y a cada cliente, ya sea un fabricante que busca apoyo puntual o una ingeniería que requiere un socio técnico fiable.

En INGENIO creemos que la industria del futuro se construye hoy, con procesos más inteligentes, seguros y eficientes.
 Contáctanos y descubre cómo podemos aportar valor a tu producción.",Robotics Engineering,Self-employed,Self Employed,"Valladolid, Castilla and Leon, Spain",Spain,ingeniosi.es,https://www.linkedin.com/company/ingenio-soluciones-industriales
EUφRob,"EUΦRob is an association based in Barcelona with a clear European focus, seeking to make an impact on the world of robotics from a female technical focus, understanding the term female, according to the original meaning of this word, which refers to the capacity of generate, care, create happiness and interact sensitively with the environment.

We believe that this technical and female perspective, which we like to represent with the Greek letter Φ - phi - widely used in science and refer to it as the Φ factor  which is necessary in robotics, both in research and development phases and in its industrial application, especially at a time when the evolution of this science is rapid and the global environment that affects this technology is very complex.

Then, if you love robotics and its innovative applications and also these human factors are part of your values, EUΦRob is your reference association.

With this common link, whatever is  your gender, age or nationality, you will find exciting topics related to Robotics in our association.",Robotics Engineering,11-50 employees,Non Profit,"Barcelona, Catalonia, Spain",Spain,,https://www.linkedin.com/company/eufrob
BestPlans Robotics,,Robotics Engineering,2-10 employees,Privately Held,"Santa Brígida, Canary Islands, Spain",Spain,bestplansrobotics.com,https://www.linkedin.com/company/bestplans-robotics
Asturhealth,"Distributor of an advanced interactive robot developed by AIST, a pioneering leading Japanese research center for industrial automation. It allows the documented benefits of animal therapy to be applied to patients in settings such as nursing homes, nursing homes, or hospitals, where live animals pose treatment difficulties or logistical complexities.

The scientific literature shows that the PARO – NUKA robot reduces stress for the patient and their caregivers
PARO – NUKA stimulates interaction between patients and caregivers
PARO – NUKA has been shown to have a psychological effect on patients, improving their relaxation and motivation.
PARO – NUKA improves the socialization of patients among themselves and with caregivers
PARO – NUKA is the eighth generation of a design that has been in use in Japan and throughout Europe since 2003. It has thousands of users worldwide.

PARO – NUKA has five types of sensors: tactile, light, hearing, temperature and posture sensors, with which it can perceive people and their surroundings. With the light sensor, the robot can recognize light and dark. It feels, through the tactile sensor, if it is caressed and if it is hit; or what position you are in thanks to the posture sensor. PARO – NUKA can also recognize which direction the voice is coming from, and words like your name, greetings and praise thanks to its audio sensor.

PARO – NUKA can learn to behave in the way the user prefers and respond to its new name. For example, if you hit it every time you touch it, PARO – NUKA will remember your previous action and try to repeat that action to make it hit. If you hit it, the seal robot remembers its previous action and tries not to do that action.

When interacting with people, PARO – NUKA responds as if it were alive, moving its head and legs, making sounds, and displaying its preferred behavior.

PARO – NUKA also imitates the voice of a real baby harp seal, an animal that inspired the Japanese engineer who created the robot.",Robotics Engineering,2-10 employees,Privately Held,"Llanera, Principality of Asturias, Spain",Spain,asturhealth.com,https://www.linkedin.com/company/asturhealth
Replik Holds,"Optimización y automatización del proceso de definición, desarrollo y fabricación de presas de escalada basada en observaciones reales de entornos naturales.",Robotics Engineering,2-10 employees,Privately Held,"Seville, Andalusia, Spain",Spain,,https://www.linkedin.com/company/teoholds
