Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Parlem,"Parlem is the new generation service provider which is really customer centric. Parlem HQ are based in Barcelona from where it offers innovative telecommunication services focusing on Catalan market. Parlem is offering currently Mobile communications to individuals and both mobile, fix and ADSL/FTTH services to enterprise. Parlem offers SIM and cloud based services through its innovative App and allows its customers to enjoy Visual Voice Mail, Virtual lines and VoIP ultimate client solutions",Telecommunications Carriers,51-200 employees,Privately Held,"Barcelona, Catalonia, Spain",Spain,parlem.com,https://www.linkedin.com/company/parlem
Olin,"En Olin somos expertos en telecomunicaciones, ofrecemos servicios de fibra y móvil de alta calidad y velocidad para particulares y empresa en la Costa del Sol, Costa Cálida y Costa de la Luz.",Telecommunications Carriers,51-200 employees,Privately Held,"Málaga, Andalusia, Spain",Spain,olin.es,https://www.linkedin.com/company/olin-telecom
elanta,elanta. La Fibra que late. Somos el operador neutro mayorista líder en número de clientes conectados.,Telecommunications Carriers,11-50 employees,Privately Held,"Madrid, Community of Madrid, Spain",Spain,elanta.com,https://www.linkedin.com/company/elanta
Olin Group,"At Olin Group we are experts in telecommunications services in the regional market; both for wholesalers, with our high-speed Olinfra network, and for retailers through the management of our local operators. Led by Asterion Industrial Partners, a leading infrastructure fund in Europe and Teras Capital, a pioneer in the regional telecommunications market, and comprised of a management team with extensive experience in the sector.",Telecommunications Carriers,2-10 employees,Privately Held,"Madrid, Community of Madrid, Spain",Spain,olingroup.es,https://www.linkedin.com/company/olingroup
Cantabria Telecom,"Cantabria Telecom somos un operador de telecomunicaciones  100% cántabro. Contamos con red propia de fibra óptica simétrica de 1000Mb  y cobertura en toda la tierruca.

Nos mueve un compromiso claro: ofrecer un servicio basado en la calidad, la cercanía y la transparencia. Al disponer de infraestructura y servicio técnico propios, garantizamos una conexión directa, estable y sin intermediarios.

 Nuestro objetivo es simple: ofrecer una conectividad de calidad, con un trato directo y humano.

Si buscas un operador local, fiable y cercano, estamos aquí para ayudarte.

Contacta con nosotros:
 942 049 222
 admin@cantabriatelecom.es
 www.cantabriatelecom.es",Telecommunications Carriers,11-50 employees,Partnership,"Santander, Cantabria, Spain",Spain,,https://www.linkedin.com/company/cantabriatelecom
Atika Tec,"En Atika desarrollamos tecnología soberana para una Europa más segura

Somos una empresa española especializada en redes privadas 5G, con una misión clara: llevar las comunicaciones seguras, autónomas y de alto rendimiento allí donde más se necesitan. Creemos en una tecnología al servicio de las personas y de la soberanía digital. Por eso trabajamos cada día para fortalecer la defensa y la seguridad de nuestro país y de la Unión Europea.

Desde Atika desarrollamos soluciones de comunicaciones 5G STA, autónomas y dotadas de una capa de ciberseguridad, orientadas al sector de defensa y civil, rugerización y cumplimiento de estándares de calidad, integración de aplicaciones de ciberinteligencia, de IA, de sensores multi-propósito y sistemas de comunicaciones seguras.

Contamos con experiencia en el despliegue de estas tecnologías en infraestructuras críticas, escenarios multidominio y orientado a objetivos multipropósito.

Si compartes nuestra visión o quieres colaborar con nosotros, estás en el lugar adecuado.",Telecommunications Carriers,11-50 employees,Privately Held,"Madrid, Community of Madrid, Spain",Spain,atikatec.com,https://www.linkedin.com/company/atika-tec
eports,"A finales de junio de 2016, dos de las operadoras pioneras de telecomunicaciones locales en el sector de las TIC (NetPorts, fundada en 2009, y Ebretic, fundada en 2012) decidieron unir sus fuerzas para hacer frente al cambio de paradigma en el mercado.

De esta unión nació E-ports, una empresa con más de 11 años de experiencia en el sector de las telecomunicaciones rurales. En un mercado en constante evolución tecnológica y cada vez más saturado, el papel del operador local es crucial para aportar estabilidad y confiabilidad.

E-Ports, consciente de la creciente presencia de los grandes operadores, tomó la decisión de expandirse a mediados de 2020. En ese momento, se sumaron al proyecto otros operadores más pequeños pero con una experiencia igual o superior en el sector: La Sénia Cable, La Cala Fibra (el primer y tercer operador local en antigüedad en las TIC) y Xeic, el operador local predominante en la Ribera de Ebro y en el Priorat.

Hasta la fecha, hemos logrado reunir un equipo de más de 70 profesionales de nuestra región. Nuestros planes de futuro nos llevan a expandirnos por otros territorios limítrofes, como el Camp de Tarragona en 2021 y varias zonas de la provincia de Lleida en 2022. Siempre manteniendo nuestro compromiso con nuestras raíces locales y nuestra marca.  
Esta unión hace de E-Ports una empresa sólida, que no solo busca cubrir áreas con conexión a Internet, sino que también se esfuerza por mejorar la calidad y el compromiso con nuestros clientes.",Telecommunications Carriers,51-200 employees,Privately Held,"Tortosa, Catalonia, Spain",Spain,eportsinternet.com,https://www.linkedin.com/company/eportsinternet
Teleco Andaluzas,"Nuestra empresa ha crecido y evolucionado para convertirse en un referente en el sector de las telecomunicaciones en la región. Desde nuestros primeros pasos hasta nuestra posición actual como líderes del mercado, hemos mantenido nuestro enfoque en la excelencia, la innovación y el servicio al cliente.

La filosofía de Teleco Andaluzas se basa en una clara orientación al cliente sin olvidarnos de la gestión por procesos, del liderazgo, de la implicación de todo nuestro personal, y así aprovechar todo el potencial de las personas que integran esta empresa, fomentando su confianza y responsabilidad, sin olvidarnos del aprendizaje, la innovación y la mejora continua.",Telecommunications Carriers,11-50 employees,Privately Held,"La Roda de Andalucía, Andalusia, Spain",Spain,telecoandaluzas.com,https://www.linkedin.com/company/telecoandaluzas
Futura Service Provider S.A.U.,"En Futura Service Provider S.A.U. ( Futura SP ) somos un Operador Integrador de Telecomunicaciones enfocado a Pymes. Contamos con licencia de la CNMC (antigua CMT) como:

    Operador de Acceso a Internet
    Reventa de Servicio de Telefonía Fija, acceso Directo
    Reventa de Servicio de Telefonía Móvil, acceso Indirecto
    Operador Móvil Virtual Prestador de Servicios
    Operador de voz sobre IP
    Operador de radio sobre DPR Común

Ofrecemos a nuestros clientes Soluciones Globales en Telecomunicaciones, y esto es

    Los Productos y Servicios de comunicaciones que necesitan
    Con los mayores avances tecnológicos disponibles
    Con los fabricantes líderes en cada segmento
    Totalmente integrados entre si
    Con la máxima calidad y nivel de servicio
    A los mejores precios del mercado.

Nos avalan mas de 20 años de experiencia en la vanguardia del sector y cientos de clientes que nos confían sus comunicaciones, muchos de ellos durante todos estos Últimos 20 años.

Sabemos que las comunicaciones de su empresa son vitales para la productividad de su negocio y por ello solo trabajamos con lo mejor para ofrecerle lo mejor. Nuestra actividad se basa en combinar TODOS los recursos tecnologicos que nos brindan las nuevas tecnologias, de forma que conseguimos exprimirlas al maximo, resolviendo todas sus necesidades de comunicación al tiempo que bajamos sus costes.

Podemos hacerlo porque somos multiespecialistas en telecomunicaciones",Telecommunications Carriers,11-50 employees,Self Owned,"Alcalá de Guadaíra, Andalusia, Spain",Spain,futurasp.es,https://www.linkedin.com/company/futura-service-provider-s.a.u.
Floutel,"Floutel nace con una idea clara: hacer que la conexión vuelva a ser algo sencillo, transparente y humano.En un sector dominado por grandes operadoras, burocracia y letra pequeña, Floutel llega para devolver el flow al mundo telco: una conexión sin fricciones y sin estrés. Porque conectarse no debería ser complicado.Solo debería fluir.

Somos una empresa de telecomunicaciones liderada y lanzada desde Manix Capital, un grupo con amplia trayectoria en el desarrollo, gestión e inversión en proyectos tecnológicos y de telecomunicaciones.
El equipo fundador de Floutel ha participado en la expansión y digitalización de varias operadoras y plataformas de conectividad en España, acumulando una sólida experiencia en el sector.
Esa experiencia nos da una ventaja: sabemos lo que cansa a los clientes y lo que esperan realmente de una telco.

Floutel. La telco que fluye contigo.",Telecommunications Carriers,11-50 employees,Privately Held,"Manresa, Catalonia, Spain",Spain,floutel.com,https://www.linkedin.com/company/floutel
Celver,"Celver es una empresa de telecomunicaciones y digitalización enfocada al medio rural. Entre sus servicios se encuentran la instalación de servicios de conectividad a traves del satélite, en viviendas o negocios particulares, la puesta en marcha de soluciones teleco en todos los ámbitos y la aplicación de análisis de datos e Inteligencia Artificial en el mundo rural. Asi mismo Celver es un operador de telecomunicaciones ofreciendo un amplio abanico de servicios entre otros fibra óptica, telefonía móvil y fija como servicios de TV en streaming y más.",Telecommunications Carriers,11-50 employees,Privately Held,"Madrid, Community of Madrid, Spain",Spain,celver.es,https://www.linkedin.com/company/celver
Catalunya Telecom,"A Catalunya Telecom impulsem el canvi, vetllem per un món on les telecomunicacions estiguin disponibles al 100% en totes les nostres accions i mitjançant les quals es transformin tant els models de negoci com la vida de les persones.

Som una empresa amb voluntat d’impulsar l’objectiu d'humanitzar les tecnologies, i que opera sempre amb respecte pel medi ambient i l’accés al conjunt de la nostra societat.

La nostra visió és un món on la connexió sigui omnipresent, un món on la tecnologia s'uneix als nostres valors per a crear un futur millor.

La nostra missió? Ser l’operadora al servei de la transformació tecnològica de la societat catalana, oferint serveis d'última generació, tarifes competitives que s'adaptin a les necessitats dels usuaris, amb un servei d'atenció personalitzat i un compromís permanent amb el territori català.",Telecommunications Carriers,11-50 employees,Privately Held,"Barcelona, Catalonia, Spain",Spain,catalunyatelecom.cat,https://www.linkedin.com/company/catalunya-telecom
Fibra Nostra,"Somos un operador NEUTRO de Telecomunicaciones registrado en la C.N.M.C. y especializado en comunicaciones y soluciones TIC para particulares, empresas y entidades públicas.
Como operador NEUTRO ofrecemos a nuestros clientes la mejor tecnología y huella de cobertura disponible en su ubicación.",Telecommunications Carriers,2-10 employees,Privately Held,"Valencia, Valencian Community, Spain",Spain,fibranostra.com,https://www.linkedin.com/company/fibranostra
Eurotech,"Somos una empresa operadora de telecomunicaciones en España. Con sede en Valencia, brindamos accesos de fibra óptica, conexiones satelitales y 5G a consumidores finales y empresas en todo el territorio español.",Telecommunications Carriers,51-200 employees,Privately Held,"Valencia, Valencian Community, Spain",Spain,eurotechiberica.com,https://www.linkedin.com/company/eurotech-iberica
Celtiberia Telecom S.L.,"Aterrizando en el mundo Telco, Celtiberia dedicará todos sus esfuerzos al despliegue y mantenimiento de redes de fibra óptica e inalámbrica... por ahora! Este equipo nunca sabe que nueva puerta nos vamos a encontrar abierta por la mañana.",Telecommunications Carriers,11-50 employees,Self Owned,"Conil de la Frontera, Andalusia, Spain",Spain,,https://www.linkedin.com/company/celtiberia-telecom-s-l
Ohz,"El poder lo tienes tú! 
Seguridad 100%  AS202673 
DDoS Protected",Telecommunications Carriers,Self-employed,Self Employed,"Bilbao, Basque Country, Spain",Spain,ohz.es,https://www.linkedin.com/company/ohz
Anxanet,"Anxanet services are focused on businesses and specialized in fulfilling the needs of international operations.
We are the perfect local partner for global companies.
So our answer to any telecom need you may have is YES

Broadband
We are specialists in offering the required broadband connection to any kind of business.
Using dedicated fibres, FTTH or radio links. We provide a solution whatever technology is needed.

Cloud Services
Anxanet datacenter is also where the header of our telecom services is allocated. 
hanks to that we can provide cloud services within our customer’s network.

360° Telephone services
A single company to manage your landline and mobile telephone services. 
Also with advanced services based on our Cloud PBX. 

Advanced Networking and In-house Services
Our engineering services make a difference with other telecom providers.
Because our intervention can be also inside our customers' premises, providing a complete solution.",Telecommunications Carriers,11-50 employees,Privately Held,"Vilanova i la Geltrú, Catalonia, Spain",Spain,anxanet.com,https://www.linkedin.com/company/anxanet
Telehome,"Te gestionamos y asesoramos a elegir la mejor tarifa para tus servicios de Internet, Luz y Gas. Nuestros asesores te ayudarán en cualquier duda que tengas para la contratación de sus servicios con las mejores condiciones que cumpla con todas sus necesidades.",Telecommunications Carriers,Self-employed,Partnership,"Valladolid, Castilla and Leon, Spain",Spain,telehome.es,https://www.linkedin.com/company/telehome-es
