Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Digi Spain Telecom,"DIGI es una empresa que pertenece a la multinacional DIGI Communications, con 30 años de experiencia en el sector de las telecomunicaciones y presente en España desde 2008 donde cuenta con más de 11,4 millones de clientes a cierre del primer trimestre de 2026. 

Dispone de más de 11.700 empleados y ofrece servicios de telefonía móvil, banda ancha fija y telefonía fija, principalmente a través de su red de fibra óptica, reconocida como la red de fibra más rápida de España por los prestigiosos Ookla Speedtest Awards, con la que llega a más de 14,2 millones de hogares.

DIGI ha sido el primer operador en España en ofrecer velocidad de 10 Gbps a sus clientes con la Fibra PRO-DIGI, que mejora la experiencia de navegación notablemente, por ejemplo, al ver vídeos en ‘streaming’, en la calidad de las videoconferencias o al utilizar internet para teletrabajar y está actualmente disponible en 49 provincias.  

La compañía, que dispone de más de 4.000 puntos de venta en España, está presente en Rumanía, donde ofrece televisión por cable y satélite, además de servicios de energía eléctrica; Portugal, Italia, Bélgica y Reino Unido.",Telecommunications,"10,001+ employees",Privately Held,"Alcobendas, Community of Madrid, Spain",Spain,digimobil.es,https://www.linkedin.com/company/digi-esp
new and now,"Somos una consultoría de telecomunicaciones y energía. 
Damos servicio a nivel nacional.
Deja de preocuparte por tus facturas de telecomunicaciones y energía!
Nosotros nos ocupamos!",Telecommunications,11-50 employees,Privately Held,"Las Rozas de Madrid, Community of Madrid, Spain",Spain,new-now.es,https://www.linkedin.com/company/newandnow
Grupo ADTEL,"Grupo ADTEL es la convergencia entre las telecomunicaciones, el audiovisual, la seguridad y la construcción. Trabajamos para ofrecer soluciones completas de tecnología y servicio en distintos mercados.  

Realizamos nuestra actividad en España, principalmente desde las sedes de Barcelona, Madrid y Valencia. También operamos en América a través de ADTEL Latam en Bogotá, aunque el desarrollo de sus actuaciones internacionales se ha intensificado en otras regiones de Europa, Asia y África.

ADTEL Sistemas de Telecomunicación | www.adtel.es
NRD Multimedia | www.nrd.es
AB Seguridad | www.abseguridad.com
QDE - Qüestió d'Espai | www.qde.cat
SIOC | www.siocsl.es
ADTEL Latam | www.adtel.com.co",Telecommunications,51-200 employees,Self Owned,"Molins de Rei, Catalonia, Spain",Spain,grupoadtel.com,https://www.linkedin.com/company/grupo-adtel
Magnum Telecom,Distribuidor oficial exclusivo de Yoigo,Telecommunications,11-50 employees,Self Owned,"Chirivella, Valencian Community, Spain",Spain,,https://www.linkedin.com/company/magnum-telecom
Yubia Comunicaciones,"Fibra Óptica | Móvil | Fijo

 Urbanizaciones Molina de Segura",Telecommunications,2-10 employees,Privately Held,"Molina de Segura, Region of Murcia, Spain",Spain,yubia.es,https://www.linkedin.com/company/yubiacomunicaciones
Oratioo,"Empresa especializada en telefonía IP, Trun SIP, IP PBX, centralitas virtuales, cloud, acceso a internet y telefonía móvil. Somos operador móvil virtual.",Telecommunications,2-10 employees,Privately Held,"Paterna, Valencian Community, Spain",Spain,oratioo.com,https://www.linkedin.com/company/oratioo
Bconsulting Solutions; S.L.U,"Somos un Distribuidor Autorizado de Vodafone, formado por un equipo humano con más de 19 años de experiencia en el sector de las Telecomunicaciones. Hemos sabido adaptarnos a las exigencias de este mercado, nacimos como profesionales cuando emergió el teléfono móvil y nos hemos ido transformando, como los camaleones, hasta situarnos en la punta de la Digitalización tan en boga actualmente. 

Implementamos Soluciones comunicativas basadas en la conectividad de voz y datos, transformaciones digitales e incluso desarrollando, a través de Partners, aplicaciones para aumentar la productividad. En definitiva aportando a la Pyme soluciones en movilidad que ayuden en su día a día. 

Somos conscientes de la importancia que a día de hoy representa la presencia Online, para ello podemos ofrecerte soluciones SEO, SEM e incluso Cloud para disponer de una presencia online dinámica y actualizada.",Telecommunications,2-10 employees,Privately Held,"Puebla de Vallbona, Valencian Community, Spain",Spain,bconsulting.es,https://www.linkedin.com/company/b-consulting-solutions
Norvoz Telecom,"Norvoz Telecom es un operador de telecomunicaciones B2B especializado en soluciones de conectividad, voz IP, cloud y ciberseguridad para empresas que necesitan disponibilidad total. Desde 2025, somos también operador móvil virtual (OMV).

Con origen en Galicia, damos servicio a organizaciones de toda España con un modelo basado en cercanía técnica, respuesta ágil y compromiso con la seguridad de la información. Nuestra infraestructura es desarrollada y mantenida íntegramente por nuestro propio equipo técnico.

Servicios principales:
— Conectividad empresarial: FTTH, L3VPN, enlaces de fibra con backup, fibras duales y radioenlaces
— Telefonía móvil empresarial 5G (OMV)
— Centralita virtual propia Norvoz y soluciones 3CX (partner Platinum)
— Comunicaciones unificadas
— Soluciones cloud e infraestructura
— Ciberseguridad y consultoría TIC

Certificaciones:
— ENS Nivel Alto (Esquema Nacional de Seguridad) — obtenida en 2026
— NIS 2 (Directiva UE 2022/2555 — Network and Information Security)
— ISO 27001 (Seguridad de la información)

Somos cofundadores de Galnix, el primer punto neutro de conectividad de Galicia. Una infraestructura que garantiza soberanía digital y baja latencia para las empresas gallegas.

Más de 15.000 extensiones gestionadas. Más de 25 años conectando empresas.

 900 831 195 | norvoz.com",Telecommunications,11-50 employees,Privately Held,"Vivero, Galicia, Spain",Spain,norvoz.com,https://www.linkedin.com/company/norvoz-telecom
Initelia,"Somos expertos en soluciones de voz para empresa 
y contact center desde hace más de 15 años.

Integramos tu centralita con tu CRM y demás herramientas empresariales.

Implantamos el más avanzado sistema de atención al cliente omnicanal para contact center.

Unificamos las comunicaciones de voz con Microsoft para reducir el gasto, aumentar la efectividad e incrementar la seguridad. 

Ofrecemos atención personalizada.

Ayudamos a nuestros clientes durante el proceso de implantación, formación y soporte, adaptándonos de forma personalizada a los requerimientos de cada uno.

Nuestros clientes disfrutarán de actualizaciones permanentes contando con las últimas novedades del servicio.",Telecommunications,2-10 employees,Privately Held,"Las Rozas de Madrid, Community of Madrid, Spain",Spain,initelia.es,https://www.linkedin.com/company/initelia
Red Lion Telco,"La primera operadora 100% leonesa

Empresa leonesa, ubicada, gestionada y participada por leoneses, con más de 20 años de experiencia en el sector",Telecommunications,11-50 employees,Privately Held,"León, Castilla and Leon, Spain",Spain,redliontelco.com,https://www.linkedin.com/company/red-lion-telco
