Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Mitsubishi Electric Spain,"Somos tu marca de aires acondicionados y la tecnología con la que puedes contar.

Mitsubishi Electric es una de las compañías líderes en el mundo dentro del sector de los aires acondicionados. Entre nuestros objetivos, está el cuidar el medioambiente y trabajar en todas las actividades contemplando el entorno, estableciendo todo tipo de controles e indicadores necesarios para conseguir unos estándares de calidad internos, y de satisfacción al cliente, en línea con el posicionamiento de la compañía.","Appliances, Electrical, and Electronics Manufacturing",201-500 employees,Privately Held,"San Fernando de Henares, Community of Madrid, Spain",Spain,mitsubishielectric.es,https://www.linkedin.com/company/mitsubishielectricspain
AMORIM FLORESTALESPAÑA SL,,"Appliances, Electrical, and Electronics Manufacturing",11-50 employees,,"San Vicente de Alcántara, Extremadura, Spain",Spain,,https://www.linkedin.com/company/amorim-florestalespaña-sl
ESTRUCTURAS METALICAS HERMANOS GARCIA SL,,"Appliances, Electrical, and Electronics Manufacturing",11-50 employees,,"Fuente-Álamo de Murcia, Region of Murcia, Spain",Spain,,https://www.linkedin.com/company/estructuras-metalicas-hermanos-garcia-sl
TAPIZADOS ARENAL SL,,"Appliances, Electrical, and Electronics Manufacturing",11-50 employees,,"Orihuela, Spain",Spain,tapizados-arenal.com,https://www.linkedin.com/company/tapizados-arenal-sl
INOX MARE IBERICA SL,,"Appliances, Electrical, and Electronics Manufacturing",2-10 employees,,"Alcantarilla, Region of Murcia, Spain",Spain,,https://www.linkedin.com/company/inox-mare-iberica-sl
LUTHIERS CLAR SL,,"Appliances, Electrical, and Electronics Manufacturing",2-10 employees,,"Beniparrell, Valencian Community, Spain",Spain,,https://www.linkedin.com/company/luthiers-clar-sl
NOVOMAG MANUFACTURAS METALICAS SL,,"Appliances, Electrical, and Electronics Manufacturing",11-50 employees,,"La Línea, Andalusia, Spain",Spain,novomag.es,https://www.linkedin.com/company/novomag-manufacturas-metalicas-sl
FERROS DA MARIÑA SL,,"Appliances, Electrical, and Electronics Manufacturing",11-50 employees,,"Cervo, Galicia, Spain",Spain,jealro.com,https://www.linkedin.com/company/ferros-da-mariña-sl
FABRICACIONES METALICAS DEL SUR SLL,,"Appliances, Electrical, and Electronics Manufacturing",2-10 employees,,"Fuente Palmera, Andalusia, Spain",Spain,,https://www.linkedin.com/company/fabricaciones-metalicas-del-sur-sll
AIPAL ALUMINIO SL,,"Appliances, Electrical, and Electronics Manufacturing",2-10 employees,,"Escoriaza, Basque Country, Spain",Spain,,https://www.linkedin.com/company/aipal-aluminio-sl
TALLERES JUAN Y SEVA SL,,"Appliances, Electrical, and Electronics Manufacturing",11-50 employees,,"Colmenar de Oreja, Community of Madrid, Spain",Spain,,https://www.linkedin.com/company/talleres-juan-y-seva-sl
ALUMETAL 2006 SLL,,"Appliances, Electrical, and Electronics Manufacturing",11-50 employees,,"Antequera, Andalusia, Spain",Spain,,https://www.linkedin.com/company/alumetal-2006-sll
MECANIZADOS IÑAKI IBARRA SL,,"Appliances, Electrical, and Electronics Manufacturing",11-50 employees,,"Andoain, Basque Country, Spain",Spain,,https://www.linkedin.com/company/mecanizados-iñaki-ibarra-sl
VILAPLANA SA,,"Appliances, Electrical, and Electronics Manufacturing",11-50 employees,,"Ibi, Valencian Community, Spain",Spain,vilaplanasa.com,https://www.linkedin.com/company/vilaplana-sa
CUVINAL ANTEQUERA SL,,"Appliances, Electrical, and Electronics Manufacturing",11-50 employees,,"Málaga, Andalusia, Spain",Spain,,https://www.linkedin.com/company/cuvinal-antequera-sl
BARANDAS DEL MEDITERRANEO SL,,"Appliances, Electrical, and Electronics Manufacturing",2-10 employees,,"El Papiol, Catalonia, Spain",Spain,andec.es,https://www.linkedin.com/company/barandas-del-mediterraneo-sl
JOSE ALAPONT BONET SL,,"Appliances, Electrical, and Electronics Manufacturing",51-200 employees,,"Alzira, Valencian Community, Spain",Spain,,https://www.linkedin.com/company/jose-alapont-bonet-sl
MONTAJES CUBRESOL SL,,"Appliances, Electrical, and Electronics Manufacturing",2-10 employees,,"Montilla, Andalusia, Spain",Spain,cubresol.com,https://www.linkedin.com/company/montajes-cubresol-sl
GRUP MANITEG LA SELVA SOCIETAT LIMITADA LABORAL,,"Appliances, Electrical, and Electronics Manufacturing",2-10 employees,,"La Selva del Camp, Catalonia, Spain",Spain,,https://www.linkedin.com/company/grup-maniteg-la-selva-societat-limitada-laboral
SERRALLERIA F FRANCH SL,,"Appliances, Electrical, and Electronics Manufacturing",11-50 employees,,"Santa Eulàlia de Ronçana, Catalonia, Spain",Spain,serralleriafranch.com,https://www.linkedin.com/company/serralleria-f-franch-sl
TOT ALUMINI CANET SL,,"Appliances, Electrical, and Electronics Manufacturing",11-50 employees,,"Canet de Mar, Catalonia, Spain",Spain,,https://www.linkedin.com/company/tot-alumini-canet-sl
AGORROSIN SL,,"Appliances, Electrical, and Electronics Manufacturing",2-10 employees,,"Bergara, Basque Country, Spain",Spain,agorrosin.com,https://www.linkedin.com/company/agorrosin-sl
AUTOMATISMOS TARANCON SLL,,"Appliances, Electrical, and Electronics Manufacturing",11-50 employees,,"Tarancón, Castile-La Mancha, Spain",Spain,,https://www.linkedin.com/company/automatismos-tarancon-sll
IRISBI INTERN SL,,"Appliances, Electrical, and Electronics Manufacturing",2-10 employees,,"Sant Pol de Mar, Catalonia, Spain",Spain,,https://www.linkedin.com/company/irisbi-intern-sl
ELITE VENTANAS SLL,,"Appliances, Electrical, and Electronics Manufacturing",11-50 employees,,"Gijón, Principality of Asturias, Spain",Spain,,https://www.linkedin.com/company/elite-ventanas-sll
ALUMINIOS CEUTA SL,,"Appliances, Electrical, and Electronics Manufacturing",2-10 employees,,"Ceuta, Ceuta, Spain",Spain,,https://www.linkedin.com/company/aluminios-ceuta-sl
INNOVACIONS METALIK SL,,"Appliances, Electrical, and Electronics Manufacturing",2-10 employees,,"Caldes de Montbui, Catalonia, Spain",Spain,,https://www.linkedin.com/company/innovacions-metalik-sl
SECURMAS INTEGRAL SERVICE SL,,"Appliances, Electrical, and Electronics Manufacturing",2-10 employees,,"Torrejón de Ardoz, Community of Madrid, Spain",Spain,,https://www.linkedin.com/company/securmas-integral-service-sl
ACEROS Y PERFILES FRICANSA SL,,"Appliances, Electrical, and Electronics Manufacturing",2-10 employees,,"La Solana, Castile-La Mancha, Spain",Spain,fricansa.com,https://www.linkedin.com/company/aceros-y-perfiles-fricansa-sl
CARPINTERIAS METALICAS ALUCER SL,,"Appliances, Electrical, and Electronics Manufacturing",11-50 employees,,"Segovia, Castilla and Leon, Spain",Spain,,https://www.linkedin.com/company/carpinterias-metalicas-alucer-sl
ALUMINIOS ALVARADOS SL,,"Appliances, Electrical, and Electronics Manufacturing",2-10 employees,,"Las Palmas de Gran Canaria, Canary Islands, Spain",Spain,,https://www.linkedin.com/company/aluminios-alvarados-sl
HERRAMIENTAS DEL VINALOPO SL,,"Appliances, Electrical, and Electronics Manufacturing",11-50 employees,,"Salinas, Valencian Community, Spain",Spain,,https://www.linkedin.com/company/herramientas-del-vinalopo-sl
BLASMETAL ALUMINIS SL,,"Appliances, Electrical, and Electronics Manufacturing",2-10 employees,,"Alzira, Valencian Community, Spain",Spain,,https://www.linkedin.com/company/blasmetal-aluminis-sl
MONTAJES RODABELL SL,,"Appliances, Electrical, and Electronics Manufacturing",2-10 employees,,"Cervo, Galicia, Spain",Spain,,https://www.linkedin.com/company/montajes-rodabell-sl
