Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
bioMérieux,"A family-owned company, bioMérieux has grown to become a world leader in the field of in vitro diagnostics. Our entrepreneurial adventure, begun over a century ago, is driven by an unrelenting commitment to improve public health worldwide. 

Since 1963, we've been paving the way in the field of in vitro diagnostics and have contributed greatly to improving public health and making the world a healthier place.

The solutions that our teams imagine, develop and manufacture are key to enable healthcare professionals and industry players to make confident decisions to improve patient outcome and ensure consumer safety.

***

 Read our Community Guidelines: https://www.biomerieux.com/corp/en/social-media-community-guidelines.html",Biotechnology Research,"10,001+ employees",Public Company,"Tres Cantos, Community of Madrid, Spain",Spain,biomerieux.com,https://www.linkedin.com/company/biomerieux
Gistem Research S.L.,"The biotechnological company GiStem Research Limited is sited in Gijón (Asturias, Spain) and was founded in 2016 by researchers working at various public and private R&D entities. It is supported by the Foundation for the Research on Uterine Stem Cells (Spanish acronym: FICEMU).

Our main goal is to offer a new therapeutic line based on the secretome or conditioned medium (CM) derived from human Uterine Cervical Stem Cells (hUCESCs). 

Our company engages in a field in full expansion, such as biotechnology, more specifically in a fast growing area, that of stem cells and regenerative medicine. 

Four special scientific and technological aspects are paramount and give our company its genuine character:

•	We have already developed a new biological product CM-hUCESCs derived from stem cells, which is commercially patented and presents great therapeutic potential;

•	The possibility of obtaining large quantities of this product within a short period of time;

•	The pioneering use of this product derived from hUCESCs, which allows avoiding the technical and safety inconveniences attached to using stem cells themselves, thus enhancing the chances of carrying out clinical tests;

•	The therapeutic potential of this product in three very attractive medical fields: regenerative medicine, oncology and  inflammatory diseases.",Biotechnology Research,2-10 employees,Privately Held,"Gijón, Principality of Asturias, Spain",Spain,gistemresearch.com,https://www.linkedin.com/company/gistemresearchs.l.
Telomere Therapeutics,"Telomere Therapeutics is a gene therapy company developing disease modifying treatments for unmet medical needs, pioneering the repair of telomeres to treat organ fibrosis and other telomere-dysfunction syndromes for which there are no curative treatments.",Biotechnology Research,2-10 employees,Privately Held,"Barcelona, Catalonia, Spain",Spain,telomere-tx.com,https://www.linkedin.com/company/telomere-tx
Oncogenomics,"From Oncogenomics we promote the application of the most advanced genomic developments in the field of Medical Oncology, favoring innovation in clinical practice, especially in the selection of personalized treatments.

We focus our activity on offering a fast and quality service to perform the Prosigna Test (PAM50) developed by NanoString, working with the only Spanish laboratory accredited to carry out the test.

The Prosigna Test (PAM50) is the only diagnostic test that informs your oncologist of the intrinsic tumor subtype and also provides the individualized probability of recurrence at a distance of 10 years, the risk of recurrence (ROR) and the category of risk.",Biotechnology Research,2-10 employees,Privately Held,"Madrid, Community of Madrid, Spain",Spain,oncogenomics.es,https://www.linkedin.com/company/oncogenomics-spain
Glycoscience,"Glycoscience is a company integrated by specialists with long experience in organic chemistry, especially in carbohydrate chemistry, as well as in industrial enzymatic synthesis and product development on a global scale.

Glycoscience has developed new molecules based on its patented technology to improve on current repellents available in the insect repellent market and enhance their characteristics to offer new, safe and long-lasting products. The Glycoscience team has developed a mechanism protected by intellectual property law to modify the physicochemical characteristics of molecules that allows for controlled and safe release of a wide range of compounds",Biotechnology Research,2-10 employees,Privately Held,"Derio, Basque Country, Spain",Spain,glycoscience.es,https://www.linkedin.com/company/glycoscience
QPCR Academy,"QPCR Academy is best-in-class scientific support & e-learning platform providing global-quality training in molecular biology, diagnostics, and life sciences. 

We offer:
- Expert-led online courses
- Real-life training
- Certificates of Completion
- Personalised training solutions for universities, diagnostic laboratories, industry teams and bussines partners.

We help:
Researchers | Lab techs | Students | Diagnostic labs | Pharma | Food & Animal Health | Forensics

Our mission:
is simply to equip molecular professionals and forward-thinking organizations with the expertise required to deliver high-quality molecular results that advance research, strengthen diagnostics, and improve human health.

Better skills. Better data. Better science.

Contact us for solutions tailored to your lab, team or institution needs contact@qpcracademy.com",Biotechnology Research,Self-employed,Privately Held,"Barcelona, Catalonia, Spain",Spain,,https://www.linkedin.com/company/qpcracademy
TECNICAS RADIOFISICAS S.L.U.,"Servicios de Consultoría en Física Médica y Protección Radiológica.
Fabricantes de Equipamiento de Protección Radiológica.

Consultants in Medical Physics and Radiation Safety.
Manufacturer of Radiation Protection Equipment",Biotechnology Research,11-50 employees,Privately Held,"Zaragoza, Aragon, Spain",Spain,trf.es,https://www.linkedin.com/company/tecnicas-radiofisicas-s-l-u
ProteoDesign,ProteoDesign is a spin-out from Princeton University founded around a novel protein engineering platform technology.,Biotechnology Research,2-10 employees,Privately Held,"Barcelona, Catalonia, Spain",Spain,proteodesign.es,https://www.linkedin.com/company/proteodesign
Activafoodtech,"Activa Food Tech es una empresa dedicada al desarrollo de soluciones alimentarias personalizadas. Aportamos soluciones alimentarias orientadas al desarrollo de productos vegetales y cárnicos. Implementamos soluciones ecológicas, distribuimos maquinaria y asesoramos a empresas del sector en la creación y la mejora de productos alimentarios.

Nos diferenciamos porque somos una empresa ágil y disponemos de la certificación IFS Food (International Featured Standard), avalada por el organismo internacional GFSI (Global Food Safety Initiative).

Paralelamente, tenemos una metodología de trabajo propia que nos aporta una elevada capacidad de reacción ante las peticiones específicas de cada cliente. Este rasgo nos hace más competitivos y profesionales.

Nuestro rasgo diferencial es que no fabricamos aditivos para su comercialización. Es decir, solo creamos los aditivos necesarios para lograr el resultado esperado por cada cliente.

Estamos comprometidos con el medio ambiente. Por eso, realizamos un consumo responsable de agua y energía y evitamos el derroche de productos. Gestionamos de forma sostenible todos los residuos que generamos para minimizar el impacto ambiental.",Biotechnology Research,11-50 employees,Self Owned,"Cornellà del Terri, Catalonia, Spain",Spain,activafoodtech.com,https://www.linkedin.com/company/activafoodtech
Claripure,"An ISO 9001 Certified Single-Use Bioprocessing Solutions & Technology provider with a Global footprint of EN ISO 14644 Class VII Cleanroom facilities, supplying a full range of USP Class VI & USFDA approved materials; adding value in the Design, Engineering & Manufacturing of Single-Use Bioprocess Bag Assemblies & Custom designed hardware to the Life Sciences Industries worldwide.

An enterprise of the NEUMO Ehrenberg Group, a multi-national organisation of over 2000 engineering professionals, providing R & D, Manufacturing and Distribution capabilities, within a diverse framework of 34 companies that have been supplying innovative & mission critical fluid solutions since 1947.",Biotechnology Research,"1,001-5,000 employees",Privately Held,Spain,Spain,claripure.com,https://www.linkedin.com/company/claripure
