Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Reason Why,"Brand Media líder en España especializado en Marketing, Publicidad, Comunicación y Economía Digital.",Media & Telecommunications,11-50 employees,Privately Held,"Madrid, Community of Madrid, Spain",Spain,reasonwhy.es,https://www.linkedin.com/company/reasonwhy-es
TopBici,Online magazine from Spain with the latest news about road bikes and cycling.,Media & Telecommunications,2-10 employees,Self Owned,"Barcelona, Catalonia, Spain",Spain,topbici.es,https://www.linkedin.com/company/topbici
Wololo Sound,"Wololo Sound was born in 2013 from the ambition and enthusiasm of ten young people from different parts of Spain. In 2014, we decided to give shape to this humble project with the launch of our first website, and today we are delighted to show the best of ourselves to our more than 76,000 followers.

Our curiosity and desire to work hard have made us one of the most important media outlets in the country and one of the most active platforms on social media. In addition, our own podcast, “Sábado Histórico,” sets us apart and has earned us recognition and respect in the music industry.

Our goals? To bring electronic music fans the best releases in each genre, the most important news from this wonderful world, all the latest developments in ever-changing music technology, the best festivals, and the most dynamic interviews with the artists who amaze us on the dance floor.

Wololo Sound continues to grow, and we want to grow with you.",Media & Telecommunications,11-50 employees,Privately Held,"Madrid, Community of Madrid, Spain",Spain,wololosound.com,https://www.linkedin.com/company/wololosound
Drafteados,"Somos un canal de YouTube especializado en NBA desde 2017. Hemos construido una audiencia sólida en España y Latinoamérica, con una comunidad de más de 880.000 personas que siguen a diario, a través de nuestros contenidos y experiencias, la mejor liga de baloncesto del mundo.",Media & Telecommunications,2-10 employees,Privately Held,"Madrid, Community of Madrid, Spain",Spain,drafteados.com,https://www.linkedin.com/company/drafteados
The Reason Behind,"Bienvenido a The Reason Behind!
Somos la primera revista de lifestyle sostenible en España.

Nuestra misión es acercarte todas las noticias positivas en favor del medioambiente y de las personas.

Llevamos más de 2 años comunicando habiendo conseguido formar parte del equipo de difusión de contenido sostenible de la Comisión Europea y Ted Talks en español, entre otros.

Entren, lean, disfruten.",Media & Telecommunications,2-10 employees,Self Owned,"Valencia, Valencian Community, Spain",Spain,thereasonbehind.es,https://www.linkedin.com/company/the-reason-behind
DW Magazine,"Somos el primer #grupo de #mediosdigitales siendo Nexo entre la empresa y medios diplomáticos.
#canales de #comunicación de última #tecnología, y #mediostemáticos #digitales.

Nuestra #misión es ofrecer una #plataforma de #medios de #comunicación protagonizada por destacados #profesionales que aportan contenidos de #calidad, #rigor informativo, y #data de tendencia a través de nuestras #radios, #periódicosdigitales, #RRSS y #canales de #TV
www.grupodecisionmedia.com",Media & Telecommunications,11-50 employees,Privately Held,"Madrid, Community of Madrid, Spain",Spain,diplomaticworldmagazine.com,https://www.linkedin.com/company/dw-magazine-spain
Antitrust Intelligence,"Competition lawyers prepare for cases, client meetings, and regulatory proceedings using legal analysis alone. They miss the financial layer that would make their advice distinctive, their arguments harder to reject, and their client conversations more valuable. That gap costs them mandates, credibility, and time.

What about business development? Lawyers attend conferences, write articles and submit entries to legal directories, but this is hardly enough to make a prospect call you when they need advice.

Antitrust Intelligence exists to close this gap.

Founded by Aitor Ortiz, a lawyer and former Bloomberg Intelligence analyst, the firm is the first to systematically connect financial markets data to competition law practice. It does not compete with legal databases or news services. It created a category that did not exist before: forensic financial intelligence for antitrust professionals.

Our products serve different needs. The Inner Circle delivers monthly briefs identifying one specific, monetisable legal opportunity per edition, with named companies and country-by-country advisory angles. Our FLAG program shows antitrust professionals how to read financial documents, build arguments to strengthen their cases and find business opportunities. The Intelligence Platform provides weekly analysis combining antitrust and financial markets data.

The firm serves competition partners at leading law firms, in-house competition counsel at large companies, and antitrust regulators across Europe and beyond. Visit antitrust-intelligence.com",Media & Telecommunications,2-10 employees,Privately Held,"Málaga, Andalusia, Spain",Spain,antitrust-intelligence.com,https://www.linkedin.com/company/antitrust-intelligence
Travel Insider España,"Diario de información turística destinada a los profesionales del sector en España, con secciones sobre Hoteles y Alojamiento, Destinos, Agencias, Distribución, Transporte, MICE, Hostelería y Restauración, Eventos, etc...",Media & Telecommunications,2-10 employees,Privately Held,"Madrid, Community of Madrid, Spain",Spain,travelinsider.es,https://www.linkedin.com/company/travel-insider-spain
Página Internacional,"Página Internacional es un nuevo medio de comunicación que selecciona, traduce y publica los mejores artículos de las mejores revistas y periódicos del mundo. 

Nace para recuperar la esencia del periodismo inteligente, divulgativo y respetuoso, ofreciendo claridad en medio del ruido mediático actual. 

Nuestro objetivo es ofrecer a los lectores hispanohablantes una visión global y diversa de la actualidad, a través de la mejor prensa del mundo.

Si te apetece estar al día del proyecto, suscríbete a la newsletter:  https://shorturl.at/UVjAY",Media & Telecommunications,2-10 employees,Self Owned,"Barcelona, Catalonia, Spain",Spain,paginainternacional.com,https://www.linkedin.com/company/paginainternacional
Are Business Global,"Somos Are Business Global : Inbound & Brand Marketing & Business Connection Group, estructurado en :Programa de TV en Negocios TV, dos Programas de Radio, en Radio Libertad y Radio Intercontinental, Periódico Digital Semanal Financiero,Empresarial y Legal,  Editorial, Marketing Digital,  Organización de Encuentros Profesionales así como Desarrollo de acciones comerciales  para ampliar los ingresos de nuestros clientes",Media & Telecommunications,2-10 employees,Privately Held,"Madrid, Community of Madrid, Spain",Spain,arebusinessglobal.es,https://www.linkedin.com/company/arebusinessglobal.es
