Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Graphenea,Graphenea is a graphene materials manufacturing company. Graphene develops optimized graphene materials for industrial and research needs. Graphenea has developed leading synthesis and transfer process to obtain high uniformity monolayer graphene films on any substrate.,Nanotechnology Research,11-50 employees,Privately Held,"San Sebastián, Basque Country, Spain",Spain,graphenea.com,https://www.linkedin.com/company/graphenea
VLC Photonics (Hitachi Group),"We specialize in pure-play Photonic Integrated Circuits design and testing services, offering turn-key engineering solutions for all material platforms (SOI, SiN, SiO2/PLC, III-V materials (InP, GaAs, etc.), and cutting edge platforms like Thin film Lithium Niobate (TFLN), BTO, polymers, AlO2 or Graphene)

Our state-of-the-art infrastructure, advanced equipment, and extensive expertise ensure precision in tailoring Photonic Integrated Circuits innovations for all sectors: datacom, quantum, metrology, sensing, LiDAR, bio-photonics and more.

Our core expertise lies on:

Photonic Integrated Circuits Design: 
Custom Design Service
Layout Service:
Design Support:
PDK Development

Photonic Integrated Circuits Testing:

Automatic die and Wafer Level Testing
Die Level Testing

Optical Testing:

Complete optical testing with various light sources (lasers, supercontinuum, LEDs) spanning visible to near-infrared and mid-infrared wavelengths.  With electric testing including DC and RF  up to 110 GHz frequency, signal processing, and multi-probe testing stations.

 Photonic Integrated Circuits Assembly:

Capablities including
・Chip bonding into organic PCB or ceramic carriers for DC and RF operation
・Fiber array pig-tailing
・Electrical wire-bonding & flip-chip
・Connectorization
・Thermal management",Nanotechnology Research,11-50 employees,Privately Held,"Valencia, Valencian Community, Spain",Spain,vlcphotonics.com,https://www.linkedin.com/company/vlcphotonics
Nanomaterials and Nanotechnology Research Center (CINN),"The Nanomaterials and Nanotechnology Research Center (CINN) is a joint research center established in 2007 by institutional initiative of the Spanish Council for Scientific Research (CSIC), the Government of the Principality of Asturias and the University of Oviedo.These three institutions contribute to the CINN with funding as well as scientific facilities and staff.

The CINN combines a high-quality and internationally competitive interdisciplinary research with scientific and technological demonstration activities and has among its objectives the creation of new technology-based companies.

Apart from 4 research groups working on Nanoelectronics, Big Science, Nanomedicine, Industry and Security and Defense, the CINN counts on an innovation department that leads the market orientation strategy of the center, a Nanotechnology Unit that offers different services to industry and an administration department responsible for the administrative and finanicial tasks of the CINN.",Nanotechnology Research,11-50 employees,Government Agency,"L'Entregu, Principality of Asturias, Spain",Spain,cinn.es,https://www.linkedin.com/company/nanomaterials-and-nanotechnology-research-center
Nanomate by Phi4tech,"Nanomate was born with a mission: not only to build the materials for the future, but to lead the transition to a more sustainable planet through nanotechnology.

Thanks to the unique properties of our nanomaterials, we have succeeded in creating materials for the future, enabling the development of more sustainable, safer, and more efficient applications.

At the heart of the company, we treasure —and protect— what makes us unique: our nanomaterials.

We synthesise nanomaterials with unique properties tailored to the needs of each industry through a proprietary manufacturing process.",Nanotechnology Research,51-200 employees,Privately Held,"Noblejas, Castile-La Mancha, Spain",Spain,nanomate.es,https://www.linkedin.com/company/nanomate
Graphenano,"Graphenano Fabricante Nanotecnología - Grafeno | Derivados del grafeno y productos con grafeno.

I+A de productos nanotecnológicos.  Investigación y aplicación de productos nanotecnológicos en productos cotidianos. Comercialización de aplicaciones con grafeno y subproductos.

-
 Graphenano Manufacturer Nanotechnology - Graphene |  Derivatives of graphene and products with graphene.

I+A of nanotechnological products.  Research and application of nanotechnological products in everyday products.  Marketing of applications with graphene and by-products.",Nanotechnology Research,51-200 employees,Privately Held,"Yecla, Region of Murcia, Spain",Spain,graphenano.com,https://www.linkedin.com/company/graphenano
microTAS,The 30th International Conference on Miniaturized Systems for Chemistry and Life Sciences (μTAS 2030) - where minds and microfluidics meet,Nanotechnology Research,2-10 employees,Non Profit,"Granada, Andalusia, Spain",Spain,microtas2025.org,https://www.linkedin.com/company/microtas
Nanomedicine Lab,"The Nanomedicine Lab is a multidisciplinary research group based at the Catalan Institute of Nanoscience and Nanotechnology (ICN2) and affiliated with the Institute of Neurosciences at the Faculty of Medicine of the Universitat Autònoma de Barcelona (UAB) all located in Barcelona, Spain. The Nanomedicine Lab is also an affiliate member of the Centre for Nanotechnology in Medicine at the Faculty of Biology, Medicine and Health of the University of Manchester in the United Kingdom which is fostering expertise and knowledge in innovative nanotechnologies for a broad range of medical applications.

The Nanomedicine Lab research portfolio includes the discovery and preclinical development of nanomedicine constructs based on novel, advanced nanomaterials of synthetic and biological nature. Great emphasis is placed at the interplay between in vitro and in vivo studies and how rationally designed and engineered nanoscale platforms can be safely translated into clinically effective therapeutics and diagnostics, with a particular interest in oncology and neurology.",Nanotechnology Research,11-50 employees,Educational,"Barcelona, Catalonia, Spain",Spain,nanomedicinelab.com,https://www.linkedin.com/company/nanomedicine-lab
NUCAPS,"Green Nanotechnology

NUCAPS@ is a consortium comprised by two Pharmaceutical companies (Laboratorios Cinfa and IDIFARMA), a Food Technological Center (CNTA) and the University of Navarra. 
T
his consortium has developed new solutions based on the use of Food proteins (GRAS) as casein, zein or soya for the oral delivery and controlled release of drugs/actives and/or microorganisms.",Nanotechnology Research,11-50 employees,Privately Held,"Noáin, Chartered Community of Navarre, Spain",Spain,nucapsnanotechnology.com,https://www.linkedin.com/company/nucaps
Nanostine,"Nanostine is a company dedicated to advanced coatings with ultra-pure nanostructures.

The potential of our technology lies in its ability to manufacture ultrapure nanoparticles to create coatings with a precision impossible to achieve with other methods.

Very high purity. 
Controlling size and composition very precisely.
Without generating any waste in the manufacturing process. 

Nanostine's technology can be used in multiple applications:

 Aerospace (coating of RF devices, hydrophobic surfaces, anti-microbial...).
Energy (batteries, fuel cells, and capacitors).
Sensors (biosensors, SAW).
Nanomedicine (implants, prosthesis).",Nanotechnology Research,2-10 employees,Privately Held,"Madrid, Community of Madrid, Spain",Spain,nanostine.com,https://www.linkedin.com/company/nanostine
Nane,"Asesores y suministradores de equipamiento científico en áreas como la nanotecnología, la ciencia de nuevos materiales, el desarrollo bio y farmacéutico, la investigación en energía y baterías.

Suministrar equipamiento tecnológico y soluciones completas a los clientes, generando relaciones proveedor-cliente a largo plazo. Existe una alta demanda de asesoría y conocimiento por parte de los clientes en diferentes tecnologías. Nuestro objetivo es entender el sector, la aplicación y los problemas concretos de los clientes para poder ayudar a resolverlos.

Puedes seguirnos en:

www.nane.pro

O ya si quieres específicamente a tu sector:

www.nanemateria.pro
www.nanevita.pro",Nanotechnology Research,2-10 employees,Self Owned,"Madrid, Community of Madrid, Spain",Spain,,https://www.linkedin.com/company/nanequipamiento
