Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Satlink,"Founded in 1992, Satlink is a world leading technology provider that develops solutions focused on ocean knowledge and sustainability, improving the management of ocean resources and working closely with industry, governments and NGOs. Strongly committed to fisheries sustainability and ocean conservation, Satlink's mission is to provide tools that can help fleets and governments worldwide to sustainably manage their activity in the most efficient way. 

Headquartered in Madrid, Satlink has offices in Spain (Marin), Canada, Seychelles, Ecuador, USA, Fiji, Solomon Islands, Korea, and Taiwan while working with local partners in other locations.",Satellite Telecommunications,201-500 employees,Privately Held,"Alcobendas, Community of Madrid, Spain",Spain,satlink.es,https://www.linkedin.com/company/satlink
Global Satcoms,"Global Satcoms stands as a prominent global field service engineering firm, specializing in VSAT technologies. Our core competency revolves around catering to VSAT service providers and teleport operators, primarily emphasizing the oil & gas and maritime sectors.

Operating robustly in numerous countries globally, we deliver dependable and effective satellite communication solutions to our esteemed clientele. Our skilled professionals handle everything from installation and maintenance to troubleshooting, ensuring our clients experience seamless connectivity and uninterrupted operations.

Trust Global Satcoms for all your VSAT needs, as we deliver exceptional service wherever you are in the world.",Satellite Telecommunications,11-50 employees,Privately Held,"Málaga, Andalusia, Spain",Spain,globalsatcoms.com,https://www.linkedin.com/company/global-satcoms
Startical,"Startical aspires to revolutionize Air Traffic Management (ATM) with the launch of a satellite constellation. This network will provide surveillance (ADS-B) and communication (VHF) services in remote and oceanic regions that terrestrial infrastructure can’t reach. The service aims at enhancing flight safety, increasing capacity and efficiency, boosting punctuality, and cutting global CO2 emissions.",Satellite Telecommunications,11-50 employees,Privately Held,"Madrid, Community of Madrid, Spain",Spain,startical.com,https://www.linkedin.com/company/startical
Santander Teleport,"Santander Teleport is an independent teleport operator offering satellite communication services in C, X, Ku and Ka bands for service providers, satellite operators, enterprise and government organisations in a number of markets including maritime, enterprise, telcos, broadcast and defence.

Santander Teleport owns its own satellite teleport facilities in Spain, has access to a global terrestrial network and works with partner teleports around the world to provide global reach.

Santander Teleport provides the following services:

MSS and VSAT Satellite communication services
Uplink/downlink/turnaround 
Antenna hosting and Colocation of customer equipment
Custom VSAT solutions
Connectivity to major PoPs and end customer sites
Back-up / Disaster recovery
Project Engineering and Consultancy
Specialised services for satellite operators (IOT, TT&C, RCM...)",Satellite Telecommunications,11-50 employees,Privately Held,"Santander, Cantabria, Spain",Spain,santanderteleport.com,https://www.linkedin.com/company/santander-teleport
ZUNIBAL,"Founded in 1995 in Derio (Spain), Zunibal (www.zunibal.com) has established itself as a benchmark in the field of innovation and the development of advanced technological solutions dedicated to sustainable fishing and marine monitoring, fields in which research and development (R&D) play a crucial role. Specialised in the manufacture of satellite buoys for fishing fleets, Zunibal is committed to a technical and precise approach, ensuring solutions of the highest quality and efficiency. Its product offering not only meets the highest performance standards, but also aligns with the principles of sustainability and environmental responsibility, actively contributing to the conservation of marine resources.",Satellite Telecommunications,51-200 employees,Privately Held,"Derio, Basque Country, Spain",Spain,zunibal.com,https://www.linkedin.com/company/zunibal
ADC INGENIERÍA,"En ADC Ingeniería ofrecemos soluciones tecnológicas de alto valor añadido a los sectores de las energías renovables, telecomunicaciones y aeronáutico.

Telecomunicaciones:
Realizamos el estudio, diseño e ingeniería del proyecto de cableado de fibra óptica, así como el servicio de instalación y mantenimiento de redes con certificación. 

Energías renovables:
Desarrollamos sistemas que combinan y optimizan diferentes fuentes de energía para proyectos de autoconsumo y eficiencia energética en el sector industrial.

Aeronáutica:
Somos referente en el diseño, montaje y mantenimiento de equipos de soporte en tierra y desarrollo de utillaje para medios productivos en aeronáutica civil y militar.

Ofrecemos la mejor solución para cada proyecto gracias a nuestras capacidades de innovación, tecnología y experiencia. ¿Quieres que trabajemos en tu proyecto? Contáctanos.

  (34) 910 242 952 
  info@adc-ingenieria.com",Satellite Telecommunications,11-50 employees,Privately Held,"Boadilla del Monte, Community of Madrid, Spain",Spain,adc-ingenieria.com,https://www.linkedin.com/company/adc-ingenieriasl
TRANTOR,"The aim of TRANTOR is to perform a significant step forward by paving the path for the 5G NTN evolution towards 6G. To do so, TRANTOR targets the in-orbit validation of a complete satellite value chain involving an automated management of satellite resources across multiple bands, satellites, and orbits, and a converged radio access network. Specifically, at the ground segment, TRANTOR targets the development of novel satellite network management solutions, fully integrated in the 3GPP management framework, which allow the significant scaling up of heterogeneous satellite traffic demands and capacities in a cost-effective, highly dynamic, band and orbit agnostic manner.",Satellite Telecommunications,11-50 employees,Non Profit,"Castelldefels, Catalonia, Spain",Spain,trantor-he.eu,https://www.linkedin.com/company/trantorhe
Albor Space,"Albor Space develops advanced communication technologies to enable the next generation of satellite networks.

Our mission is to make space communications more flexible, accessible and efficient, empowering industries, operators and research institutions to validate and deploy new technologies and services in the space ecosystem.",Satellite Telecommunications,2-10 employees,Privately Held,"Málaga, Andalusia, Spain",Spain,alborspace.com,https://www.linkedin.com/company/albor-space
TinyGS,"TinyGS is a pioneering global network of ground stations optimized for the reception of satellites using LoRa and FSK radio technology. This collaborative project empowers universities, companies, and research centers launching their satellites by facilitating the reception of open telemetry data. With over 1,600 stations worldwide, TinyGS is dedicated to enhancing global communication capabilities and advancing space technology accessibility. Join us in our mission to connect the world through an innovative, community-driven satellite network.",Satellite Telecommunications,2-10 employees,Non Profit,"Madrid, Community of Madrid, Spain",Spain,tinygs.com,https://www.linkedin.com/company/tinygs
UC3-Base,"UC3-Base es una asociación de radioaficionados apasionados por la tecnología, las comunicaciones y la ciencia. Fundada en el entorno académico de la Universidad Carlos III de Madrid, nos dedicamos a la experimentación y la innovación en el campo de las comunicaciones por radio y satélite. Nuestro equipo está compuesto por estudiantes, profesores y entusiastas de diversas áreas, todos unidos por el interés común de expandir las fronteras del conocimiento en el ámbito de las telecomunicaciones. A lo largo de los años, hemos trabajado en múltiples proyectos de comunicaciones satelitales, radiofrecuencia y antenas innovadoras. Además, fomentamos el desarrollo personal y profesional de nuestros miembros a través de talleres, conferencias y eventos, brindando una plataforma para aprender y compartir experiencias.",Satellite Telecommunications,2-10 employees,Non Profit,"Leganés, Community of Madrid, Spain",Spain,github.io,https://www.linkedin.com/company/uc3base
