Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Endress+Hauser Group,"Endress+Hauser is a global leader in measurement and automation technology for process and laboratory applications. The family company, headquartered in Reinach, Switzerland, achieved net sales of approximately 4.01 billion euros in 2025 with a total workforce of more than 18,300. 

Endress+Hauser devices, solutions and services are at home in many industries. Customers thus use them to gain valuable knowledge from their applications. This enables them to improve their products, work economically and at the same time protect people and the environment.

Endress+Hauser is a reliable partner worldwide. Its own sales companies in more than 50 countries as well as representatives in another 70 countries ensure competent support. Production facilities on four continents manufacture quickly and flexibly to the highest quality standards.

Endress+Hauser was founded in 1953 by Georg H Endress and Ludwig Hauser. Ever since, the company has been pushing ahead with the development and use of innovative technologies, now helping to shape the industry’s digital transformation. 9,000+ patents and applications protect the Group’s intellectual property.

For further information, please visit www.endress.com/media-center or www.endress.com",Automation Machinery Manufacturing,"10,001+ employees",Privately Held,"Solna, Stockholm County, Sweden",Sweden,endress.com,https://www.linkedin.com/company/endress-hauser-group
Gårö Badrum,A modern workplace that the employees are proud of and other sees as an example.,Automation Machinery Manufacturing,51-200 employees,Public Company,"Gnosjö, 06, Sweden",Sweden,gppab.se,https://www.linkedin.com/company/gårö-badrum
SejongTechnology,"Sejong Technology strives to create an environment, where our clients and employees can live well, in the 4th Indsutrial Revolution era.
Sejong Technology will to the best to become a leading company in the new era through endless technical developments.
Everyone at Sejong Technology will bring technical innovation for sustainable management, and will try our best to develop new technology for the future.

Sejong Technology co., Ltd has been producing battery equipment since its establishment in 2009.
Sejong Technology equipment assure excellence in performance and safety based on more than 12 years of experience in manufacturing with technological development achievements.

Sejong is continuously supplying to the world’s major battery manufactures,
The main equipment manufactured by Sejong Technology is as follows;
-	Tape machine for battery insulation
-	Final Inspection machine for battery safety
-	Automatic packaging machine for outbound
-	Test units for battery performance
-	Module / Packaging assemble line for battery",Automation Machinery Manufacturing,51-200 employees,Privately Held,"Stockholm, 01, Sweden",Sweden,sejongt.co.kr,https://www.linkedin.com/company/sejongtechnology
Pack Automation AB,"Pack Automation is a sales and consulting company within packaging and automation for food, confectionary and pharma industry. Est 2021 in Sweden.",Automation Machinery Manufacturing,2-10 employees,Privately Held,"Trelleborg, 12, Sweden",Sweden,packautomation.se,https://www.linkedin.com/company/pack-automation-ab
ITE Fabriks AB,Metallegoarbeten,Automation Machinery Manufacturing,51-200 employees,Privately Held,"Olofström, 10, Sweden",Sweden,itefabriks.se,https://www.linkedin.com/company/ite-fabriks-ab
Tooltech AB,"TOOLTECH provides industrial process solutions and equipment. Our mission is to enhance and make our customers processes and production more profitably. 

Tooltech has been working with press hardened boron steel equipment since it was invented in Sweden in the 90 ́s. Equipment such as fixtures for Laser cutting, Measuring and Gauge fixtures, Tools for forming and dies and customized machines are delivered to the industry world wide. 

Services:
- Engineering
- Manufacturing
- Fixture design
- Production equipment and complete cells
- Production support",Automation Machinery Manufacturing,11-50 employees,Public Company,"Töre, 25, Sweden",Sweden,tooltech.se,https://www.linkedin.com/company/tooltech-ab
Bergkvist-Insjön AB,"Välkommen till Bergkvist-Insjön AB
Ett familjeföretag i världen
Bergkvist-Insjön AB är ett av Sveriges största familjeägda sågverksföretag. Huvuddelen av verksamheten finns vid sågverket i Insjön, med ett 150-tal anställda. Bergkvist-Insjön AB har världen som marknad. Vi exporterar omkring 85% av vår produktion, där Japan är vår största marknad. Försäljningen sker dels genom vår marknadsavdelning, dels genom agenter på marknader med kontinuerlig efterfrågan. I Insjön har vi en egen containerterminal för exporten. Därmed har vi en säker, sluten hantering av våra trävaror som skickas direkt till slutförbrukaren.",Automation Machinery Manufacturing,51-200 employees,Privately Held,"Insjön, 20, Sweden",Sweden,bergkvist-insjon.se,https://www.linkedin.com/company/bergkvist-insjön-ab
ANGLOSCAND LTD,"Cold Seal Automated Packaging System
Plastic free packing solutions",Automation Machinery Manufacturing,2-10 employees,Privately Held,"Saltsjöbaden, 01, Sweden",Sweden,angloscand.eu,https://www.linkedin.com/company/angloscand
CONTEQi AB,"Vi brinner för att förändra och skapa kraft år industrin. Vår ambition är att få tillverkande företag att förstå på vilket sätt de kan sammanföra roboten och människan för att skapa en stark konkurrenskraft. Genom att skapa kollaborativa applikationer, alltså maskiner som möjliggör att människan och robot kan jobba tillsammans, öppnas nya möjligheter till effektivisering. Robotautomation ska inte innebära att roboten står bakom galler och personal står utanför och tittar in. Personalen ska ha robotarna till hjälp och därmed slippa repetitiva, tunga och farliga arbetsuppgifter. Att kunna dela arbetsuppgifter med en robot skapar en väldigt trevlig och positiv arbetsmiljö. Det handlar inte om att minska sin personalstyrka utan det handlar om att effektivisera och låta personalen få rätt arbetsuppgifter som ger så stort värde för bolaget som möjligt.   
Har ni intresse av veta hur er tillverkning kan dra nytta av kombinationen av robot och människa så kontakta oss för en vidare diskussion.",Automation Machinery Manufacturing,2-10 employees,Privately Held,"Trollhättan, 14, Sweden",Sweden,conteqi.se,https://www.linkedin.com/company/conteqi-ab
kooma Engineering AB — Vi mäter det andra bara gissar,"Vi hjälper er att navigera genom komplexa regulatoriska krav och säkerställa att era produkter och system uppfyller de mest aktuella säkerhets-, hälso- och miljökraven enligt både europeiska och internationella standarder. Våra tjänster förkortar tiden till marknadslansering och garanterar att er produkt är redo för global distribution.

EMC: Elektromagnetisk Kompatibilitet för Tryggare Produkter
Elektromagnetiska störningar kan påverka både prestanda och säkerhet hos era produkter. Vi erbjuder omfattande EMC-lösningar som säkerställer att era produkter uppfyller globala standarder och krav, vilket gör det möjligt att lansera dem på marknader världen över.

Power Quality Solutions: Optimera Era Elektriska System
Vi hjälper er att säkerställa optimal elkvalitet och högsta prestanda för era system. Genom att identifiera och åtgärda problem som spänningsvariationer, störningar och effektfaktor kan vi förbättra effektiviteten, skydda er utrustning och minska driftstopp.

Ljud och vibrationer påverkar inte bara produktens prestanda utan även säkerheten och arbetsmiljön. Vi erbjuder professionella lösningar för att hantera ljud och vibrationer i alla typer av system, produkter och miljöer. Genom noggranna mätningar och analyser hjälper vi er att optimera ljudnivåer, reducera vibrationer och säkerställa att era anläggningar och produkter uppfyller både säkerhetskrav och branschstandarder.",Automation Machinery Manufacturing,2-10 employees,Privately Held,"Västra Frölunda, 14, Sweden",Sweden,kooma.se,https://www.linkedin.com/company/kooma-engineering-ab
