Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Klimato,"Klimato delivers world-leading food climate data, deep industry expertise, and flexible solutions that help food businesses measure their impact, streamline reporting, and act on clear insights that drive climate reduction. Built specifically for the food industry, our tools and guidance improve reporting accuracy, strengthen carbon reduction strategies, and support credible, data-driven progress.",Climate Data and Analytics,11-50 employees,Privately Held,"Stockholm, 01, Sweden",Sweden,klimato.com,https://www.linkedin.com/company/klimato
Eliq,"We help utilities turn energy data into something people actually understand and use.

Eliq started in Sweden in 2016 with a simple goal: to help people make sense of their energy usage. What began as a small team working with a single utility is now a platform used across 15+ markets – supporting millions of households and some of Europe’s most ambitious energy providers.

We’re not here to sell dashboards. We’re here to help utilities stay relevant – by making energy feel less like a black box, and more like something customers can control, learn from, and act on.

That means fewer calls. Lower churn. Smarter operations. Stronger relationships.
But more than anything, it means closing the gap between data and real-life impact.",Climate Data and Analytics,51-200 employees,Privately Held,"Gothenburg, 14, Sweden",Sweden,eliq.com,https://www.linkedin.com/company/eliq
ZeroMission AB – B Corp certified,"ZeroMission is a Stockholm-based company with a strong set of values and two decades of dedication to climate action. We help businesses and organizations with strategic guidance and practical tools to measure and reduce their climate impact – ensuring your organization stays aligned with global climate goals.

Our sustainability platform, powered by a database of more than 100,000 emission factors, makes it easy to calculate and track your emissions over time.

In addition, we offer climate financing – an effective way to take responsibility for the emissions your organization generates today, while contributing to long-term climate solutions.",Climate Data and Analytics,11-50 employees,Privately Held,"Stockholm, 01, Sweden",Sweden,zeromission.se,https://www.linkedin.com/company/zeromission-ab
Agrodit- Perfect Greens,"USGA predicts soil moisture sensing can reduce the water consumption by 50-84% compared to the most sophisticated irrigationtechniques used today.

Our technology, Perfect Greens, provides precise soil data for soil maintenance and pest risk assessment for sport fields and farms through our patented soil sensors and software. With real-time data analysis we enable water savings, cost savings, disease prediction, and sustainable courses. 

Join us in driving innovation and supporting efficient agronomic practices in golf courses and agriculture.",Climate Data and Analytics,2-10 employees,Privately Held,"Malmö, 12, Sweden",Sweden,agrodit.com,https://www.linkedin.com/company/agrodit
EasySteps,Your reliable partner for the company's investments in sustainability.,Climate Data and Analytics,2-10 employees,Public Company,"Malmö, 12, Sweden",Sweden,easystepsgo.io,https://www.linkedin.com/company/easystepsab
"Department of Physical Geography, Stockholm University","Our research and education is in Physical Geography, a wide-ranging scientific field dealing with the diverse physical and biological features of Earth, their characteristics, processes, patterns and interactions with humans.",Climate Data and Analytics,51-200 employees,Educational,"Stockholm, 01, Sweden",Sweden,su.se,https://www.linkedin.com/company/institutionen-för-naturgeografi
CO2 Improve,"In the field of logistics the IAF has developed a concept: CO2 Improve.
Driven by the rapid growth in attention for sustainable logistics, this logistics concept has been created to lower the CO2 footprint of any company in the  Fashion, Textile and Sports industry. 

CO2 Improve deliver transport CO2 emission calculations and helps fashion-, textile- and sports companies to plan and implement reduction measures to improve their performance. Our emission calculations are accredited and in methodological conformance with the Global Logistics Emissions Council Framework for Logistics Emissions Methodologies (GLEC Framework, compliant with the EN16258, CCWG and ICAO/IATA RP1678).",Climate Data and Analytics,2-10 employees,Partnership,"Borås, 14, Sweden",Sweden,co2improve.com,https://www.linkedin.com/company/co2improve
Citywise,Citywise is a data provider combining proprietary IoT-sensors with state-of-the art data visualisation and analysis capabilities to cities. Our technology support cities in the rapid transformation into becoming smarter whilst maintaining control through actionable insights.,Climate Data and Analytics,2-10 employees,Public Company,"Stockholm, 01, Sweden",Sweden,getcitywise.com,https://www.linkedin.com/company/citywisee
Klimatsmart Semester,"Klimatsmart Semester är ett initiativ med syfte att bidra till en mer hållbar turism genom att tillhandahålla en digital plattform med verktyg och kunskapsinnehåll om turismens klimatpåverkan. Plattformen underlättar för konsumenter som vill göra klimatsmarta val och den kan bidra till besöksnäringens hållbarhetsarbete, bland annat genom kunskapsspridning och möjligheter för aktörer inom näringen att visa på klimatsmarta sätt att resa och bo.",Climate Data and Analytics,2-10 employees,Non Profit,"Gothenburg, 14, Sweden",Sweden,klimatsmartsemester.se,https://www.linkedin.com/company/klimatsmartsemester
Kilda,"Kilda stress-tests ETFs against climate-related risks down to the individual holding, scoring over 31,100 companies against our public methodology

We do not provide financial advice. Kilda is a free tool, with no subscriptions and no ads

Available at kilda.app",Climate Data and Analytics,2-10 employees,Privately Held,"Stockholm, 01, Sweden",Sweden,kilda.app,https://www.linkedin.com/company/kilda-app
