Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Elgiganten AB,"We are giants! Hos Elgiganten är människorna den viktigaste tillgången!
Vi har en stark tro på varje individs inneboende kraft och vill ge förutsättningar för alla medarbetare att växa och utvecklas. Utbildning är ett av våra viktigaste satsningsområden och vi är övertygade om att det har skapat vår framgång. 

Elgiganten är en av Sveriges ledande varuhuskedjor inom hemelektronik, vitvaror och kök och är ett av de bolag som omsätter mest inom detaljhandeln. Elgiganten etablerades i Sverige 1994 och har i dag närmare 3 700 anställda och 170 varuhus och butiker. Elkjøp-koncernen, där Elgiganten ingår, är ett av Nordens största detaljhandelsföretag, med verksamhet i Sverige, Norge, Danmark, Finland, Island, Grönland och på Färöarna. Elkjøp-koncernen ägs av brittiska Currys Plc - ett av Europas ledande återförsäljare av hemelektronik.

För mer information se: Elgiganten.se, Elkjop.no eller https://currysplc-prelive.emperordev.com/",Consumer Electronics,"1,001-5,000 employees",Public Company,"Stockholm, 01, Sweden",Sweden,elgiganten.se,https://www.linkedin.com/company/elgiganten_2-ab
NetOnNet,"Världens bästa elektronik - direkt från lagerhyllan. Inga mellanhänder. Inget tjafs.

Vår affärsidé är lika enkel idag som när vi startade 1999: att sälja hemelektronik från både egna och välkända varumärken till lägre priser än vanliga butiker. Från början fanns vi endast på nätet och sålde våra produkter direkt från lagerhyllan. 2001 kompletterades nätförsäljningen med våra Lagershopar där du handlar till samma låga priser som på nätet.

Vårt självbetjäningskoncept är enkelt: du väljer, du handlar, du sparar. Vi tror på att vara ärliga, snabba och alltid på kundens sida. Det är så vi bygger förtroende och skapar en köpupplevelse som faktiskt känns bra, på riktigt.

NetOnNet levererar till både konsumenter och företag via e-handel och över 30 Lagershopar i Sverige och Norge. Vi är runt 900 medarbetare som brinner för att göra saker smartare och har vårt huvudkontor i Viared, Borås. Just nu? Vi är mitt i en spännande fas, med blicken mot framtiden och fullt fokus på att ge våra kunder en upplevelse som sticker ut. Häng med!

Information om hur vi hanterar personuppgifter finns här: https://www.netonnet.se/Content/CustomerInformation/personuppgifter",Consumer Electronics,"501-1,000 employees",Public Company,"Borås, 14, Sweden",Sweden,netonnet.com,https://www.linkedin.com/company/netonnet
Dirac,"We create digital audio solutions that let you transform your listening experience. Our algorithms make precise measurements and enhance the sound from your speakers, optimizing it for your listening space.",Consumer Electronics,51-200 employees,Privately Held,"Uppsala, Uppsala County, Sweden",Sweden,dirac.com,https://www.linkedin.com/company/dirac-research-ab
POWER Sverige,"POWER är Sveriges nya utmanare inom hemelektronik och vitvaror. Under våren 2017 etablerade POWER en e-handelskanal för att ge Sveriges alla kunder mer valbarhet, nya produkter och framförallt riktigt riktigt låga priser.

POWER grundades som en e-handlare i Danmark och har sedan dess tagit marknaden med storm. POWER Sverige har syskonkedjor i både Danmark, Norge och Finland och tillhör det nordiska sällskapet POWER International AS med över 240 fysiska butiker och 4500 medarbetare.",Consumer Electronics,"1,001-5,000 employees",Privately Held,"Stockholm, 01, Sweden",Sweden,power.se,https://www.linkedin.com/company/power-sverige
Sudio,"Sudio lives our values in everything we do. What we do is sound. 

Every sound you’ve ever heard was a collaboration between you, the airwaves, and the source. Sound - by its very essence - is meant to be shared, whether it’s a voice, a melody, a beat, or a signal. 

We share in a collaborative workforce who, in turn, share differing points of views from their diverse personal backgrounds. We share a common purpose: to share the creativity of artists, elevating their work with auditory excellence.

All sound is a challenge to silence; to the status quo.

We challenge ourselves to innovate, thereby challenging the boundaries within our industry and the expectations of consumers.

Every sound is initiated in an act of creativity. 

We initiate small ideas and scale fast, proving even the softest voice can cut through the noise. We initiate incremental improvements that lead to leaps and bounds over time.

Sound is evolutionary. 

We evolve because sound evolves; just as technology evolves; just as art evolves; just as human beings evolve. 

Our purpose is progress. Our process is sound.",Consumer Electronics,51-200 employees,Public Company,"Stockholm, 01, Sweden",Sweden,sudio.com,https://www.linkedin.com/company/sudio-ab
Transparent,"We are on the mission to become the first circular tech brand. We achieve this mission by making timeless, modular electronics that are forever upgradable. We believe products should get better with time and that companies like us are responsible for removing electronic waste from earth.",Consumer Electronics,11-50 employees,Privately Held,"Stockholm, 01, Sweden",Sweden,transpa.rent,https://www.linkedin.com/company/tran8parent
Defunc,"Defunc - The Art of Sound.

We create purposeful audio experiences for sound-savvy people everywhere. Essentially, great sound is about not complicating things. There are only so many ways you can authentically reproduce the intended output created in a studio. Nevertheless, most well-designed audio equipment come with aminimum of functions and controls. Purposeful sound is about essentialism. If something doesn’t add a meaningful benefit, it’s better to leave it out altogether",Consumer Electronics,2-10 employees,Privately Held,"Stockholm, Stockholm County, Sweden",Sweden,defunc.com,https://www.linkedin.com/company/defunc
C&C Sweden | Apple Premium Partner,"Apple Premium Partner with 1,000 employees, 102 stores in Europe, and 82 Apple Authorized Service Centers. C&C is also an Apple Authorized Education Specialist and has consultants ready to support your business.

C&C, People Around Technology.",Consumer Electronics,"1,001-5,000 employees",Privately Held,"Stockholm, 01, Sweden",Sweden,cec.com,https://www.linkedin.com/company/cec-se
Botanium,"Botanium is a vase-like automatic planter that marries state-of-the-art growing technology and elegant design.
It is a complete kit for growing a plant from a seed. Thanks to the soil-less medium, the plants grow faster with less maintenance.

botanium.se",Consumer Electronics,2-10 employees,Privately Held,"Stockholm, Stockholm County, Sweden",Sweden,botanium.se,https://www.linkedin.com/company/botanium
BenQ Nordic Business & Education Solutions,"BenQ is a leading global manufacturer of electronics and a premier supplier to the business and education vertical markets. The BenQ brands stands for “bringing quality and enjoyment to life” and BenQ fulfills this promise by delivering the very latest in technologies built to perform in demanding commercial environments. The company’s business to business product portfolio includes a comprehensive range of ColorificTM projectors, Eye-Care monitors, interactive flat panels (IFP) and digital signage developed for a vast range of applications and markets including corporate, K-12, university and retail. 

BenQ Business and Education Solution (B&ES) products include cutting-edge features that lead the industry in performance, reliability, environmental sustainability and aesthetics. All BenQ projectors are powered by Digital Light Processing (DLP) and deliver Colorific images with the very best color performance in the market – 1.07 Billion colors. BenQ IFP’s include up to 20 touch points, anti-glare glass, and bacteria resistant coating. The company’s digital signage delivers incredible visual communication including unique bar type signage and transparent display cases.",Consumer Electronics,11-50 employees,Public Company,"Stockholm, 01, Sweden",Sweden,benq.com,https://www.linkedin.com/company/benq-nordic-ab
