Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Teracom Samhällsnät,"ABOUT TERACOM
Teracom has its origins in the cradle of radio and TV. People have a need to communicate with each other and an eagerness to watch moving images and listen to the radio. The surrounding world is constantly changing and we and our infrastructure with it.

We are an independent network operator. A stable supplier with extensive experience of handling video and audio with a constant focus on quality and robustness.

With a nationwide main grid and access network designed for high availability and redundant routing, we are able to offer customers solutions from individual connections to entire networks. Depending on the customer’s current solution, and the local conditions, we are able to offer several different transmission alternatives, from fibre to radio link.

We have our own service staff at more than 50 locations, from Ystad in the south to Kiruna in the north and we conduct monitoring through our own operations centre/Noc, 24 hours a day, all year round. This means that we are able to assume total responsibility for installation, operation and maintenance.",Media & Telecommunications,201-500 employees,Public Company,"Stockholm, Stockholm County, Sweden",Sweden,teracom.se,https://www.linkedin.com/company/teracom-ab
Klimatgranskaren,Klimatgranskaren är en sajt som granskar klimatpolitiken och följer utvecklingen för vår planet.,Media & Telecommunications,2-10 employees,Non Profit,"Stockholm, 01, Sweden",Sweden,klimatgranskaren.se,https://www.linkedin.com/company/klimatgranskaren
The Beauty of Innovation,"Covering the innovators reshaping the beauty and creative industries in the Nordics and beyond, in one place.",Media & Telecommunications,2-10 employees,Privately Held,"Stockholm, 01, Sweden",Sweden,beauty-innovation.com,https://www.linkedin.com/company/the-beauty-of-innovation
Finanstid,Finansnyheter om tillväxtbolag och alternativa investeringar i fokus!,Media & Telecommunications,2-10 employees,Privately Held,"Stockholm, Stockholm County, Sweden",Sweden,finanstid.se,https://www.linkedin.com/company/finanstid
Kryptovalutaguiden,"Kryptovalutaguiden is the No.1 Cryptonews media in Sweden. Covering crypto business news from the world presented in Swedish.

Daily news - Analysis - Interviews - Reviews - Guides - Live Charts and more all for free and no need for registration.

Advertise with us to build brand recognition and break into Scandinavia.

Follow Kryptovalutaguiden to get daily updates from the world of crypto, AI and traditional finance in our changing world.",Media & Telecommunications,2-10 employees,Privately Held,"Stockholm, 01, Sweden",Sweden,kryptovalutaguiden.se,https://www.linkedin.com/company/kryptovalutaguiden
Easypartner i Sverige AB,"EasyPartner Sverige startade 2014 och erbjuder moderna IT- och kommunikationslösningar samt digital marknadsföring för både små och stora företag. Vi är idag aktiva och har kontor i femton olika städer och har lokala samarbetspartners över hela landet. Vi ser oss själva som objektiva och opartiska i alla situationer och vi sätter alltid kunden först. Med nära relationer, ärliga dialoger och ett härligt engagemang, är vi en samarbetspartner att räkna med –  som både följer med på resan och bidrar till ert företags utveckling.

Köping (HK)
Stockholm
Örebro
Eskilstuna
Falun
Sundsvall
Göteborg
Borås
Malmö
Linköping
Norrköping
Kalmar
Trollhättan
Uppsala
Västerås",Media & Telecommunications,51-200 employees,Privately Held,"Köping, 19, Sweden",Sweden,easypartner.se,https://www.linkedin.com/company/easypartner-i-sverige-ab
SENU AB,"Vi är en liten studio med stora idéer.
Vi jobbar med design, film och branding – men alltid med hjärtat först.
För oss handlar det inte bara om hur något ser ut, utan vad det säger och hur det känns.

Vi tror på intuition, estetik och att skapa medvetet.",Media & Telecommunications,2-10 employees,Privately Held,"Stockholm, 01, Sweden",Sweden,senu.se,https://www.linkedin.com/company/senu-tjanster
Newsworthy,Newsworthy är en nyhetsbyrå för lokala och datadrivna nyheter. Vi hjälper allt från små gratistidningar till stora regionmedier att göra journalistik av data.,Media & Telecommunications,2-10 employees,Public Company,"Stockholm, Stockholm County, Sweden",Sweden,newsworthy.se,https://www.linkedin.com/company/newsworthy-se
ASEKIO,"We let you build an entire website, with text and pictures, using AI. Give us one or two sentences about your idea and we generate your website in 29 seconds. 
Create, edit and publish, all from your mobile phone!",Media & Telecommunications,2-10 employees,Privately Held,"Lund, 12, Sweden",Sweden,asekio.com,https://www.linkedin.com/company/asekio
8 Media Ventures,"8 Media Ventures invests media-for-equity in high growth D2C companies. We offer advertising space from our market leading media partners. Together with our network and know-how in building high-growth brands, we act as a sales catalyst for the companies we invest in.

We make minority investments in early-stage companies with their base in the Nordics and ambition to scale. We look for companies with strong brand potential, great talent in key positions, a proven go-to-market model and sound unit economics.
Let’s grow together.",Media & Telecommunications,2-10 employees,Privately Held,"Stockholm, 01, Sweden",Sweden,8mediaventures.com,https://www.linkedin.com/company/8-media-ventures
ARGO Digital AB,"A Swedish hybrid media and digital agency. 30+ years of combined experience in SEO, paid media and content strategy, built to perform across markets.",Media & Telecommunications,2-10 employees,Privately Held,"Stockholm, 01, Sweden",Sweden,argodigital.se,https://www.linkedin.com/company/argo-digital-ab
Inside Sales AB,"Inside Sales AB levererar ett heltäckande tjänsteutbud vars syfte är att tillföra organisk och hållbar tillväxt till företag. Vi såg ett behov på marknaden för en fullservice partner inom försäljning. En partner som både kan jobba  långsiktiga målsättningar, men också kavla upp ärmarna för att fylla pipelinen med nya affärsmöjligheter, CRM-systemet med kvalitativa leads och kompetensförsörja er personal för att öka konverteringen snabbt.  

Bolagets grundare kommer från olika generationer, de har lång erfarenhet och bevisad kompetens inom olika områden. Detta ger företaget en unik möjlighet att direkt från start ha en ordentlig struktur, bra affärsmannaskap samt en inblick i vilka metoder som fungerar idag, identifiera morgondagens trender och vara agila i en marknad som är mer dynamisk än någonsin.

Vi vet att vi har verktygen för att leverera vårt tjänsteutbud med kvalité och grundförutsättningar som gör det möjligt att inte bara sikta mot stjärnorna, utan att också ta oss dit.",Media & Telecommunications,11-50 employees,Privately Held,"Stockholm, 01, Sweden",Sweden,insidesales.se,https://www.linkedin.com/company/inside-sales-ab
Dreamcatchers by D.A.M,Inspirationspodden för alla!,Media & Telecommunications,2-10 employees,Self Employed,"Stockholm, 01, Sweden",Sweden,,https://www.linkedin.com/company/dreamcatchers-by-dam
Bröllopsguiden Norden AB,"Vår specialitet är bröllop. Vi har funnits på nätet sedan 15 januari 1997 och är Sveriges första och största bröllopsportal på internet! 

De bästa artiklarna om bröllop hittar du hos oss, både på webben och i tidningen. Bröllopsguiden har idag över 100.000 besökare varje månad!

Hemsida • Magazine • Sociala medier • Podcast 

Vi ser fram emot att samarbeta med dig!

 08-545 245 55
 Info@brollopsguiden.se",Media & Telecommunications,2-10 employees,Public Company,"Stockholm, 01, Sweden",Sweden,brollopsguiden.se,https://www.linkedin.com/company/bröllopsguiden
Prospector,"Prospector – din partner inom försäljning och kunddialog.

Prospector grundades 2007 och har sin bas i Lidköping. I dag är vi cirka 35 engagerade medarbetare som arbetar dag- och kvällstid med uppdrag mot både företag och privatpersoner.

Vi hjälper våra kunder att skapa nya affärer, stärka relationer och nå rätt målgrupp genom tjänster som nykundsbearbetning, prospektering, kartläggningar, inbjudningar och besöksbokningar. Våra uppdrag anpassas och kombineras alltid utifrån varje kunds unika behov.

Med lång erfarenhet, moderna teknikplattformar och ett personligt engagemang är vi en pålitlig partner för företag som vill växa – både på kort och lång sikt.

Vi drivs av resultat och arbetar alltid med målet att överträffa förväntningar, oavsett uppdragets omfattning.",Media & Telecommunications,11-50 employees,Public Company,"Lidköping, Vastra Gotaland County, Sweden",Sweden,prospector.nu,https://www.linkedin.com/company/prospector
Folkbladet Västerbotten,Folkbladet Västerbotten is a company based out of Sweden.,Media & Telecommunications,11-50 employees,Privately Held,"Umeå, 24, Sweden",Sweden,folkbladet.nu,https://www.linkedin.com/company/folkbladet-västerbotten
THIRD,"Urban TV går nu över till THIRD! THIRD Media bygger framtidens plattform. Vi är ett bolag med tech och innovation i fokus som driver utveckling i viktiga frågor och som kommer med lösningar på nuvarande och framtida problem. Vi har tagit fram en multimedia plattform där du både kan se och läsa olika typer av innehåll och samtidigt kommunicera med andra användare vilket gör den helt unikt.THIRD, en plattform som representerar den tredje kulturen i Sverige idag och vi är här för att se till att Sverige är inkluderande och representerar det verkliga moderna svenska samhället. Vi kommer informera, underhålla och engagera kulturen, med allt från tv/film, spel, mode, sport och musik till samhälle, mat & bak och allt annat som berör hushållen. Med målet att skapa en plats där kultur och mångfald får synas, höras och representeras positivt. Läs mer om oss, den tredje kulturen och våra planer framöver på third.se !",Media & Telecommunications,2-10 employees,Privately Held,"Stockholm, 01, Sweden",Sweden,third.se,https://www.linkedin.com/company/thirdse
Nerom Sundsvall,"Välkommen till Nerom Sundsvall!

Vi är ett engagerat, växande och tätt sammansvetsat säljteam med kontor mitt i Sundsvall. Vårt uppdrag är lika viktigt som tydligt: vi hjälper företag att nå ut, synas och växa genom Bonnier News starka lokala varumärken.

Vår affär och vår vardag
Bonnier News är Nordens största mediehus, och vår roll i Sundsvall är att vara dedikerade experter på deras lokala titlar och kanaler. Vi vet att rätt budskap i rätt kontext gör skillnad på riktigt. Genom en ärlig och nära dialog hjälper vi annonsörer att hitta skräddarsydda, effektiva kampanjlösningar som fungerar för just deras verklighet. För oss handlar försäljning inte om floskler, utan om att förstå affären och skapa mätbara, långsiktiga resultat för våra kunder.

Vår arbetsplats & kultur
Vi är stolta över den kultur vi byggt upp här i Sundsvall. Vi är en grupp som jobbar hårt, drivs av att nå våra mål och ständigt slå nya rekord – men vi vet att den riktiga framgången ligger i laget. Hos oss är det högt i tak, vi stöttar varandra över skrivborden och vi ser alltid till att fira våra gemensamma segrar. Vi tror helt enkelt att man presterar som allra bäst när man får vara sig själv och har riktigt roligt på jobbet.

Eftersom vi har en stark tillväxt och ett högt tryck i våra uppdrag är vi ofta på jakt efter nya kollegor. Vi letar sällan efter traditionella ""superstjärnor"" med de vassaste armbågarna – vi söker dig som har ett genuint driv, älskar att prata med människor och vill utvecklas i ett gäng där vi lyfter varandra.

Vill du prata effektiv annonsering, eller är du nyfiken på hur det är att jobba hos oss? Ta gärna kontakt!

Vännerna på Nerom Sundsvall",Media & Telecommunications,11-50 employees,Privately Held,"Sundsvall, 22, Sweden",Sweden,neromannons.se,https://www.linkedin.com/company/nerom-sundsvall
Capass Infrasolutions,Din E-mobiltypartner,Media & Telecommunications,11-50 employees,Privately Held,"Malmö, 12, Sweden",Sweden,capass.se,https://www.linkedin.com/company/capass
AJOURA AB,"AJOURA is not just another news app; we're an AI-powered platform dedicated to bringing you the most relevant news tailored to your preferences.

Our multi-lingual support brings global news at your fingertips, in the language you're most comfortable with. With a strong commitment to quality, transparency, and user convenience, we only aggregate from trustworthy sources and present complex news in easily digestible summaries.

Our deep dive newsletters provide in-depth analysis of trending topics, ensuring you're always ahead in your knowledge game.

Navigate the world of news effortlessly with AJOURA: the ultimate news experience.",Media & Telecommunications,2-10 employees,Privately Held,"Borås, 14, Sweden",Sweden,ajoura.io,https://www.linkedin.com/company/ajoura
Frilans Syd,"Frilans Syd är Journalistförbundets sektion för södra Sveriges frilansar i Skåne, Blekinge, Småland och Öland. Vi ingår i Frilans Riks som driver fackliga frågor utifrån ett frilansperspektiv. Vi arbetar mot fulavtal och engagerar oss i upphovsrättsfrågor, håller koll på arvodesnivåer, med mycket mera. Kort sagt, vi organiserar oss för bättre villkor.  Vi i Frilans Syd arrangerar ett flertal arrangemang för våra sydliga medlemmar varje år både digitalt och på plats som vi hoppas du vill delta i. Det kan handla om korta kurser och föreläsningar, After Work, en utflykt och fackliga åtgärder. Om du inte känner någon i föreningen är våra arrangemang ett bra forum att mötas och snacka jobb och utöka ditt nätverk. 
Vi är måna om att alla ska känna sig välkomna. 
Du kanske själv har en idé om ett arrangemang eller aktivitet?  Hör gärna av dig till styrelsen, ingen fråga är för liten. Men skriv då inte här, vi har inte resurser att vara här så ofta. Mejla oss istället på frilanssyd@gmail.com.",Media & Telecommunications,201-500 employees,Non Profit,"Sydsverige, Sweden",Sweden,,https://www.linkedin.com/company/frilans-syd
267.se,"267 är en mediahub på Axel Danielssons väg 267 i Malmö där Colibri Content, Wallen Media och ByTheHour arbetar under samma tak. Tre företag som tillsammans erbjuder lång och bred kompetens och erfarenhet inom medieproduktion och distribution. Rätt val för dig som behöver hjälp med hela produktionskedjan.

Under ett och samma tak finns film, foto och postproduktion. Här finns regi och manus.  Kommersiell redaktionell copy och storytelling. Här finns tekniskt drivna, digitala web- och broadcasters. Alla delar i modern, effektiv kommunikation med film och rörlig bild. I framkant av digital utveckling och digital distribution.

267 är en effektiv och kunnig partner för dig med ambition att medvetet bygga och använda digitala informationskanaler och plattformar internt och externt. Vi hjälper dig att skapa och distribuera ett konsekvent och fungerande flöde av värdeskapande content för både avsändare och mottagare.",Media & Telecommunications,11-50 employees,Partnership,"Malmö, 12, Sweden",Sweden,267.se,https://www.linkedin.com/company/267se
Sustainalists,"Sustainalists lets you hire local talent already on location:
Journalists, Camera Operators, Fixers, Translators...
Save time, costs and carbon dioxide

Are you a freelancing camera operator, fixer or journalist? Check out www.sustainalists.com and consider registering yourself in your location - so that journalism and media production can become faster, easier and more sustainable.",Media & Telecommunications,Self-employed,Privately Held,"Stockholm, 01, Sweden",Sweden,sustainalists.com,https://www.linkedin.com/company/sustainalists
DeerMountain Media,"En liten mediabyrå som erbjuder hög kvalitet till Smålandspriser. Vi hjälper små och mellanstora företag och organisationer med sina sociala medier. Facebook, Instagram, Tik-Tok, LinkedIN m.m. Foto, film, text, SoMe, Kreativitet, Design, Ljudproduktion, musikproduktion och Layout.",Media & Telecommunications,Self-employed,Self Employed,"Oskarshamn, 08, Sweden",Sweden,deermountain.se,https://www.linkedin.com/company/deermountain-media
Make Sense Partner AB,"Vi på Make Sense Partner drivs av en sak – att skapa resultat som håller över tid. För oss handlar försäljning inte bara om affärer här och nu, utan om att bygga starka relationer och partnerskap som utvecklas tillsammans.

Våra säljare är mer än bara röster i telefonen. De är en förlängning av våra uppdragsgivares varumärken och arbetar med hög kvalitet, förståelse och affärsmässighet i varje dialog.

Med en kombination av energi, driv och gedigen erfarenhet har vi fått förtroendet att arbeta med några av Sveriges mest välkända varumärken – däribland hitta.se.

Vi utgår från vårt kontor i Kalmar, men arbetar rikstäckande genom telefon och digitala möten. Oavsett var våra kunder finns levererar vi samma engagemang och kvalitet i varje kontakt.

Utöver försäljning hjälper vi även företag att utveckla sina team genom coachning inom försäljning och kommunikation. Vi tror på tydligt ledarskap, starkt självledarskap och att rätt struktur tillsammans med rätt mindset skapar vinnande team.

Kort sagt – vi skapar affärer, bygger relationer och utvecklar människor.",Media & Telecommunications,11-50 employees,Privately Held,"Kalmar, 08, Sweden",Sweden,makesensepartner.se,https://www.linkedin.com/company/make-sense-partner-ab
Team Lost AB,Swedish team exploring the world of adventure.,Media & Telecommunications,2-10 employees,Public Company,"Jönköping, 06, Sweden",Sweden,teamlost.se,https://www.linkedin.com/company/teamlost
Sustainable Journalism Partnership,"We are researchers, practitioners, educators and media leaders in 70 countries who believe that independent journalism is essential not only for democracy but also for sustainable and resilient societies.",Media & Telecommunications,Self-employed,Non Profit,"Stockholm, Stockholm County, Sweden",Sweden,sustainablejournalism.net,https://www.linkedin.com/company/sustainable-journalism-partnership
MEET A PSYCHIC ONLINE,"Spiritual advice online via video call, audio call and chat.",Media & Telecommunications,Self-employed,Privately Held,"Stockholm, 01, Sweden",Sweden,meetapsychiconline.com,https://www.linkedin.com/company/meet-a-psychic-online
VHD Media Group AB,"At VHD Media Group, we offer seamless communication solutions. From SMS to email, we ensure your messages reach your audience effortlessly. Trusted since 2008 by Nordic giants, we provide flexible, tailored services for businesses of all sizes. Elevate your communication with us today.",Media & Telecommunications,2-10 employees,Self Owned,"Uppsala, 03, Sweden",Sweden,vhdmedia.se,https://www.linkedin.com/company/vhd-media-group-ab
Bit Part,The film production connectivity company.,Media & Telecommunications,2-10 employees,Privately Held,"Stockholm, 01, Sweden",Sweden,bitpart.com,https://www.linkedin.com/company/bitpart
CMPE Media,Managed broadcast services,Media & Telecommunications,2-10 employees,Privately Held,"Stockholm, Stockholm County, Sweden",Sweden,,https://www.linkedin.com/company/cmpe-media
Modeal,"Modeal är en svensk prisjämförelsetjänst för mobilabonnemang, mobiltelefoner och bredband. Tjänsten gör det möjligt att jämföra priser och villkor från alla stora operatörer på ett och samma ställe.",Media & Telecommunications,2-10 employees,Privately Held,"Stockholms Stad, 01, Sweden",Sweden,modeal.se,https://www.linkedin.com/company/modeal-se
Företagsmobil,"På Företagsmobil erbjuder vi skräddarsydda affärslösningar med fokus på kvalitet och erfarenhet. Oavsett om det handlar om IT, marknadsföring eller andra affärstjänster, kan du lita på oss för pålitliga och effektiva lösningar.",Media & Telecommunications,2-10 employees,Public Company,"Södertälje, 01, Sweden",Sweden,foretagsmobil.se,https://www.linkedin.com/company/foretagsmobil
RevMedia AB,"RevMedia AB är en modern sälj- och mediepartner som hjälper företag att skapa affärsmöjligheter genom strategisk B2B-försäljning och marknadsföring.

Vi samarbetar med ledande mediehus och erbjuder lösningar som stärker våra kunders räckvidd, bygger varumärken och skapar långsiktiga affärsrelationer. Med erfarenhet, engagemang och ett resultatdrivet arbetssätt fokuserar vi på att leverera mätbara resultat och hög kvalitet i varje kunddialog.

På RevMedia tror vi på långsiktiga samarbeten, personlig service och att alltid skapa värde – både för våra kunder och deras målgrupper.",Media & Telecommunications,2-10 employees,Public Company,"Västerås, Västmanland County, Sweden",Sweden,revmedia.se,https://www.linkedin.com/company/revmedia-ab
Emma-Reportage: Journalist Eva-Maria Fasth,"Mitt namn är Eva-Maria Fasth och jag är en frilansjournalist. Jag frilansar med min enskilda firma Emma-Reportage som har F-skattsedel och är momsregistrerad sedan 2010.

Jag skriver om världshändelser och nyheter, stora som små. Jag har 45 års erfarenhet från branschtidningar likväl som kvällspressen. Jag kombinerar grävande reportage med högaktuella artiklar. Som skribent är jag bred och mångfacetterad, dock med inriktning inom följande områden:

• Arbetsmarknad
• VVS
• Energi
• Miljö
• Bostäder
• Byggande

Jag utgår från Stockholm, men arbetar både nationellt och internationellt.

Min journalistik har uppmärksammats med nomineringar till Årets Journalist 2005, Årets Miljöjournalist 2017 och med stipendieresor till världens alla hörn.

Nu ser jag framemot fler spännande uppdrag!

 www.emma-reportage.se
 eva-maria.fasth@emma-reportage.se
 072-222 34 51",Media & Telecommunications,Self-employed,Self Owned,"Stockholm, Stockholm County, Sweden",Sweden,emma-reportage.se,https://www.linkedin.com/company/emma-reportage
Govori Support,"We are a team of dedicated professionals who are passionate about providing top-notch communication and support services to businesses. Our mission is to help you and your team stay connected and productive, no matter where you are or what you're working on.

At Govori Support, we believe that effective communication and support are the keys to success in today's fast-paced and constantly-evolving world. That's why we offer a range of tools and services designed to help you stay connected, communicate effectively, and get the support you need to achieve your goals.",Media & Telecommunications,2-10 employees,Privately Held,"Helsingborg, 12, Sweden",Sweden,govoristudios.com,https://www.linkedin.com/company/govori-support
MaLindholm Productions AB,Foto- och Filmproduktion för framförallt företag. Vi gör även hemsidor med över 15 års erfarenhet.,Media & Telecommunications,Self-employed,Self Employed,"Gävle, Gavleborg County, Sweden",Sweden,malindholm.com,https://www.linkedin.com/company/malindholm-photography
