Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Ericsson,"The future of mobile isn’t on the horizon, it’s happening now. At Ericsson, we’re building the foundation for an open network ecosystem where industries, developers, and enterprises thrive.

The convergence of 5G, AI, cloud, and network APIs isn’t just a technological shift; it’s a transformation that is redefining industries and enhancing everyday life. Open, programmable networks are enabling real-time innovation and unlocking new business models across the globe.

Imagine a world where developers can dynamically access network capabilities on demand, where enterprises don’t just use connectivity but shape it. This isn’t a distant vision, it’s the ecosystem we’re creating today.

Collaboration fuels everything we do. By working across industries, we’re designing a future where connectivity isn’t just seamless. It’s intelligent, programmable, and transformative.

The shift is happening. Are you part of it?",Telecommunications,"10,001+ employees",Public Company,"Kista, Stockholm County, Sweden",Sweden,ericsson.com,https://www.linkedin.com/company/ericsson
Linkra AB,"Linkra AB hjälper företag att få rätt telekomlösning – utan krångel.

Vi jämför fritt mellan operatörerna och levererar marknadens bredaste portfölj inom företagskommunikation: mobilabonnemang och telefoni (Telenor, Tele2, 3Företag), molnväxel (Lynes), skrivarlösningar (Kyocera) och kaffemaskiner (Café Bar).

Korta beslutsvägar, ärliga rekommendationer och en kontakt som svarar när du ringer. Baserade i Varberg, verksamma i hela Sverige.",Telecommunications,2-10 employees,Privately Held,"Varberg, 13, Sweden",Sweden,linkragruppen.se,https://www.linkedin.com/company/linkra-ab
ProQratio Consulting AB,"ProQratio erbjuder seniora konsulttjänster för Interimschefsuppdrag, Förändringsledning och organisatorisk effektivisering.",Telecommunications,Self-employed,Public Company,"Tullinge, 01, Sweden",Sweden,proqratio.se,https://www.linkedin.com/company/proqratio-consulting-ab
Satpool AB,,Telecommunications,2-10 employees,,"Gothenburg, 14, Sweden",Sweden,satpool.se,https://www.linkedin.com/company/satpool-ab
KayKar Utveckling AB,The company main purpose is to provide competence to companies improving their business and efficiency.,Telecommunications,Self-employed,Self Employed,"Sundsvall, 22, Sweden",Sweden,,https://www.linkedin.com/company/kaykar-utveckling-ab
Affecta AB,,Telecommunications,2-10 employees,,"Stockholm, 01, Sweden",Sweden,affecta.se,https://www.linkedin.com/company/affecta-ab
Lucens AB,,Telecommunications,,,"Borlänge, 20, Sweden",Sweden,,https://www.linkedin.com/company/lucens-ab
Ringia AB,"Ringia AB is a telecommunications company based out of Odensvi, Kalmar County, Sweden.",Telecommunications,2-10 employees,,"Odensvi, 08, Sweden",Sweden,,https://www.linkedin.com/company/ringia-ab
Appload Nordic AB,,Telecommunications,2-10 employees,,"Stockholm, 01, Sweden",Sweden,appload.net,https://www.linkedin.com/company/appload-nordic-ab
Din Bok i Umeå AB,,Telecommunications,2-10 employees,,"Umeå, 24, Sweden",Sweden,dinbok.se,https://www.linkedin.com/company/din-bok-i-umeå-ab
Wide Waves AB,Designing and planning your Packet Optical Networks,Telecommunications,Self-employed,Privately Held,"01, Sweden",Sweden,widewaves.se,https://www.linkedin.com/company/wide-waves-ab
Voca Inc.,Voca is a SAAS service for messaging and VoIP designed to be used by professional organisations.,Telecommunications,11-50 employees,Privately Held,"Stockholm, 01, Sweden",Sweden,getvoca.com,https://www.linkedin.com/company/getvoca
Smarteq AB (SMAQB),"Smarteq develop, design and sell high quality rugged antennas on a global market. The company was formed 1996 and through acquisitions of Allgon Applications and Carant AB it was formed into its present shape. Together the companies have over 60 years of experience in the wireless industry and development of RF products is in their DNA.

Developing new RF products is important to us, bringing innovating products to market is the foundation of their business. To maximize their development resources they cooperate with their customers, universities, public and private research centers in order to shorten time to market for new products. This strategy keeps us at the edge of RF-development and helps us to constantly improve theirselves. Smarteq has 25 active patents and they are continuously filing new ones.

Smarteq is a Swedish company based in the Kista, Stockholm. Kista is the center of the Swedish IT and telecom industry located 10 km north of Stockholm. Smarteq has sales office in Eindhoven, Holland.

The Smarteq share is listed on Nasdaq OMX First North in Stockholm. Remium Nordic is their Certified Adviser.",Telecommunications,2-10 employees,,"Täby, 01, Sweden",Sweden,smarteq.com,https://www.linkedin.com/company/smarteq-ab-smaqb-
MobiVending AB,,Telecommunications,2-10 employees,,"Solna, 01, Sweden",Sweden,,https://www.linkedin.com/company/mobivending-ab
Connect Konsult AB,,Telecommunications,2-10 employees,,"Falun, 20, Sweden",Sweden,,https://www.linkedin.com/company/connect-konsult-ab
Digital Footprint,,Telecommunications,2-10 employees,Privately Held,"Malmö, 12, Sweden",Sweden,,https://www.linkedin.com/company/digital-footpring-hb
Comforit AB,"Comforit AB is a telecommunications company based out of 23 Ringogatan, Gothenburg, Vastra Gotaland County, Sweden.",Telecommunications,11-50 employees,,"Gothenburg, 14, Sweden",Sweden,,https://www.linkedin.com/company/comforit-ab
Stjärnafyrkant Kalmar,,Telecommunications,11-50 employees,Public Company,"Kalmar, 08, Sweden",Sweden,stjarnafyrkant.se,https://www.linkedin.com/company/stjärnafyrkant-kalmar
EIT European Infotech,Experts in embedded systems development,Telecommunications,2-10 employees,Privately Held,"Stockholm, Sweden",Sweden,eit.se,https://www.linkedin.com/company/eit-european-infotech
Svenska Probus Säkerhet AB,,Telecommunications,51-200 employees,,"Stockholm, 01, Sweden",Sweden,probussakerhet.com,https://www.linkedin.com/company/svenska-probus-säkerhet-ab
Eurolan,"Eurolan is an European developer and provider of structured cabling systems (SCS), telecommunication racks and cabinets, generic cabling for homes.
Nowadays Eurolan products are well-known and enjoy their deserved popularity in Scandinavia and Europe.
 Eurolan’s objective is to effectively manufacture innovative products distinguished by high quality performance, at a competitive price. It stimulates system developers to look for new solutions and enhance current products and manufacturing technology. Eurolan offers design flexibility for enterprises of all sizes to solve different complex tasks.",Telecommunications,2-10 employees,Privately Held,"Stockholm, Stockholm County, Sweden",Sweden,eurolan.se,https://www.linkedin.com/company/solution-eurolan-europe-ab
DKT A/S,"DKT develops optical and coaxial products for professional broadband operators. DKT's unique fibre optical product range and solid knowledge of FTTH makes it a strong partner for operators that work with FTTH. In addition, DKT offers a broad range of DKTCOMEGA quality products for coaxial networks. As a dynamic and innovative company, its ambition is to remain one of the most attractive suppliers in the broadband industry.
 
DKT was established in 1977 and has its headquarters in Denmark with subsidiaries in Sweden and the UK.",Telecommunications,11-50 employees,Privately Held,"Malmo, Skåne County, Sweden",Sweden,dktcomega.com,https://www.linkedin.com/company/dkt-as
Biotain AB,,Telecommunications,2-10 employees,,"Kävlinge, Skåne County, Sweden",Sweden,splitvision.se,https://www.linkedin.com/company/biotain-ab
One Conference Sweden AB,,Telecommunications,2-10 employees,,"Solna, 01, Sweden",Sweden,,https://www.linkedin.com/company/one-conference-sweden-ab
Qlave QB,"Fokusera på kärnverksamheten och låt Qlave ta hand om Era tele- och datafrågor.
Vi erbjuder Er effektiva kommunikationsverktyg och lösningar för att optimalt stödja er verksamhet.",Telecommunications,2-10 employees,Privately Held,Sweden,Sweden,qlave.se,https://www.linkedin.com/company/qlave-qb
Abonnemangshjälpen JRM AB,,Telecommunications,2-10 employees,,"Malmö, 12, Sweden",Sweden,abonnemangshjalpen.eu,https://www.linkedin.com/company/abonnemangshjälpen-jrm-ab
UVONA AB,xxxxx,Telecommunications,2-10 employees,Public Company,Sweden,Sweden,,https://www.linkedin.com/company/uvona-ab
