Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Rymdstyrelsen,"Rymdstyrelsen är central förvaltningsmyndighet under Utbildningsdepartementet med ansvar för statligt finansierad nationell och internationell rymdverksamhet i Sverige vad gäller forskning och utveckling.

Rymdstyrelsen är kontaktorgan för internationellt rymdsamarbete.",Space Research and Technology,11-50 employees,Government Agency,"Solna, 01, Sweden",Sweden,rymdstyrelsen.se,https://www.linkedin.com/company/rymdstyrelsen
RISC-V in Space,"The RISC-V in Space Workshop is organized by the European Space Agency in collaboration with RISC-V International. The 2025 event will be arranged and hosted by Frontgrade Gaisler. The objective is to stimulate the exchange between different parties in Europe, providing or developing space specific microprocessors, IP cores or software solutions based on the RISC-V Instruction Set Architecture.",Space Research and Technology,"1,001-5,000 employees",Partnership,"Gothenburg, 14, Sweden",Sweden,risc-v.space,https://www.linkedin.com/company/risc-v-in-space
PandionAI,"PandionAI is an innovative geospatial technology company transforming Earth Observation data into actionable insights. We help organizations make informed decisions by delivering timely Alerts and global information that seamlessly integrate with their existing systems.

Our approach combines:
- Advanced AI/ML algorithms for precise object detection and analysis
- Customizable solutions tailored to each client's unique needs
- Efficient information flow from satellite sensors to actionable insights
- Seamless integration with existing decision-making processes
- Holistic system design encompassing data processing, analysis, and delivery

At PandionAI, we're committed to:
- Enhancing decision-making through geospatial data analysis
- Offering high-quality cost-effective solutions compared to traditional providers
- Providing interfaces from tailored solutions into existing decision-making systems to user-friendly interfaces for enabling non-experts
- Developing scalable products for businesses of all sizes
- Supporting sustainability through environmental monitoring and resource management

Our services:
- Tailored AlertSystem: Our non-proprietary approach ensures you can freely use and share the information we deliver, enabling rapid responses and informed decision-making without being locked into a closed ecosystem.
- AlertSat Portal: The AlertSat Portal is a command center for harnessing the power of satellite intelligence. This user-friendly interface allows you to control and modify the applications to ensure your tailored AI empowerment. 
- AlertSat GIS Plugin: Our GIS Plugin offers seamless integration for organizations using Geographic Information Systems (GIS) as their primary data management tool. It sends selected information directly to your GIS platform.

From global monitoring to local action, PandionAI empower organizations with secured insights or global actionable Alerts, from satellites.",Space Research and Technology,2-10 employees,Privately Held,"Stockholm, 01, Sweden",Sweden,pandionai.com,https://www.linkedin.com/company/pandionai
Kvarken Space Center,"KvarkenSpaceCenter - Kvarken Region (Finnish-Swedish) Innovation Ecosystem for New-Space. The ecosystem offers support and networking opportunities for industry, public sector and research actors across the Kvarken region. Established by KvarkenSpaceEco project.",Space Research and Technology,"5,001-10,000 employees",Non Profit,"Umeå, 24, Sweden",Sweden,kvarkenspacecenter.org,https://www.linkedin.com/company/kvarken-space-center
Rymdforum,"Rymdforum Sverige är en ideell förening vars syfte är att sprida kunskap om svensk rymdverksamhet och öka informationsflödet mellan olika aktörer i rymdbranschen. Bland annat ordnas återkommande arrangemang för industri, forskare, beslutsfattare, användare av rymdteknik, media och den svenska allmänheten. 

Vår vision
- Vara rymdens röst i Sverige genom att generera och sprida information.
- Genom fler medlemmar bredda kompetens och trovärdighet.
- Öka den operativa kraften.
- Medvetandegöra beslutsfattare så att de har redskap att kunna agera.
- Bidra med kunskap till riks-, regionala och kommunala politiker.
- Vara en plattform för informationsutbyte mellan våra medlemmar.",Space Research and Technology,Self-employed,Partnership,"03, Sweden",Sweden,rymdforum.nu,https://www.linkedin.com/company/rymdforum
Space Sweden North,"Space Sweden North is an innovation partnership between Luleå University of Technology, LTU Business, the Swedish Institute of Space Physics, SSC Swedish Space Corporation, Arctic Business Incubator. Space Sweden North is sponsored by European Regional Development Fund, the Swedish National Space Agency, Utveckla Norrbotten, Kiruna Municipality and Sparbanken Nord.",Space Research and Technology,Self-employed,Partnership,"Kiruna, 25, Sweden",Sweden,spaceswedennorth.com,https://www.linkedin.com/company/spaceswedennorth
Women in Space Sweden,"A network for and by women and non-binary interested in the space industry who encourage, enable and empower each other.",Space Research and Technology,2-10 employees,Non Profit,"Hela Sverige, Sweden",Sweden,womeninspace.se,https://www.linkedin.com/company/women-in-space-sweden
Hydromars,"Hydromars AB (publ) is a Swedish space technology company that develops water purification solutions for human long-term space explorations, space science, manufacturing, and in-situ water purification.",Space Research and Technology,2-10 employees,Public Company,"Stockholm, 01, Sweden",Sweden,hydromars.eu,https://www.linkedin.com/company/hydromars-water-for-space
BruhnBruhn Innovation,"BruhnBruhn offers an edge when needed in Transformative Innovation for the good of humankind. After working for over 20 years with clients in Defense, Aerospace, and Engineering industries, we have acquired the experience and knowledge needed to empower your projects in Aerospace, Edge Software, Safety Critical AI, Production Support, QA, and more. To help you with your specific challenges, we make use of our network and tailor a team of Excellence to your needs.",Space Research and Technology,2-10 employees,Privately Held,"Uppsala, 03, Sweden",Sweden,bruhnbruhn.com,https://www.linkedin.com/company/bruhnbruhn-innovation
KraviAnalytics,"We help turn untapped potential and complex challenges into practical scalable solutions that deliver measurable impact.

Our focus is on using technology to improve how industries work strengthen communities and support long term sustainable growth.

We are guided by innovation integrity and prosperity building useful solutions acting responsibly and creating value for all stakeholders.

Overall our mission is to contribute to a more sustainable and forward looking future where people businesses and society can grow together.",Space Research and Technology,11-50 employees,Privately Held,"Lund, 12, Sweden",Sweden,kravianalytics.com,https://www.linkedin.com/company/kravi-analytics
