Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Sportradar,"Sportradar Group AG (NASDAQ: SRAD), founded in 2001, is a leading global sports technology company creating immersive experiences for sports fans and bettors. Positioned at the intersection of the sports media and betting/gaming industries, Sportradar provides betting and iGaming operators, media and technology companies, prediction market partners and sports federations with a best-in-class range of solutions to help grow their businesses.

Trusted by the world’s leading global sports organizations including the ATP, NBA and WNBA, NHL, MLB, MLS, PGA TOUR, UEFA, FIFA, CONMEBOL, AFC, and the Bundesliga, and global clients including Flutter, DraftKings, Google, Microsoft, Kalshi and Polymarket, Sportradar covers more than a million events annually across all major sports. Sportradar is not just redefining the sports fan experience, it also safeguards sports through its Integrity Services division and advocacy for an integrity-driven environment for all involved.

For more information about Sportradar, please visit www.sportradar.com",Information Services,"1,001-5,000 employees",Public Company,"St Gallen, St Gallen, Switzerland",Switzerland,sportradar.com,https://www.linkedin.com/company/sportradar
archivsuisse,"archivsuisse (ehemals archivbern/archivzürich) ist lokal verankert in Bern sowie in Zürich und bietet als national führender Anbieter schweizweit massgeschneiderte Archivdienstleistungen an: Wir beraten, betreiben Archive und archivieren physische Akten und digitale Daten in der Schweiz. archivsuisse wird von Archivfachleuten betrieben und ist inhabergeführt.

Zu den Kunden von archivsuisse zählen KMU und Grosskonzerne, Verbände, öffentliche Institutionen, eidgenössische, kantonale und kommunale Verwaltungen, Arztpraxen, Anwaltskanzleien und Privatpersonen. Wir legen Wert auf hohe Sicherheitsstandards und Diskretion.",Information Services,11-50 employees,Public Company,"Kehrsatz, Berne, Switzerland",Switzerland,archivsuisse.ch,https://www.linkedin.com/company/archivsuisse
KNOWLEDGE LODGE,"KNOWLEDGE LODGE - Technische Redaktion für digitale Produktinformationen.

Die Technische Redaktion der KNOWLEDGE LODGE konzipiert, beratet und setzt um. 

Als Fachpartner für Technische Dokumentationen und zertifizierter Quanos-Premiumpartner für SCHEMA ST4 ermöglichen wir den gewünschten Wissenstransfer, damit dein Produkt verstanden wird. Wir erstellen aus deinen Informationen wertvolles Wissen und machen es digital verfügbar. 

Mit unseren redaktionellen Dienstleistungen unterstützen wir dich über den kompletten Product Life Cycle, machen dein Produkt einfach und schnell verständlich für deine Zielgruppe und visualisieren es attraktiv. Mit einer massgeschneiderten Informationsarchitektur erstellen wir Nutzungs- und Produktinformationen wie z. B. Betriebs- oder Bedienungsanleitungen und übersetzen in alle Sprachen. 

Unser Information Center kümmert sich um die digitale Informationsbereitstellung aller Nutzungsinformationen in deinem Unternehmen oder deiner Organisation. Damit bringen wir dich und dein Informationsmanagement zum nächsten Level!

Begeistere deine Kunden mit überraschend einfachen, erfrischenden und redaktionell herausragend aufbereiteten digitalen Produktdokumentationen!

KNOWLEDGE LODGE – Haus des Wissens und Technische Redaktion der digitalen Zukunft.",Information Services,2-10 employees,Public Company,"Lucerne, Lucerne, Switzerland",Switzerland,knowledgelodge.ch,https://www.linkedin.com/company/knowledge-lodge
PortaNet AG,"Das Schweizer Unternehmen PortaNet AG mit Sitz in Emmen/Luzern digitalisiert Fenster und Türen. Die erhobenen Daten werden sämtlichen Nutzern in der Cloud-Applikation MyPortaNet  jederzeit online zur Verfügung gestellt. Nicht nur Immobilienbesitzer und -verwalter profitieren von unzähligen Vorteilen, sondern auch Tür- und Fensterhersteller mit ihrem Servicebetrieb, Facility-Management-Unternehmen und alle Personen, die sich mit Fenster und Türen beschäftigen. 

Die digitale Lösung MyPortaNet misst, steuert, dokumentiert und automatisiert den kompletten Lebenszyklus von Fenster und Türen mit statischen Informationen wie auch mit dynamischen Meldungen zur Nutzung, zu Störungen oder zu Wartungsaktivitäten. Ist ein Service fällig oder steht eine Türe offen, die geschlossen sein sollte, signalisiert das System automatisch den Handlungsbedarf oder meldet den Status. Dank des digitalen Informationsarchivs können Sie jederzeit und überall auf alle individuellen Elementinformationen per App zugreifen. Damit revolutioniert die cloudbasierte Prozessautomatisierung das Fenster- und Türmanagement für Sie, den Besitzer, Verwalter oder Hersteller. 

Die Echtzeitinformationen geben Kunden und Wartungspartnern den entscheidenden Wissensvorsprung für die proaktive, effiziente und nutzungsgerechte Planung und Ausführung sämtlicher Aktivitäten und Ressourcen. Unser System ist in der Lage, selbständig einen Service auszulösen, Nutzungsdaten für die Planung oder die Abrechnung zu liefern oder bei Bedarf zu alarmieren, falls ein Objekt zu einer bestimmten Zeit zu lange offen steht. Unsere Daten sind zudem nützlich bei Garantie- und Versicherungsfällen.

Die MyPortaNet-Lösung basiert auf einer Cloud-Software und neuester IoT-Technologie (LoRaWANTM / Sigfox), dem Sensor «CycleCounter», sowie dem QID-Tag.",Information Services,2-10 employees,Privately Held,"Emmen, Lucerne, Switzerland",Switzerland,portanet.com,https://www.linkedin.com/company/portanet
QiSquared,"QiSquared provides alpha insights on company, sector, and economic performance to participants in the financial services ecosystem. 

Our software is underpinned by us identifying the relationship logic underpinning numbers within a numeric table and between tables in a stated environment. Our platform builds on this logic focusing on corporate filings in order to (i) prove our hypothesis and (ii) showcase the inherent benefits of its principles i.e., reveal financial manipulation and deception buried in hundreds of pages of financial reports. 

Our AaaS platform can tap government ledgers, break down the captured datapoints and rebuild data sets into a “feed” for our engine room of proprietary algorithms to deliver any time, any place, on any device, fast real-time, clear insights into company, sector, and economic performance.
AI cannot do what we do, because the technology is truly deep tech. 

We developed our MVP over 5 years, and have succeeded where others – such as MIT (who have been working on this issue for several years), Microsoft/Refinitiv, Bloomberg and Google - had failed. 

As a disruptor, we are seeking partnering investors to take the company to its next stage of development. Additional information can be found on our website.",Information Services,2-10 employees,Privately Held,"Zurich, Zurich, Switzerland",Switzerland,qisquared.com,https://www.linkedin.com/company/qisquared
Stiftung Gesundheit und Ernährung Schweiz,"The non-profit ""Foundation Diet and Health Switzerland"" (NGO) publishes fact-based information about nutrition, health, and sustainability. The texts and resources on the website have been intensively researched and presented objectively by experts because the foundation is independent of industry/state and does not sell anything or advertise.

The goal is to inform people and support them in making nutritional choices that are most beneficial for their health and our planet.

Join us!
Resources can be found at https://www.diet-health.info/en
Become a member at https://www.diet-health.info/en/register",Information Services,11-50 employees,Non Profit,"Meggen, Lucerne, Switzerland",Switzerland,diet-health.info,https://www.linkedin.com/company/stiftung-gesundheit-und-ernährung-schweiz
Orphis AG,"Ihr Partner für die digitale Transformation

Als Full-Service-Provider schätzen Schweizer Unternehmer uns als Begleiter umfassender Digitalisierung von Geschäftsprozessen. Unsere Kunden unterstützen wir von der Bedürfnisaufnahme über die Entwicklung bis hin zur erfolgreichen Implementierung ausgereifter Softwarelösungen. Massgeschneiderte Lösungen schaffen dabei Einklang zwischen etablierten Prozessen, bestehender Software sowie den Fähigkeiten der Mitarbeitenden.",Information Services,2-10 employees,Public Company,"St Gallen, St Gallen, Switzerland",Switzerland,orphis.ch,https://www.linkedin.com/company/orphis-ag
INv3nt Sàrl - INvestigation INnovation INtelligence,"Efficient approach to discover opportunities, manage third-party risks and take enhanced and enlightened business decisions.",Information Services,Self-employed,Privately Held,"Geneva, Geneva, Switzerland",Switzerland,inv3nt.ch,https://www.linkedin.com/company/inv3nt-investigation-innovation-intelligence
MiCAexperts.com,"Since 2017 ZÜGERLAW and Lex Law Office have been advising blockchain and crypto projects in Europe. 

Today we united efforts and 15+ years of our expertise to create legal products, which will help web3 projects to ensure compliance with the regulatory changes and challenges. 

The aim of the MiCA experts is to help companies to adopt to the upcoming MiCA regulation. 

We are offering legal-tech products and educational webinars for the MiCA compliance that help crypto businesses to adopt to the MiCA.",Information Services,2-10 employees,Public Company,"Zurich, Zurich, Switzerland",Switzerland,micaexperts.com,https://www.linkedin.com/company/micaexperts-com
Traders AID,"Most traders struggle to identify the trend direction of assets. Traders AID decodes price data, momentum, and volatility to provide clear insights on potential trend changes. This helps you to make confident decisions and stay ahead of the market.

Disclaimer:

Traders AID is developed solely for educational purposes. The content provided on this site does not constitute investment or financial advice. Users are encouraged to make their own investment decisions. Please be aware that trading and investing involve a significant risk of loss. We do not assume any responsibility for any losses incurred as a result of using the information on this site.",Information Services,2-10 employees,Public Company,"Zurich, Zurich, Switzerland",Switzerland,traders-aid.com,https://www.linkedin.com/company/traders-aid
Swiss Corporate Alliance,"Swiss Corporate Alliance est une association à but non lucratif, dont la mission principale est de faciliter les échanges inter-entreprises dans le cadre d’un Ecosystème. Elle réunit des entreprises membres impliquées au sein du tissu économique local et international dans le but d’aider leur déploiement.

L’Ecosystème de Swiss Corporate Alliance s’appuie sur l’expertise de ses membres fondateurs avec un réseau professionnel de plusieurs milliers de contacts en Suisse et à l’international. L'implication de ses membres fondateurs en tant que connecteurs auprès des acteurs économiques, sociaux et culturels depuis plus de 30 ans, est reconnue par la plupart des décideurs locaux.

         ———————————————————————————————————————————————————————

Swiss Corporate Alliance is a non-profit organisation whose main mission is to facilitate inter-company exchanges within the framework of an ecosystem. It brings together companies that are involved in the local and international economic fabric in order to promote their expansion.

The Swiss Corporate Alliance Ecosystem draws on the expertise of its founding members with a professional network of several thousand contacts in Switzerland and abroad. The involvement of its founding members as connectors to economic, social and cultural actors for more than 30 years is recognized by most local decision-makers.",Information Services,2-10 employees,Non Profit,"Cointrin, Geneva, Switzerland",Switzerland,swisscorporatealliance.org,https://www.linkedin.com/company/swiss-corporate-alliance
Dedomena,"Dedomena is an UrbanTech start-up that provides revolutionary insights into the life of neighborhoods. Dedomena's Urban Analytics platform leverages Big Data and artificial intelligence to understand, measure and track the spatial user behavior and needs of people per neighborhood over time. By providing such a new generation of decision support, Dedomena helps private and public actors in urban development to improve the quality of life and efficiency of cities.",Information Services,2-10 employees,Public Company,"Basel, Basel-Stadt, Switzerland",Switzerland,dedomena.ch,https://www.linkedin.com/company/dedomena-real-estate-analytics
ExpenseMonkey,"ExpenseMonkey.io is an expense management solution specifically designed to meet the needs of freelancers and small businesses. We simplify the expense tracking process and allow businesses to focus on growth without the burden of complex financial management. 

With a straightforward setup that takes less than 30 seconds, ExpenseMonkey.io offers a hassle-free start. It allows small businesses to optimize their expense management with minimal setup.",Information Services,2-10 employees,Privately Held,"Zurich, Zurich, Switzerland",Switzerland,expensemonkey.io,https://www.linkedin.com/company/expensemonkey
