Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
LIGENTEC,"LIGENTEC is a B2B company manufacturing Photonic Integrated Circuits (PIC) for customers in high-tech areas such as AI, Quantum technologies, LiDAR and Biosensors. LIGENTEC commercialises the all-nitride-core technology. With the all-nitride-core technology  LIGENTEC enables the customers to develop their products in the industrial revolution 4.0. Our customers benefit from a clear path to volume production while obtaining the small quantities of wafers with the performance, short turn around and high yield required at the early stage of proof of concept.",Nanotechnology Research,51-200 employees,Privately Held,"Écublens, Vaud, Switzerland",Switzerland,ligentec.com,https://www.linkedin.com/company/ligentec
Nanosurf,"Nanosurf -- Zoom into the Future

Nanosurf is a company that thrives on challenges at the frontier of what is physically achievable. By concentrating our collective efforts on the obstacles that stand in the way of advancements in nanotechnology, we enable researchers to push the boundaries in their respective fields of science. We integrate cutting-edge scanning probe technology into the value chain of industrial customers by crafting custom machines that seamlessly blend into their manufacturing processes. Our bespoke solutions not only meet the unique needs of each client but also enhance efficiency and precision in their production lines.

Established in 1997, Nanosurf defined ease of use in scanning probe microscopy by miniaturizing the size of a scanning probe microscope to fit a coffee table. Since then, the Swiss-based company has matured into one of the leading innovators in atomic force microscopy. Nanosurf provides continually evolving instrument platforms for academic researchers and industry applications in life science and materials science, as well as large-scale customized industrial solutions for use in production lines with very demanding accuracy specifications.

Nanosurf will continue to focus development efforts on new measurement modes and technologies that make atomic force microscopes an easier, faster, and more reliable tool. It is also our mission to bring the technique to an ever-increasing range of new application areas by making it as accessible and intuitive to new users as more common technologies such as optical microscopy. Together, we tackle the challenge.

Nanosurf is part of Lab14 Group, a group of successful high-tech companies providing advanced manufacturing solutions with complementary products and services for a wide range of applications that require demanding solutions for nano- and microfabrication and surface analysis.",Nanotechnology Research,51-200 employees,Privately Held,"Liestal, Basel-Country, Switzerland",Switzerland,nanosurf.com,https://www.linkedin.com/company/nanosurf
EULITHA,"EULITHA provides nanolithography services and equipment for research and production. Our revolutionary PHABLE photolithography systems enable inexpensive fabrication of periodic nanostructures over large areas of planar and non-planar subrstrates. This proprietary technology has wide ranging uses in photonics, optoelectronics, displays, electronics, biotechnology, telecommunication, photovoltaics, lasers, sensors and AR/VR to name a few.",Nanotechnology Research,11-50 employees,Privately Held,"Würenlos, Aargau, Switzerland",Switzerland,eulitha.com,https://www.linkedin.com/company/eulitha-ag
Oxford Instruments Femto Tools AG,"FemtoTools, part of the Oxford Instruments group,  develops and sells high resolution, MEMS-based nanoindenters for applications in metallurgy, thin films and microsystem technology",Nanotechnology Research,11-50 employees,Privately Held,"Buchs, St Gallen, Switzerland",Switzerland,femtotools.com,https://www.linkedin.com/company/femtotools-ag
Qnami,At Qnami we develop fundamental new technology using quantum mechanics. The control and measurement of the state of a single electron enables us to measure what could never be measured before. We call this quantum sensing and we are enthusiastically developing this technique to improve people’s lives and the world.,Nanotechnology Research,11-50 employees,Privately Held,"Muttenz, Basel-Country, Switzerland",Switzerland,qnami.ch,https://www.linkedin.com/company/qnami
"Swiss Nanoscience Institute (SNI), University of Basel","The Swiss Nanoscience Institute (SNI) at the University of Basel is a center of excellence for nanosciences and nanotechnology. It was founded in 2006 by the University of Basel and the Swiss Canton Aargau in order to support research, education, and technology transfer in nanoscience and nanotechnology in Northwestern Switzerland. The SNI focuses on the core areas of nanoimaging and nanofabrication in order to address challenges in the fields of materials science, quantum science, life science, medicine and environment.
For alumni of the nanoscience study program, we have created a specific group: https://www.linkedin.com/groups/8278038/",Nanotechnology Research,11-50 employees,Educational,"Basel, Basel-Stadt, Switzerland",Switzerland,nanoscience.ch,https://www.linkedin.com/company/swiss-nanoscience-institute
Microcity - Neuchâtel Innovation,"Microcity est le pôle d’excellence et d’innovation dans les micro-nanotechnologies, la micro-fabrication et les processus d’industrialisation.
Les membres du pôle d’innovation neuchâtelois réunissent des compétences académiques, de recherche et d'industrialisation de niveau international.  Les membres sont notamment: l'Ecole Polytechnique Fédéral de Lausanne (EPFL), le Swiss Center for Electronics and Microtechnology (CSEM); la He-Arc, l'Université de Neuchâtel (UNINE),  la Fondation Suisse pour la recherche en microtechnique (FSRM), le Centre de formation professionnel neuchâtelois (CPNE), les communes du Canton ainsi que l'Etat de Neuchâtel.

Microcity c'est une SA à but non lucratif qui propose des services d'hébergement, de coaching, des événement de réseautage mais aussi des services de project management spécialisés, des assessment technologiques et la création d'écosystèmes technologiques riches pour les PME et les instituts de recherches et d'enseignement. 

 
 - un rayonnement national et international de capacités d’innovation, notamment à travers le Swiss Innovation Park - SIP.",Nanotechnology Research,11-50 employees,Privately Held,"Neuchâtel, Neuchâtel, Switzerland",Switzerland,microcity.ch,https://www.linkedin.com/company/microcity-pole-d-innovation-neuchatel
NanoSphere,"Nanomedicine Knowledge Platform, bridging lab to market.

By distilling complex research, industry trends, and regulatory, clinical, and preclinical data: CAR-T, LNPs, RNA, delivery tech, ADCs & personalized medicine into clear, actionable insights, NanoSphere accelerates nanomedicine from bench to bedside fueling scientists, regulators, startups, and investors to act, build, and scale.

What does each get out of NanoSphere?

Academics → Visibility + Industry Context
Industry → Tech scouting + BD leads
Regulators → Early risk signals across platforms
Clinicians → Signals from preclinical/clinical studies
Investors → Emerging trends platform potential

What this looks like in practice

– 8 active collaborations across academia (2) and industry (6)
– Direct participation in the COST Action on mRNA-based therapeutics 
– 150+ curated academic posts, plus living resources
– 10,000+ niche, high-intent website views
– Global reach across 40+ centers, rooted in Switzerland 
– 37 KOL interviews published in 2025
–12-person expert team (academic, industry, clinical, regulatory, business)

Tools built by scientists:
– NanoSphere GPTs trained on our own curated datasets
– N/P ratio calculator
– Nanomedicine learner
– Conference, grant & job finder
– Continuously updated resource hub: https://www.nanosphere.ch/resources-page

NanoSphere is the go-to for anyone serious about moving nanomedicine from bench to bedside.

Read. Follow. Or work with us.",Nanotechnology Research,2-10 employees,Educational,"Geneva, Geneva, Switzerland",Switzerland,nanosphere.ch,https://www.linkedin.com/company/nanospheretalks
ELDICO Scientific AG,"ELDICO Scientific AG (The Electron Diffraction Company) is a Swiss technology and service company founded in 2019 and based next to the Paul Scherrer Institute (PSI), a world-leading research institute for natural sciences and engineering. ELDICO develops, manufactures and commercializes solutions based on electron diffractometers, i.e. novel analytical instruments for electron-based crystallography that make it possible to investigate nano-crystalline samples. ELDICO recently launched its ED-1, the world’s first dedicated electron diffractometer. Among universities and research institutes ELDICO’s clients are researchers in large, fast-growing industries such as the pharmaceutical industry, electromobility, advanced inorganic materials and the evolving MOF/COF/SOF sector. In its Customer Experience Centre in Basel, ELDICO serves numerous academic and industrial clients with nano-crystallographic services. The company partners with leading engineering companies and component suppliers among Excillum and Dectris to deliver superior performance. www.eldico-scientific.com",Nanotechnology Research,2-10 employees,Privately Held,"Allschwil, Basel-Country, Switzerland",Switzerland,eldico-scientific.com,https://www.linkedin.com/company/eldico-scientific
POSITIVE COATING,"Fondée en 2004, POSITIVE COATING se distingue par le développement de solutions innovantes dans le domaine des traitements de surfaces basés sur les technologies les technologies PVD (Physical Vapor Deposition) et ALD (Atomic Layer Deposition). La société compte aujourd'hui une trentaine de collaborateurs qualifiés sur son site de production et une infrastructure à la pointe de la technologie. 
Sa capacité de production industrielle, soutenue par un département d'engineering orienté vers l'innovation lui permet d'offrir son savoir-faire à une large clientèle. POSITIVE COATING possède un véritable savoir-faire sur les revêtements décoratifs pour les articles à forte valeur ajoutée réalisés en métaux et céramiques. 
POSITIVE COATING jouit d’une réputation de partenaire fiable et dynamique. L’entreprise est reconnue par les plus grandes maisons leaders dans le domaine du luxe et principalement dans le secteur de l’horlogerie. Elle propose également ses services dans les secteurs de la maroquinerie, des instruments d’écriture et de la bijouterie.
Son avenir est également très prometteur dans le domaine de la technologie médicale. POSITIVE COATING intervient dans ce secteur sur des projets liés aux dispositifs implantables et aux applications biomédicales. 
Placée au cœur d’une industrie microtechnique prestigieuse, l’entreprise contribue à l’élaboration de produits technologiques d’excellence.",Nanotechnology Research,11-50 employees,Partnership,"La Chaux-de-Fonds, Neuchâtel, Switzerland",Switzerland,positivecoating.ch,https://www.linkedin.com/company/posititve-coating-sa
