Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Teleboy,"Teleboy ist ein Schweizer Internet-, Telefonie- und TV-Anbieter und betreibt unter www.teleboy.ch mit mehreren Hunderttausend Besucher:innen pro Monat eines der reichweitenstärksten TV-Portale der Schweiz. Die Internetangebote von Teleboy sind schweizweit auf der DSL- und Glasfaser-Infrastruktur von Swisscom verfügbar und bieten Geschwindigkeiten von bis zu 10 Gbit/s. Die Mobile-Abos von Teleboy sind schweizweit und unlimitiert auf dem Sunrise-Netz verfügbar.
 
Das TV-Abo von Teleboy mit 7-Tage-Replay, Timeshift und Aufnahmespeicher sowie Full HD und Dolby Digital ist auf iOS, Android, Android TV, Samsung TV und Apple TV sowohl mobil als auch auf dem heimischen Fernseher verfügbar. Zusätzlich bietet Teleboy das TV-Programm für die nächsten zwei Wochen sowie redaktionell aufbereitete TV-Tipps und Themenwelten.
 
In Kooperation mit Carvolution bietet Teleboy Autos zum fixen Abo-Preis an. Die Teleboy AG mit Sitz in Zürich und weiteren Standorten in Berlin und Skopje ist Teil der Tom Talent Holding.",Telecommunications Carriers,11-50 employees,Public Company,"Zurich, Zurich, Switzerland",Switzerland,teleboy.ch,https://www.linkedin.com/company/teleboy
Wifx,"Wifx SA, founded in 2005, is specialized in the design, implementation and operation of network solutions. As an ISP, we work everywhere in Switzerland and offer our services on xDSL, optical fiber FTTH/dark fiber, 4G/5G, Lora. We also offer fixed and mobile telephony. 

In 2016, Wifx decided to expand its field of application and invested in LoRa technology, the Internet of Things and developed its own gateway for connected objects in LoRa/LoRaWAN technology: https://iot.wifx.net",Telecommunications Carriers,11-50 employees,Privately Held,"Yverdon, Vaud, Switzerland",Switzerland,wifx.net,https://www.linkedin.com/company/wifxsa
MaxiNetwork Sàrl (MaxiConnect & MaxiHoster),"Fournisseur suisse de services Internet, téléphonie, TV (MaxiConnect) et d'hébergement, email, cloud (MaxiHoster) via une infrastructure 100 % souveraine.",Telecommunications Carriers,2-10 employees,Privately Held,"Villaz-Saint-Pierre, Fribourg, Switzerland",Switzerland,maxiconnect.ch,https://www.linkedin.com/company/maxinetwork
Swisscom World Shop Allschwil,"Ihre persönliche Anlaufstelle in Allschwil rund um Mobile, TV, Internet & Festnetz von Swisscom.",Telecommunications Carriers,2-10 employees,Public Company,"Allschwil, Basel-Country, Switzerland",Switzerland,baselnetgroup.shop,https://www.linkedin.com/company/swisscom-world-shop-allschwil
Kabelfernsehen Bödeli AG,"Regional. Clever. Nahbar. Ambitioniert.
Seit 1985 verbindet die Kabelfernsehen Bödeli AG das Berner Oberland mit der Welt
mittels Internet, Telefonie, Radio und TV.
Wir betreiben das modernste Glasfasernetz der Region und modernisieren es stetig
weiter.
Unsere Werte:
 Regional – tief verwurzelt im Berner Oberland
 Clever – markt-kompetent, neugierig und fachkundig
 Nahbar – persönlich, wahrnehmbar und bodenständig
 Ambitioniert – innovativ und zukunftsgerichtet wollen wir immer wieder
überraschen.
Ob Homeoffice, Schule, Tourismus oder Hightech-Unternehmen.
Wir schaffen die Grundlage für eine starke Region, die lokal verankert und global
vernetzt ist.",Telecommunications Carriers,11-50 employees,Privately Held,"Unterseen, Berne, Switzerland",Switzerland,kabelfernsehen.ch,https://www.linkedin.com/company/kabelfernsehenboedeli
Virtual-Call,"Virtual-Call is a Communication Service Provider based in Switzerland, we offer high-quality voice termination, Cloud PBX, SIP Trunking, MS Teams Direct Routing and International Telephone Numbers to Business in Switzerland and International.",Telecommunications Carriers,11-50 employees,Privately Held,"Dübendorf, Zurich, Switzerland",Switzerland,virtual-call.com,https://www.linkedin.com/company/virtual-call
sasag Kabelkommunikation AG,"sasag Kabelkommunikation AG - the local cable network provider - is a stock corporation based in Schaffhausen. The company was founded in 1977 in Schaffhausen and employs 30 people who currently serve approximately 36,000 customers.

Over 90% of households in the region receive the signal from the sasag headend. The communities of Diessenhofen (GAD), and Rafzerfeld (GA Rafzerfeld) are supplied with signals from sasag.

Internet, mobile, TV or telephony for private or business needs reach you in every corner of our region - without any performance restrictions.",Telecommunications Carriers,11-50 employees,Privately Held,"Schaffhausen, Schaffhausen, Switzerland",Switzerland,sasag.ch,https://www.linkedin.com/company/sasagkk
Yetnet Quickline,"Der Yetnet Genossenschaftsverband ist die Dachorganisation von 24 Fernseh- oder Antennengenossenschaften in 31 Gemeinden. Als eigentliche Selbsthilfeorganisation arbeitet Yetnet nach wirtschaftlichen Grundsätzen, ohne Gewinnabschöpfung, für alle Genossenschaftsmitglieder. Wir beliefern sie mit allen notwendigen Technologien und digitalen Signalen, um modernste, netzgebundene, elektronische Kommunikationsdienstleistungen anzubieten.",Telecommunications Carriers,2-10 employees,Privately Held,"Aarau, Aargau, Switzerland",Switzerland,yetnet.swiss,https://www.linkedin.com/company/yetnet-quickline
ThinKIQ GmbH,"Wir helfen Schweizer KMU, jederzeit erreichbar zu sein – ohne Stress, ohne verpasste Anrufe. Mit unseren intelligenten Telefonassistenten auf Basis von KI beantworten wir Anrufe rund um die Uhr, nehmen Termine entgegen, leiten Anfragen weiter und entlasten Ihr Team spürbar.

 Unser Angebot:

24/7 Erreichbarkeit für Kunden & Patienten

Individuell angepasste Telefonassistenten für jede Branche (z. B. Arztpraxen, Garagen, Immobilienbüros, Fitnessstudios)

Nahtlose Integration in bestehende Systeme (ERP, CRM, Kalender, PMS)

Schweizer Datenschutz & Verlässlichkeit

 Ihr Vorteil:

Nie wieder wichtige Anrufe verpassen

Mehr Zeit für das Wesentliche

Weniger Kosten für manuelle Telefonabwicklung

Professioneller Auftritt nach außen

Wir sind ein Basler Unternehmen mit klarem Ziel: KMU durch intelligente Sprach- und Telefonlösungen stärker, digitaler und effizienter machen.

 ThinkIQ – Ihr smarter Support, der nie schläft.",Telecommunications Carriers,2-10 employees,Public Company,"Basel, Basel-Stadt, Switzerland",Switzerland,thinkiq.ch,https://www.linkedin.com/company/thinkiq-gmbh
Travel eSIM Switzerland,"Based in Switzerland, our company specializes in providing eSIM solutions for seamless international roaming. We offer a wide range of prepaid eSIM plans tailored to meet the connectivity needs of global travellers, ensuring they stay connected wherever they go. Our user-friendly platform makes it easy to purchase and activate eSIMs in minutes, providing a hassle-free and cost-effective alternative to traditional SIM cards. With a commitment to exceptional service and reliability, we are dedicated to keeping you connected around the world.",Telecommunications Carriers,2-10 employees,Privately Held,"Marsens, Fribourg, Switzerland",Switzerland,travelesim.ch,https://www.linkedin.com/company/travelesim
MBP Communication,,Telecommunications Carriers,2-10 employees,Self Employed,"La Tour-de-Peilz, Vaud, Switzerland",Switzerland,mbpcommunication.ch,https://www.linkedin.com/company/mbp-communication
