Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Viasat,"At Viasat, we go above and beyond. So you can too.

We believe connectivity is a catalyst that can help you unlock more value, improve operations and enable new experiences. We do this by delivering reliable, high-performance connectivity plus advanced digital platforms and services that help you transform every connection into an opportunity.

With over four decades of expertise and one of the world’s most advanced multi-network, multi-orbit satellite connectivity ecosystems, we are always ready to meet the unique demands of governments, businesses and communities. Whether you’re flying at 35,000 feet, operating in remote regions, or leading complex missions, we're here to help you get more out of your connectivity.",Telecommunications,"5,001-10,000 employees",Public Company,"Lausanne, Vaud, Switzerland",Switzerland,viasat.com,https://www.linkedin.com/company/viasat
MetaYouLink,"Metayoulink is a leading provider of fiber optic infrastructure and civil engineering solutions, with over 10 years of experience serving clients both locally and internationally. Our company is based in Fribourg, Switzerland, and we are proud to work with businesses of all sizes, from small and medium-sized enterprises to large corporations. At Metayoulink, we specialize in the design, construction, and maintenance of fiber optic networks, with a focus on creating reliable, high-speed, and secure connections. Our solutions range from small-scale installations to large-scale projects, including urban and rural networks, data centers, and telecommunications systems. We take pride in our team of experienced engineers and technicians, who are dedicated to providing tailored solutions that meet the specific needs of each client. We work closely with our clients to understand their unique requirements and challenges, and we strive to exceed their expectations with every project we undertake. In addition, our civil engineering expertise enables us to provide a full range of services, from feasibility studies and site surveys to construction and project management. We ensure that every project is delivered on time, within budget, and to the highest quality standards. We are proud to have worked with top telecom companies as customers, and we are committed to delivering innovative, high-quality solutions that drive our clients' businesses forward. Our goal is to provide our clients with the best possible service and exceed their expectations in every way. At Metayoulink, we take pride in our commitment to innovation, quality, and customer satisfaction. We believe that our clients are at the heart of our business, and we work tirelessly to provide them with the solutions they need to achieve their goals. We look forward to working with you to create solutions that meet your specific requirements and help you achieve your goals.",Telecommunications,2-10 employees,Privately Held,"Rossens, Fribourg, Switzerland",Switzerland,metayoulink.ch,https://www.linkedin.com/company/metayoulink
Phone Store Communication GmbH,"Phone Store Communications ist unabhängige Telekomunikationsspezialist. Wir bieten unsere Kunden in unserem Shop alle Handys und Vertrasoptionen der wichtigsten Mobilfunkanbieter der Schweiz an. Smartphones können auch ohne Vertrag oder Abonnement gekauft werden. Unser Anspruch ist, das breiteste Angebite aller Geräte und Tarife anzubieten. Maximale Transparenz zu zeigen. Individuell besten Lösung zu schaffen.",Telecommunications,2-10 employees,Self Owned,"Baar, Zug, Switzerland",Switzerland,phone-store.ch,https://www.linkedin.com/company/phone-store-communication
VoipSwitch AG,"Voipswitch AG is an applications development company that is focused on developing high quality, scalable, and cost efficient VoIP platform solutions for global telecommunication service providers. The company is utilizing its proprietary solutions to enable operators to deliver secure, reliable VoIP-based services which are fully interoperable with other established VoIP standards and systems.
 

The Voipswitch platform is the key competitive differentiator for the company. All key elements necessary for successful VoIP implementations are included in its infrastructure solutions including Class 4 and 5 capabilities as well as session border controllers. This integrated solution provides competitive advantage and makes the platform exceptionally easy to implement and manage.

Voipswitch product portfolio includes also OTT/RCS mobile and web clients and Unified Communication turnkey solution for providers.

To date, the company has successfully implemented over 1500 Voipswitch systems around the world.

Voipswitch software received a Unified Communications Magazine’s 2008 Product of the Year Award",Telecommunications,11-50 employees,Privately Held,"Cham, Zug, Switzerland",Switzerland,voipswitch.com,https://www.linkedin.com/company/voipswitch-ag
Fígoli Consulting,"Legal/regulatory and Submarine Cable Claims Expertise. 
Representing Submarine Cables owners and other entities regarding subsea infrastructure permitting and damage claims.",Telecommunications,Self-employed,Self Owned,"Geneva, Geneva, Switzerland",Switzerland,subcables.com,https://www.linkedin.com/company/figoli-consulting
ICT.technology KLG,"Elevating your business by migrating and integrating your on-premise IT infrastructure to the cloud 

***Datacenter Automation***: Automated provisioning, securing, deploying, running and connecting of your applications and CI/CD pipelines 
*** Datacenter Orchestration***: Transforming your classic business to agile principles and DevOps 
Oracle Partner, HashiCorp Certified Integration Partner (CHIP)",Telecommunications,2-10 employees,Privately Held,"Belp, Berne, Switzerland",Switzerland,ict.technology,https://www.linkedin.com/company/ict-technology
eAlarm,"eAlarm is a comprehensive alerting solution for emergencies and crises so that countermeasures can be reliably initiated immediately. In the event of an emergency, you keep track of feedback and availability of alerted persons so that you can continuously reassess the risks.

* Protect your employees in emergencies and crises
* Safeguard your company's operational assets and contain risks
* Return to normal business operations as quickly as possible

Why eAlarm from Swisscom?
* Independent: geo-redundant, independent infrastructure for maximum availability at all times
* Secure: data storage in Switzerland and personal customer service and support in your region
* Scalable: all communication channels can be expanded and grow with your requirements",Telecommunications,"10,001+ employees",Public Company,"Bern, Berne, Switzerland",Switzerland,swisscom.com,https://www.linkedin.com/company/ealarm
IooTTM,"Ioot is specialized in M2M & Connectivity SIM cards WorldWide.
With our partner Deep / Post Telecom we can offer:
15+ Years of experience in the M2M sector
Pioneer of e-Call in Europe
Over 2,500,000 active Sim Cards
Assistance h24 7/7 - 365 days / year
100% WorldWide coverage
Moody's AAA rating

1 International Backbone
5 Data Centers Tier IV/III
Cutting-edge technological infrastructure
Roaming agreements with over 600 operators
Service Level Agreement (SLA) up to 99.95%
3 security levels for your M2M connections

ACE IooTTM is a company based in Corso del Popolo, 8, Padova, Italy and covers the Italian Market.
SVA IooTTM is a company based in Via Ferruccio Pelli 9, Lugano, Switzerland and covers the WorldWide Market.",Telecommunications,2-10 employees,Partnership,"Lugano, Ticino, Switzerland",Switzerland,ioot.co,https://www.linkedin.com/company/ace-ioot
Rep4phone.ch,"Cette entreprise novatrice propose des prix concurrentiels pour la réparation de votre smartphone, seule condition prenez le temps de le réparer vous-même. Un petit exemple, vous faites tomber votre téléphone mobile et voilà ! Catastrophe, l’écran se brise. Rien de plus simple, vous venez sur notre site www.rep4phone.ch et vous commandez votre nouvel écran. Celui-ci vous sera livré gratuitement sous 24h avec un lien où vous trouverez un tutoriel détaillé de la marche à suivre pour le réparer. Vous recevrez également tous les outils nécessaires au bon fonctionnement de la manœuvre. 

En réparant votre smartphone vous-même vous gagnerez deux avantages immédiats. L’un étant le prix, puisque vous pouvez économisez jusqu’à 60% sur votre facture finale, par rapport à l’envoi de votre téléphone chez un réparateur. L’autre est la satisfaction que vous obtiendrez après avoir réparé votre téléphone portable seul. 

Nous proposons également de racheter votre ancien smartphone défectueux à des prix très intéressant. Une nouvelle rubrique arrivera également dans les prochaines semaines, celle-ci vous offrira l’opportunité de pouvoir acheter des smartphones d’occasions défiant les prix du marché.",Telecommunications,2-10 employees,Self Employed,"Val d'Illiez, Valais, Switzerland",Switzerland,rep4phone.ch,https://www.linkedin.com/company/rep4phone-ch
Exion Networks SA,"We have been the first VoIP provider in Ticino, Switzerland, since 2005.
Our company was founded by a small team of nerds: Giorgio and Christian, two young IT developers who, combining their IT skills and a great desire to bring a change, have founded a company called Exion Networks.

In 2005 internet technology and especially Voice over IP was in its infancy.

Few saw its potential and its global expansion. The Exion team thought of exploiting this technology by developing a communication system called VoIP on a hosted platform, focused especially for enterprise grade SMEs. The service was the first among its kind and had a huge success.

The expansion was fast and constant. The Internet continued to grow, to expand, interconnections became very important and the cloud era started. The Exion team immediately understood the need to adapt to the demand.

In 2008 started an exponential growth, Exion's first Data Center in Ticino was built and operative. Exion created its first data processing center in Manno, the first independent secure reliable structure close to local users in Ticino. We started offering new products and services to all our customers such as Hosting, Virtual Server, Dedicated Servers, IT technical support, in Ticino and beyond.

We make our reliability and competence available to everyone. Exion is regularly registered as an official telecommunications service provider with the competent federal authorities, and is certified as a telephone operator with the possibility of carrying the portability of telephone numbers.

Thanks for visiting us!
Exion Networks SA",Telecommunications,2-10 employees,Public Company,"Bellinzona, Ticino, Switzerland",Switzerland,exion.ch,https://www.linkedin.com/company/exion-network-sa
