Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
2050 Materials,"2050 Materials is driving the future of sustainable construction with a focus on data-driven decisions. 

Our platform and API empowers professionals in the built environment to accurately evaluate environmental impacts at every stage—from design to procurement. 

By harnessing our comprehensive database and innovative data collection methods, users gain the insights needed to achieve their climate objectives efficiently. 

Register on our website for free to integrate real-time sustainability data into your projects.  Visit app.2050-materials.com",Climate Data and Analytics,2-10 employees,Privately Held,"Zurich, Zurich, Switzerland",Switzerland,2050-materials.com,https://www.linkedin.com/company/2050-materials
Correntics,"Reimagine the future - we empower organizations to weather the storm and thrive.

With our data-driven approach and a deep understanding of risk, we help our clients to future-proof their value chains and improve their resilience in the face of climate change and emerging risks while ensuring the sustainability of business activities.",Climate Data and Analytics,11-50 employees,Privately Held,"Zurich, Zurich, Switzerland",Switzerland,correntics.com,https://www.linkedin.com/company/correntics
Tracenable,"Tracenable is an open data platform that enables self-service access to traceable corporate financial and ESG data.

We combine artificial and human intelligence through our proprietary human-in-the-loop infrastructure to extract hundreds of financial and ESG metrics across thousands of global companies. These datasets are made instantly available via self-service APIs and CSV downloads. 

By offering à-la-carte data access and the industry's most permissive licensing models, we redefine how corporate information is accessed and used, reflecting our mission to foster a more transparent, accountable, and sustainable society.",Climate Data and Analytics,2-10 employees,Privately Held,"Lausanne, Vaud, Switzerland",Switzerland,tracenable.com,https://www.linkedin.com/company/tracenable
Riverkin,"Riverkin is building the platform for freshwater data. Water drives most natural disasters, yet the data still barely exists or sits in silos. We deploy a global sensor network, aggregate fragmented sources, and turn those signals into model-ready datasets in real time. Think of it as an operating system for rivers, enabling better tools and, for the first time, the ability to predict flash floods. Already live with real deployments and paying customers.

We’re turning water into a new data layer.",Climate Data and Analytics,2-10 employees,Privately Held,"Zurich, Zurich, Switzerland",Switzerland,riverkin.com,https://www.linkedin.com/company/riverkin
HYPHEN GLOBAL AG,"Hyphen’s aMRV solution provides real-time quantification of GHG removals and reductions, ensuring that carbon credits and emissions claims reflect real measured impact.

Hyphen is the most accurate solution to date for capturing the real financial value of natural capital in real-time. Enabled by eddy covariance flux towers and driven by its cutting-edge, proprietary and scientifically verified digital measurement reporting and verification (dMRV) software, Hyphen offers precision quantification of GHG fluxes for verification of high quality carbon credits and emissions claims. This ensures that carbon credits are traded on the true market value of the GHGs reduced or removed. 

Hyphen wants to make carbon credits a viable and accountable financial instrument so that the true value of natural capital is not only realized but invested in. High-quality carbon credits representing measured GHG flux quantities not only benefit the buyer but also the landowner; by building a mutually beneficial bond between investor and landowner Hyphen promotes conservation and sustainable practices by incentivizing landowners to protect and improve natural ecosystems.",Climate Data and Analytics,2-10 employees,Privately Held,"Basel, Basel-Stadt, Switzerland",Switzerland,hyphen.earth,https://www.linkedin.com/company/hyphen-global-ag
NCCR CLIM+,,Climate Data and Analytics,51-200 employees,Educational,"Zurich, Zurich, Switzerland",Switzerland,nccr-climplus.ch,https://www.linkedin.com/company/nccr-climplus
Orizair,Make every flight EU-ETS & CORSIA audit-ready with Orizair.,Climate Data and Analytics,2-10 employees,Privately Held,"Geneva, Geneva, Switzerland",Switzerland,orizair.com,https://www.linkedin.com/company/orizair
Expertise Center for Climate Extremes (ECCE),"The Expertise Center for Climate Extremes (ECCE) of the University of Lausanne is based at the Faculty of Business and Economics (HEC) and the Faculty of Geosciences and Environment (FGSE). It performs research and proposes services on the forecast of climate extremes and their impacts as well as the assessment of the risks associated with climate extremes in the current and future climates. A founding principle of ECCE is a strong interdisciplinarity, which is essential to successfully address the challenges posed by climate change.",Climate Data and Analytics,11-50 employees,Partnership,"Lausanne, Vaud, Vaud, Switzerland",Switzerland,unil.ch,https://www.linkedin.com/company/unil-ecce
Sustainaccount,"Sustainaccount empowers corporate, real estate, and infrastructure stakeholders with actionable insights to navigate and mitigate physical climate risks, enhancing the resilience of their real assets. 

Our cutting-edge software leverages advanced data analytics and AI to provide forward-looking scenario analysis, tailored adaptation strategies, and optimization pathways that consider the unique characteristics of each asset. 

By integrating climate risk assessments with key reporting frameworks like the EU Taxonomy, CSRD and DGNB we help clients de-risk their portfolios, boost asset resilience, and maintain long-term value in an evolving climate landscape.

Want to understand how exposed your assets are to climate risks and what to do about it? 
Reach out for a free demo of our Climate Resilience Suite. 

Contact us at info@sustainaccount.com
And follow us for more on climate risk, resilience, and adaptation.",Climate Data and Analytics,2-10 employees,Privately Held,"Zurich, Zurich, Switzerland",Switzerland,sustainaccount.com,https://www.linkedin.com/company/sustainaccount
Resilens,"Resilens is a decision engine for climate adaptation. We help public and private decision-makers turn climate risk into fundable, defensible adaptation plans, so critical places remain liveable and essential services stay functional.

We help adaptation professionals to:
- identify risk at site and portfolio level
- compare measures based on avoided damage and co-benefits
- prioritise investments and justify funding
- protect critical infrastructure and vulnerable people

We work with:
- cities and municipalities
- corporates and facility operators
- national and regional authorities
- consultancies, funders, and grant bodies

We’re hiring and currently onboarding a limited number of pilot partners.

If you manage adaptation programmes, or support those who do, let’s connect.",Climate Data and Analytics,2-10 employees,Privately Held,"Zurich, Zurich, Switzerland",Switzerland,resilens.com,https://www.linkedin.com/company/resilens-climate
