Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Nanogence SA,"Nanogence (Ng): It signifies the combination of nanotechnology with intelligence. We are a material research and manufacturing company with core competence in synthesizing novel material combining the top 10 most abundant elements on earth crust.

Ng is revolutionizing the $10 trillion construction industry with groundbreaking material science. By merging chemistry, material science, and nanotechnology, we've developed an eco-friendly smart catalyst that boosts cement binding efficiency by up to 30% and enhances performance while cutting production costs by 20%. Think of our catalyst as the construction sector’s high-performance (Ng)chip.

Our tailored solutions cater to local material and environmental nuances, ensuring seamless integration worldwide. With a rapidly expanding footprint, including over 100 clients across five continents, 50% of whom have conducted commercial pilots, and 20% having entered commercial supply agreements, we're driving significant industry adoption. Headquartered in Switzerland, we have subsidiaries in the US and India, with more on the way. 

Beyond construction, our innovations span health and energy, advancing sustainable infrastructure, orthodontics, and electric car batteries. 

Ng is dedicated to a climate-positive future.",Climate Technology Product Manufacturing,11-50 employees,Privately Held,"Lausanne, Vaud, Switzerland",Switzerland,nanogence.com,https://www.linkedin.com/company/nanogence-global
URIMAT,"Welcome to URIMAT - Pioneering Waterless Urinals and Sustainable Solutions

At URIMAT, we're not just leading, we're transforming the landscape of public toilets. 

In a world where many remain passive, URIMAT takes the lead, setting new trends and standards daily. Our waterless urinals, proudly crafted in Switzerland, are not just globally accepted; they are champions of hygiene and ecological protection in thousands of washrooms worldwide. 

Why URIMAT?
Discover innovative technology and witness the high value retention of our products. Every day, new customers place their confidence in us, actively contributing to the conservation of millions of liters of clean drinking water. 

Global Impact:
In regions facing water scarcity, our mission becomes even more critical, aligning seamlessly with the urgency of climate change.

Eco-Friendly Commitment:
URIMAT is not just a brand; it's a commitment to ecological sustainability. Our products are meticulously crafted using eco-friendly materials and production processes. We choose partners who prioritize carbon-neutral production and uphold high ethical standards.

Quality Unleashed:
Our uncompromising quality control and cutting-edge technology ensure our products deliver durable, odourless, hygienic, and ecologically responsible performance.

Make a bold statement today. Choose URIMAT. 

#URIMAT #Sustainability #WaterlessUrinals #Innovation #EcoFriendly #GlobalImpact",Climate Technology Product Manufacturing,11-50 employees,Privately Held,"Hombrechtikon, Zurich, Switzerland",Switzerland,urimat.com,https://www.linkedin.com/company/urimat
Qaptis,"Truck & ship industry are together responsible for more than 10% of global CO2 emissions and are part of the hard-to-decarbonize sector. There is a strong pressure to bring rapid changes! However, the current solutions, like hydrogen and electric vehicles, are not ready to clean these sectors before decades. This is why we are committed to a greener tomorrow and our mission is to solve the climate change challenge in the transportation industry by capturing the emissions at their source. With our plug-in technology, our solution is able to capture up to 90% of the emitted CO2, store it in liquid form directly onboard and recycle it (fuel, plastics, building materials, CO2 sequestration).",Climate Technology Product Manufacturing,2-10 employees,Privately Held,"Lausanne, Vaud, Switzerland",Switzerland,qaptis.com,https://www.linkedin.com/company/qaptis
qCella,"qCella develops an innovative radiant surface heating technology designed to make EV cabin heating dramatically more efficient. While electric vehicles (EVs) are essential to reaching Net Zero, inefficient cabin heating in winter can significantly cut driving range. This is a challenge that traditional air-based systems are unable to solve.

The Solution:
qCella’s paper-thin, flexible, and lightweight heating mats integrate directly into EV interior paneling, meaningfully extending driving range. These mats are customizable to almost any shape or size and harness the scalability and cost-efficiency of industrial paper manufacturing.

Versatile Applications:
Beyond mobility, our heating mats offer high-performance solutions across several industries:

Filtration: Heating filter papers for absorption-desorption processes.

Food Processing: Replacing traditional hot-water-based systems.

Lab Analytics: Providing precisely shaped, customizable heating zones.

Core Innovation & Future Potential:
Our core innovation is a material platform technology that functionalizes cellulose fibers with metal particles, such as copper or silver. The result is a non-woven mat produced via conventional paper manufacturing processes with electrically conductive and/or antibacterial properties.

While currently optimized for heating, this material platform also opens new doors in electromagnetic shielding, sensing, and specialty paper manufacturing.",Climate Technology Product Manufacturing,2-10 employees,Privately Held,"Zurich, Zurich, Switzerland",Switzerland,qcella.com,https://www.linkedin.com/company/qcella
BCHAR,"Welcome to BCHAR on LinkedIn! BCHAR offers a turn-key biochar production line that handles the entire process — from biomass input to biochar output — all from one supplier. Our solution integrates fully automated hardware with built-in MRV software, providing unmatched transparency for carbon credit generation. With its automated design, BCHAR makes turning waste into value as simple and efficient as possible.


BCHAR’s mission is to scale carbon removal by making biochar production accessible, efficient, and impactful. We aim to empower businesses to transform agricultural waste into a valuable tool for carbon removal and soil restoration. Through innovation and automation, we’re helping to drive the transition to renewable energy and a sustainable, carbon-neutral future.

Our story
BCHAR was born out of a passion to scale carbon removal and tackle climate change head-on. It all started at ETH Zurich, where our team of students built our first pyrolysis reactor — proof that even homemade setups could have big potential. This project revealed the potential for industrial-scale biochar production. After the incorporation of BCHAR, a pilot project in Thailand followed, showing us that more user-friendly, automated solutions were needed. Since then, we’ve been refining our tech, expanding our reach, and staying committed to our vision of making a global impact with innovative carbon removal systems.",Climate Technology Product Manufacturing,11-50 employees,Privately Held,"Zurich, Zurich, Switzerland",Switzerland,bchar.earth,https://www.linkedin.com/company/bchar
ClimEase,"ClimEase  | The CBAM Software

At ClimEase, we help EU importers and international manufacturers not just comply with the EU's CBAM regulation, but transform it into a strategic advantage. 

Our innovative SaaS enables you to seamlessly comply with CBAM, visualise CBAM cost financial exposure, and directly verify emissions on the platform. Furthermore, to integrate CBAM compliance into your decision-making process, our software tracks each suppliers emissions to evaluate them, and advance supply chain decarbonization through our premium Green Suppliers Marketplace.

 Ready for CBAM compliance and effective carbon tax management? Contact us today. Let's build a greener future together.

#CBAM #CarbonTax #Decarbonisation #Sustainability #SupplyChain #Steel #ETS",Climate Technology Product Manufacturing,11-50 employees,Privately Held,"Lugano, Ticino, Switzerland",Switzerland,climease.com,https://www.linkedin.com/company/climease
Dyneo Technologies SA,"Dyneo works with district heating and cooling network operators to manage the economic and operational performance of their infrastructures.

Thermal networks are becoming increasingly complex: integration of renewables, stricter regulatory requirements, and growing pressure on operating costs and CAPEX. Yet many key decisions are still made using data that is difficult to interpret and act upon.

Dyneo transforms field data from each substation into actionable operational decisions, enabling operators to:
– reduce network losses
– control return temperatures
– improve overall system performance
– avoid unnecessary CAPEX investments

Dyneo is not a monitoring tool.
It is a performance management platform, used by operators to connect data, operations, and economic outcomes.

Our approach is simple: value follows the reality of the network.",Climate Technology Product Manufacturing,2-10 employees,Privately Held,"Geneva, Geneva, Switzerland",Switzerland,dyneo.ch,https://www.linkedin.com/company/dyneo-technologies-sa
Arva Greentech AG,"Arva Greentech provides procedures and technologies for the rapid and eco-friendly degradation of hydrocarbons in contaminated soils, track beds, and other substrates or surfaces. Arva is a Swiss-based company with offices in Berlin (Germany) and Kharkiv (Ukraine).

Arva offers the patented Arvox superoxidation process, which degrades hydrocarbons quickly, efficiently, and eco-friendly. This includes compounds found worldwide in railroads, contaminated soils, and mineral wastes. The eco-friendly reagents used result in environmentally neutral end products.

We innovate in organic pollutant removal with our patented, world-first oxygen-based cleaner, Arvox Pro: https://arvox.cleaning/ . Developed for professionals, Arvox Pro's two components release active oxygen to decompose dirt, leaving only biodegradable end products. This ensures eco-friendly, effective cleaning for surfaces like tiles, stone, wood, and more.

For private use, our Twin Power line offers a special cleaner for tough cases in the household. It effectively cleans various types of organic dirt and residues from both indoor and outdoor surfaces. For more information, visit the Twin Power homepage: https://twinpower.cleaning/ .",Climate Technology Product Manufacturing,11-50 employees,Public Company,"Zug, Zug, Switzerland",Switzerland,arva-green.tech,https://www.linkedin.com/company/arva-greentech
Mall AG,"Over six decades, the Mall Group has become one of the most important specialist providers, with process-engineering expertise for rainwater management, separating plants, wastewater treatment plants, pump and plant engineering and rainwater management with its comprehensive range of environmental systems.

For almost ten years, Mall has been promoting renewable energies, producing pellet storage units. The “New Energies” business unit, founded in 2009, now bundles all pellets and biogas products.

The Mall Group has eight production sites. These are located in Donaueschingen, Ettlingen-Oberweier, Coswig (Anhalt), Haslach, Nottuln and Coesfeld in Germany, in Asten and St. Valentin, Austria.",Climate Technology Product Manufacturing,2-10 employees,Public Company,"Bassersdorf, Zurich, Switzerland",Switzerland,mall.ch,https://www.linkedin.com/company/mall-ag
Evercraft Ecotechnologies AG,Evercraft Ecotechnologies ist der Projektentwickler für nachhaltige und zukunfsträchtige Technologien,Climate Technology Product Manufacturing,2-10 employees,Public Company,"Baar, Zug, Switzerland",Switzerland,evercraft.eco,https://www.linkedin.com/company/evercraft-ecotechnologies
