Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Voliro,"Voliro builds advanced aerial robots that don't just fly and see - they touch.

Born out of ETH Zurich's Autonomous Systems Lab, Voliro has pioneered a new category in industrial inspection: contact-based drone inspection. Our patented tiltable-rotor platform, the Voliro T, physically interacts with structures to perform Non-Destructive Testing (NDT), ultrasonic thickness measurements, and Lightning Protection System (LPS) inspections with no scaffolding, no rope access, no shutdowns required.

The Voliro T is equipped with interchangeable sensor payloads and AI-powered flight control, enabling pilots to inspect flare stacks, storage tanks, chimneys, wind turbines, and other critical assets while they remain in service.

With its tiltable rotor system, Voliro expands the abilities of service drones from “fly and see” to “fly, see and touch”. Voliro T, our flying robot, can be equipped with a variety of payloads, such as Non-Destructive Testing (NDT) or Lightning Protection System (LPS) sensors. The unique 360° drone design of Voliro T allows inspection of curved and sloped surfaces. No other flying inspection robot boasts these capabilities.

Voliro aims to provide innovative UAVs with unique capabilities. We promote the concept of an omnidirectional aerial robotic platform, where position and orientation of the flying platform are completely independent. This ability is crucial to achieve robust and reliable interaction with the environment.

Our mission: make the world's critical infrastructure safer, more reliable, and easier to maintain  without putting people at risk.",Robotics Engineering,11-50 employees,Privately Held,"Zurich, Zurich, Switzerland",Switzerland,voliro.com,https://www.linkedin.com/company/voliro-ch
Aethera OS,,Robotics Engineering,11-50 employees,Privately Held,"Bern, Berne, Switzerland",Switzerland,,https://www.linkedin.com/company/aethera-os
Dark Cloud  Labs,Swarm Robotics Development,Robotics Engineering,2-10 employees,Public Company,"Zurich, Zurich, Switzerland",Switzerland,darkcloudlabs.ch,https://www.linkedin.com/company/dark-cloud-labs-ch
Fenyx Art,"Founded in 2005 as a creative design studio, Fenyx Art began with a simple mission: helping individuals and organizations communicate through design, creativity and visual identity. 
The emergence of Artificial Intelligence in 2022 transformed not only the technological landscape, but also our understanding of creativity, knowledge and human-machine interaction. 

Today, Fenyx Art has evolved beyond traditional branding and design services. Our work focuses on Cognitive Architecture, Human-AI Governance and the design of meaning-oriented intelligent systems. We explore how artificial intelligences perceive reality, interpret information, construct meaning and interact with human beings. 

By combining artistic vision, systems thinking, philosophy, cybersecurity and emerging technologies, we help shape intelligent systems that are not only efficient, but also coherent, relevant and aligned with human values. 

We believe the future is not built with code alone. It is built through purpose, empathy, understanding and meaningful design.",Robotics Engineering,2-10 employees,Self Owned,"Tartessos, Península Ibérica, Switzerland",Switzerland,fenyx.art,https://www.linkedin.com/company/fenyxart
TrainIt Robotics,"TrainIt Robotics is an Industrial Physical AI company developing adaptive robotic systems for High-Mix, Low-Volume production.

Traditional automation works well when products, positions and process conditions are known in advance. When formats change, objects arrive in random orientations, visual conditions vary or the process requires recovery from uncertainty, deterministic logic alone is no longer enough.

The PLC remains the deterministic backbone of the machine. TrainIt adds the adaptive layer: perception, decision-making, manipulation and recovery.

We design, simulate and deploy robotic applications that combine 6-axis industrial robots, integrated vision systems, digital twins, edge AI and PLC-connected software.

Our pipeline is:

DESIGN — We analyse the industrial task, product variability, cycle time, workspace, robot, camera, end effector and machine interfaces.

SIMULATION — We create a digital twin to validate reachability, collisions, camera positioning, cycle time and manipulation strategies. We evaluate and adapt Vision-Language-Action models, perception pipelines and proprietary trained skills to the customer’s process.

DEPLOYMENT — We integrate the robot, vision system, edge computer, end effector, application software and PLC communication into the real production environment.

Typical applications include bin picking, cap and capsule feeding, bottle and container handling, machine tending, robotic sorting, visual inspection, capping support, crating, nesting, de-nesting, packaging handling and palletizing.

We focus on beverage, food, cosmetics, pharmaceutical packaging and adjacent industrial sectors where variability makes rigid automation expensive or difficult to scale.

Instead of rebuilding every robotic project from scratch, we adapt reusable TrainIt skills to the customer’s objects, formats, equipment and production constraints.

Physical AI for Industrial Robotics.",Robotics Engineering,Self-employed,Privately Held,"Châtel-Saint-Denis, Fribourg, Switzerland",Switzerland,trainit-robotics.com,https://www.linkedin.com/company/trainit-robotics
RIVR,"RIVR is a robotics company pioneering Physical AI for doorstep delivery. We combine neural networks with innovative wheeled-legged robots to automate the most labor-intensive part of delivery, bringing packages and food directly to consumers’ doorsteps, while mastering real-world challenges like climbing stairs, navigating cluttered spaces, and opening gates and doors. With customers already requiring tens of thousands of robots, RIVR is on track to generate more daily data than YouTube within four years, unlocking a powerful data flywheel for General Physical AI.",Robotics Engineering,51-200 employees,Privately Held,"Zurich, Zurich, Switzerland",Switzerland,rivr.ai,https://www.linkedin.com/company/rivr-technologies
CynLr,"CynLr is a visual object intelligence platform that enables industrial robotic arms to see, understand and manipulate any object in random unstructured environments.",Robotics Engineering,51-200 employees,Privately Held,"Lausanne, Vaud, Switzerland",Switzerland,cynlr.com,https://www.linkedin.com/company/cyn-lr
mimic,Physical AI to scale your most tedious tasks from manufacturing to logistics. Our robots intuitively learn new skills from you and operate autonomously in any environment.,Robotics Engineering,11-50 employees,Privately Held,"Zurich, Zurich, Switzerland",Switzerland,mimicrobotics.com,https://www.linkedin.com/company/mimicrobotics
microagi,"microagi, founded in 2025, is a robotics deployment company. Its platform, Atlas, fine-tunes models on a customer’s own operations, drawing on microagi’s proprietary data corpus, and closes the gap between the robot that impresses in a demo and the robot that does reliable work on the line. Atlas is hardware- and model-agnostic: a neutral layerbetween a customer’s infrastructure and frontier AI models, designed to prevent lock-in to any single vendor. microagi is headquartered in Munich, with a research hub in Zurich and offices in London and New York.",Robotics Engineering,11-50 employees,Privately Held,"Zurich, Zurich, Switzerland",Switzerland,microagi.ai,https://www.linkedin.com/company/microagi
Flexion,"We are building the autonomy stack for humanoid robots - from command to control, from manipulation to locomotion, across any hardware and task. Leveraging the power of simulation and reinforcement learning, our software scales to the real world with minimal human involvement.",Robotics Engineering,11-50 employees,Self Owned,"Zurich, Zurich, Switzerland",Switzerland,flexion.ai,https://www.linkedin.com/company/flexion-ai
