Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
PAVE Space,"PAVE Space is a Swiss company built on the success of the Gruyère Space Program, which developed Europe’s first reusable rocket demonstrator.

Its expertise spans space propulsion, control algorithms, and rapid integration of complex systems.

PAVE Space now targets last-mile satellite delivery, using its kickstage to move multi-ton payloads from low Earth orbit to any orbit within 24 hours.",Space Research and Technology,11-50 employees,Privately Held,"Crissier, Vaud, Switzerland",Switzerland,pave.space,https://www.linkedin.com/company/pavespace
Space4Impact,"We believe that Space can do more for Earth.

@Space4Impact we promote the adoption of space technologies that have a positive impact on Earth. As part of our Space2Earth Accelerator, we help space startups to bring the power of satellite data to new markets.",Space Research and Technology,2-10 employees,Privately Held,"Lausanne, Vaud, Switzerland",Switzerland,space4impact.org,https://www.linkedin.com/company/space4impact
European Space Deep-Tech Innovation Centre (ESDI),"The European Space Deep-tech Innovation Centre (ESDI) is a collaborative initiative between the European Space Agency (ESA) and Switzerland, established to accelerate the commercial adoption and availability of deep-tech for the benefit of ESA, its Member States, and the broader European space sector.

Starting with the ESA Phi-Lab Switzerland, ESDI designs, establishes and runs platforms for deep-tech research in quantum, data, and materials, bringing to use technologies of tomorrow for the world of today.",Space Research and Technology,2-10 employees,Government Agency,"Villigen, Aargau, Switzerland",Switzerland,,https://www.linkedin.com/company/european-space-deep-tech-innovation-centre-esdi
Space Systems Innovation Platform - SSIP,"Breaking barriers and building bridges beyond borders.

SSIP is an independent Swiss ecosystem platform based at Technopark Luzern, dedicated to accelerating collaboration between academia, industry, research centers, and global partners in the fields of space, microgravity, and advanced industrial innovation.

Originally initiated through the NASA Space Apps Challenge Lucerne, SSIP has evolved into a high-impact platform focused on translating research and technological capabilities into industrial and commercial reality through pilot programs, industry forums, innovation challenges, and long-term strategic partnerships.

Our mission is to strengthen Swiss technological leadership while building global value chains that enable sustainable growth, industrial competitiveness, and cross-sector collaboration.

From Switzerland to the world, SSIP connects innovators, engineers, entrepreneurs, researchers, and institutions to co-create next-generation solutions in space, life sciences, and advanced manufacturing.

Focus areas:
• Microgravity-enabled Research, Biotech & Biomanufacturing
• Space Systems, In-Orbit Platforms & Earth Observation
• Advanced & Additive Manufacturing for Space and Life Sciences
• AI-Native Research, Robotics & Automation
• Dual-Use Industrial Technologies and System Integration
• Education, Innovation & Talent Development

 Join us - collaborate, innovate, and help shape Europe’s next industrial frontier in space and microgravity.",Space Research and Technology,2-10 employees,Public Company,"Root, Lucerne, Switzerland",Switzerland,ssip-pl.ch,https://www.linkedin.com/company/space-systems-innovation-platform-ssip
Stellar Alpina,"Stellar Alpina is a Zurich-based space venture developing high-performance Rotating Detonation Engines, modular in-space vehicles and lunar delivery systems. Our mission is to build upstream hardware that gives Europe a sovereign path to the Moon.

Founded by ARIS Alumni, we combine hands-on engine development, system design expertise and shared leadership to create a scalable architecture for propulsion and lunar access.

Our work is grounded in Swiss precision and driven by the belief that world-class space systems can be built in Zurich.

Stellar Alpina is shaping the next chapter of European space infrastructure: engines, vehicles and landers built to deliver reliably to the lunar surface.",Space Research and Technology,2-10 employees,Privately Held,"Dübendorf, Zurich, Switzerland",Switzerland,stellar-alpina.ch,https://www.linkedin.com/company/stellar-alpina
Space Sustainability Rating,"The Space Sustainability Rating (SSR) is a voluntary rating system providing space actors with a transparent rating and certification system to assess the level of #sustainability of their missions. 

It also offers practical guidance on how to improve missions’ sustainability performance, with the goal of helping to address the challenges raised by the proliferation of space debris. 

Developed in the last three years by a consortium including the World Economic Forum, the European Space Agency, the Massachusetts Institute of Technology, BryceTech and the University of Texas at Austin, the rating provides an innovative solution for space operators to support their debris mitigation efforts and increase the sustainability of their missions. 

All space actors are welcomed to join the SSR. If you wish to learn more about the rating and explore opportunities for engagement please visit our website.",Space Research and Technology,2-10 employees,Non Profit,"Lausanne, Vaud, Switzerland",Switzerland,spacesustainabilityrating.org,https://www.linkedin.com/company/space-sustainability-rating
"Chair of Space Geodesy, ETH Zurich","The Chair of Space Geodesy will face the challenges and profit from the opportunities that come with “big data” in geodesy. We will design and implement advanced machine learning techniques to automate the processing of GNSS and VLBI data, resulting in a faster availability and higher quality of geodetic products. Also, machine learning will be applied in the large-scale analysis of GNSS time series to detect and investigate geophysical signals, inter alia related to hydrological and seismic events, as well as to severe weather events and ionospheric disturbances. Finally, we aim to improve the prediction of several types of geodetic parameters by machine learning. In particular, we will focus on determining future Earth orientation parameters, station coordinates and atmospheric parameters.

Prof. Dr. Benedikt Soja",Space Research and Technology,11-50 employees,Non Profit,"Zurich, Zurich, Switzerland",Switzerland,ethz.ch,https://www.linkedin.com/company/space-geodesy-eth
gamma.earth,"Uniquely powerful AI solutions for Earth Observation and remote sensing. 10x super-resolution for multispectral and hyperspectral satellite imaging data. Cloud detection and removal, atmospheric correction, as well as land use and land cover classification.",Space Research and Technology,2-10 employees,Privately Held,"Morges, Vaud, Switzerland",Switzerland,gamma.earth,https://www.linkedin.com/company/gamma-earth
Swiss Hackathon | Orbital Infrastructure Challenge,"Swiss Hackathon is a national Swiss innovation initiative bringing together engineers, researchers, entrepreneurs, AI specialists, biotech innovators, cybersecurity experts, advanced manufacturing professionals and space industry stakeholders to solve some of the most important challenges shaping the future of the orbital economy.

Through the Orbital Infrastructure Challenge, participants collaborate across six strategic domains:

 Orbital Digital Twins
 Artificial Intelligence
 Biotech & Pharma in Microgravity
 Advanced Manufacturing & Future Materials
 Space Cybersecurity & Resilience
 Digital Twin Earth Switzerland

More than a traditional hackathon, Swiss Hackathon is a platform designed to connect industry, academia, research institutions and emerging talent around real-world challenges with real deployment potential.

Our mission is to accelerate innovation, foster collaboration and help transform ideas into pilots, products, companies and future infrastructure.

We welcome sponsors, industrial partners, universities, research institutions, technology companies, mentors and innovators who want to help shape the next generation of Swiss and global technological leadership.

 Orbital Infrastructure Challenge 2026
 Lucerne, Switzerland
 3–5 October 2026

Powered by SSIP × TECHNOPARK Luzern × HSLU",Space Research and Technology,2-10 employees,Non Profit,"Root, Lucerne, Switzerland",Switzerland,spaceappschallenge.ch,https://www.linkedin.com/company/swisshackathon2026
LIFE Space Mission,"We are LIFE, a Swiss-led and European-driven space mission dedicated to answer one of humanity’s oldest and most profound questions: Are we alone?

Our goal is simple but bold — to build the first mission designed solely to detect signs of life on planets beyond our Solar System. Using mid-infrared interferometry, we study the atmospheres of distant worlds, searching for chemical fingerprints that might reveal biological activity. Building on Switzerland’s pioneering legacy in exoplanet science, LIFE continues to lead the way in exploring new worlds.

But we’re more than a scientific mission. We’re a team of scientists, engineers, and communicators united by curiosity and purpose. For us, space exploration goes beyond science — it’s a shared journey that brings people together and inspires new ways of thinking.
We challenge conventions, embrace complexity, and explore new ways of working together. By reimagining how space missions are built, we want to show that openness, creativity, and collaboration can move science forward — and inspire the next generation to think bigger.

We’re just getting started — so stay tuned",Space Research and Technology,2-10 employees,Partnership,"Zurich, Zurich, Switzerland",Switzerland,life-space-mission.com,https://www.linkedin.com/company/life-space-mission
CFS Engineering,"CFS Engineering is a consultancy company founded in August 1999, located in the Business Park (PSE) of the Swiss Federal Institute of Technology (EPFL) in Lausanne, Switzerland.
The mission of CFS Engineering is:

To offer services in the Numerical Simulation of Fluid Mechanics and Structural Mechanics Engineering Problems

Numerical simulation of complex engineering problems is becoming increasingly important in product design, but requires highly specialized knowledge and tools. CFS Engineering has this knowledge and the tools to work with its customers to better understand the physics of complex engineering problems, with the ultimate goal of improving product design and/or performance.

CFS Engineering is a Societe Anonyme (SA) with 3 share holders, RUAG Aerospace, Silvio Merazzi, and Jan B. Vos.",Space Research and Technology,2-10 employees,Privately Held,"Lausanne, Vaud, Switzerland",Switzerland,cfse.ch,https://www.linkedin.com/company/cfs-engineering-sa
Build a CubeSat,"I am developing a relatively affordable, open source CubeSat project and documenting my progress on YouTube: https://www.youtube.com/@buildacubesat",Space Research and Technology,Self-employed,Self Employed,"Bern, Berne, Switzerland",Switzerland,buildacubesat.space,https://www.linkedin.com/company/buildacubesat
