Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Erba Mannheim,"Erba Mannheim stands as one of the world’s fastest-growing IVD companies, dedicated to making automation accessible and affordable for small and medium-sized labs. With operations in over 100 countries, our global team of experts and centers of excellence in France, Austria, the Czech Republic, the United Kingdom, and India collaborate to deliver top-tier products and services to customers worldwide.

Our extensive distributor network, expanding direct sales teams, and over 50 years of industry experience enable us to impact the lives of approximately 200 million patients globally.",Biotechnology,"1,001-5,000 employees",Privately Held,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,erba.com,https://www.linkedin.com/company/erba-mannheim
AGBL Group,"The AGBL Group of companies is the largest biomedical distribution gateway to the emerging markets of the Middle East, Africa, and Central Asia

The group is dedicated to bringing innovative technologies and products to researchers, clinicians, and diagnostic centers.

We employ a team of product and commercial specialists and has more than fifteen offices across the regions; offering distribution, consulting, and product development services to manufacturers of life sciences, diagnostics, emerging medical technologies and industrial quality control products.

For over 20 years AGBL has served more than 10,000 customers and institutions, equipped and helped build genomic laboratories, specialty diagnostics and research facilities across the Middle East, Africa and Asia.
Our primary customers include; Academia and Research Institutions, Diagnostic Laboratories and Hospitals, Quality Control Laboratories at industrial snd manufacturing facilities.

The group’s stated mission is to improve the lives of the region’s inhabitants through novel biomedical technologies, services and products.

We are always looking for new and exciting suppliers of products and services in our domain for partnerships on our markets.",Biotechnology,201-500 employees,Privately Held,"Dubai, United Arab Emirates",United Arab Emirates,agbl.net,https://www.linkedin.com/company/agbl-group
Agiomix,"Fastest TAT for NIPT in the region 
Highest positive WES results >  75%",Biotechnology,11-50 employees,Privately Held,"الخليج التجاري, Dubai, United Arab Emirates",United Arab Emirates,agiomix.com,https://www.linkedin.com/company/agiomix
Noor Enzymes,"Noor Enzymes is a global organization in the field of Industrial Biotechnology. It is perhaps the biggest industry catering to clients worldwide through eco-friendly solutions. Moreover in todays urban world run by demand for Fossil fuels and strong dependence on Information Technology there are only a limited number of companies worldwide who seek to specialize in 21st century Biotechnology of Enzymes. We are an emerging global supplier of these eco-friendly solutions at economical costs to the processing industries who are eventually the end users of these products.

Our product range consists of Enzymes specifically targeted for Industrial application. The major markets for these biocatalysts are Textile Processing, Leather Processing, Detergents & Cleaning, Food Processing, Paper Processing, Bio-Ethanol & Bio-Gas, Animal Feed and Starch & Sugar Processing Industries where we place our exclusive focus on.",Biotechnology,51-200 employees,Privately Held,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,noor-enzymes.com,https://www.linkedin.com/company/noor-enzymes
Advance Biotechnology Center,"Advance Biotechnology Centre (ABC) established in 2003 is a leading Environmental and Biotechnology Consultancy Company in Dubai, UAE supported by ISO 17025:2019 accredited DNA based testing laboratory. With a state of the art DNA and environmental laboratory and backed by an experienced team.
ABC aims to provide the best and high-quality services across the region.",Biotechnology,11-50 employees,Partnership,"دبي, Dubai, United Arab Emirates",United Arab Emirates,abc.ae,https://www.linkedin.com/company/advance-biotechnology-center
DNA GTx Bioinformatics,"The world is diverse, so is our Company.  Scientists, Doctors, Genomic Professionals,  Engineers, Programmers,  Entrepreneurs and beyond, form a devoted and unified team. We are actively pursuing innovative solutions to solve, improve and optimise the responses for life science challenges in all living organisms and in precision medicine",Biotechnology,11-50 employees,Privately Held,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,dnagtxbioinfo.com,https://www.linkedin.com/company/dnagtx-bioinformatics
"ALKHORA for General Trading, Ltd.","ALKHORA  deals with an extensive range of high-value products for the benefit of our loyal customer base. Surgical Products, Nursing Consumables, Anesthesia and Respiratory Products, Incontinence & Urology Products, X Ray Devices, Sterilization Products CSSD Products), Infection Control Products, Orthopedic Products, Emergency & First Aid Products, Laboratory Consumables, Wound Care Products, Radiology Products, Dental Consumables, IV Solutions, Linen, Uniforms & Shoes, Medical Furniture, Medical Equipment, Surgical & Dental Instruments.",Biotechnology,11-50 employees,Partnership,"Deira, Dubai, United Arab Emirates",United Arab Emirates,alkhora.com,https://www.linkedin.com/company/alkhora
ScirosBio,"Scirosbio is a UAE based biotech/biopharmaceutical startup engaged in research, development and commercialization of drugs for various disease indications including oncology, neurological disorders and diabetes.",Biotechnology,2-10 employees,Privately Held,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",United Arab Emirates,scirosbio.com,https://www.linkedin.com/company/scirosbio
ExpressLabs,"EXPRESS LABS FOR SCIENTIFIC AND LABORATORY EQUIPMENT TRADING CO. LLC has been established by the team of experts who has almost 10+ years of experience in the Scientific & Research Instrumentation Segment.

Express Labs is engaged in supplying of various laboratory and Scientific Equipment, consumables etc both in standard and custom designs. We emphasis on quality and customer service that our customers find in all aspects of our work. We serve our customers with outstanding responsiveness, execution and delivery of product.

We have alliance with various reputed manufacturers from across the globe, which helps our customers to choose from the widest range of laboratory equipment.",Biotechnology,2-10 employees,Partnership,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,expresslabs.ae,https://www.linkedin.com/company/expresslabs
Hili Scientific Trading LLC,"Established in 2015, HILI SCIENTIFIC is a Dubai based trading company that supplies the food, medical & cosmetic sectors with an extensive range of biotechnology, microbiology & molecular biology solutions, creating a more efficient testing of products.",Biotechnology,2-10 employees,Privately Held,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,hiliscientific.ae,https://www.linkedin.com/company/hiliscientifictradingllc
