Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Space42,"Space42 is redefining the boundaries of SpaceTech, combining satellite communications, geospatial analytics, and AI to deliver transformative solutions from space.
 
Listed on the Abu Dhabi Securities Exchange (ADX), we are a UAE-based, AI-powered SpaceTech company with a global reach. We build technology and shape the future of AI-powered space technologies, redefining how industries interact with geospatial intelligence, satellite communications, and secure connectivity.
 
Our vision is to pioneer beyond today for humanity to experience a better tomorrow.",Space Research and Technology,"501-1,000 employees",Privately Held,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",United Arab Emirates,space42.ai,https://www.linkedin.com/company/space42ai
The National Space Science and Technology Center,"The National Space Science and Technology Center (NSSTC) was established in 2016 through the strategic support of UAE University and the UAE Space Agency, with a clear mandate to advance the UAE’s capabilities in Earth Observation and Positioning, Navigation, and Timing (PNT) technologies. NSSTC leads the design, development, and operation of advanced satellite missions that align with national priorities.

At the heart of NSSTC’s mission is a leadership-driven strategic mindset that focuses on bridging academia and industry accelerating innovation while ensuring the development of local expertise in high-technology sectors. The Center provides hands-on access to real space missions, empowering students, researchers, and engineers to contribute directly to mission success.

NSSTC also operates the UAE’s only comprehensive Assembly, Integration, and Testing (AIT) facility, enabling the country to build, test, and qualify space systems in-house. Flagship missions such as Satellite 813 and the LEONAV LEO-PNT demonstrator reflect NSSTC’s  growing role in building national capability and contributing to global space innovation.",Space Research and Technology,51-200 employees,Government Agency,"Al Ain, Abu Dhabi Emirate, United Arab Emirates",United Arab Emirates,nsstc.ae,https://www.linkedin.com/company/nsstcuae
Precious Payload,Booking .com for satellite launches,Space Research and Technology,11-50 employees,Privately Held,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",United Arab Emirates,preciouspayload.com,https://www.linkedin.com/company/preciouspayload
Madari Space,"At Madari Space, our vision is to build space data centers, transforming how data is stored and processed. By harnessing the unique environment of space, we deliver eco-conscious, efficient, and globally accessible solutions that surpass the limits of traditional terrestrial infrastructure. We are pioneering technologies that advance edge computing and data storage in orbit, with a deep commitment to sustainability and innovation.",Space Research and Technology,2-10 employees,Privately Held,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",United Arab Emirates,madari.ae,https://www.linkedin.com/company/madarispace
SpacePoint “Space.”,"SpacePoint “Space.” is an Edtech startup providing educational satellite development kits designed to enhance students' interest and performance in STEM fields. 

Addressing the widespread issue of students lacking practical experience and knowledge, Space. tackles three key challenges: insufficient resources, declining interest in STEM subjects, and the need for diversified learning approaches.

Our innovative program, SatKit, offers hands-on experience with satellite development, helping university students and recent graduates prepare for careers in the space and advanced technology industries. Aligned with the UAE's agenda to build national capabilities, SatKit enables students to explore satellite subsystems by building them from scratch using physical components. The program is offered in both Arabic and English and can be completed in 18-24 hours over a compressed two-weekends period, a two-week period or an eight-week semester.

The target audience includes school students aged 12-18 (Basic) and university students and recent graduates (Advanced) interested in pursuing STEM careers. 

Our comprehensive kit includes detailed documentation, interactive tutorials from industry experts, and teacher training to effectively deliver the curriculum. This approach bridges the gap between theoretical knowledge and practical application, opening job opportunities for trainers as well.",Space Research and Technology,2-10 employees,Privately Held,"Al Ain, Abu Dhabi Emirate, United Arab Emirates",United Arab Emirates,spacepoint.ae,https://www.linkedin.com/company/spacepointae
Emirati Society of GIS and Remote Sensing,"The Emirati Society of GIS and Remote Sensing (ESGRS) serves as a dynamic hub and interactive platform for all GIS and Earth Observation-related activities, research, and studies conducted across the United Arab Emirates and beyond. Created by the Mohammed Bin Rashid Space Centre (MBRSC), the society aims to enhance geo-science and remote sensing initiatives by engaging interested parties from government entities, private sectors, start-ups, academic institutions, and universities in the UAE. The society’s primary objective is to synergize human and infrastructure resources towards a common goal of supporting UAE visions and strategies where GIS and Remote Sensing can be applied effectively. This community welcomes researchers, specialists, young professionals, professors, students, and anyone interested in the GIS and Remote Sensing sector!",Space Research and Technology,11-50 employees,Non Profit,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,esgrs.ae,https://www.linkedin.com/company/esgrsuae
AtAll,⠀,Space Research and Technology,11-50 employees,Privately Held,"Al Reem Island, Abu Dhabi Emirate, United Arab Emirates",United Arab Emirates,atall.tech,https://www.linkedin.com/company/atallcorporation
AtAll,⠀,Space Research and Technology,11-50 employees,Privately Held,"Al Reem Island, Abu Dhabi Emirate, United Arab Emirates",United Arab Emirates,atall.tech,https://www.linkedin.com/company/avvinci
Stardust,"Stardust is a global leader in space exploration, education, and innovation. Our mission is to make space accessible for all by building ecosystems that empower individuals, industries, and nations to thrive in the growing space economy.

With a focus on cutting-edge technologies, STEM education, and sustainable development, Stardust inspires the next generation through programs like Stardust Odyssey while driving advancements in space policy, habitats, mining, and more. From classrooms to the cosmos, we are dedicated to shaping the future of humanity beyond Earth.

Join us as we connect humanity to the stars and create opportunities for a brighter tomorrow.",Space Research and Technology,2-10 employees,Privately Held,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,stardustinc.ca,https://www.linkedin.com/company/thestardustodyssey
Stellaria,Next AI level of GEOINT,Space Research and Technology,11-50 employees,Privately Held,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",United Arab Emirates,stellaria.ai,https://www.linkedin.com/company/stellaria-ai
TIME SPACE TECH,"Space Technologies,
Energy Sector(GRIDSETS131019O9),
Pleiades,
Pegasus,
TESCO,
PAMOS,
AFMT,
TTT - SRD,
PROJECT 3SR,
GPS - TM,
50IMO",Space Research and Technology,51-200 employees,Privately Held,"Dubai, United Arab Emirates",United Arab Emirates,timespace.in,https://www.linkedin.com/company/time-space-tech
