Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Intellian Technologies,"True connectivity empowers everything!
Intellian is the world’s leading provider of satellite antennas and terminals, with a mission to empower connectivity so connectivity can empower the world. We are driven by a passion for innovation and agile responsiveness to customer needs. As the crucial link between satellite networks and millions of people on Earth, Intellian’s leading technology and antennas empower global connectivity across oceans and continents, organizations and communities. Strategic thinking, an obsession with quality and a proven ability to deliver enables Intellian to invent for the future, creating mutual success for partners and customers as the world’s connectivity needs evolve.",Satellite Telecommunications,"501-1,000 employees",Public Company,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,intelliantech.com,https://www.linkedin.com/company/intelliantech
Satcom Direct,"Gogo is the only multi-orbit, multi-band in-flight connectivity provider offering connectivity technology purpose-built for business and military/government aviation. Its industry-leading product portfolio offers best-in-class solutions for all aircraft types, from small to large and heavy jets and beyond. 

The Gogo offering uniquely incorporates Air-to-Ground systems with high-speed satellite networks, to deliver consistent, global tip-to-tail connectivity through a sophisticated suite of software, hardware, and advanced infrastructure supported by a 24/7/365 in person customer support team. 

Gogo consistently strives to set new standards for reliability, security and innovation and is shaping the future of inflight aviation to make it easier for every customer to stay connected beyond all expectations.",Satellite Telecommunications,201-500 employees,Privately Held,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,satcomdirect.com,https://www.linkedin.com/company/satcom-direct
Sama X,"At Sama X, an authorized Starlink reseller, we are accelerating access to digital prosperity by delivering turnkey satellite internet solutions wherever they’re needed most—no matter how remote, rugged, or infrastructure-challenged.

Headquartered in Dubai, we operate across the Middle East, Africa, and South Asia, connecting businesses, governments, and communities through secure, high-speed, and low-latency internet powered by Starlink’s cutting-edge LEO technology.

Driven by a customer-first mindset and deep local expertise, Sama X empowers key sectors including Oil & Gas, Construction, Telecom, and Public Services. Whether enabling field operations, supporting emergency response, or driving digital transformation, we make connectivity simple, scalable, and reliable.

Rooted in trust, performance, and partnership, our mission is to simplify access to digital connectivity and unlock new possibilities for progress—wherever your business takes you.",Satellite Telecommunications,11-50 employees,Privately Held,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,samax.com,https://www.linkedin.com/company/sama-x
Northtelecom,"Northtelecom headquartered in Dubai, UAE specializes in providing satellite communication / ICT services and solutions. Northtelecom’s service portfolio offer innovative and reliable communication solutions to the industries like Energy, Maritime, Media, Enterprise, Telco, & Humanitarian.

Established in the year 2007 and with 18 years of rich industry experience, Northtelecom has succeeded in delivering comprehensive package of system integration, system products, and network communication services enabling a complete end-to-end solution to its customers.
Northtelecom has its foot prints spread globally with offices in UAE, Germany, Malaysia, Italy and Singapore and teleports Frankfurt, Kuala Lumpur, Singapore & Athens.
www.northtelecom.com",Satellite Telecommunications,51-200 employees,Privately Held,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,northtelecom.com,https://www.linkedin.com/company/northtelecom
Spacecom Networks,Satellite Telecommunications Service Provider,Satellite Telecommunications,11-50 employees,Partnership,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,spacecomnetworks.com,https://www.linkedin.com/company/spacecom-networks
GCCSAT,"GCCSAT is a satellite connectivity provider delivering reliable internet and network access across the GCC and beyond — over VSAT, Starlink, and OneWeb LEO networks. Whether it's a vessel at sea, a remote site, an enterprise branch, or a government facility, we design, deploy, and support the connection that keeps you online.

We back every connection with genuine, manufacturer-warrantied hardware — from Intellian, Kymeta, Hughes, iDirect, Newtec, Comtech, Peplink, and Kognitive — held in stock at our Jebel Ali Freezone warehouse in Dubai for immediate deployment. No waiting on lead times when your connectivity can't afford downtime.

What we do:
 VSAT connectivity — maritime, enterprise & remote sites
 Starlink LEO internet — high-throughput, fast to deploy
 OneWeb LEO connectivity — flat-panel, global coverage
 SD-WAN & network integration
 Equipment supply, installation & ongoing support

""Your Satellite Connectivity Partner — Anywhere in the GCC.""
""We Connect What Others Can't Reach.""
""Internet Connectivity by Satellite. Delivered, Deployed, Supported.""",Satellite Telecommunications,2-10 employees,Partnership,"Sharjah, Dubai, United Arab Emirates",United Arab Emirates,gccsat.com,https://www.linkedin.com/company/gccsat
SPACE INTEGRATORS FZCO,"Space Integrators offer a comprehensive selection of VSAT antennas, BUCs (Block Upconverters), modems, converters, and terminals, catering to your diverse communication needs.",Satellite Telecommunications,2-10 employees,Partnership,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,spaceintegrators.com,https://www.linkedin.com/company/space-integrators
Pulsar Communications System,"Pulsar Telecom is a leading provider of comprehensive communication solutions, specializing in satellite communications, digital transformation, IT solutions, cyber security, IPTV, GSM boosters, IoT, CCTV, and MPLS & IP trunking services. With a strong emphasis on innovation and customer satisfaction, Pulsar Telecom aims to deliver cutting-edge technologies and top-notch services across multiple industries. Through strategic partnerships and a team of experienced professionals, Pulsar Telecom is committed to meeting the diverse needs of its clientele.",Satellite Telecommunications,11-50 employees,Privately Held,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",United Arab Emirates,pulsarteleco.com,https://www.linkedin.com/company/pulsar-communications
Universal Satnet DMCC,"Universal Satnet is a satellite communication Provider, it has been founded by highly experienced professionals in the field of Satellite Communications. Headquartered in Dubai, Universal Satnet provides new methods to better meet technologically advanced communications needs required by customers, ensuring a timely and qualified technological and commercial support. Universal Satnet has the capacity to manage all elements of solution delivery form planning and installation to maintenance and troubleshooting.",Satellite Telecommunications,11-50 employees,Privately Held,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,universalsatnet.net,https://www.linkedin.com/company/universal-satnet-dmcc
ATHENA TELECOMMUNICATIONS EQUIPMENT TRADING CO. L.L.C,"At Athena Telecommunication company, we pride ourselves on being a leading provider of reliable and efficient communication solutions. Our mission is to connect people and businesses across the globe, enabling them to communicate seamlessly and effectively.
With years of experience in the telecommunication industry, we have developed a comprehensive range of solutions that meet the diverse needs of our clients. From high-speed broadband internet to voice and video conferencing, data transfer, and more, we offer customized solutions that are tailored to the specific requirements of each client.
At our telecommunication company, we understand the importance of reliable and secure communication. That’s why we have invested in the latest technology and equipment, ensuring that our clients receive the highest level of service and performance. Our team of experienced engineers and support staff is available 24/7 to provide technical support and assistance, ensuring that our clients stay connected and stay ahead.
We are committed to innovation, quality, and reliability, and our partnerships with leading telecommunication providers reflect this commitment. Our solutions are backed by the most advanced and reliable technology available, ensuring that our clients have access to the best possible communication solutions.",Satellite Telecommunications,11-50 employees,Privately Held,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,athenatelecom.ae,https://www.linkedin.com/company/athena-telecommunications-equipment-trading-co-l-l-c
Meta X Associates,"High-quality, independent commercial and technical experience along with growth sector knowledge in the satellite, industrial automation (IIOT), hyper-connectivity, digital, and startup domains throughout the land, maritime, and aviation markets. Deep stakeholder ties with new and established satellite operators, channel partners, solution and value-added providers. On the panel of Meta X Associates are industry professionals who have helped and facilitated everything from large-scale initiatives to the development of new startups.",Satellite Telecommunications,2-10 employees,Privately Held,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,metaxassociates.com,https://www.linkedin.com/company/meta-x-associates
Tri Tech Marine,,Satellite Telecommunications,2-10 employees,Privately Held,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,tricom-tech.com,https://www.linkedin.com/company/tri-tech-marine
Kyma Technologies,"Kyma is an independent maritime technology provider delivering advanced satellite communications and software solutions to the global merchant shipping industry. With deep expertise in the maritime industry and a highly committed support team, Kyma ensures reliable, smooth, and hassle-free operations for vessels worldwide. 

The company offers flexible hybrid connectivity solutions tailored to each fleet’s operational needs and budget, giving customers the freedom to choose the most effective combination of today’s and the future’s technologies. 

Designed with simplicity, scalability, and performance in mind, Kyma’s innovative platform provides seamless satellite communications beyond geographic limitations—empowering every ship and crew with the next wave of connectivity at sea.",Satellite Telecommunications,11-50 employees,Privately Held,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,kyma.global,https://www.linkedin.com/company/kyma-technologies-1
