Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
e& UAE,"(Formerly etisalat UAE) For more than four decades, we have connected people and now we’ve evolved to become the digital telco of the future. 
Our mission is to grow, transform and excel as the region’s technology leader while enhancing digital customer experience and operation agility.

e& UAE offers digital experiences that cater to your new lifestyle and demands beyond just telecom and are not limited to gaming, health, and insurance. We will continue to be your trusted partner and advisor, enabling connectivity and everything beyond, accelerating the digital world and pioneering future-forward spaces like private networks, autonomous vehicles, and AI.
Together, we embark on this new era of e& UAE and step into a new world of possibilities.
We are etisalat and so much more.",Telecommunications,"10,001+ employees",Public Company,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",United Arab Emirates,etisalat.ae,https://www.linkedin.com/company/eanduae
THE PROFESSIONAL COMMUNICATION CORPORATION,"THE PROFESSIONAL COMMUNICATION CORPORATION is a telecommunications company based out of P.O Box 91112,, Dubai, Dubai,, United Arab Emirates.",Telecommunications,2-10 employees,,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,dubai.ae,https://www.linkedin.com/company/the-professional-communication-corporation
Platinum Telecom Solutions,"We are committed to bringing advanced technological solutions and innovative products to EMEA. Our team includes some of the most highly skilled professionals with a proven track record of leadership, business development, sales & marketing and engineering.

Our strong network provides a unique and extended geographical reach across EMEA. We offer products and services for customers across EMEA, with main focus on Eastern Europe, Middle East and Africa. We are 100% dedicated to serve our customers and partners with full transparency. We recognize that our people are our greatest asset and by developing their potential we can achieve our goals.",Telecommunications,2-10 employees,Privately Held,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,platinum-me.com,https://www.linkedin.com/company/platinum-telecom-solutions-dmcc
Botto Platform,"Our products: Voice, SMS, Email, WhatsApp and Telegram bulks.
Attract new customers, automate communications, reduce marketing costs and raise your brand loyality.",Telecommunications,51-200 employees,Public Company,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,botto.ai,https://www.linkedin.com/company/botto-platform
Al Fatha IT Solutions LLC,"Al Fatha it solution 
we are authorised partner of DU. we are performing the consumer segments.
B2B, Business, dealer PTP.
our believe on qualities.",Telecommunications,11-50 employees,Public Company,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,,https://www.linkedin.com/company/al-fatha-it-solutions-llc
Al Istiqamah Electronics Trading LLC,"Al Istiqamah Electronics LLC is a Dubai Based professionally managed company, located in Deira having a strong presence in the local as well as global market. The company is built on strong foundation of mutual trust and respect with its customers and suppliers. We take pride in providing our customers quality and consistent level of customer service.

We provide all our customers with a comprehensive range of mobile phones, iPads, Tablets, TV, Printers and Other related electronics item that satisfy customer needs. We maintain strict quality control and buy all our stock from genuine and trusted suppliers. We are constantly developing our business relations and actively looking for new producers and distributors of electronic equipment and subsequent markets. 

Today, Al Istiqamah Electronics Trading LLC continues to grow from strength to strength with its commitment for continuous innovation in the way we do business.",Telecommunications,2-10 employees,Self Owned,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,istiqamahdu.com,https://www.linkedin.com/company/al-istiqamah-electronics-trading-llc
MWH SIM TRADING LLC,,Telecommunications,51-200 employees,Privately Held,"Al Qusais Indutry Area 2 - Dubai, Dubai, United Arab Emirates",United Arab Emirates,mwhae.com,https://www.linkedin.com/company/mwh-sim-trading-llc
CANDANS TRADING (L.L.C),"CANDANS TRADING (L.L.C) is a telecommunications company based out of Salem Plaza Building, Deira, Dubai, United Arab Emirates.",Telecommunications,,,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,candans.com,https://www.linkedin.com/company/candans-trading-l-l-c-
Grete Cloud Networks,Grete Cloud Networks provides end-to-end Network Service solutions for Small and Medium enterprises in the EMEA region.,Telecommunications,2-10 employees,Privately Held,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,gretecloudnetworks.com,https://www.linkedin.com/company/grete-cloud-networks
Onnet Global Pvt. Ltd.,"At Onnet Global we offer network services and infrastructure to provide end-to-end global connections.We'll create personalised solutions to suit your business.With our expert technical and customer services,and extensive global presence all around the world,you are safe in our hands.",Telecommunications,11-50 employees,Privately Held,"Dubai, United Arab Emirates",United Arab Emirates,onnetglobal.in,https://www.linkedin.com/company/onnet-global-pvt-ltd-
Dubai Startup Launches,"Green tech ,sustainability",Telecommunications,51-200 employees,Self Employed,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,,https://www.linkedin.com/company/foneman-ltd
Rosenfeldt & Partners,Innovativ distributionsaktör mot skandinaviska marknader,Telecommunications,11-50 employees,Privately Held,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,,https://www.linkedin.com/company/rosenfeldt-partner
Encom Solutions,"Encom Solutions is a mobile valued added services firm offering innovative mobile marketing and messaging solutions to brands, agencies and enterprises across the MENA region. Our products, services and the on going projects talks not only about our expertise but also about our unmatched business value to our customers through our excellent service, support after delivery and delivery innovation.

Encom empowers its customers to communicate between varied IT back-end systems and mobile phones using SMS Services. Encom provides a unique, end-to-end, global carrier-grade mobile data service. Its mobile data service offering includes ""plug and play"" application licensing and hosting. Employing a partnership with Mobile operators and a clear focus on SMS mobile messaging. Encom’s Mobile Messaging Platform is capable of delivering SMS services to virtually any GSM mobile handset. Encom combines signalling information from the mobile world with innovative applications running concurrently on its own IT applications platform and thereby pave the way for mission-critical international messaging services.

Encom also offers PSMS connectivity across the MENA region.",Telecommunications,2-10 employees,Partnership,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,,https://www.linkedin.com/company/encom-solutions
Tel Consulting,"At Tel Consulting, we are dedicated to providing cutting-edge business telephone systems that cater to the specific needs of businesses across the UK. Our VoIP technology products ensures reliable and cost-effective communication solutions, empowering businesses to thrive in the digital era. With years of expertise in telecommunication solutions, we offer customised solutions for businesses of all sizes, matching your business with the perfect solution based on your individual business needs focusing on service and price, backed by our local team of engineers and support professionals.",Telecommunications,11-50 employees,Privately Held,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,tel-consulting.co.uk,https://www.linkedin.com/company/tel-consulting
SILVERTECH ENGINEERING LLC,"Silvertech Engineering L.L.C, Dubai-UAE. is a medium sized Engineering Industry with a well-equipped workshop in Awir Industrial Area in Dubai. The workshop comprises of Machine shop and Steel fabrication shop,Stainless Steel , Alloy Steel.",Telecommunications,11-50 employees,,"Al Awir, Dubai, United Arab Emirates",United Arab Emirates,,https://www.linkedin.com/company/silvertech-engineering-llc
Techmart Telecom Distribution FZCO,,Telecommunications,11-50 employees,,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,,https://www.linkedin.com/company/techmart-telecom-distribution-fzco
Vservenow,"We are a group of igniters of innovation in Mobile Entertainment. 

At vservenow, we are a vibrant team of creative visionaries, savvy marketers, and skilled developers dedicated to delivering exceptional products and services to millions of mobile consumers worldwide.

As pioneers and leaders in the mobile micro-payment industry, we specialize in crafting and promoting cutting-edge products such as Mobile Apps, Video and Music Streaming Services, Online Learning platforms, and Mobile Games, reaching millions of users daily. 
Our expertise extends to performance marketing, behavioral targeting, real-time bidding, and programmatic media buying, ensuring strategic growth and market dominance.

Diversity is at the core of our success, with a multicultural team representing 33 nationalities across our offices in Dubai, Amsterdam, India and Singapore. We foster a culture of innovation, creativity, and collaboration, valuing ambition, open communication, and knowledge sharing among our team members.

If you are driven by passion, innovation, and a desire to make an impact in the dynamic mobile entertainment industry, Vservenow is the perfect fit for you. Don't hesitate - share your exciting profile with us today and be part of our journey towards excellence!",Telecommunications,51-200 employees,Privately Held,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,vservenow.com,https://www.linkedin.com/company/vservenow
