Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Roche,"Roche is a global pioneer in pharmaceuticals and diagnostics focused on advancing science to improve people’s lives. The combined strengths of pharmaceuticals and diagnostics under one roof have made Roche the leader in personalised healthcare – a strategy that aims to fit the right treatment to each patient in the best way possible.

Roche is the world’s largest biotech company, with truly differentiated medicines in oncology, immunology, infectious diseases, ophthalmology and diseases of the central nervous system. Roche is also the world leader in in vitro diagnostics and tissue-based cancer diagnostics, and a frontrunner in diabetes management.

Founded in 1896, Roche continues to search for better ways to prevent, diagnose and treat diseases and make a sustainable contribution to society. The company also aims to improve patient access to medical innovations by working with all relevant stakeholders. Thirty medicines developed by Roche are included in the World Health Organization Model Lists of Essential Medicines, among them life-saving antibiotics, antimalarials and cancer medicines. Roche has been recognised as the Group Leader in sustainability within the Pharmaceuticals, Biotechnology & Life Sciences Industry ten years in a row by the Dow Jones Sustainability Indices (DJSI).

For more information, please visit https://careers.roche.com

Read our community guidelines here: 
https://www.roche.com/some-guidelines.htm

#Roche #Biotechnology #Pharmaceuticals #Diagnostics #Healthcare #PersonalisedHealthcare #GreatPlaceToWork #Innovation",Biotechnology Research,"10,001+ employees",Public Company,"Welwyn Garden City, England, United Kingdom",United Kingdom,roche.com,https://www.linkedin.com/company/roche
Revena,"Revena, previously Revenant Bio, is a specialist science and management consultancy with a focus on life science and deep tech. The Revena team is composed of founder-entrepreneurs from a diverse background of technical environments, including start-up, venture fund, industry, and academia. We work with early-stage companies and investors, providing management and technical expertise, company structuring, market and competitor analysis, and technical due diligence.",Biotechnology Research,2-10 employees,Privately Held,"Hullavington, England, United Kingdom",United Kingdom,revena.co.uk,https://www.linkedin.com/company/revena-limited
AlveoGene,"AlveoGene is an innovative company focused on transforming rare respiratory disease outcomes using inhaled gene therapy.

AlveoGene has been created by OSE, Harrington and OCC in partnership with six leading scientists from the world-renowned UK Respiratory Gene Therapy Consortium (GTC).

The GTC was founded in 2001 to catalyse the application of pioneering research to gene therapy development and manufacturing related to cystic fibrosis and other respiratory diseases, and originated at Imperial College London and the Universities of Oxford and Edinburgh.

AlveoGene has secured an exclusive licence to a proprietary and validated next-generation lentiviral delivery platform developed by the GTC for the treatment of respiratory diseases with high unmet need (excluding the use of the CFTR gene which is mutated in cystic fibrosis).

Gene therapies developed using our “InGenuiTyTM” platform can be delivered through a nebuliser, transducing lung epithelial cells with high efficiency and producing a long duration of action, and can achieve these effects following repeated administration.

The platform has been developed over more than a decade, supported by approximately £72 million in grant funding, including from the Wellcome Trust, Department of Health and Social Care, Medical Research Council and the Cystic Fibrosis Trust.",Biotechnology Research,2-10 employees,Privately Held,"Oxford, United Kingdom",United Kingdom,alveogene.com,https://www.linkedin.com/company/alveogene
Link Biologics,"Link Biologics is pioneering the development of protein biologics that harness the protective biology of TSG-6 and set new standards of care via multi-pathway modulation of inflammation, tissue protection and repair. With broad potential across inflammatory and degenerative conditions, the Company’s lead programmes focus on Dry Eye Disease (DED) and Wet Age-related Macular Degeneration (AMD); together these represent multi-billion-dollar global markets with significant unmet needs.

Link Biologics’ approach is validated by its DED programme (LB001) and Wet AMD programme (LB004), which utilises subcutaneous administration rather than intraocular injections. LB004 has been accelerated by leveraging outputs from LB001 alongside robust standalone preclinical data. Both programmes are expected to reach the clinic in 2027 with a clear path to key, value-creating, milestones.

Led by a world-class team with decades of academic and commercial experience in TSG-6 biology and drug development, Link Biologics combines deep scientific and pharma leadership with a collaborative, outcome-driven culture, positioning the Company to deliver game-changing therapies.",Biotechnology Research,2-10 employees,Privately Held,"Bewerley, England, United Kingdom",United Kingdom,linkbiologics.co.uk,https://www.linkedin.com/company/link-bio
Brilliant Dyes,"Synthetic dyes used in textiles and cosmetics are linked to skin diseases such as dermatitis, allergic reactions, and eczema. They are also the second-largest contributor to water pollution, leading to biodiversity loss and serious public health risks, including cancer. Consequently, regulatory bodies are advocating for safer, sustainable natural dyes in the food, textile, and cosmetics industries. In many European countries, synthetic dyes are already banned in the food industries. Our innovative, low-cost process for extracting vibrant RGB natural dyes from algae offers a sustainable solution to these challenges, leveraging natural photosynthesis to enable large-scale carbon reduction while meeting industry demands.",Biotechnology Research,2-10 employees,Non Profit,"London, England, United Kingdom",United Kingdom,brilliantdyes.com,https://www.linkedin.com/company/brilliant-dyes
Metofico,"At Metofico, we create no-code data analysis software for life science research, helping researchers accelerate discovery with tools that are powerful, practical, and easy to use. Our tools combine AI and data science expertise with intuitive, user-friendly interfaces, making complex analysis more accessible, from automated behaviour recognition and multi-subject tracking to fibre photometry analysis.

We build our tools around the real-world challenges researchers face, with a focus on improving efficiency, reliability, repeatability, and accessibility. Working closely with our collaborators, we continuously refine and adapt our software to ensure it fits a wide range of workflows and research goals.",Biotechnology Research,2-10 employees,Privately Held,"London, England, United Kingdom",United Kingdom,metofico.com,https://www.linkedin.com/company/metofico
Tecrea Ltd,"Tecrea Ltd was founded in 2012 as a spin-out of the Royal Veterinary College (University of London), to empower researchers in healthcare and life sciences through our innovation in nanotechnology. 

We bring together expertise in transfection, bioprocessing and drug formulation to develop reagent tools that offer enormous potential for advances in drug efficiency and targeted delivery.

Using nanoparticle-forming technology, our Tecrea scientists have developed Nanocin – a range of transfection, small molecule, protein and peptide delivery reagents that are able to facilitate unsurpassed levels of accuracy, speed and yield.

Relying on a dynamic system that rapidly self-assembles molecules and then “packages” them into nanoparticles, our platform significantly enhances cellular delivery into both mammalian and bacterial cells.

All of this is achieved whilst maintaining >99% cell viability; a unique feature of our nanotechnology that distinguishes Nanocin from other reagent tools.

As our nanotechnology is uniquely translatable from the lab to the clinic, this allows you to deliver even more effective research and potential future treatments using the same platform throughout your drug development process.

What does that mean in practice? It means that you, our partners, and the wider biomedical research community have access to novel delivery reagents that offer unparalleled opportunities to advance drug development, bioprocessing and research, without compromising on experiment integrity.

At Tecrea, we think small so you can work big.",Biotechnology Research,11-50 employees,Privately Held,"London, England, United Kingdom",United Kingdom,tecrea.com,https://www.linkedin.com/company/tecrea-ltd
EpitogenX,"EpitogenX Ltd is a forward-thinking biotechnology company delivering high-quality products and services for research, diagnostics, and vaccine studies across both human and veterinary healthcare.

We specialize in the development and supply of recombinant antigens, antibodies, and advanced immunoassay solutions, supporting biomarker discovery, translational research, in vitro diagnostic (IVD) development, and immunogenicity assessment. Our proprietary Epitogen Scaffold Technology enables the efficient expression and presentation of complex linear and conformational epitopes, improving assay performance, consistency, and scalability.

By integrating our AI epitope application into protein engineering, we help partners overcome long-standing challenges in antigen production for autoimmune, infectious, and chronic diseases, as well as in vaccine design and evaluation.

Our antibodies and recombinant products are referenced in 100+ peer-reviewed publications, reflecting strong independent validation across academic and industrial research.

Our platform supports:

 Academic and clinical research
 Diagnostic and vaccine developers
 OEM and CRO partners
 Biotech and pharmaceutical companies
 Veterinary and zoonotic disease programs

 Based in the UK | Serving global partners",Biotechnology Research,11-50 employees,Privately Held,"Aberdeen, Scotland, United Kingdom",United Kingdom,epitogenx.com,https://www.linkedin.com/company/epitogenx
OptiGene,"OptiGene is a trusted molecular diagnostics company dedicated to the real-time detection & identification of bacteria and viruses. Technical leaders in the design and manufacture of molecular diagnostic instrumentation, assays and reagents employing isothermal DNA and RNA amplification methods. 

With a focus on easy to use, point-of-application molecular diagnostic solutions that provide real-time, robust and easy, detection & identification of pathogens. 

OptiGene was formed in 2008 to develop and deliver advanced molecular diagnostics solutions for applications across a range of market sectors, with the primary goal of providing the highest-performing instrumentation and reagents. 
Developing innovative products that support sensitive and specific detection of bacteria and viruses, for use in the fields of plant health, food safety, veterinary medicine, environmental monitoring and human healthcare.

The company has exploited its expertise in both instrument design and enzymology to develop a sophisticated open platform that will support all isothermal amplification methods that employ target detection by fluorescence measurement. 

Ultra-sensitive molecular detection that has previously been constrained to laboratory use by highly qualified personnel and taking hours to complete can now be deployed to point of application and run with very little training, producing results in single minutes.",Biotechnology Research,11-50 employees,Privately Held,"Horsham, England, United Kingdom",United Kingdom,optigene.co.uk,https://www.linkedin.com/company/optigene-ltd
W-BioCat,"W-BioCat is a European research project focused on the development of tungsten containing enzymes for application in a sustainable chemical industry. The project is a collaboration between Delft University of Technology, University of Oxford, Weizmann Institute, University of Florence, HydRegen, and EvoEnzyme. Our goal is to advance the field of sustainable chemistry and contribute to a cleaner future.",Biotechnology Research,11-50 employees,Partnership,"Oxford, England, United Kingdom",United Kingdom,wbiocat.com,https://www.linkedin.com/company/w-biocat
Dia Beta Labs Ltd,"Diabetes currently effects over 537 million adults worldwide, with obesity-driven Type 2 Diabetes accounting for over 90% of cases. 

Dia Beta Labs build on over 30 years of high-impact research from our founding research group at Ulster University to realise the potential of next-generation therapeutics for metabolic disease. 

It is our goal to impart significant and much-needed change in the management of the global diabetes/obesity crisis.",Biotechnology Research,2-10 employees,Privately Held,"Coleraine, Northern Ireland, United Kingdom",United Kingdom,diabetalabs.com,https://www.linkedin.com/company/dia-beta-labs-ltd
Vidiia Ltd,"Pioneers in accelerating the development of newly researched assays into high-impact, cost-effective, and deployable diagnostics. 

Our mission is to leverage advanced AI technology to bring rapid, accurate, and accessible diagnostic solutions to multiple markets. 

Experts in bridging the gap from groundbreaking academic research into practical applications, we enhance diagnostic efficiency and impact.

Assay Acceleration: Partnering with leading universities to accelerate assay development into real-world impact.
AI Diagnostics: Utilising AI to enhance the accuracy and speed of diagnostic tests and research.
Cost-Effectiveness: Committed to creating affordable diagnostic solutions without compromising on quality or reliability.
Deployability: Designing diagnostics that are easy to deploy in various healthcare settings, from advanced hospitals and labs to remote clinics.

Vidiia strive to be at the forefront of diagnostic innovation, setting new standards in the industry and ensuring that critical diagnostic tools are available to all, regardless of location or resource availability.

Impact:
Vidiia’s solutions significantly reduce the time and cost associated with traditional diagnostic methods, thereby improving healthcare delivery and accessibility on a global scale. Our deployable diagnostics are designed to meet the needs of diverse healthcare environments, making a tangible difference in patient care and public health.",Biotechnology Research,2-10 employees,Privately Held,"London, England, United Kingdom",United Kingdom,vidiia.co.uk,https://www.linkedin.com/company/vidiia-ltd
World Precision Instruments - Europe,Offering innovative solutions that empower the scientific community to discover therapies that improve patient care.,Biotechnology Research,51-200 employees,Privately Held,"Hitchin, England, United Kingdom",United Kingdom,wpi-europe.com,https://www.linkedin.com/company/world-precision-instruments---europe
Solus Scientific,"Solus Scientific manufactures highly efficient testing systems for the food safety industry.
Our systems test for the presence of pathogens or allergens in foodstuffs and provide rapid detection of raw meat species in foods.
Using proven technology that is simple, practical and affordable, our immunoassay tests are easy to implement yet produce rapid results.
Ultimately, we supply the tools that protect the reputation of thousands and the health of millions, all over the world.",Biotechnology Research,11-50 employees,Privately Held,"Glasgow, Scotland, United Kingdom",United Kingdom,perkinelmer.com,https://www.linkedin.com/company/solus-scientific
Kaerus Bioscience Ltd.,Kaerus is leveraging advances in human genetics to discover and develop targeted therapeutics for rare genetic syndromes of neurodevelopment.,Biotechnology Research,2-10 employees,Partnership,"London, United Kingdom",United Kingdom,kaerusbio.com,https://www.linkedin.com/company/kaerusbio
AN & AN GLOBAL,"An & An Global is a London-based biotech company with a primary aim to develop tomorrow's biotechnology today. We employ cutting-edge technology and biomedical research to resolve existing and upcoming challenges in healthcare, disease diagnosis, medication and treatment development. Our passion is to promote the production of affordable medicines

PHARMACOGENOMIC MODULES
 One of the key focal areas of An & An Global is developing pharmacogenomic modules which will enable Doctors to prescribe medication to patients based on their genetic outlook, hence minimising side-effects as much as possible. 

Our current focus is on beta-blocker anti-hypertensives and anti-cholesterol statins. A research conducted in the UK on 165,000 patients and reported on the BBC highlighted limited effectiveness of statins in 50% of subjects treated.  With gene-specific prescriptions of statins, this percentage could be increased significantly.  

COVID-19 IN-STORE SOCIAL-DISTANCING 
As COVID-19 wanes down, the world has to adopt to the new normal which involves a life of social distancing especially in commercial outlets.  We are working with our stakeholders to develop a massive software solution which we are very excited about. This new venture is proceeding rapidly hence we are keen to hear from investors and interested collaborators.

GLOBAL PRODUCTION OF HIGH-QUALITY AFFORDABLE MEDICINE AND NATURAL WELLNESS PRODUCTS
We have a strong belief that high quality medication should be affordable especially for low income families in developing countries. This can be made possible via cutting-edge technology and know-how. An & An Global is passionate about using our technical and financial resources to help in the production of affordable medicines and natural wellness products globally currently focussing on Africa, Asia and Middle East with special interest in anti-malaria medication.",Biotechnology Research,2-10 employees,Privately Held,"London, England, United Kingdom",United Kingdom,anan-global.com,https://www.linkedin.com/company/an-an-global-limited
Olombria,"Insect pollinators provide a vital ecosystem service for crop pollination in wild plants, and over 75% of crops worldwide benefit from insect pollination through increased yields at harvest. The number of wild pollinators, especially bees is steadily declining. This documented decline poses a significant risk to the production of many crops and threatens food security.

Olombria provides horticultural growers with information on pollinators and environmental conditions and uses chemical volatiles to manage pollinating fly species, thereby increasing crop productivity, and ensuring sustainable food harvests for the future.",Biotechnology Research,2-10 employees,Privately Held,"London, England, United Kingdom",United Kingdom,flypollination.com,https://www.linkedin.com/company/flypollination
Iceni Glycoscience (formerly Iceni Diagnostics),"Iceni Glycoscience is an innovative platform company with world-class expertise in glycoscience (carbohydrate chemistry and biology), exploiting the use of glycans (complex sugars) in the areas of mutation-proof diagnostics and therapeutics.

Every type of cell in our body has a unique sugar coating. Whenever anything such as bacteria or virus interacts with the body it needs to interact with this ‘sugar code.’ At Iceni Glycoscience we are developing ways to unlock this complex code to offer new ways to diagnose and treat disease.

With mounting concerns about coronavirus mutations and rising incidents of influenza (human, equine and avian), the need for new and improved diagnostics and therapeutic modalities to address infectious disease has never been greater. These need to be capable of producing earlier, faster, more accurate results - something which glycoscience methodologies offer by working uniquely at the initial binding stage of a virus. They have the potential to pick up on new variants or mutations far quicker than tests which typically work by detecting viral nucleic acids or proteins, both of which require prior knowledge about the virus structure.

Here at Iceni Glycoscience (formerly Iceni Diagnostics) we have been pioneering the use of glycoscience for diagnostic and therapeutic benefit since 2014, exploiting the natural biological function of glycans (complex sugars) as an alternative to protein or nucleic acid targets.

In addition to our portfolio of in-house programmes, we provide bespoke solutions in glycoscience R&D, nanoparticle technology and bioconjugation chemistry.  We are open to engagement with the biotech and pharma sectors, and Government-sponsored research organisations globally, to provide our unique expertise on a contract service basis.

#glycoscience #glycobiology #glycotime",Biotechnology Research,2-10 employees,Privately Held,"Norwich, England, United Kingdom",United Kingdom,iceniglycoscience.com,https://www.linkedin.com/company/iceni-glycoscience
BixBio,"Bixbio is a biotechnology company working to unlock the potential of diverse genetic data in Africa to transform drug target discovery.

Africa is the largest source of human genetic diversity, a diversity that is largely unexplored internationally. We believe that the future of drug target discovery relies on the development of genetic tools in Africa. BixBio focuses on building these tools to solve global genetic problems.",Biotechnology Research,2-10 employees,Privately Held,"London, England, United Kingdom",United Kingdom,bixbio.com,https://www.linkedin.com/company/bixbio
European ImmunoMetabolism Network (EIMN),"We're dedicated to advancing the field of #immunometabolism through workshops, collaboration & meetings. 
Join our community! 

We are passionate about innovation and immunometabolism, we are building a community of researchers with collaborative spirit and motivated to join forces to tackle challenging questions in the field.",Biotechnology Research,11-50 employees,Educational,"London, England, United Kingdom",United Kingdom,immunometnet.eu,https://www.linkedin.com/company/european-immunometabolism-network-eimn
Biotica,"Biotica discovers and develops novel polyketide therapeutics to create new medicines for serious diseases.

Biotica’s R&D pipeline is focused on optimised polyketide therapeutics for high-value indications. Biotica's compounds, generated using the proprietary novoPTTM technology, have unique chemistry and differentiated properties.

Polyketides are the basis of more than 40 successful therapeutics in a wide range of diseases. They make excellent leads for drug discovery, with naturally high affinity to biologically relevant targets, including protein-protein interactions and other traditionally difficult targets.

Biotica has formed successful partnerships with leading pharmaceutical companies, most recently Wyeth and GSK, based on its high-value projects. Projects are selected on three key criteria: market potential, clinical validation of the target and Biotica exclusivity.",Biotechnology Research,11-50 employees,Privately Held,"Cambridge, England, United Kingdom",United Kingdom,biotica.com,https://www.linkedin.com/company/biotica
Gramics Bio,"We're building the non-viral delivery platform to unlock durable, cell-type-specific DNA therapeutics that can be re-dosed. 

Our approach addresses a major limitation in current genetic medicine: the inability of lipid nanoparticles (LNPs) to deliver DNA to the nucleus, which is essential for effective and sustained gene expression without the use of viruses. 

Our platform integrates synthetic biology, AI/ML, and high-throughput screening to build effective DNA payloads. By enabling LNPs to deliver therapeutic genes with cell-type specificity and durable expression, we combine the safety and manufacturability of LNPs with the long-lasting treatment effects of viral gene therapy. 

We are starting with a gene therapy for cystic fibrosis but our platform has broad applicability for DNA-based therapeutics in tissues and organs beyond the lung. 

Founded by a scientist and a CF patient advocate, we're backed by Deep Science Ventures and the Cystic Fibrosis Foundation.",Biotechnology Research,2-10 employees,Privately Held,"Oxford, England, United Kingdom",United Kingdom,gramicsbio.com,https://www.linkedin.com/company/gramicsbio
Creation Engineering Bioreactors,"Bioprinting has solved how to bioprint a 3D construct. The harder problem is what comes next: keeping that construct alive, fed and oxygenated until it becomes functional tissue. Beyond roughly 100–200 μm, oxygen and nutrients can no longer diffuse far enough to keep cells alive so every thick construct starves at its core unless media is actively perfused through it. That maturation step is where tissue engineering stalls, and it's the only thing we work on.

Our VascuFlow range is a family of benchtop perfusion bioreactors Core, One, X and GMP that flow oxygenated media through a 3D construct in a closed, sterile loop, under precise, continuously monitored control of dissolved oxygen, pH, temperature and flow. Flow paths are designed and validated with CFD and AI-assisted simulation to keep shear low and perfusion uniform, so cells survive and develop instead of dying or mis-differentiating.

We design hardware that is affordable, instrumented and incubator-ready at a fraction of the cost and footprint of legacy systems for the academic and industry labs doing the science. AI is our engineering accelerator, not our product: the deliverable is validated hardware and reproducible biology.

Applications include cartilage and bone, vascular and cardiac constructs, perfused tissue models for drug discovery, and a path toward organ-on-chip systems.",Biotechnology Research,2-10 employees,Privately Held,"Maesteg, Wales, United Kingdom",United Kingdom,creationengineering.co.uk,https://www.linkedin.com/company/creationengineeringbioreactors
CF AMR Syndicate,"Welcome to the CF AMR Syndicate, helping innovators in academia and industry whose work in chronic lung infections could lead to a new therapeutic or diagnostic for people with #CysticFibrosis. This focused and coordinated community, underpinned by the Syndicate’s managing partners – Cystic Fibrosis Trust, Medicines Discovery Catapult and LifeArc – provides the expertise, resources and tools needed to take an idea through development to the clinic. We enable access to a unique network of academics, industry, patient organisations, R&D experts, clinical teams and, importantly, people with cystic fibrosis. 

Join our network to engage with and explore the cystic fibrosis space, translate your discoveries into products, and move towards unleashing your solutions faster.",Biotechnology Research,11-50 employees,Non Profit,"Macclesfield, England, United Kingdom",United Kingdom,cfamr.org.uk,https://www.linkedin.com/company/cf-amr-syndicate
Beneficial Bio,"Beneficial Bio is a not-for-profit biotech social franchise aiming to provide low-cost, accessible and sustainable lab reagents to scientists in resource limited labs around the world.",Biotechnology Research,2-10 employees,Privately Held,"Cambridge, England, United Kingdom",United Kingdom,beneficial.bio,https://www.linkedin.com/company/beneficialbio
Henco Solutions UK Limited,"HENCO SOLUTIONS: Innovating Tailored Chemical and Technological Solutions 

At HENCO SOLUTIONS, we excel in crafting bespoke chemical and technological solutions for our valued corporate and retail clients. Our products stand out for their top-notch quality, exceptional performance, and unwavering commitment to environmental and safety standards.

Our team of certified technicians ensures that every service meets the highest industry standards. The manufacturing of cleaning and maintenance chemicals is a sophisticated process, far beyond simply mixing soap and water. Achieving the perfect balance between performance, environmental sustainability, and personal safety requires a comprehensive shift in corporate mindset, starting from the management level.

Ever wondered what makes a cleaning product effective in removing rust, dirt, oil, and grease from surfaces? It’s all about the intricate chemical engineering that goes into designing each component and formulating the final product with specific results in mind.

At HENCO SOLUTIONS, we are dedicated to pushing boundaries, exploring innovative solutions, and driving positive change in the industry. Join us on this journey towards innovation and excellence!",Biotechnology Research,2-10 employees,Public Company,"London, England, United Kingdom",United Kingdom,henco.solutions,https://www.linkedin.com/company/henco-solutions-uk-limited
Oxcitas,"Oxcitas is a fast-growing start-up, that strives to innovate in healthy ageing and long-term care by decelerating the ageing process to prolong healthy life and improve the quality of life of the elderly population.

Our goal is to combine proprietary algorithms with the latest methodologies in artificial intelligence (AI), machine learning (ML), applied mathematics and computational biology to tackle the most pressing ageing-related problems.",Biotechnology Research,2-10 employees,Privately Held,"Cambridge, England, United Kingdom",United Kingdom,oxcitas.com,https://www.linkedin.com/company/oxcitas
Mitotech,"A clinical-stage biotechnology company based in the UK and Luxembourg, developing next-generation therapies for obesity and cardiometabolic disorders based on novel class of small molecules accelerationg energy expenditure.",Biotechnology Research,2-10 employees,Privately Held,"London, England, United Kingdom",United Kingdom,mitotechpharma.com,https://www.linkedin.com/company/mitotech-s.a.
Continuum Life Sciences,"Continuum Life Sciences is a focused, dedicated and progressive Immuno-Oncology organisation set up with the aim of fighting and beating cancer.

Continuum Life Sciences was born from the experience of one surviving patient, a patient who faced numerous battles against multiple cancers and is continuing to lead a normal life.

Through Continuum we are harnessing this potential to tackle the treatment of cancer in a new and innovative way. 

We truly believe that our work at Continuum will help millions of people across the globe.",Biotechnology Research,11-50 employees,Privately Held,"London, England, United Kingdom",United Kingdom,continuumlifesciences.com,https://www.linkedin.com/company/continuum-life-sciences
Aptorum Group Limited (Nasdaq: APM),"At Aptorum, we believe that by facilitating the development of medical innovations, particularly in those that able to meet current unmet medical needs and significantly improve clinical and surgical experience, is inevitable in advancing the quality of human life and patient care. 

With this vision, Mr. Ian Huen founded Aptorum, leveraging talented specialists and prosperous medical resources across the globe, to accelerate the evolution of potentially First-in-Class/Best-in-Class therapeutic and diagnostic innovations across a wide range of disease areas. 

By combining a broad pipeline of early stage novel medical innovations and multi-disciplinary human capital, Aptorum aims to become a world class player in the pharmaceutical industry with emphasis in science, collaboration and entrepreneurship.",Biotechnology Research,11-50 employees,Public Company,"London, England, United Kingdom",United Kingdom,aptorumgroup.com,https://www.linkedin.com/company/aptorum-group-limited
OrthoBio Therapeutics Inc.,Currently in stealth mode. OrthoBio Therapeutics is working in the research space of keeping people and pets active.,Biotechnology Research,11-50 employees,Privately Held,"Cambridge, England, United Kingdom",United Kingdom,,https://www.linkedin.com/company/orthobio-therapeutics
xRapid Group,"Environmental Services - Biotechnologie

Founded in 2015 by Jean Viry-Babel and Prof. David Mendels, xRapid Group was created with the hope of applying the evolving technologies of artificial intelligence (AI) and computer vision to previously unexplored fields with the hopes of improving the lives of people the world over. The first application of Prof. Mendels knowledge was to tackle the issue of diagnosing malaria in remote areas where the demand for skilled analysts exceeded the supply of resources, both human and monetary. It was during the research and development of this application that Dr. Charlyn Belluzzo came on to supervise the medical aspects of the testing. After acquiring approval through the World Health Organization we have been able to help citizens in Benin, Indonesia, Malawi, Papua, and Uganda by offering this testing at little to no cost through xRapid Foundation. We are continuing to work with governments around the world to develop AI-driven medical tests that can help those that would otherwise be overlooked or forgotten.

In the latter part of 2016, William Young came into contact with xRapid Group and proposed a way to fund our philanthropic research through commercial application of our technology in the area of environmental testing. This lead to the founding of xRapid Environment and the development of xR Fiber and the xR Testing Platform. This also began our work, in earnest, in the specialty of AI known as deep learning. With this technology we have been able to effectively automate the analysis of air fiber samples taken for testing of asbestos fibers in indoor environments and outdoor work sites. We have now also begun development of a similar analysis for mold spores in air and plan to continue in several other environmental areas. Ultimately, our resolve to improve people’s lives, by applying emerging technologies to areas others have yet to, has not wavered and we hope to touch as many lives as possible in the years to come.",Biotechnology Research,11-50 employees,Privately Held,"London, England, United Kingdom",United Kingdom,xrapid-group.com,https://www.linkedin.com/company/xrapid-group
"PolyTherics Limited, An Abzena Company","We will be closing our Antitope, PacificGMP, PolyTherics and TCRS social media accounts at the end of July as we have changed the names under which we trade to Abzena. 

Please follow our Abzena linked page for all the latest news: https://lnkd.in/dtwpZGb 

For more on our rebranding please read our article: https://lnkd.in/dJqvGT9",Biotechnology Research,51-200 employees,Public Company,"Babraham, England, United Kingdom",United Kingdom,abzena.com,https://www.linkedin.com/company/polytherics-ltd-
KalvoTech,"At KalvoTech, we develop novel biomaterials for cell cultivation and biomedical applications. We design bioprocesses utilising the transformative potential of our biomaterials. We build digital twins to expedite process integration and provide design rationale.",Biotechnology Research,2-10 employees,Privately Held,"Oxford, England, United Kingdom",United Kingdom,kalvotech.com,https://www.linkedin.com/company/kalvotech
Genetix Research,"The vanguard of innovative biotechnological solutions. Harnessing the power of MicroRNA, we're committed to revolutionizing healthcare one molecule at a time.",Biotechnology Research,11-50 employees,Self Owned,"London, England, United Kingdom",United Kingdom,genetixresearch.com,https://www.linkedin.com/company/genetix-research
Human Centric Drug Discovery,"We are an Oxford University spin-out improving neurology drug discovery by bringing more human data to the process. We are experts in developing, analysing and combining data from induced pluripotent stem cells, large scale genetics studies, and population health data. We identify and validate safe and effective drug targets for neurological diseases where current models aren't working. We work with pharmaceutical partners and on in-house programmes. We are backed by the major venture capital fund Oxford Science Enterprises.",Biotechnology Research,2-10 employees,Privately Held,"Oxford, England, United Kingdom",United Kingdom,humancentricdd.com,https://www.linkedin.com/company/human-centric-drug-discovery
SIME Diagnostics,"SIME is a clinical AI company applying medical excellence, proprietary AI and data ingenuity to deliver rapid respiratory intensive care diagnostics for acute unmet needs. Our clinically proven technology enables early intervention in life-threatening diseases - improving outcomes and reducing costs.",Biotechnology Research,11-50 employees,Privately Held,"London, England, United Kingdom",United Kingdom,simedx.com,https://www.linkedin.com/company/sime-diagnostics
Luna Microcare,"We have dreamed of turning our respective knowledge, experience, and research into practical applications.

Our focus at Imperial Bioscience Laboratories is understanding changes in the skin’s appearance and creating solutions that overcome the limitation of conventional skincare products. As a result, we have recently launched the innovative Luna Microcare Series.",Biotechnology Research,11-50 employees,Privately Held,"London, England, United Kingdom",United Kingdom,lunamicrocare.com,https://www.linkedin.com/company/lunamicrocare
