Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Humanoid,"In a world where artificial intelligence opens up new horizons, our faith in its potential unveils a new outlook where, together, humans and machines build a new future filled with knowledge, inspiration, and incredible discoveries.

The development of a functional humanoid robot underpins an era of abundance and well-being where poverty will disappear, and people will be able to choose what they want to do.

We can imagine millions of bipedal robots doing more work than all human labour does today freeing people from the servitude of some repetitive and boring tasks that nobody likes to perform.

We believe that we have enough abundance to take care of everyone who is displaced. Eventually, providing a universal basic income will lead to the true evolution of our civilization.

Labor shortages loom, as the demands on our built environment rise. With the world’s workforce increasingly moving away from undesirable tasks, the manufacturing, construction, and logistics industries critical to our daily lives are left exposed.

By deploying our general-purpose humanoid robots in environments deemed hazardous or monotonous, we envision a future where human well-being is safeguarded while closing the gaps in critical global labour needs.",Robotics Engineering,201-500 employees,Privately Held,"London, England, United Kingdom",United Kingdom,thehumanoid.ai,https://www.linkedin.com/company/humanoidai
Machine Design Automation LTD,"Founded and led by Darren Redford, supported by a trusted team of trusted partners and contractors, we have over 20 years of expertise and technical know how within the engineering and design of electro-mechanical equipment and machinery, advanced robotics, mechatronics and full factory automation.

Our core mission is to provide a comprehensive package of technical services to support you with your engineering and design projects.",Robotics Engineering,Self-employed,Public Company,"London, England, United Kingdom",United Kingdom,machinedesignautomation.co.uk,https://www.linkedin.com/company/machine-design-automation-ltd
ZenithX Robotics,"ZenithX Robotics is a UK-based robotics and automation company focused on building practical, real-world technological capability.

As part of our long-term vision, we operate ZenithX Robotics Academy, an education-focused division created to develop future engineers through hands-on robotics learning. While the company is structured as a robotics business, the Academy is our current active offering.

Through partnerships with schools - particularly those serving vulnerable and underrepresented learners - we teach robotics by linking every project to real-world applications across engineering, healthcare, industrial automation, manufacturing, and mining.

Our mission is to make robotics accessible, relevant, and inspiring, while empowering young people with the skills and confidence to engage with modern technology.

Educate. Innovate. Automate.
Building Young Engineers for Tomorrow.",Robotics Engineering,2-10 employees,Privately Held,"Leeds, England, United Kingdom",United Kingdom,,https://www.linkedin.com/company/zenithx-robotics
HydroBotics @ Edinburgh University,"HydroBotics is a student led ROV team @ Edinburgh University, our goal is to work with Marine Conservation initiatives competing with MATE ROV: https://materovcompetition.org/",Robotics Engineering,11-50 employees,Privately Held,"Edinburgh, Scotland, United Kingdom",United Kingdom,,https://www.linkedin.com/company/hydrobyte
UoN Robotics Society,"UON Robotics Society
 Arduino • Robotics • Innovation
 Open to all backgrounds. Come get involved!
 University of Nottingham",Robotics Engineering,2-10 employees,Non Profit,"Nottingham, Nottinghamshire, England, United Kingdom",United Kingdom,nottingham.ac.uk,https://www.linkedin.com/company/uon-robotics-society-uk
Evoline Robotics Ltd,"Evoline Robotics is a UK and Ireland based robotics integration company focused on delivering scalable automation solutions for modern manufacturing and food production environments.
We specialise in industrial automation, robotic palletising and the design of custom end-of-arm tooling, helping businesses increase efficiency, improve consistency, and replace operational costs.

From concept through to commissioning, Evoline Robotics provides full turnkey integration tailored to each clients production line. Whether optimising existing processes or deploying fully automated systems, our approach combines practical engineering expertise with cutting-edge robotics technology.

We work closely with manufacturers across the UK and Ireland to solve real-world production challenges - enhancing throughput, ensuring product quality, and future-proofing  operations in an increasingly competitive landscape.

At Evoline Robotics, we don't just install robots - we build smarter, more resilient production systems.",Robotics Engineering,11-50 employees,Privately Held,"Armagh, Northern Ireland, United Kingdom",United Kingdom,evolinerobotics.com,https://www.linkedin.com/company/evoline-robotics-ltd
applecore robotics,"With low-maintenance robots, an intelligent, fully integrated robot operating system and a comprehensive ecosystem, your automation will be up and running immediately – up to 70% faster operationally and with about 85% less planning effort.",Robotics Engineering,Self-employed,Public Company,"Birmingham, England, United Kingdom",United Kingdom,applecorerobotics.com,https://www.linkedin.com/company/applecore-robotics
Oxford Kinematics,"At μbotics, we are redefining what’s possible in robotics.

Our systems achieve nanometer‐level absolute accuracy and micron‐level repeatability, surpassing the limits of current best‐in‐class solutions. This performance is made possible by integrating breakthroughs in mechanical design, mathematical modelling, advanced control systems, AI‐driven automation, and an intuitive human‐machine interface.

From concept to deployment, we engineer robots that not only meet the highest precision standards—but do so intelligently and reliably.

μbotics exists to enable the next generation of applications in microsurgery, advanced manufacturing, biotechnology, and scientific discovery at large facilities—where precision isn’t optional, it’s foundational.

We’re not just building robots.
We’re building the tools that will shape the future.",Robotics Engineering,2-10 employees,Privately Held,"Oxford, England, United Kingdom",United Kingdom,,https://www.linkedin.com/company/oxfordkinamatics
Ross Innovation,"Ross Innovation develops advanced robotic systems based on a new kinematic architecture.

The primary focus is Re-Vector, a novel robotic arm design that enables reliable operation in complex, constrained, and non-line-of-sight environments where conventional systems fail.

Applications include aerospace (in-wing operations), nuclear decommissioning, and high-mix industrial processes.",Robotics Engineering,2-10 employees,Privately Held,"Wetheral, England, United Kingdom",United Kingdom,rossinnovation.co.uk,https://www.linkedin.com/company/ross-innovation
DASKL,"DASKL develops autonomous agricultural robots that collect real-time data from farmland, including soil conditions, moisture levels, and crop indicators. The information is made accessible through a digital dashboard, helping farmers better understand their land and make more informed decisions. The aim is to lower the cost and increase the frequency of field analysis, supporting more efficient and sustainable farming practices.",Robotics Engineering,2-10 employees,Privately Held,"London, England, United Kingdom",United Kingdom,daskl.com,https://www.linkedin.com/company/daskl
University of Aberdeen Aerospace Society,"Welcome to the University of Aberdeen Aerospace Society! 
We are a student run society excited in all things aerospace. If you are looking for a space to learn (without being graded), create things that hopefully fly, or just hang out, then we are the society for you! 

There is a lot of space for growth and creation here at AESOC. We have multiple ongoing student run and industry backed projects that allow our members to practice theory learned in class, pick up industry standards, and create freely. 

Fixed Wing UAV: The main project is our fixed wing UAV which is a huge undertaking and a huge thing - with a wingspan of over two meters. 

Quadcopter: Leaning onto the EEE/Computer Science side, we are developing a quadcopter from the ground up without using standard, off the shelf quadcopter components. The avionics and control systems will be programmed in house by us and we will use as few non-standard libraries as possible. 

Helical Antenna: Still on the drawing board, we are exploring the possibility of creating a helical antenna with the intention to track a weather satellite and get a live picture of the Earth as it passes over.  

Robotic Arm: In a joint venture between the Robotics and Aerospace societies, we are developing a robotic arm as a development platform to use for future projects. We may even try and get it to do the tracking for us on the helical antenna. 

When and Where
We meet weekly during the academic semester in Fraser Noble Teaching Lab 3 from 2:00-3:00 pm. Swing on by if you have any questions, want to check out what we're up to, or watch some frustrated students try engineering.",Robotics Engineering,11-50 employees,Non Profit,"Aberdeen, Scotland, United Kingdom",United Kingdom,ausa.org.uk,https://www.linkedin.com/company/university-aberdeen-aerospace-society
Ventricle,"At the heart of our enterprise lies a relentless commitment to research and innovation, where a dedicated team of engineers converges to forge life-saving technologies. Our ethos is rooted in the belief that groundbreaking advancements should transcend economic barriers, ensuring universal access to state-of-the-art medical solutions.",Robotics Engineering,2-10 employees,Privately Held,"London, England, United Kingdom",United Kingdom,,https://www.linkedin.com/company/ventricletech
Matrix Automata,"Matrix Automata is an embedded systems and robotics consultancy dedicated to bringing advanced machine intelligence into the physical world. We specialize in the critical ""nervous system"" of modern technology: the firmware and vision systems that allow machines to perceive, process, and perform.
Founded on the principle that the future of automation should be as seamless as it is sophisticated. 

We provide expert services in:
• Firmware Development: High-reliability code for embedded microcontrollers and hardware integration.

• Computer Vision: Implementing real-time spatial awareness using technologies like Microsoft Kinect and Intel RealSense for your machine vision needs!

• Robotic Control Systems: Specialized development for autonomous platforms, including drone CAN protocols and industrial automation.

Whether you are looking to optimize existing hardware or develop a new robotic prototype from the ground up, Matrix Automata provides the technical architecture to make it move.",Robotics Engineering,Self-employed,Self Employed,"Manchester, England, United Kingdom",United Kingdom,github.io,https://www.linkedin.com/company/matrix-automata
AB Controls and Robotics Ltd,,Robotics Engineering,Self-employed,Privately Held,"Wakefield, England, United Kingdom",United Kingdom,abcrobotics.co.uk,https://www.linkedin.com/company/ab-controls-and-robotics-ltd
Oberon Robotics,"At Oberon Robotics, we are working to redefine the role of humanoid robots in everyday life. Our mission is to design affordable, lightweight, and energy-efficient robots that will bring safety, interactivity, and innovation into personal spaces.

By blending cutting-edge AI with practical and scalable design, we aim to create robots that go beyond tools—offering companionship, assistance, and entertainment. Our focus is on making robotics accessible while maintaining the highest standards of quality.",Robotics Engineering,Self-employed,Privately Held,"Witney, England, United Kingdom",United Kingdom,oberonrobotics.com,https://www.linkedin.com/company/oberonrobotics
Modularity Robotics,"Modularity Robotics is pioneering the future of operations in extreme environments. We design and develop solar-powered, modular robotics solutions that redefine flexibility, resilience, and cost-efficiency for industries pushing the boundaries of exploration and development. Our innovative platform consists of standardised, interchangeable robots that autonomously reconfigure on demand, adapting instantly to a vast array of complex tasks—from intricate in-space assembly and critical remote maintenance to large-scale remote construction. By leveraging renewable solar energy, we ensure unparalleled efficiency and long-term autonomy, while our inherent modularity guarantees continuous operation through self-repair capabilities. At Modularity Robotics, we're building the adaptable and sustainable robotic backbone essential for unlocking the full potential of space, deep-sea, and hazardous terrestrial environments. Join us in shaping a future where no challenge is too extreme for intelligent, reconfigurable automation.",Robotics Engineering,2-10 employees,Public Company,"Edinburgh, Scotland, United Kingdom",United Kingdom,,https://www.linkedin.com/company/modularityrobotics
University of Portsmouth Robotics Club,Building a society of robotic minds & problem solvers,Robotics Engineering,2-10 employees,Non Profit,"Portsmouth, England, United Kingdom",United Kingdom,,https://www.linkedin.com/company/uop-robotics-club
Peruntu,"Peruntu is a technology startup developing drone-based solutions to transform vehicle inspections. Our focus is on automating PSV (Public Service Vehicle) walk around checks, helping fleet operators improve safety, ensure compliance, and reduce downtime. By combining robotics, automation, and transport expertise, we aim to make inspections smarter, faster, and more reliable.",Robotics Engineering,2-10 employees,Public Company,"Edinburgh, Scotland, United Kingdom",United Kingdom,,https://www.linkedin.com/company/peruntu
Silkun Innovations,Robotics development and SaaS products for business around London,Robotics Engineering,2-10 employees,Privately Held,"London, England, United Kingdom",United Kingdom,,https://www.linkedin.com/company/silkun-innovations
ZYPHERON SYSTEMS CONSULTANCY,"We are a trusted automation partner dedicated to bridging the critical knowledge gap between robotics technology and real-world operational success.
We work closely with our clients to design, integrate, and scale robotic and AMR solutions that deliver measurable, long-term value. From concept to deployment, our focus is on getting automation right the first time—minimising risk, disruption, and costly rework.
Our team combines deep regional expertise with hands-on technical capability, providing end-to-end automation support across every stage of the journey. This includes initial assessments, solution design, system integration, staff training, and ongoing operational support—ensuring automation solutions perform reliably in live environments, not just on paper.
We are a focused team of experienced automation professionals with a proven track record with more than 10 years experience in the robotics industry. Our mission is simple: to help every company—large or small—confidently unlock the full value of automation through local expertise, practical integration, and long-term partnership.",Robotics Engineering,2-10 employees,Privately Held,"London, England, United Kingdom",United Kingdom,zypheronsystems.com,https://www.linkedin.com/company/zypheron-systems
RAVASEC,"We are a UK deep-tech company building safety-critical infrastructure for autonomous machines. As humanoid robots move into human spaces, current safety approaches are no longer sufficient. We develop the technology that ensures autonomous systems remain safe regardless of what they are tasked to do.",Robotics Engineering,2-10 employees,Privately Held,"London, England, United Kingdom",United Kingdom,ravasec.com,https://www.linkedin.com/company/ravasec
VELTAQ,"Food manufacturers face constant pressure to improve efficiency, reduce costs, and modernise production. VELTAQ helps them do exactly that — fast.

We specialise in automation for the food industry, offering tailored solutions like robotic palletising, conveyor systems, smart packaging lines, and complete factory automation. From design to installation, we make complex automation simple and effective.

Staying manual is no longer an option — automate now or risk falling behind. VELTAQ will get you ahead.",Robotics Engineering,11-50 employees,Privately Held,"London, England, United Kingdom",United Kingdom,veltaq.com,https://www.linkedin.com/company/veltaq
Braywell,"We are a robotics company currently in the research and development stage, designing the next-generation of mechanically flexible robotic systems in the North West of England.

Our focus is on building robotic technologies that integrate naturally into real-world environments, particularly in regulated settings. 

We believe robotics should extend human capability through autonomy paired with augmentation.",Robotics Engineering,Self-employed,Privately Held,"Liverpool, England, United Kingdom",United Kingdom,,https://www.linkedin.com/company/braywell
RafipayChadwick Ltd,"World-leading torque density. Precise Accuracy. Zero backlash. British-engineered electric actuators designed for robotics & automation in harsh operating environments.

Engineering the Core of the Robotic & Automation Revolution.

RafipayChadwick Ltd design and build high-performance drives that power the next generation of automation. We specialise in the design and manufacture of state-of-the-art electric actuators—the essential components for robotics & automation operating in the world’s most unforgiving environments.

The RafipayChadwick Advantage: Optimum Power/Torque to Weight ratio.

Engineered for mission-critical applications where every gram matters, our actuators offer the highest available torque density on the market. We deliver maximum rotational strength relative to weight, combined with zero backlash for absolute precision.

Intelligence & Reliability Built-In

We provide the transparency required for modern high-stakes operations:

Digital Twin Integration: Real-time monitoring and predictive diagnostics.

Precision Control: Advanced force feedback and pinpoint positioning.

Proven Integrity: Designed, manufactured, and supported in Britain.

Compliance: Fully test and certification compliant.

The Superior Electric Alternative: 

As robotics evolve, we are leading the transition away from legacy pneumatic and hydraulic systems. Our electro-mechanical actuators eliminate energy waste and leak risks while providing superior remote monitoring and control.

Sectors We Support:

 Space & Defence |  Offshore & Subsea |  Nuclear
 Explosive Atmospheres |  Outdoor Automation 

Founded by experts with deep experience in specialist robotic design and innovative technologies, RafipayChadwick is dedicated to providing the precision core-enabling components integral to the future of automation.

Contact us to discuss your specific torque and configuration requirements.",Robotics Engineering,2-10 employees,Privately Held,"London, England, United Kingdom",United Kingdom,,https://www.linkedin.com/company/rafipaychadwick
Imperial College AUV,"We design and build autonomous underwater vehicles, combining robotics, engineering, and innovation to advance marine technology. Join us to push the boundaries of autonomous systems and collaborate with passionate engineers.

Contact: auvsoc@ic.ac.uk",Robotics Engineering,2-10 employees,Non Profit,"London, England, United Kingdom",United Kingdom,,https://www.linkedin.com/company/imperial-college-auv
Hanse,"Hanse is concerned with enhancing the life of amputees to do their activities of daily living in normal way and interact with the environment. The design and technology behind our novel prosthetic hand is inspired from the anatomical structure of the human natural hand, that allows the artificial limb to perform activities of daily living with dexterity supported with some level of AI autonomy extracted from real behaviour of human hand. The hand is supported with sensory feedback system that allows the user to interact and sense the surroundings and get connected with environment. Hanse Prosthetic limb is silent (no motor noise), compliant (having soft joints can comply to external forces), anthropomorphic (mapping all human hand joints and look like natural hand, have bones and ligaments).
Additionally, our technology in building a human-like robotic hand can perform complex tasks that can only be done by humans, especially in food packing activities That deal with fragile and delicate ones (fresh fruits, bakeries, poultry, etc.) by learning from the human skills and deploying the skills into Hanse Collaborative hand for food manufacturing.
The venture core technologies rely on the extraction of human hand skills to be applied for healthcare assistive device solutions and food manufacturing.",Robotics Engineering,2-10 employees,Privately Held,"Nottingham, England, United Kingdom",United Kingdom,,https://www.linkedin.com/company/hanseltd
O2AI Chat,,Robotics Engineering,11-50 employees,Privately Held,"London, England, United Kingdom",United Kingdom,o2ai.org,https://www.linkedin.com/company/nyschey-o2ai
BotBloc,"At BotBloc, we are on a mission to democratize robotics by empowering individuals and businesses to create their own customizable robots. We believe that robotics should be accessible to everyone, from small-scale businesses to hobbyists, and we aim to foster a thriving community of developers and users to innovate together.

Our robotics solution combines hardware and software, and serves as a foundation for building diverse, multi-purpose robots. Starting with a simple, affordable core, you can add custom hardware and software to tailor the robot for various industries, from manufacturing to personal home use.",Robotics Engineering,2-10 employees,Privately Held,"London, England, United Kingdom",United Kingdom,botbloc.com,https://www.linkedin.com/company/botbloc
xswarm,"xswarm's vision is to develop a technology enabling autonomous vehicles of any kind to operate in swarms and execute complex multi-vehicle tasks on land, air, sea, and ultimately space.",Robotics Engineering,2-10 employees,Privately Held,"London, England, United Kingdom",United Kingdom,xswarm.io,https://www.linkedin.com/company/xswarm
Ladywell Robotics,"Ladywell Robotics is a UK-based student robotics team focused on designing, building, and programming advanced robots for competitive tournaments. 

We specialise in STEM education, robotics engineering, and hands-on problem-solving, participating in national competitions to inspire the next generation of engineers and technologists.",Robotics Engineering,2-10 employees,Non Profit,"London, England, United Kingdom",United Kingdom,,https://www.linkedin.com/company/ladywell-robotics
Drive Singularity,We solve the biggest bottleneck in self-driving tech by offering a ready-to-deploy AI platform that guarantees autonomous vehicles can safely handle unpredictable weather and chaotic traffic.,Robotics Engineering,2-10 employees,Privately Held,"London, England, United Kingdom",United Kingdom,drivesingularity.com,https://www.linkedin.com/company/drivesingularity
Mission Autonomy,ENERGY'S INFRASTRUCTURE INSPECTION & REPAIR ROBOTS,Robotics Engineering,2-10 employees,Privately Held,"London, England, United Kingdom",United Kingdom,missionautonomy.com,https://www.linkedin.com/company/mission-autonomy
Nene Robotics,"An NWS Group Company. Welcome to Nene Robotics, your gateway to bespoke warehouse automation solutions. Our expertise lies in sourcing and integrating industry-leading technologies from the best brands to deliver systems that don’t just meet your needs—they surpass them.",Robotics Engineering,11-50 employees,Privately Held,"Watford, England, United Kingdom",United Kingdom,nenerobotics.co.uk,https://www.linkedin.com/company/nene-robotics
