Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Regeneron,"At Regeneron we believe that when the right idea finds the right team, powerful change is possible. As we work across our expanding global network to invent, develop and commercialize life-transforming medicines for people with serious diseases, we’re establishing new ways to think about science, manufacturing and commercialization. And new ways to think about health. Connect with us so we can learn more about you, and you can learn more about our biopharmaceutical medicines. And join us, as we build a future we believe in.  

Please visit www.regeneron.com/social-media-terms for information on how to engage with us on social media.  

An important note about privacy: Regeneron is committed to your privacy and will not ask for sensitive personal information such as social security number, date of birth or bank account details via email or social media.",Biotechnology,"10,001+ employees",Public Company,"Uxbridge, England, United Kingdom",United Kingdom,regeneron.com,https://www.linkedin.com/company/regeneron-pharmaceuticals
Innervate Therapeutics,"Innervate Therapeutics Ltd (Innervate Tx) is a biotech company focussed on targeted GDNF gene therapies to the CNS for a number of indications including Amyotrophic Lateral Sclerosis (ALS), Parkinson’s Disease (PD) and Spinal Cord Injury (SCI).

GDNF is neuroprotective and neurorestorative to motor neurons and a range of neuromodulatory neurons including dopaminergic, noradrenergic, serotoninergic and acetylcholinergic neurons. It’s potent neuroprotective and neurorestorative effects have been shown in pre-clinical models of PD, Multi System Atrophy, ALS, SCI, and epilepsy. However, because its effects are ubiquitous in the CNS it requires very precise delivery to therapeutic targets to avoid potentially harmful side effects. On the other hand, being a relatively large and sticky protein, it diffuses poorly in tissue and effective coverage of therapeutic target volumes is also challenging.  Innervate Tx is positioned to maximise the neurorestorative potential of GDNF using patent protected, novel and scalable delivery methods and technology for which it has licenced exclusive use for GDNF gene therapy applications.

The company's products and technology exploit the globally recognised and pioneering clinical expertise of Prof. Steven Gill in the direct, targeted  delivery of therapeutic agents to the CNS. The company has significant clinical development experience in GDNF therapy and now plans to build an equally experienced commercial management team around a newly recruited CEO. 
Proof of concept studies in large animal models have been successfully completed for its ALS indication. A formal pre-clinical large animal tox study is currently underway with a phase I/II study planned for 2023. Development of a gene therapy for Parkinson’s disease is also underway with the objective of completing a phase I/II clinical study in 2024.",Biotechnology,2-10 employees,Privately Held,"Cardiff, Wales, United Kingdom",United Kingdom,innervatetx.com,https://www.linkedin.com/company/innervatetx
Platform Kinetics,"Platform Kinetics is an innovative and multi-disciplinary engineering and software company with a range of platform technologies which allow us to develop custom instrumentation, sensors and software for your application.

We specialize in electronics, imaging, electrochemical ,biosensing and microfluidic based technologies.

We work with companies, entrepreneurs and universities to produce next generation instrumentation, sensors and software. We have produced products and systems in application sectors ranging from the Life Sciences, Agriculture, Environmental through to Industrial.

We are happy to become involved at any stage of the idea or existing product life-cycle working on early feasibility studies and prototypes through to volume manufacture, deployment and in-field support.",Biotechnology,2-10 employees,Privately Held,"Otley, England, United Kingdom",United Kingdom,platformkinetics.com,https://www.linkedin.com/company/platform-kinetics-limited
BIOCELL LIMITED,"BioCell is a biotechnology company that develops, manufactures, and distributes human and animal health products.",Biotechnology,11-50 employees,,"London, England, United Kingdom",United Kingdom,biocellcorp.co.nz,https://www.linkedin.com/company/biocell-limited
Medical Cannabis Coin (MCan Coin),"Be a part of Medical Revolution break-through with Innovation Driven Medical Technology using Cannabis for Treatment of Cancer, Multiple Sclerosis, Epilepsy, HIV/AIDS, Post-Traumatic Stress Disorder and many more chronic diseases.

The Company through its Medical Research Institute has successfully modified & re-engineered the Cannabis plant. The genetically modified plant enhances properties of the Cannabis to be used for medical purpose.",Biotechnology,201-500 employees,Privately Held,"London, England, United Kingdom",United Kingdom,mcan.io,https://www.linkedin.com/company/mcancoin
Cambridge Preclinical Consulting,"Cambridge Preclinical Consulting is a new Cambridge-based consultancy offering solutions for your preclinical needs.

Consulting - we offer consultancy services for the biotech & pharma industry relating to preclinical packages of work & delivering added value to the business. We also consult on developing preclinical capabilities for start-ups & SMEs.

Project Management - we specialise in providing management of preclinical in vivo projects in virtual environments for the drug discovery & pharmaceutical communities.

Process Improvement - we perform process improvement activities, following lean & six sigma principles, to leverage operational resources in order to reduce costs, save time & increase efficiencies for our clients. 

Due Diligence - we conduct due diligence evaluations - focussing on the area of preclinical in vivo studies - for investors, tech transfer organisations, venture capital companies & clients conducting acquisitions & mergers.

We offer solutions that help save time, improve efficiencies and reduce overhead costs - ultimately saving you money and adding value to your research & discovery.

Our outreach goes beyond the academic labs, fledgling start-ups, biotechs & pharma that constitute the Cambridge Phenomenom to leading institutions and global companies.


Please check back regularly for updates or follow us.",Biotechnology,Self-employed,Self Owned,"Cambridge, England, United Kingdom",United Kingdom,cambridgepreclinical.co.uk,https://www.linkedin.com/company/cambridge-preclinical-consulting
Scruffy Biotech Ltd,"Scruffy Biotech Ltd provide modelling and data analysis to the biotech and computing sectors, and design and build novel biochemical engineering kit and sensors.",Biotechnology,Self-employed,Self Owned,"Glossop, England, United Kingdom",United Kingdom,scruffybiotech.com,https://www.linkedin.com/company/scruffy-biotech-ltd
ViraCoat,"ViraCoat, a subsidiary of ViraCorp, has developed and released a novel Antiviral & Antimicrobial Coating Material (ACM). It has been demonstrated to have profound antiviral properties against SARS-CoV-2 (including new strains), Influenza (PR8 strain), and bacteria (E-coli).

This coating is applied to the entire surface of the mask as well as the straps, meaning it significantly reduces the risk of contamination even if removed and replaced multiple times. This incredible innovation has multiple benefits including monetary, safety, and environmental.

Visit our website to learn more or get in touch via the supplied form.

Community guidelines: http://bit.ly/3mcjnHi",Biotechnology,51-200 employees,Privately Held,"Lancaster, England, United Kingdom",United Kingdom,viracoat.global,https://www.linkedin.com/company/viracoat
TeloNostiX,"TeloNostiX is an in vitro diagnostics company that provides high-resolution telomere length analysis for clinical and research applications. Based on Single Telomere Length Analysis (STELA), TeloNostiX’ platform technologies have applications for the prognosis and prediction of response to treatment for individual cancer patients, risk-adapted clinical trials, cellular therapeutics and telomere-related disorders.",Biotechnology,2-10 employees,Privately Held,"Cardiff, Wales, United Kingdom",United Kingdom,telonostix.com,https://www.linkedin.com/company/telonostix-ltd.
Advanced Biosystems,"We offer a bespoke technical integration service to network, monitor and deliver advanced control and data processing of upstream instrumentation.
The aim is to deliver a truly 21st century level of connectivity and data management from your current non-networked instrumentation,  taking your lab to the next level of smart integration.",Biotechnology,Self-employed,Privately Held,"Wantage, England, United Kingdom",United Kingdom,advancedbiosystems.co.uk,https://www.linkedin.com/company/advanced-biosystems
