Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Oxford Instruments plc,"Oxford Instruments is a leading provider of high technology tools and systems for research and industry. We design and manufacture equipment that can fabricate, analyse and manipulate matter at the atomic and molecular level. 

Our purpose is to accelerate the breakthroughs that create a brighter future for our world.",Nanotechnology Research,"1,001-5,000 employees",Public Company,"High Wycombe, England, United Kingdom",United Kingdom,oxinst.com,https://www.linkedin.com/company/oxford-instruments
Myriofoam,Myriofoam is an early stage spin-out from the Institute for Manufacturing at Cambridge University,Nanotechnology Research,2-10 employees,Privately Held,"Cambridge, England, United Kingdom",United Kingdom,myriofoam.com,https://www.linkedin.com/company/myriofoam-limited
Graphitene Ltd.,"Graphitene Ltd. is a manufacturing company focused on carbon nanomaterial products dramatically improving economics and lowering emissions within the construction, transportation infrastructure, and energy markets. We innovate with natural carbon where other materials fail.",Nanotechnology Research,11-50 employees,Privately Held,"London, England, United Kingdom",United Kingdom,graphitene.com,https://www.linkedin.com/company/graphitene-ltd-
UCL-Tohoku Spintronics Group,"The UCL-Tohoku Spintronics Group investigates how spin dynamics, magnonics, and quantum materials can enable new forms of computation. Our research spans from fundamental studies of spin transport and spin-orbit interactions to the development of spintronic and neuromorphic devices for next-generation information technologies.",Nanotechnology Research,11-50 employees,Educational,"London, England, United Kingdom",United Kingdom,ucl.ac.uk,https://www.linkedin.com/company/ucl-tohoku-spintronics-group
Graphene Enabled Systems,"Graphene Enabled Systems Ltd is a wholly-owned subsidiary of the University of Manchester. Its mission is to create a series of new, profitable businesses based on the University’s portfolio of patents relating to 2D materials technology – principally graphene.",Nanotechnology Research,2-10 employees,Privately Held,"Manchester, United Kingdom",United Kingdom,graphene-enabled.com,https://www.linkedin.com/company/graphene-enabled-systems
Semiconductor Quantum Electronics (SEQUEL),"It is the dawn of a new technological era based on the exploitation of the laws of quantum mechanics, which will enable a paradigm shift in computing, enhanced sensing and ultra-secure communications networks.

Our team focusses on semiconductor nanoscale systems for applications in quantum computing and quantum electrical metrology. We work on a range of semiconductor materials such as silicon, germanium and silicon carbide to harness the properties of single charges and single spins and develop industry-viable device technology.

We collaborate with several companies that are keen to commercialise quantum systems and render their benefits available to the wider society. These include British Telecom, Hitachi, Quantum Motion Technologies and the UK National Physical Laboratory (NPL). We have a particularly close synergy with NPL and are able to routinely access their world-class cryogenic facilities through members of our team who are deployed there.",Nanotechnology Research,2-10 employees,Educational,"Glasgow, Scotland, United Kingdom",United Kingdom,strath.ac.uk,https://www.linkedin.com/company/sequel-lab
Energenics Europe Ltd,"Based at the University of Oxford’s Begbroke Science Park, Energenics is a UK company which has been engaged in nanomaterials research since 1999, with expertise in research, development, production and commercialisation of nanomaterials. 
Energenics uses nanotechnology to create innovative products for reducing vehicle emissions and protecting wood. EnviroxTM and CerPlus",Nanotechnology Research,11-50 employees,Privately Held,"Kidlington, England, United Kingdom",United Kingdom,energenics.co.uk,https://www.linkedin.com/company/energenics
Graphene Star,"We are a manufacturer and developer of graphene, graphene applications and graphitic materials. We produce and develop products which have world-leading properties of conductivity, electromagnetic shielding and other properties. Our patented production methods are uniquely environmentally friendly, being non-chemical and without pollution and waste – they are also transportable and scalable. We commercially sell graphene powder, graphene water slurry and high conductive coatings  at competitive prices. In conjuction with Rustins, we have developed innovative G Sheild and G Therm Paints which are available on the commercial market. G Shield Paint protects against EMI. G Therm Paint is high efficiency far infrared heating coating. G Therm is a valid alternative to the current gas boiler heating systems.  The efficiency of our products have been tested and approved by National Physical Laboratory (NPL). We are also developing new production methods for the highly cost-effective processing and purification of low-grade graphite into high grade graphite. In addition we are developing  graphene anode composites for lithium batteries.  We are a close-knit team and passionate about what we do. By developing world-leading disrupting technologies that are environmentally clean, we are helping humanity in doing things cheaper, faster and in way which better ensures the planet’s long-term survival.",Nanotechnology Research,2-10 employees,Privately Held,"London, England, United Kingdom",United Kingdom,graphene-star.com,https://www.linkedin.com/company/graphene-star-ltd
NIVD,Developing pre-symptomatic diagnostic technology utilising nano-sensors,Nanotechnology Research,2-10 employees,Privately Held,"London, England, United Kingdom",United Kingdom,nivd.world,https://www.linkedin.com/company/nivdworld
LIFNano Therapeutics,"It is known that LIF (Leukaemia Inhibitory Factor) is a protein that can enable the repair of damaged neurons, and has promised the possibility of treatment for Multiple Sclerosis and other neurodegenerative diseases. The challenge has always been to find a way to deliver LIF to the precise location of the damaged neurons, and this is the basis of the LIFNano Rx breakthrough. Our research has developed a method of packaging a measured amount of LIF into tiny particles that can be delivered into the bloodstream (via injection or nasal spray), where they will circulate until they reach the blood-brain barrier. A unique antibody coating allows them to pass through this barrier exclusively and, once assembled at the treatment site, the completely inert particles will disintegrate, leaving only the LIF molecules and a small amount of water and carbon dioxide.

The LIFNano Rx system is a very elegant solution to several problems: it enables precise targeting of the treatment area – a more focused and economical approach; and it delivers the treatment in a completely clean, contaminant-free, easily reproducible molecular formula, eliminating the need for expensive and difficult cell-based treatments.",Nanotechnology Research,2-10 employees,Privately Held,"Cambridge, England, United Kingdom",United Kingdom,lifnano.com,https://www.linkedin.com/company/lifnano-therapeutics
Concept Chemicals & Coatings LTD,"Concept Chemicals is recognised as one of the World's
leading manufacturers of high quality cleaning, detailing
and appearance enhancing products for the professional and enthusiast user.

Founded in 1987 by a team dedicated to the pursuit
of excellence, Concept’s unique position in the global
market is built upon the delivery of innovative, high quality
product solutions for cleaning, re-conditioning and detailing
operations across the automotive, transport, marine and
industrial markets, selling products under the Concept, Zirconite, Surface and XPERT-60 brands as well as manufacturing 'private label' products for companies around the World.",Nanotechnology Research,11-50 employees,Privately Held,"Manchester, England, United Kingdom",United Kingdom,conceptchemicals.com,https://www.linkedin.com/company/concept-chemicals-coatings-ltd
