Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
SatSure,"SatSure is an innovative decision analytics company HQ'ed in Bangalore, India, and offices in Philadelphia, U.S., and Liverpool, U.K. At SatSure, we leverage advances in satellites, machine learning and big data analytics to provide answers to large area questions across the sustainability next of agriculture, infrastructure, and climate action. 

SatSure’s platform enables combining of satellite imagery with weather, IoT, social and economic datasets, among many others to generate timely, location specific actionable insights.",Space Research and Technology,51-200 employees,Privately Held,"London, England, United Kingdom",United Kingdom,satsure.co,https://www.linkedin.com/company/satsure
Spacifi,"Spacifi is a new studio creating realistic, immersive space-life simulations that let anyone experience life aboard a space station. Our flagship project, CrewSync: Space Life Simulator – ISS, recreates the interior and exterior of the International Space Station in Unreal Engine, allowing players to explore, learn, and engage with space missions in a dynamic, interactive environment.

CrewSync combines:
- First-person space exploration
- Realistic astronaut activities
- AI-driven crew interactions
- STEM learning experiences
- Simulated space operations and emergencies

Players experience life aboard the ISS through missions and tasks that teach the fundamentals of living and working in space. Our interactive learning system makes space science and STEM concepts accessible, engaging, and inspiring for learners of all levels.

Mission:
To build the world’s most engaging and educational space-life simulation platform—helping people explore space, learn STEM, and experience human spaceflight through interactive, immersive digital environments.

Vision:
A future where knowledge of space living, training, and exploration is accessible to every student, creator, and curious mind through realistic digital simulations.",Space Research and Technology,2-10 employees,Self Owned,"Cambridge, England, United Kingdom",United Kingdom,spacifi.space,https://www.linkedin.com/company/spacifi
PUGLAND ENTERPRISES,"PUGLAND ENTERPRISES LLC diverse operations investing in real estate, procurement and corporate sales of high value products.",Space Research and Technology,2-10 employees,Privately Held,"London, England, United Kingdom",United Kingdom,spacesupplyexchange.com,https://www.linkedin.com/company/pugland-enterprises
Deimos,"Deimos is a European technology group founded in 2001, headquartered in Spain, with subsidiaries in five countries—Spain, Portugal, Italy, Romania and the United Kingdom.
Effective November 1, 2024, Deimos was acquired by Indra and merged with the Indra Espacio team, further strengthening its role in the European technology and space sectors.",Space Research and Technology,201-500 employees,Privately Held,"Didcot, England, United Kingdom",United Kingdom,deimos-space.com,https://www.linkedin.com/company/deimos-space-company
OrbiSky (UKSA Leo '24),"OrbiSky is a private space-tech startup building trusted autonomy for demanding missions.

We develop verification and runtime assurance for onboard systems, with a focus on integrity, monitoring, and evidence to support safe in-orbit operations and a zero-debris future.",Space Research and Technology,11-50 employees,Privately Held,"London, England, United Kingdom",United Kingdom,orbisky.com,https://www.linkedin.com/company/orbisky
SKA Observatory,"The SKA Observatory is a next-generation radio astronomy driven Big Data facility that will revolutionise our understanding of the Universe and the laws of fundamental physics. Enabled by cutting-edge technology, and bringing together some of the best scientists, engineers and policymakers from more than 20 countries worldwide, it promises to have a major impact on society, in science and beyond. 

The SKAO is a global collaboration of Member States. Headquartered in the UK, at the historic Jodrell Bank Observatory - a UNESCO World Heritage Site - the SKAO's two telescope arrays will be constructed in Australia and South Africa, and be the two most advanced radio telescope networks on Earth.

Together with other state-of-the-art research facilities, the SKAO’s telescopes will explore the unknown frontiers of science and deepen our understanding of key processes, including the formation and evolution of galaxies, fundamental physics in extreme environments and the origins of life. Through the development of innovative technologies and its contribution to addressing societal challenges, the SKAO will play its part to address the United Nations’ Sustainable Development Goals and deliver significant benefits across its membership and beyond.",Space Research and Technology,51-200 employees,Non Profit,"Macclesfield, England, United Kingdom",United Kingdom,skao.int,https://www.linkedin.com/company/skaobservatory
Xona,"Next-era navigational intelligence that brings real-time, centimeter-level certainty to any device, anywhere on Earth.",Space Research and Technology,51-200 employees,Privately Held,"London, England, United Kingdom",United Kingdom,xonaspace.com,https://www.linkedin.com/company/xona-space-systems
Surrey Space,"The University of Surrey is a renowned centre for space-related research across many disciplines, and is a crucial contributor to global space skills through its undergraduate and postgraduate degrees, and its continuous professional development courses.

We are the home of the Surrey Space Institute – our new and ambitious, pan-university interdisciplinary hub – and of Surrey Space Centre, our world leading Centre of Excellence in Space Engineering, which spun out the successful Surrey Satellite Technology Limited.

Harnessing more than forty-five years of Surrey satellite leadership, we power bold, cross-disciplinary breakthroughs for today’s pressing challenges. Working across engineering, law, bioscience, AI and beyond, we build missions that safeguard Earth’s resources, shore up critical orbital infrastructure, and unlock new frontiers for explorers en route to the Moon, Mars and beyond.
 
We work hand in hand with government, companies and universities, locally through Space South Central and through strong national and global partnerships, to push research from concept to orbit.

By expanding Surrey’s renowned degrees, short courses and live mission opportunities, we cultivate the skilled minds that tomorrow’s space sector needs.

Our doors are open to organisations, including businesses and colleges, who can use our facilities and expertise to create space-flight equipment and conduct space experiments.

Follow us to keep space resilient, hear of the latest space innovation and watch our launchpad for human discovery move forwards.

See the Surrey Space Centre website at https://www.surrey.ac.uk/surrey-space-centre.",Space Research and Technology,11-50 employees,Educational,"Guildford, England, United Kingdom",United Kingdom,surrey.ac.uk,https://www.linkedin.com/company/spaceatsurrey
AstroAgency,"AstroAgency is the world’s first strategic communications firm dedicated exclusively to the commercial space sector. 

By combining marketing expertise with our team’s technical understanding and space industry experience, we’ve successfully delivered projects with more than 80 international space companies, as well as several governments and academic institutions around the world (including national Space Agencies and regional economic development bodies leveraging space to bring prosperity through job creation and satellite data applications). 

We support existing space companies within the launch supply chain through to downstream data analytics, and non-space organisations looking to take advantage of the growing space economy, to shape their space sector messaging and target their outreach. We provide an integrated, full-service solution that combines strategic communications, digital marketing, PR, networking introductions, events strategies, market guidance and investment support, all underpinned by market intelligence.

AstroAgency - Changing the Perception of Space.",Space Research and Technology,11-50 employees,Privately Held,"Edinburgh, Scotland, United Kingdom",United Kingdom,astroagency.co.uk,https://www.linkedin.com/company/astroagency
Little Place Labs,"Little Place Labs brings space-based insights to the end users in 7 minutes, thereby reducing latency by several hours/days and reducing the data downlink by up to 98%. 

LPL is making satellites and spacecraft smarter, more intelligent and autonomous - with the power of Machine Learning and Artificial Intelligence - and leveraging Edge Computing.

We are a global team of space and technology professionals with several years of industry experience under our belt.",Space Research and Technology,11-50 employees,Privately Held,"Oxford, England, United Kingdom",United Kingdom,littleplace.com,https://www.linkedin.com/company/little-place-labs
