Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Ycorp,Reimagine mobile services...,Telecommunications Carriers,11-50 employees,Privately Held,"London, England, United Kingdom",United Kingdom,ycorp.io,https://www.linkedin.com/company/ycorporationlimited
NALIA GLOBAL TECHNOLOGIES LTD.,"Nalia Global Technologies LTD is a company to introduce latest innovative voice and advanced communication services to people in worldwide and provides various types of IT services. Nalia Global Technologies LTD was established in Greece on 2012 and later moved to United Kingdom. We have wide experience in international call termination for CLI Routes, Non-CLI Routes, Call Center Routes, TDM Routes and SMS Termination. Also we  have another department for software development and graphic design as well . We don’t specialize in particular technologies. Every product is unique and we try to fit the right team with the right skills for that particular product.",Telecommunications Carriers,11-50 employees,Partnership,"London, England, United Kingdom",United Kingdom,naliaglobal.net,https://www.linkedin.com/company/naliaglobal
Gigabyte Guru,"I can offer you the Blue pill? Or the Red Pill? The choice is yours.

IoT Connectivity Consultancy - At https://www.Gigabyte.Guru, I understand that choosing a resilient connectivity solution is crucial for the success of your IoT use case. 

That's why I pride myself on offering unbiased guidance on everything from Sim Cards to Private 5G networks. All tailored to your specific needs and objectives. 

Whether you're a small startup or a multinational corporation, I remain dedicated to providing impartial, personalised recommendations that maximise performance, reliability, and cost-effectiveness.",Telecommunications Carriers,2-10 employees,Self Employed,"London, England, United Kingdom",United Kingdom,gigabyte.guru,https://www.linkedin.com/company/gigabyteguru
Chaser Communications,"Chaser Communications helps businesses work smarter by providing reliable phone systems, fast internet, IT support and security solutions all from one trusted provider. With over 20 years of experience, we make technology simple, helping you stay connected, protect your business, reduce costs and focus on what matters most: running your business.",Telecommunications Carriers,11-50 employees,Privately Held,"Newcastle upon Tyne, England, United Kingdom",United Kingdom,chasercomms.co.uk,https://www.linkedin.com/company/chasercommunications
easySim.global,"easySim.global eSIM's are now available worldwide, so international travellers now have access to low cost smartphone data, wherever they may roam.

Although ideal for UK travellers to Europe and beyond, the easySim.global service is suitable for international users around the world travelling outside their home countries, as they face the same painful charges for ""out-of-bundle"" data roaming as UK mobile users. We cover over 150 countries worldwide, so easySim can save money for everyone travelling (almost) anywhere.

Likewise, Americans arriving in Austria; Aussies attending the Ashes; Indians interested in Iceland or Spaniards sightseeing Singapore could all save money on mobile data compared to their deals at home.

easySim.global was launched by Portsmouth telecoms entrepreneurs Richard Gwilliam and Jim Guest with the backing of Sir Stelios Haji-Ioannou, founder of easyJet and owner of the easyGroup.

As a member of the easy family of companies, we're committed to offering exceptional service and customer satisfaction. We put our customers first and great value is part of our DNA.",Telecommunications Carriers,2-10 employees,Privately Held,"Portsmouth, England, United Kingdom",United Kingdom,easysim.global,https://www.linkedin.com/company/easysim-global
FlexiFone Telecommunications Limited,"FlexiFone is Europe’s first multi-network MVNO targeted towards Gen-Z mobile users. Being a multi-network MVNO, our customers can choose a mobile plan from a carrier with the best coverage in their area. By subscribing to a FlexiPlan, you not only get a mobile plan with access to EE, O2 and Three's network, but also over 50% discounts on subscriptions to dozens of apps like Netflix, Disney+, VPNs, and more! It’s like “Revolut for your mobile plan”.",Telecommunications Carriers,2-10 employees,Privately Held,"London, England, United Kingdom",United Kingdom,flexifone.co.uk,https://www.linkedin.com/company/flexifone
Infinexy Technologies,"Welcome to Infinexy Technologies Ltd, your number one source for Telecommunication, Cloud Services, Web & Mobile Apps Development, Digital and Managed Services. Our IT managed Services help to improve operations and cut expenses by offloading general management and monitoring duties from an in-house team to a better equipped external team. We're dedicated to provide you the very best services, with an emphasis on better customer services, dedicated account manager. 
Our Services include: 
Voice over Internet Protocol
Network testing and monitoring
Overseeing network security & risk mitigation
Connectivity and bandwidth
Providing data storage
Managing installations and upgrades
Suggesting and implementing software patches
Providing web hosting
Network provisioning or virtualization
Performance monitoring and reporting
Providing help desk technical support",Telecommunications Carriers,2-10 employees,Privately Held,"London, England, United Kingdom",United Kingdom,infinexy.net,https://www.linkedin.com/company/infinexytechnologies
VoIP ISP Channel - VoIP ISP LTD,"VOIP ISP LTD – We are an UK registered telecommunication voice carrier to provide VoIP service. We registered at 2017 as a wholesale VoIP carrier and we started our retail part at 2018 with the brand name “ VOIP ISP CHANNEL ”. Our company registered number : 11093751. Our registered address at Seymour Chambers, 92 London Road, Liverpool, Merseyside, L3 5NW, UK.

VoIP ISP Channel is actively involved in wholesale and retail voice business. The company was founded from a management with years of experience in the voice market. Versatility of the offered VoIP terminations allows us to be pointed towards partner’s needs. We are able to work on direct terminations, top quality routes and personalized routes to offer a perfect mix between price and quality. Innovation of the technical infrastructure, developed in strict collaboration with our software and systems for the voice transit are flexible and fully developed for the quality control of VoIP terminations with sophisticated quality warnings. VoIP ISP Channel has a wide range of constant-improving services to meet any need for any customer. Checking our offerings, most interesting products are: A-Z Termination, VoIP Wholesale, VoIP Retail and CLI Routes and Phone Center traffic. We have been selected as a partner by numerous Tier 1 international carriers, corporate carriers and residential VoIP businesses; so wholesale carriers and VoIP retail providers can take advantage of our telecom services and grow up with us. You can confidently expect more smart innovations and useful solutions for your future needs.
VoIP ISP Channel helps telecom operators and carriers to provide global coverage to their customers. The company has exclusive traffic arrangements with MNOs, MVNOs, enterprise customers and more to provide multi-service level offerings.",Telecommunications Carriers,11-50 employees,Privately Held,"Liverpool, England, United Kingdom",United Kingdom,ispchannel.com,https://www.linkedin.com/company/voip-isp-channel-voip-isp-ltd
Datawave Networks,"Datawave Networks is a provider of independent, open-access subsea network infrastructure.

Datawave Network’s unique focus as an independent infrastructure provider, is to provide truly open access, enabling alternative, direct and more resilient networks at advantageous economics.

As an independent and neutral partner, we have strong resources as well as deep industry experience that enables us to offer our clients flexible solutions with a wide range of options.",Telecommunications Carriers,11-50 employees,Privately Held,"London, England, United Kingdom",United Kingdom,datawavenetworks.com,https://www.linkedin.com/company/datawavenetworks
Jaza Mobile LTD,"jaza mobile is one of the world’s leading telecommunications operators with sales of 42.3 billion  in 2020 and 3,000 employees worldwide . Global World is also a leading provider of global IT and telecommunication services to multinational companies. 

 Global World enables the global connectivity of people, applications and things wherever they are. We are at the heart of the communications ecosystem, bridging telecommunications services, and the needs of enterprises. We combine the knowledge of the telecom industry with the goal to offer a full suite of wholesale and retail voice services designed to meet the ever changing needs of our valued clients.",Telecommunications Carriers,"501-1,000 employees",Public Company,"Brentwood, England, United Kingdom",United Kingdom,jazamobile.com,https://www.linkedin.com/company/jaza-mobile-ltd
