Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
HTC,"HTC Corporation (HTC) designs for a better world, connecting people in ways never thought possible. 
 
As a global innovator in smart mobile devices, connected technology and virtual reality, HTC has produced award-winning products and industry firsts since its inception in 1997, including the highly acclaimed One and Desire line of smartphones, the HTC Vive virtual reality system and Under Armour Healthbox.  
 
HTC’s pursuit is simple: to bring brilliance to life. The Pursuit of Brilliance lives through everything we do, and keeps us searching for more. Our motivation is rooted in designing game-changing mobile experiences and devices for consumers around the world, and our legacy is built upon redefining everything we’ve imagined before. 
 
Within the authentic culture of HTC, YOU have the opportunity to design and drive the story of your own career within the mobile and virtual reality technology landscape. We are a forward thinking collaborative group who bring passion to our work and find excitement in discovering, designing and developing new products that provide diverse innovative solutions to our customers. If you want to learn more or explore new career opportunities to join HTC visit us at https://www.linkedin.com/company/htc/careers.
 
HTC_ The Pursuit of Brilliance.",Consumer Electronics,"1,001-5,000 employees",Public Company,"Seattle, Washington, United States",United States,htc.com,https://www.linkedin.com/company/htc
Sentri Inc.,"Meet Sentri, an all-in-one home monitoring solution designed to make your home safer and smarter in seconds. It comes packed with everything you need including an 120-degree wide-angle camera, sensors that track environmental health, mobile alerts, and more in a 10.1"" touchscreen for effortless control. It's simple to set up and use, packed with powerful tech, and beautiful to complement your home. And the best part is, it's always learning and getting better -- enjoy automatic over the air updates where we're constantly adding new ways to know more about your home to protect what matters.

Sentri -- Safer and Smarter Homes for All",Consumer Electronics,2-10 employees,Privately Held,"San Francisco, California, United States",United States,sentri.me,https://www.linkedin.com/company/sentri-inc-
"ColorWare, Inc.","ColorWare Inc., established in 2000, is an industry leader in altering the color of existing products. ColorWare began with the concept of transforming the ubiquitous beige computer into a custom-colored work of art. The idea began with an attempt to color a late-model cell phone in 1999. After a year of testing and experimenting, the ColorWare high-gloss, scratch-resistant polymer-based coating was perfected. ColorWare’s initial offerings included 22 standard colors available on two mp3 players, three gaming consoles, and four computers, and many new products as well as additional colors have been added in recent years.

Featured as number 108 on the Inc. 500 list of fastest growing privately held companies in the fall of 2007, ColorWare continues to grow at an impressive rate each year by focusing on popular electronics and offering more options on those products. As evidenced by ColorWare’s appearance in magazines such as In Style, Vogue, and Entertainment weekly, a ColorWare product is also a statement in fashion and individuality, and as such fills a high-demand niche market.",Consumer Electronics,11-50 employees,Privately Held,"Winona, Minnesota, United States",United States,colorware.com,https://www.linkedin.com/company/colorware-inc-
Redi Systems,"Redi Systems specializes in creating smart spaces, but that's more than just simple marketing mantra — it's a customer service philosophy. Home or office, residential or commercial, we have extensive experience with the design, installation and implementation of unobtrusive, high-tech solutions for your everyday electronics needs.

Redi Systems employs an expert team of creative and knowledgeable individuals who possess an insatiable passion for technology. Our depth of talent and steadfast commitment to crafting creative residential and commercial electronics solutions shines through in every project we handle. We will work with you to identify the specific challenges you face, and then collaborate with you to craft custom systems that directly address the issues. Simply put, we use our expertise to make your home or office work for you.

In addition, as the only CEDIA-certified designers in the greater-Manhattan area, we are committed to being the best option for custom electronic design and installation services in the community. We've had the honor and privilege to work with more than 700 clients throughout northeast Kansas, across a multitude of industries, and have crafted systems for projects both big and small. More importantly, we'll work with you to find answers that fit your budget, because — let's face it — a solution that doesn't fit your budget just isn't a solution.

Whether you need a simple security system or a complex closed-circuit surveillance hub, a standard home theater installation or a full-home integrated media center implementation, our associates are ready to assist you with a friendly smile and unparalleled technical knowledge.

Contact us today and find out how we can help!",Consumer Electronics,11-50 employees,Privately Held,"Manhattan, Kansas, United States",United States,redisystemsinc.com,https://www.linkedin.com/company/redi-systems
Inductive Intelligence LLC,"Save Time.  Save Space.  Save the Planet.

Inductive Intelligence is turning paper, plastic, glass, foil pouches and metal packaging into IoT enabled cookware that can be heated consuming 90% less electricity than a microwave.  Using highly controlled inductive power our technology allows the consumer to heat foods, drinks, household and personal care items right in the package, avoiding a time consuming trip to the kitchen.  By simply placing the item on a coaster-sized appliance, the package safely begins to heat the product according to very specific parameters.  The same device can also wirelessly charge Qi enabled mobile devices.

No trip to the kitchen, no dirty dishes, just hot stuff when and where you want it.",Consumer Electronics,2-10 employees,Partnership,"Grand Rapids, Michigan, United States",United States,inductiveintelligence.com,https://www.linkedin.com/company/inductive-intelligence-llc
DC Creatives,"Founded by a husband-and-wife team of MIT-trained engineers, we are a company of inventors - true creators who believe in the art and science of making what has never before existed. Together we have decades of industry expertise in hardware, software, product design, MVP development, prototype realization, and manufacturing.  We love working with clients to make their dreams into reality.

Some of our clients include: MIRROR (lululemon Studio), Gameboard, Clip, Hearth Display, SOTRO, The Renatural, Pave Motors and more

Our products have been featured in numerous media outlets, fueled successful Kickstarter campaigns, and been showcased at CES.",Consumer Electronics,2-10 employees,Privately Held,"Brooklyn, New York, United States",United States,dc-creatives.com,https://www.linkedin.com/company/dc-creatives
Audio Tech OK,"We offer top of the line equipment and custom installation. Our unbeatable customer service will enhance your audio/ video experience at home, in the car, or at work. Our team completes many projects close to home, but we are also willing to travel. We have satisfied customers across the country. 

Some of the services we offer include home automation, design, integration and installation of home theaters, security and surveillance, custom vehicle systems, home networking, and commercial installation.",Consumer Electronics,11-50 employees,Privately Held,"Lawton, Oklahoma, United States",United States,audiotechok.com,https://www.linkedin.com/company/audio-tech-ok
Security In Motion,"WHO WE ARE

Security In Motion unites a tight team of business and product developers around creating ""great experience"" technologies and related services. Our bushido includes the guiding principles...

• Elegance in form and function
• Simplicity at every level
• Not a burden
• Not a toy

...these principles pervade everything we do.

Our current focus is nōmad, security to go...

WHAT IS NŌMAD?

nōmad is the first security system designed with true mobility in mind. Its motion sensor, HD camera, and zero-hassle cellular connectivity protect you, your loved ones, and your valuables — wherever you are.

Audio alarms warn and deter, text/e-mail alerts immediately notify and document, streaming video shows what's going on live. Add optional sensor PoDs to extend and customize the system for your specific security needs — just snap them onto the base for quick and easy travel.

In short, nōmad is security-to-go...",Consumer Electronics,2-10 employees,Privately Held,"Highland Park, Illinois, United States",United States,gusher.co,https://www.linkedin.com/company/security-in-motion-corp
VDL Lithium Polymer Battery Solutions for wearable and TWS,"PROFESSIONAL LITHIUM BATTERY SOLUTION PROVIDER

VDL Group is market leader in small and miniature rechargeable lithium polymer batteries, providing a wide range of R&D services specific to the development of custom cell and battery pack batteries to meet our customer’s expectations. VDL has two fully equipped facilities in Chongqing and Dongguan China that provide manufacturing, testing, certification management and after-sales service. Our sales offices in the US, Europe, and China provide direct communication, project management, and on-going support to our global customer base. VDL specializes in leading edge battery technology with significant focus on custom battery design and production methods. VDL has secured patents in innovative battery models and advanced automated manufacturing.",Consumer Electronics,"1,001-5,000 employees",Public Company,"Boston, Massachusetts, United States",United States,gdvdl.com,https://www.linkedin.com/company/vdl-batteries
Projector People,"ProjectorPeople.com is the number one source for projectors since 1999. We currently offer the widest selection of projectors for home theater and business communications on the web, and our seasoned team of Projector Experts is available by phone or chat to answer all of your projector questions.  (Experts available between 8 a.m. and 7 p.m. EST M-F). Of course, we also have 24/7 online ordering for your convenience, and all orders are backed by a generous return policy. Projector People is a part of one of the largest AV companies in America, AVI-SPL.

Canadian shoppers can find us online at www.ProjectorPeopleCanada.ca",Consumer Electronics,11-50 employees,Privately Held,"Tampa, Florida, United States",United States,projectorpeople.com,https://www.linkedin.com/company/projector-people
