Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Siemens,"Siemens AG (Berlin and Munich) is a leading technology company focused on industry, infrastructure, mobility, and healthcare. The company’s purpose is to create technology to transform the everyday, for everyone. By combining the real and the digital worlds, Siemens empowers customers to accelerate their digital and sustainability transformations, making factories more efficient, cities more livable, and transportation more sustainable. A leader in industrial AI, Siemens leverages its deep domain know-how to apply AI – including generative AI – to real-world applications, making AI accessible and impactful for customers across diverse industries. Siemens also owns a majority stake in the publicly listed company Siemens Healthineers, a leading global medical technology provider pioneering breakthroughs in healthcare. For everyone. Everywhere. Sustainably. In fiscal 2025, which ended on September 30, 2025, the Siemens Group generated revenue of €78.9 billion and net income of €10.4 billion. As of September 30, 2025, the company employed around 318,000 people worldwide on the basis of continuing operations.",Automation Machinery Manufacturing,"10,001+ employees",Public Company,"Chicago, Illinois, United States",United States,siemens.com,https://www.linkedin.com/company/siemens
ICAPGroup,"ICAP group was founded in 1988 and it quickly bacame an important partner for international pharmaceutical companies. Constant investments in development and a well-structured engineering, allow us to offer high standards of safety, quality and production efficiency for our automated and robotic solutions also in other areas.
We also have a proven expertise in managing complex systems, internal development of custom software and the use of vision systems for various uses: from robot driving up to quality control.
Our group works, with its divisions, in automotive, pharmaceutical, glass, reels handling and general industry, with a highly internationalized market and offices in China and USA.",Automation Machinery Manufacturing,201-500 employees,Privately Held,"Bellefontaine, Ohio, United States",United States,icapgroup.it,https://www.linkedin.com/company/icapgroup
Perfection Servo Hydraulics,"Perfection specializes in the repair of hydraulic and electronic components. Since 1979, we have provided superior service to domestic and international manufacturers from every industry imaginable. 

The growth and success of Perfection is due to the partnership that forms between our customers and employees, and at the core is trust. We understand the importance of the equipment we service. Not only do our repairs enable a steady stream of production, but they can also mean a profitable quarter, a good night’s sleep, or preservation of someone’s livelihood. 

The employees at Perfection understand this responsibility, and do not take it lightly. It is this commitment to the customer that creates trust, and it is that trust that keeps our customers coming back.",Automation Machinery Manufacturing,51-200 employees,Privately Held,"Batavia, Illinois, United States",United States,perfectionservo.com,https://www.linkedin.com/company/perfection-servo-hydraulics
Inovatech Automation,"Inovatech Automation is your one-stop solution for the low and high volume manufacturing industry. We custom design reliable automated integration that includes everything from complex fixtures and secondary aids to integrated robotic solutions. Our systems provide uncompromised precision that boosts productivity and improves your ROI. And with all of the safety features that we include, the operator has never been more protected.

MODULAR AUTOMATION STATION SYSTEMS
Our Modular Automation Station System (MASSTM) is an innovative slide-connect solution for low and high volume automation. This system reduces legacy costs by utilizing QuickFixtTM, the quickest way to swap unlimited fixtures and secondary aids, all within a single Inovatech enclosure. An Inovatech automation station is completely expandable and customizable. As your manufacturing needs change, simply unlock one fixture and replace it with the next.

INOVATECH FIXTURES AND SECONDARY AIDS
We build fixtures for good part fitment. Our forms are precisely built to exact specifications, often exceeding the engineer's recommended tolerances, through the use of our multi-axis CNC machine and 3D printers. This provides an exact fit for proper locating, preventing marring or damage to the part. The materials we utilize are unique to each project, based on part specifications:
• Polyurethane
• Aluminum
• Stainless Steel
• Composite Resin
• PLA (3D Print)
• ABS (3D Print)
• Nylon/Carbon Fiber (3D Print)
• Steel",Automation Machinery Manufacturing,11-50 employees,Partnership,"Macomb, Michigan, United States",United States,inovatech.com,https://www.linkedin.com/company/inovatech-automation
Veros Systems,"Veros Systems is an industrial asset monitoring company based in Austin, Texas. 

Veros Systems applies innovative data capture techniques and machine learning algorithms to electrical waveforms in industrial machines to continuously monitor rotating equipment health, gain real-time insights into operating performance and proactively predict failures. 

Enterprises implement Veros technology on a standalone monitoring platform, in the Cloud, or embedded within existing power distribution, metering and monitoring hardware to increase uptime, improve efficiency and optimize maintenance.",Automation Machinery Manufacturing,11-50 employees,Privately Held,"Austin, Texas, United States",United States,verossystems.com,https://www.linkedin.com/company/veros-systems-inc-
PJP Conveyors ltd,"PJP Conveyors Ltd are experts in conveyor systems with over 30 years experience of system integration. 
We design, manufacture, install and maintain a wide range of materials handing solutions across multiple industries.
PJP are fully Safecontractor Accredited.",Automation Machinery Manufacturing,11-50 employees,Privately Held,"Columbus, Ohio, United States",United States,pjpconveyors.co.uk,https://www.linkedin.com/company/pjp-conveyors-ltd
Royal Industrial Solutions,"We are a network of industrial technology solutions businesses, a division of the national distribution company, C.E.D. We work together to partner with U.S. manufacturing companies, OEMs, system integrators, industrial contractors and those that are working the plant-floor to drive production efficiencies, reduce energy costs, increase worker safety, and communicate over secure networks. We are not one size fits all, nor are we operating remotely. We are local, and we know our industrial customers and their facilities inside and out. We keep our people, our partners, and our products close to our customers, part of the local community. We aim to serve personally, face to face, handshake to handshake, because knowing someone's name and personal attention still matters.",Automation Machinery Manufacturing,51-200 employees,Privately Held,"Orange, California, United States",United States,industrialsolutionsnetwork.com,https://www.linkedin.com/company/royal-industrial-solutions
"Tensor ID, Inc","Tensor ID is a woman owned business specializing in the field of imaging and optical technologies. With over 50 years of combined machine vision and industrial automation experience, Tensor ID has brought concept to reality with real world results. We believe quality products paired with excellent customer service are the keys to success. 
Tensor ID is a leading reseller of industrial barcode scanners, barcode verification systems, machine vision and robotic solutions, . This equipment is used in reading both linear and 2D barcodes, verification of barcodes, labels and date/lot codes, compliance tracking, logistics, inventory control and product inspection.
One company, endless possibilities!",Automation Machinery Manufacturing,11-50 employees,Privately Held,"Oceanside, California, United States",United States,tensorid.com,https://www.linkedin.com/company/tensor-id
BEI Sensors,"Specializing in reliable position sensing products for harsh environments, BEI Sensors can supply a range of products from standard off-the-shelf  to completely customized solutions for any challenging application.  Serving the industrial, military/aerospace and transportation markets, BEI Sensors provides an extensive product line, engineering expertise and unparalleled product support. 

The comprehensive product line includes rotary and linear position sensors, potentiometers (wirewound, conductive plastic and hybrid), Hall Effect sensors, absolute and incremental encoders, panel controls, electronic interface modules, wireless modules, and a variety of product accessories. Specialized products for harsh environments include those certified for hazardous area use, wash-down environments and extreme operating temperatures.",Automation Machinery Manufacturing,51-200 employees,Public Company,"Thousand Oaks, California, United States",United States,beisensors.com,https://www.linkedin.com/company/bei-sensors
Performance Automation Company,"We strive to understand your unique challenges and co-develop solutions that make sense.  Our goal is to understand your goal which could be reduce downtime, scrap, or process inefficiencies.  We are experts in increasing productivity, yield, and overall plant performance with PAC/PLC/HMI/VFD/SCADA/Motion systems.  We can technically support most automation platforms.  We can design, panel build, program, I/O check, and start up electrical control panels.  Please call us if you need 24/7/365 technical service support.",Automation Machinery Manufacturing,11-50 employees,Privately Held,"Madera, California, United States",United States,performanceautomationco.com,https://www.linkedin.com/company/performance-automation-company
Alexander & Associates Co.,"Alexander & Associates Co. (A&A) is a custom and specialty machine design integration and engineering development firm dedicated to serving today's fast paced, ever-changing industrial engineering community. We have an established record of design expertise, schedule control and cost containment with a commitment to total quality control and reliability on a global basis. 

Since 1943, A&A has been recognized as a quality resource for design services and looks forward to serving our customers and meeting new challenges and opportunities.  A&A consistently achieves excellent results across a broad segment of the manufacturing machine industry while becoming thoroughly familiar with our client's technical needs and procedures increasing efficiency in execution. Our primary areas of engineering and design expertise include mechanical, power & controls, project management and information systems. 

A&A works in a collaborative effort with our clients to develop their
manufacturing processes into realized designs and machines for varying purposes from proof-of-principal, to development, to full scale production.

A&A completes design packages to client standards and does not have a particular type of “standard” product line. All of our machines and design packages are considered “custom” to meet specific needs of our clients.",Automation Machinery Manufacturing,51-200 employees,Privately Held,"Cincinnati, Ohio, United States",United States,alexanderandassoc.com,https://www.linkedin.com/company/alexander-&-associates_2
"Water Works, Inc","We don’t just purify water—we’re your partners in innovation, powering your breakthroughs.

Water Works delivers ultrapure water solutions for life sciences and high-tech industries across Southern California. From E1 grade lab water to high-purity process systems, we’ve been designing, building, and servicing reliable, efficient systems for over 25 years.

As part of MECO—a global leader in pharmaceutical-grade water—we represent the regional piece of a complete, end-to-end solution. MECO acquired Water Works to bridge the gap between lab-scale purification and large-scale WFI manufacturing, offering customers a seamless path from discovery to commercial production.

With local manufacturing and DI regeneration facilities in San Diego, our team is built for responsiveness and sustainability. We’re experts in conservation-focused design, from 100% RO recovery systems to dynamically operated softeners that save millions of gallons annually. That’s why we’ve been trusted on two LEED Platinum lab projects and by institutions like UC San Diego.

Together with MECO, we bring the ultrapure water—so you can bring the breakthroughs.",Automation Machinery Manufacturing,11-50 employees,Privately Held,"San Diego, California, United States",United States,meco.com,https://www.linkedin.com/company/water-works-inc
